start,start_unix,end,end_unix,direction,finished,bottom,top,start_open,start_high,start_low,start_close,start_volume,end_open,end_high,end_low,end_close,end_volume,bb_bbh,bb_bbl,kch_high,kch_low,squeeze,rsi,roc,tsi,mfi,vwap,atr,adx,obv,pocket_pivot,cmf,aroon_up,aroon,aroon_down,sma,ema20,ema50,macd_diff,rel_open,rel_high,rel_low,rel_close
2016-03-15,1458014400,2016-04-13,1460520000,0.75,0,23.71,26.148108261116885,23.59,23.86,23.56,23.73,170016976.0,25.14,25.49,25.14,25.42,138863092.0,0.34471889263588196,-7.173987185318808,-1.9394177812745994,-5.007867820613697,0,16.591060934230597,7.121786767804473,30.648750913264838,12.567613042175289,-2.5363571667488856,1.7255273697043816,15.306582985528472,0.9204243646243294,0,0.08115513005237202,50.0,96.0,-46.0,-3.41463414634147,-3.6639999582924787,-6.720121650544968,-0.010469793857331156,-0.011014948859166096,0.0027537372147914407,-0.011014948859166096,0.014365522745411141
2016-03-15,1458014400,2016-04-14,1460606400,0.75,1,23.71,26.148108261116885,23.59,23.86,23.56,23.73,170016976.0,25.33,25.5,25.26,25.44,108278812.0,0.7132541264372634,-7.144071736500152,-1.7636268343815544,-4.770702306079656,0,16.73702011021676,5.823627287853586,31.60024528186458,18.872908944990456,-2.252259006859802,1.6684012089861575,15.823362469822015,0.7223241568788641,0,0.10209698061252312,50.0,96.0,-46.0,-3.215408805031444,-3.3835704923931047,-6.527044892623792,0.0008306493126023495,-0.004323899371069251,0.002358490566037652,-0.007075471698113178,0.0007867820613689513
2016-03-30,1459310400,2016-04-15,1460692800,0.25,1,24.55301470180848,26.148108261116885,24.65,25.05,24.64,24.86,189317436.0,25.44,25.48,24.9,24.92,204001696.0,2.8638246378930745,-4.890309389096927,0.5557784911717363,-2.610353130016051,0,9.609566128572261,3.7900874635568513,29.159859814286005,14.253414551376608,0.060844733888544056,1.7478033932466812,14.906107550331178,-1.3586250410331986,0,0.027657534649686465,46.0,92.0,-46.0,-1.0132423756019335,-1.2372594840692699,-4.397092721295692,-0.030263648088517114,0.020866773675762396,0.022471910112359605,-0.0008025682182987159,-0.020440251572326984
2016-04-13,1460520000,2016-04-18,1460952000,-0.75,0,23.761729055547967,26.148108261116885,25.14,25.49,25.14,25.42,138863092.0,24.71,24.72,24.26,24.39,253502352.0,5.02768284800004,-2.604558616757714,2.8652453191198504,-0.43938772721060104,0,3.4815421827378117,1.4981273408239677,24.164983241919295,3.785346857105168,2.180022255305431,1.8515152207467782,12.20383142606363,-1.6750172981759393,-1,-0.09178339972615707,42.0,88.0,-46.0,1.2115621156211631,0.8223166783476614,-2.228655250962504,-0.0868693327687875,0.013120131201312057,0.013530135301353052,-0.005330053300532933,-0.02126805778491181
2016-04-13,1460520000,2016-04-19,1461038400,-0.75,0,23.761729055547967,26.148108261116885,25.14,25.49,25.14,25.42,138863092.0,24.48,24.5,24.1,24.26,136773984.0,5.5249445067268255,-1.9223064193401882,3.4185215718603956,0.1662544655125089,0,2.098691817556748,0.9571369121930937,19.612355540504836,-4.502649301625311,2.57028295670041,1.846248766465024,9.775083567171933,-0.9105608241211086,0,-0.11575058255878486,38.0,84.0,-46.0,1.8013190436933115,1.2328146898934023,-1.6378838538203695,-0.13077263892221452,0.00906842539159114,0.009892827699917506,-0.0065952184666117075,-0.005330053300532933
2016-04-13,1460520000,2016-04-20,1461124800,-0.75,0,23.761729055547967,26.148108261116885,25.14,25.49,25.14,25.42,138863092.0,24.2,24.53,24.06,24.31,127570952.0,5.288227595015812,-2.0632173111819725,3.238722062251469,-0.006855889208821964,0,2.5949400960381226,0.41305245766211424,16.233868435058188,1.7049993931582605,2.2237548820507556,1.8489449843325483,7.614707677947074,0.860909011602519,0,-0.06629361040627858,34.0,52.0,-18.0,1.6125051419169125,0.9270212202688839,-1.7680274012876254,-0.15262761966178678,-0.004524886877828038,0.009049773755656298,-0.010283833813245602,0.002061005770816138
2016-04-13,1460520000,2016-04-21,1461211200,-0.75,0,23.761729055547967,26.148108261116885,25.14,25.49,25.14,25.42,138863092.0,24.26,24.26,23.94,24.04,131804532.0,6.486225489741642,-0.9953769040511276,4.399611758180825,1.0926234054353898,0,-0.329993497071456,-0.1661129568106277,12.152530558787216,-4.506364276049929,3.1619675207324605,1.8460960405235771,5.898167516718939,-0.8956788628662972,0,-0.14935852064066507,30.0,52.0,-21.999999999999996,2.7454242928452572,1.8643170735876566,-0.6386876122637091,-0.1795912461780299,0.009151414309484185,0.009151414309484185,-0.004159733777038155,-0.011106540518305175
2016-04-13,1460520000,2016-04-22,1461297600,-0.75,0,23.761729055547967,26.148108261116885,25.14,25.49,25.14,25.42,138863092.0,23.83,24.16,23.74,23.98,147820948.0,6.752663084795202,-0.747658914653428,4.683069224353645,1.3219349457881577,0,-0.9678411211412836,0.0,8.599609381309023,-12.368868726571144,3.0084101857462286,1.8436254455630536,4.766597879999448,-1.0082852434831944,0,-0.12816830982409552,26.0,52.0,-26.0,3.002502085070887,1.9173626167280133,-0.374780012544889,-0.1945323608595989,-0.00625521267723117,0.007506255212677226,-0.010008340283569672,-0.0024958402662229595
2016-04-13,1460520000,2016-04-25,1461556800,-0.75,1,23.761729055547967,26.148108261116885,25.14,25.49,25.14,25.42,138863092.0,23.82,23.97,23.71,23.84,118184996.0,7.396828281447014,-0.19464707339328413,5.280341163310979,1.895274049217008,0,-2.4670785396418324,-0.12568077084206591,5.042028160233338,-12.4007634853958,3.333099404539624,1.8028876929524995,3.7844702304935893,-0.8165816408912638,0,-0.1060593581862715,22.0,-28.0,50.0,3.601090604026865,2.2762638930841064,0.20202163908038528,-0.20581679462247998,-0.000838926174496657,0.005453020134228215,-0.005453020134228104,-0.005838198498749003
2016-04-15,1460692800,2016-04-26,1461643200,-0.75,1,23.003477829233887,25.358575957834947,25.44,25.48,24.9,24.92,204001696.0,23.58,23.89,23.58,23.68,230956636.0,8.378940421738406,-0.09346744876540924,5.809403153153141,2.549268018018026,0,-4.153491780501078,-3.0699959066721245,1.3841242486123007,-19.89953788568819,3.504699648931094,1.7789302419155373,3.173209315326112,-1.583001681699765,-1,-0.19344447045297425,18.0,-32.0,50.0,4.142736486486484,2.684717851132916,0.8445892934454236,-0.21502499813166884,-0.004222972972973027,0.008868243243243201,-0.004222972972973027,-0.006711409395973145
2016-04-18,1460952000,2016-04-27,1461729600,-0.75,1,22.046101690513673,24.574581267760216,24.71,24.72,24.26,24.39,253502352.0,21.78,22.4,21.71,22.2,480006028.0,17.074320859319883,3.8986521136530996,12.307807807807805,8.704204204204217,0,-15.924826296698157,-10.699919549477073,-8.049513127770156,-23.70067053674714,8.19502223136898,2.395836182983523,5.096319436974092,-3.1720781167463232,0,-0.048328408780004085,14.0,-36.0,50.0,10.486486486486484,8.62271183093462,7.270794779164987,-0.306198382270811,-0.018918918918918837,0.009009009009008917,-0.022072072072071958,-0.0625
2016-04-26,1461643200,2016-04-28,1461816000,-0.75,0,21.05168099027347,23.761729055547967,23.58,23.89,23.58,23.68,230956636.0,22.15,22.21,21.39,21.52,337419648.0,22.33460307976287,4.1291515670772725,15.274938042131353,11.287949194547721,0,-19.688796752770216,-12.98018600889608,-17.418394431563016,-25.717867529503238,10.125574552524782,2.567174463651901,7.1211705643861976,-2.1875475721750948,-1,-0.11542376151582215,10.0,-40.0,50.0,13.231877323420079,10.90693009888524,10.242337780428286,-0.3922144751410459,0.02927509293680286,0.03206319702602234,-0.0060408921933085,-0.03063063063063065
2016-04-26,1461643200,2016-04-29,1461902400,-0.75,0,21.05168099027347,23.761729055547967,23.58,23.89,23.58,23.68,230956636.0,21.33,21.49,20.99,21.27,290831320.0,24.771089273574006,2.6196018406714074,15.811001410437257,11.734837799717909,0,-20.93141989299501,-14.783653846153852,-24.99658581630256,-31.50933874534192,9.996948835875315,2.589806998291544,9.272100661553843,-1.8553084308048662,0,-0.06311799852665885,6.000000000000007,-43.99999999999999,50.0,13.695345557122707,11.047586761663425,11.085612934268127,-0.4421534404668792,0.0028208744710860323,0.010343206393982118,-0.013164080865068262,-0.011617100371747235
2016-04-26,1461643200,2016-05-02,1462161600,-0.75,0,21.05168099027347,23.761729055547967,23.58,23.89,23.58,23.68,230956636.0,21.32,21.35,20.97,21.25,199917496.0,25.23424073421954,0.506935736368689,14.955294117647071,10.903529411764708,0,-21.03142674295465,-15.708052360174538,-30.69692385391428,-36.09182630989032,9.105139075304393,2.53481523730284,11.282575488217532,-1.2678769991374137,0,-0.0658175162339992,2.0,-48.0,50.0,12.870588235294122,10.089997171968704,10.75133413470104,-0.4511762582880443,0.0032941176470588918,0.004705882352941337,-0.013176470588235345,-0.0009402914903620108
2016-04-26,1461643200,2016-05-03,1462248000,-0.75,0,21.05168099027347,23.761729055547967,23.58,23.89,23.58,23.68,230956636.0,21.37,21.72,21.26,21.6,237036220.0,23.165778112876254,-2.6194818165799774,12.337962962962962,8.273148148148152,0,-16.79807532099383,-13.32263242375602,-33.26113348044136,-34.116168751074554,6.268157526973766,2.471040705373378,12.120137801784516,1.4830648523944405,0,-0.0536645464121411,-2.0,-48.0,46.0,10.273148148148124,7.5150713363808705,8.605507142118256,-0.4094397789423601,-0.010648148148148184,0.005555555555555536,-0.015740740740740722,0.016470588235294237
2016-04-26,1461643200,2016-05-04,1462334400,-0.75,0,21.05168099027347,23.761729055547967,23.58,23.89,23.58,23.68,230956636.0,21.6,21.76,21.29,21.37,173341824.0,24.162398105004982,-3.025290009544065,12.727343628139138,8.586024021213532,0,-18.112659117176804,-15.131056393963457,-35.81355397458392,-38.26996401256777,6.616772261972372,2.4763294005910983,12.789786790066294,-1.0796623164532089,0,-0.10741840946625635,-6.0,-48.0,42.0,10.568554047730444,7.846302730687697,9.391091377153217,-0.37415729965393596,0.01076275152082351,0.018249883013570445,-0.0037435657463734673,-0.010648148148148184
2016-04-26,1461643200,2016-05-05,1462420800,-0.75,0,21.05168099027347,23.761729055547967,23.58,23.89,23.58,23.68,230956636.0,21.46,21.47,21.16,21.29,154266840.0,24.462404413047494,-4.063155939585755,12.296070142476935,8.237826835760131,0,-18.56830904537685,-13.560698335363378,-37.99949488326399,-37.95411760782582,5.927899149232687,2.412095117688428,13.54363603828805,-0.9604602509725638,0,-0.05452490762063458,-10.0,-48.0,38.0,10.19962423673087,7.46568766409699,9.41774515676002,-0.33434419868967086,0.007984969469234438,0.008454673555659875,-0.006106153123532132,-0.0037435657463734673
2016-04-26,1461643200,2016-05-06,1462507200,-0.75,0,21.05168099027347,23.761729055547967,23.58,23.89,23.58,23.68,230956636.0,21.31,21.33,20.97,21.17,181773148.0,24.84038338257095,-4.835659717006493,12.093371122657842,8.016847740513299,0,-19.261828556815672,-14.117647058823518,-40.019049837520186,-37.522764079038694,5.348158418335686,2.373964389373865,14.43392650506889,-1.1225862333786958,0,-0.01160866583122852,-14.0,-64.0,50.0,10.002361832782242,7.305813071066126,9.64432273285692,-0.29556912886531006,0.006613131790269122,0.007557864903164679,-0.009447331128956238,-0.005636449037106472
2016-04-26,1461643200,2016-05-09,1462766400,-0.75,0,21.05168099027347,23.761729055547967,23.58,23.89,23.58,23.68,230956636.0,21.23,21.41,21.14,21.18,142356048.0,24.194104164452142,-5.974085278710859,11.15753855838841,7.1490399748190185,0,-19.12803343197814,-14.389652384801934,-41.59375327818114,-32.844992234907124,4.623510267394366,2.294410965869356,15.014152488437468,0.8769501679465578,0,-0.03624456815770998,-18.0,-64.0,46.0,9.110009442870634,6.564182723087669,9.216376252545388,-0.2505073719539269,0.0023607176581681433,0.010859301227573281,-0.0018885741265344258,0.00047236655644766756
2016-04-26,1461643200,2016-05-10,1462852800,-0.75,0,21.05168099027347,23.761729055547967,23.58,23.89,23.58,23.68,230956636.0,21.31,21.36,21.03,21.33,140169684.0,22.249396245810615,-7.3126873850511345,9.490545397718407,5.552430067198017,0,-17.081966779803764,-14.884277733439747,-42.039483885945685,-37.55858504419632,3.2523932739503465,2.2260502154660387,15.675534010743512,0.8655620985042838,0,-0.00016829328181566103,-21.999999999999996,-64.0,42.0,7.4683544303797476,5.260997056292155,8.117021595669044,-0.19436202322049834,-0.0009376465072666873,0.0014064697609001975,-0.014064697609001309,0.007082152974504208
2016-04-26,1461643200,2016-05-11,1462939200,-0.75,1,21.05168099027347,23.761729055547967,23.58,23.89,23.58,23.68,230956636.0,21.34,21.36,21.11,21.12,121439752.0,21.847927119289608,-6.81004833141084,9.572285353535364,5.642361111111114,0,-18.457788449569875,-16.91581431943352,-42.89332724947564,-37.44329551653115,3.6839521081850677,2.1721505149031985,16.28967399574198,-0.7581785447281422,0,-0.021247360338829898,-26.0,-76.0,50.0,7.518939393939377,5.7068999752063405,8.831576297112136,-0.15674429442230675,0.010416666666666519,0.011363636363636243,-0.00047348484848497296,-0.009845288326300827
2016-04-27,1461729600,2016-05-12,1463025600,-0.75,0,20.1871851605097,23.003477829233887,21.78,22.4,21.71,22.2,480006028.0,21.17,21.18,20.42,20.62,312238900.0,22.933472473112687,-5.018826498330924,11.22534755900422,6.947946977044921,0,-21.44856091466167,-18.946540880503147,-44.73493772464159,-37.987858054165514,5.162272806137452,2.329172943646328,17.556749460790854,-1.9086304685174507,-1,-0.07430176046028356,-30.0,-80.0,50.0,8.957322987390867,7.482483077111453,11.020731517425858,-0.15086117291784829,0.02667313288069839,0.027158098933074637,-0.009699321047526688,-0.02367424242424243
2016-04-27,1461729600,2016-05-13,1463112000,-0.75,1,20.1871851605097,23.003477829233887,21.78,22.4,21.71,22.2,480006028.0,20.55,20.93,20.55,20.66,185864788.0,21.03570544088936,-5.604921316978434,9.899967731526303,5.727654081961916,0,-20.8825860181731,-17.094703049759236,-45.979599943496,-38.168398869678896,4.297756324162535,2.2899948114847,18.73331953547909,1.1314474664314054,0,-0.09727506616533986,-34.0,-80.0,46.0,7.7153920619554555,6.581586732933971,10.382027134537466,-0.1303717098235626,-0.005324298160697016,0.013068731848983495,-0.005324298160697016,0.0019398642095052043
2016-04-28,1461816000,2016-05-16,1463371200,-0.25,0,20.1871851605097,22.046101690513673,22.15,22.21,21.39,21.52,337419648.0,21.09,21.55,20.92,21.43,259191528.0,15.241178485345358,-8.932265746194616,5.254316378908072,1.1525898273448547,0,-11.078654424694726,-12.136121361213617,-42.42085185798908,-30.14325968077661,-0.26981223100746377,2.346666243812282,17.929433202069674,1.5648579442854536,0,-0.021043103166129014,-38.0,-80.0,42.0,3.154456369575371,2.4899141304932897,6.16429354979519,-0.054917328220198236,-0.0158656089594027,0.005599626691553894,-0.023798413439103938,0.037270087124879
2016-04-28,1461816000,2016-05-17,1463457600,-0.25,0,20.1871851605097,22.046101690513673,22.15,22.21,21.39,21.52,337419648.0,21.58,21.62,21.23,21.34,201838032.0,14.203645075515013,-8.392960914315367,5.018744142455461,0.9044048734770485,0,-11.729905468957533,-12.03627370156637,-39.846169871621555,-21.225935610226443,-0.4011526405286787,2.318776773542856,16.9947029134374,-1.2110198524328881,0,-0.12165832891514101,-42.0,-80.0,38.0,2.905342080599823,2.643857581365097,6.352738783682881,-0.0037254670924133926,0.011246485473289436,0.013120899718837897,-0.005154639175257714,-0.0041997200186654204
2016-04-28,1461816000,2016-05-18,1463544000,-0.25,0,20.1871851605097,22.046101690513673,22.15,22.21,21.39,21.52,337419648.0,21.5,21.73,21.43,21.59,177770364.0,11.08470929383816,-8.917039076144775,3.1341670526478396,-0.8537903350316469,0,-8.850614958803689,-11.188811188811185,-36.39750634894284,-13.015201809465424,-1.7113924485935001,2.2572455915974965,15.824647511489864,1.061085636088385,0,-0.041435600581167666,-46.0,-80.0,34.0,1.083835108846685,1.3166997396067046,4.920401453601315,0.051282051084645675,-0.004168596572487249,0.006484483557202436,-0.007410838351088467,0.011715089034676662
2016-04-28,1461816000,2016-05-19,1463630400,-0.25,0,20.1871851605097,22.046101690513673,22.15,22.21,21.39,21.52,337419648.0,21.6,21.6,21.36,21.5,126363004.0,9.785796511153094,-7.953238371618184,2.944186046511632,-1.0232558139534973,0,-9.565313425701532,-10.5657237936772,-33.880764900045484,-10.70555002337666,-1.2553619074710554,2.184521993998902,14.854182249001944,-0.7532945500607581,0,-0.04933824712533756,-46.0,-76.0,30.0,0.9162790697674552,1.5750241421574174,5.149422619041815,0.08398267631445522,0.0046511627906977715,0.0046511627906977715,-0.006511627906976791,-0.004168596572487249
2016-04-28,1461816000,2016-05-20,1463716800,-0.25,1,20.1871851605097,22.046101690513673,22.15,22.21,21.39,21.52,337419648.0,21.6,21.79,21.58,21.74,139073556.0,6.624016225185002,-8.049959187466484,1.2404170499846714,-2.5866298681386013,0,-6.796302363427095,-9.34111759799834,-30.542011108282303,-4.261793569666935,-2.2124216283842486,2.101373036281683,13.40776921353033,0.8292928426849202,0,-0.05907359043136164,-46.0,-72.0,26.0,-0.712971481140741,0.4104730408536028,3.832202977398282,0.12185596794405129,-0.006439742410303428,0.0022999080036798514,-0.007359705611775569,0.01116279069767434
