start,start_unix,end,end_unix,reward
2016-03-30,1459310400,2016-06-02,1464840000,0.3392659000000002
2016-04-04,1459742400,2016-06-03,1464926400,-1.2124459
2016-04-12,1460433600,2016-06-07,1465272000,0.24224589999999985
2016-04-26,1461643200,2016-06-08,1465358400,-0.3636521
2016-04-28,1461816000,2016-06-10,1465531200,-1.9934659
2016-04-29,1461902400,2016-06-23,1466654400,-1.5821479000000003
2016-05-03,1462248000,2016-06-24,1466740800,-1.1251279
2016-05-25,1464148800,2016-06-28,1467086400,-0.6173279
2016-06-03,1464926400,2016-07-11,1468209600,-1.3187341
2016-06-06,1465185600,2016-07-18,1468814400,0.12414789999999981
2016-06-08,1465358400,2016-07-19,1468900800,-0.49487209999999987
2016-06-09,1465444800,2016-08-01,1470024000,-2.1392659000000003
2016-06-13,1465790400,2016-08-02,1470110400,-1.7441479000000002
2016-06-24,1466740800,2016-08-03,1470196800,-0.3485340999999998
2016-06-27,1467000000,2016-08-05,1470369600,0.24555409999999994
2016-06-29,1467172800,2016-08-12,1470974400,1.8622459
2016-07-12,1468296000,2016-08-23,1471924800,1.4363478999999997
2016-07-19,1468900800,2016-08-30,1472529600,0.9631279000000001
2016-07-20,1468987200,2016-09-08,1473307200,-0.5192659
2016-08-02,1470110400,2016-09-09,1473393600,0.05585210000000013
2016-08-03,1470196800,2016-09-12,1473652800,1.6514659000000003
2016-08-04,1470283200,2016-09-15,1473912000,0.24555409999999994
2016-08-08,1470628800,2016-09-16,1473998400,0.9056520999999997
2016-08-15,1471233600,2016-09-19,1474257600,0.37346589999999963
2016-08-24,1472011200,2016-09-20,1474344000,-1.1744459000000003
2016-08-31,1472616000,2016-10-10,1476072000,-1.9377540999999998
2016-09-09,1473393600,2016-10-14,1476417600,-1.5202459000000004
2016-09-12,1473652800,2016-10-26,1477454400,-1.0563479
2016-09-13,1473739200,2016-10-31,1477886400,-2.7631279
2016-09-16,1473998400,2016-11-01,1477972800,-1.4807340999999998
2016-09-19,1474257600,2016-11-04,1478232000,-1.0124459000000003
2016-09-20,1474344000,2016-11-08,1478581200,-1.7577541
2016-09-21,1474430400,2016-11-09,1478667600,-0.3636521
2016-10-11,1476158400,2016-11-10,1478754000,-1.0368720999999996
