unix,date,open,high,low,close,volume_base
1451883600,2016-01-04,17.0,17.12,16.5,16.83,1481921.0
1451970000,2016-01-05,16.98,17.21,16.62,17.02,1293707.0
1452056400,2016-01-06,17.92,18.37,17.4,17.64,3096760.0
1452142800,2016-01-07,17.2,17.49,16.5,16.59,2238108.0
1452229200,2016-01-08,16.8,17.12,16.24,16.28,1328802.0
1452488400,2016-01-11,16.5,16.72,15.57,15.86,1673864.0
1452574800,2016-01-12,16.02,16.4617,15.58,16.02,1396923.0
1452661200,2016-01-13,16.09,16.36,15.33,15.41,1275068.0
1452747600,2016-01-14,15.44,15.8,14.93,15.48,1629713.0
1452834000,2016-01-15,14.7,15.205,14.245,14.63,2439444.0
1453179600,2016-01-19,14.63,14.89,14.185,14.5,1569337.0
1453266000,2016-01-20,14.15,15.4162,13.5601,15.1,3149738.0
1453352400,2016-01-21,15.86,16.68,15.58,15.66,3098672.0
1453438800,2016-01-22,16.06,16.206,15.28,15.43,1419540.0
1453698000,2016-01-25,15.27,15.35,14.72,15.02,1573928.0
1453784400,2016-01-26,15.08,15.87,14.72,15.85,1539794.0
1453870800,2016-01-27,15.63,15.73,15.12,15.15,824038.0
1453957200,2016-01-28,15.33,15.55,14.735,14.8,1029599.0
1454043600,2016-01-29,14.86,15.4,14.86,15.39,1326995.0
1454302800,2016-02-01,15.17,15.55,14.8003,15.43,1004581.0
1454389200,2016-02-02,15.22,15.33,14.46,14.75,1639663.0
1454475600,2016-02-03,14.8,15.15,14.22,15.06,945867.0
1454562000,2016-02-04,15.06,15.94,15.01,15.8,1365290.0
1454648400,2016-02-05,15.64,15.95,15.18,15.53,1276401.0
1454907600,2016-02-08,15.24,15.38,14.72,15.38,1250385.0
1454994000,2016-02-09,15.1,15.45,14.84,15.37,1080407.0
1455080400,2016-02-10,15.45,16.19,15.394,15.48,1118118.0
1455166800,2016-02-11,15.09,15.72,15.03,15.41,1167498.0
1455253200,2016-02-12,15.55,15.68,15.0,15.43,864558.0
1455598800,2016-02-16,15.63,16.35,15.41,16.32,1112409.0
1455685200,2016-02-17,16.4,17.23,16.2,17.13,1528953.0
1455771600,2016-02-18,17.2,17.39,16.64,17.11,848585.0
1455858000,2016-02-19,17.03,17.13,16.71,17.12,997950.0
1456117200,2016-02-22,17.24,17.32,17.05,17.26,1082002.0
1456203600,2016-02-23,17.13,17.27,16.96,17.0,718390.0
1456290000,2016-02-24,16.8,17.235,16.3005,17.22,984200.0
1456376400,2016-02-25,17.2,17.37,16.84,17.21,1027490.0
1456462800,2016-02-26,17.28,17.8,17.27,17.48,1374101.0
1456722000,2016-02-29,20.52,20.69,19.3,19.38,7504566.0
