unix,date,open,high,low,close,volume_base
1451883600,2016-01-04,13.29,13.32,13.12,13.27,133975487.0
1451970000,2016-01-05,13.34,13.4,13.11,13.27,70693281.0
1452056400,2016-01-06,13.08,13.16,12.94,12.99,112296386.0
1452142800,2016-01-07,12.7,12.84,12.47,12.52,124573353.0
1452229200,2016-01-08,12.87,12.87,12.24,12.28,131828581.0
1452488400,2016-01-11,12.32,12.41,12.07,12.36,109100427.0
1452574800,2016-01-12,12.55,12.58,12.16,12.36,111946116.0
1452661200,2016-01-13,12.49,12.53,11.99,12.03,124291199.0
1452747600,2016-01-14,12.12,12.28,11.83,12.11,132218547.0
1452834000,2016-01-15,11.64,11.84,11.41,11.68,192063171.0
1453179600,2016-01-19,11.86,11.94,11.31,11.5,193397002.0
1453266000,2016-01-20,11.14,11.31,10.72,11.06,263485203.0
1453352400,2016-01-21,11.04,11.18,10.7,10.79,194354257.0
1453438800,2016-01-22,11.02,11.08,10.88,10.95,174637527.0
1453698000,2016-01-25,10.94,10.94,10.45,10.47,195443430.0
1453784400,2016-01-26,10.56,10.78,10.53,10.75,134126713.0
1453870800,2016-01-27,10.66,11.09,10.65,10.79,133024451.0
1453957200,2016-01-28,10.98,11.07,10.71,10.93,114016957.0
1454043600,2016-01-29,11.03,11.43,10.98,11.42,179075607.0
1454302800,2016-02-01,11.35,11.38,11.15,11.27,109367322.0
1454389200,2016-02-02,11.1,11.1,10.6,10.69,148033293.0
1454475600,2016-02-03,10.73,10.73,10.11,10.52,262742009.0
1454562000,2016-02-04,10.41,10.98,10.41,10.7,183357279.0
1454648400,2016-02-05,10.76,10.81,10.41,10.46,130026426.0
1454907600,2016-02-08,10.23,10.26,9.797,9.91,226369081.0
1454994000,2016-02-09,9.684,10.04,9.659,9.853,251421804.0
1455080400,2016-02-10,10.02,10.13,9.619,9.675,243201490.0
1455166800,2016-02-11,9.255,9.328,8.876,9.013,381774973.0
1455253200,2016-02-12,9.272,9.716,9.207,9.651,252261854.0
1455598800,2016-02-16,9.999,10.01,9.78,9.894,201883722.0
1455685200,2016-02-17,10.15,10.25,10.07,10.14,242187031.0
1455771600,2016-02-18,10.27,10.29,9.772,9.885,180826395.0
1455858000,2016-02-19,9.869,9.885,9.675,9.797,127835621.0
1456117200,2016-02-22,9.999,10.13,9.982,10.13,97631250.0
1456203600,2016-02-23,10.07,10.08,9.772,9.821,108943962.0
1456290000,2016-02-24,9.659,9.813,9.409,9.797,164884335.0
1456376400,2016-02-25,9.805,9.958,9.764,9.95,106734149.0
1456462800,2016-02-26,10.09,10.46,10.01,10.26,170799996.0
1456722000,2016-02-29,10.26,10.39,10.1,10.11,134046185.0
1456808400,2016-03-01,10.21,10.67,10.19,10.65,158109121.0
1456894800,2016-03-02,10.7,10.95,10.64,10.87,142632836.0
1456981200,2016-03-03,10.85,10.98,10.74,10.94,107439593.0
1457067600,2016-03-04,11.15,11.26,10.94,10.98,180855913.0
1457326800,2016-03-07,10.9,11.04,10.84,10.97,100572304.0
1457413200,2016-03-08,10.86,10.92,10.58,10.59,130936082.0
1457499600,2016-03-09,10.68,10.76,10.54,10.65,97963381.0
1457586000,2016-03-10,10.72,10.86,10.54,10.76,128470751.0
1457672400,2016-03-11,10.9,11.22,10.84,11.18,124530603.0
1457928000,2016-03-14,11.12,11.14,10.94,11.06,91254324.0
1458014400,2016-03-15,10.95,11.02,10.85,11.0,83092579.0
1458100800,2016-03-16,10.95,11.2,10.61,10.79,152799996.0
1458187200,2016-03-17,10.72,10.92,10.58,10.86,127219798.0
1458273600,2016-03-18,11.09,11.25,10.98,11.18,163553120.0
1458532800,2016-03-21,11.19,11.37,11.12,11.22,107011734.0
1458619200,2016-03-22,11.08,11.22,11.05,11.15,88518076.0
1458705600,2016-03-23,11.17,11.21,11.02,11.04,100953452.0
1458792000,2016-03-24,10.87,11.1,10.76,11.09,102987933.0
1459137600,2016-03-28,11.13,11.14,10.98,11.04,57801065.0
1459224000,2016-03-29,10.98,10.98,10.75,10.88,105780848.0
1459310400,2016-03-30,10.94,11.07,10.91,10.93,88785908.0
1459396800,2016-03-31,10.94,11.11,10.9,10.96,85608036.0
1459483200,2016-04-01,10.92,11.07,10.8,10.99,78364661.0
1459742400,2016-04-04,10.98,11.07,10.87,10.95,62521167.0
1459828800,2016-04-05,10.78,10.81,10.67,10.69,80640337.0
1459915200,2016-04-06,10.7,10.78,10.63,10.76,65076570.0
1460001600,2016-04-07,10.66,10.7,10.34,10.42,109612268.0
1460088000,2016-04-08,10.56,10.65,10.42,10.44,80230230.0
1460347200,2016-04-11,10.47,10.61,10.44,10.51,82428250.0
1460433600,2016-04-12,10.54,10.81,10.48,10.76,104804706.0
