unix,date,open,high,low,close,volume_base
1451883600,2016-01-04,32.38,32.62,31.99,32.61,2456510.0
1451970000,2016-01-05,32.84,33.01,32.61,32.99,2346914.0
1452056400,2016-01-06,32.51,32.85,32.47,32.68,3067672.0
1452142800,2016-01-07,32.17,32.3,31.73,31.81,3312236.0
1452229200,2016-01-08,32.06,32.1,31.49,31.55,2913894.0
1452488400,2016-01-11,31.56,31.81,30.89,31.27,5644844.0
1452574800,2016-01-12,31.55,32.12,31.51,31.92,4531896.0
1452661200,2016-01-13,32.05,32.1,30.96,31.04,3831896.0
1452747600,2016-01-14,31.03,31.28,30.44,31.12,3271218.0
1452834000,2016-01-15,30.23,31.25,30.07,31.19,4638918.0
1453179600,2016-01-19,31.4,31.81,30.93,31.35,4962728.0
1453266000,2016-01-20,30.55,31.29,30.15,31.02,4004278.0
1453352400,2016-01-21,30.83,31.12,30.31,30.32,3068912.0
1453438800,2016-01-22,30.66,31.14,30.47,31.09,2767950.0
1453698000,2016-01-25,30.9,31.09,29.94,30.13,4213308.0
1453784400,2016-01-26,30.3,30.79,30.16,30.67,1781212.0
1453870800,2016-01-27,30.51,30.58,29.72,29.89,6392388.0
1453957200,2016-01-28,28.48,30.43,28.48,30.25,5449786.0
1454043600,2016-01-29,30.26,30.39,29.74,30.22,5306886.0
1454302800,2016-02-01,30.19,30.49,29.78,30.39,3052690.0
1454389200,2016-02-02,30.07,30.08,29.55,29.65,3847676.0
1454475600,2016-02-03,29.67,29.98,29.31,29.9,2570170.0
1454562000,2016-02-04,30.12,30.81,29.94,30.68,3366012.0
1454648400,2016-02-05,30.59,30.63,29.3,29.49,3758282.0
1454907600,2016-02-08,29.3,29.3,28.17,28.89,5001204.0
1454994000,2016-02-09,28.76,29.68,28.62,29.46,4443256.0
1455080400,2016-02-10,29.5,29.95,29.36,29.51,3227800.0
1455166800,2016-02-11,29.14,29.26,28.71,28.98,2089308.0
1455253200,2016-02-12,29.2,29.65,29.07,29.47,2593968.0
1455598800,2016-02-16,29.81,30.05,29.42,29.96,2876642.0
1455685200,2016-02-17,30.22,30.42,29.86,30.35,3156124.0
1455771600,2016-02-18,30.26,30.46,30.04,30.08,2555118.0
1455858000,2016-02-19,29.95,29.99,29.46,29.87,2877080.0
1456117200,2016-02-22,30.16,30.51,29.94,30.06,1630180.0
1456203600,2016-02-23,29.83,30.08,29.64,29.86,2405842.0
1456290000,2016-02-24,29.59,30.3,29.5,30.25,2002326.0
1456376400,2016-02-25,30.15,30.27,29.81,30.22,3139172.0
1456462800,2016-02-26,30.44,30.7,30.19,30.36,2149050.0
1456722000,2016-02-29,30.32,30.59,30.01,30.01,2648812.0
1456808400,2016-03-01,30.3,30.95,30.02,30.76,3584612.0
1456894800,2016-03-02,30.52,31.12,30.52,30.84,2485998.0
1456981200,2016-03-03,30.79,31.17,30.67,31.12,1923636.0
1457067600,2016-03-04,31.03,31.1,30.72,30.89,2253458.0
1457326800,2016-03-07,30.69,30.85,30.28,30.47,3763116.0
1457413200,2016-03-08,30.22,30.73,30.17,30.54,2556634.0
1457499600,2016-03-09,30.41,30.8,30.41,30.58,1931506.0
1457586000,2016-03-10,30.27,30.59,30.09,30.44,2316632.0
1457672400,2016-03-11,30.76,31.39,30.52,31.27,4736454.0
1457928000,2016-03-14,31.13,31.52,30.96,31.16,3432504.0
1458014400,2016-03-15,30.92,31.37,30.74,31.07,2707124.0
1458100800,2016-03-16,30.98,31.66,30.94,31.56,1821554.0
1458187200,2016-03-17,31.64,32.61,31.64,32.43,2840926.0
1458273600,2016-03-18,32.53,32.58,31.85,31.88,9680720.0
1458532800,2016-03-21,31.8,31.84,31.49,31.66,2948862.0
1458619200,2016-03-22,31.53,32.14,31.51,31.95,3184808.0
1458705600,2016-03-23,31.99,32.23,31.86,31.93,1945422.0
1458792000,2016-03-24,31.76,31.96,31.52,31.82,1430752.0
1459137600,2016-03-28,31.94,32.02,31.64,31.88,1178030.0
1459224000,2016-03-29,31.85,32.21,31.71,32.17,1133652.0
1459310400,2016-03-30,32.33,32.35,31.95,32.12,1177158.0
1459396800,2016-03-31,32.46,32.59,32.2,32.3,3155660.0
1459483200,2016-04-01,32.2,32.49,31.85,32.44,2920826.0
1459742400,2016-04-04,32.37,32.58,31.93,31.99,1696470.0
1459828800,2016-04-05,31.84,32.1,31.37,31.94,3113344.0
1459915200,2016-04-06,31.94,32.32,31.9,32.3,2645522.0
1460001600,2016-04-07,32.31,32.32,31.86,32.0,4510710.0
1460088000,2016-04-08,32.22,32.23,31.86,32.08,2875024.0
1460347200,2016-04-11,32.13,32.29,31.71,31.93,3226742.0
1460433600,2016-04-12,31.99,32.32,31.83,32.23,2000950.0
1460520000,2016-04-13,32.39,32.59,31.91,32.56,2519666.0
1460606400,2016-04-14,32.36,32.58,32.27,32.55,2462720.0
1460692800,2016-04-15,32.54,32.81,32.42,32.75,3017452.0
1460952000,2016-04-18,32.57,33.82,32.57,33.81,4547038.0
1461038400,2016-04-19,33.84,34.16,33.8,33.97,3843806.0
1461124800,2016-04-20,33.93,34.28,33.77,34.13,1898354.0
1461211200,2016-04-21,34.07,34.19,33.66,34.05,2520070.0
1461297600,2016-04-22,34.04,34.57,33.92,34.36,3141466.0
1461556800,2016-04-25,34.46,34.74,33.8,33.84,4734914.0
1461643200,2016-04-26,33.94,34.06,33.68,34.01,2740260.0
1461729600,2016-04-27,33.91,34.08,33.67,33.92,3693230.0
1461816000,2016-04-28,33.16,33.67,32.56,33.04,6849934.0
1461902400,2016-04-29,32.83,32.97,32.06,32.34,5622506.0
1462161600,2016-05-02,32.33,32.77,32.27,32.64,5037754.0
1462248000,2016-05-03,32.76,32.78,31.99,32.42,3291420.0
1462334400,2016-05-04,32.13,32.67,32.1,32.64,2979764.0
1462420800,2016-05-05,32.65,32.72,32.5,32.54,2397414.0
1462507200,2016-05-06,32.52,32.62,32.15,32.37,2040948.0
1462766400,2016-05-09,32.28,32.81,32.11,32.63,3997608.0
1462852800,2016-05-10,32.66,32.9,32.56,32.69,4139930.0
1462939200,2016-05-11,32.76,32.99,32.59,32.69,1718272.0
1463025600,2016-05-12,32.99,33.24,32.78,33.0,2121518.0
1463112000,2016-05-13,32.86,32.98,32.62,32.68,2034880.0
1463371200,2016-05-16,32.69,33.22,32.69,33.12,2080518.0
1463457600,2016-05-17,33.07,33.12,32.39,32.49,1716334.0
1463544000,2016-05-18,32.38,32.84,32.09,32.51,2790532.0
1463630400,2016-05-19,32.18,32.44,31.92,32.36,3181100.0
1463716800,2016-05-20,32.52,32.62,32.4,32.52,2165468.0
1463976000,2016-05-23,32.41,32.47,32.13,32.14,1479304.0
1464062400,2016-05-24,32.41,32.65,32.22,32.51,2513644.0
1464148800,2016-05-25,32.57,32.9,32.51,32.66,1631980.0
1464235200,2016-05-26,32.72,32.8,32.41,32.54,1340248.0
1464321600,2016-05-27,32.45,32.81,32.45,32.8,1144104.0
1464667200,2016-05-31,32.61,32.82,32.47,32.81,3429138.0
1464753600,2016-06-01,32.52,32.72,32.32,32.64,2764600.0
1464840000,2016-06-02,32.55,33.45,32.42,33.44,3225784.0
1464926400,2016-06-03,33.31,33.79,33.23,33.69,2570408.0
1465185600,2016-06-06,33.69,33.79,33.55,33.72,1910168.0
1465272000,2016-06-07,33.81,34.01,33.64,33.82,2498316.0
1465358400,2016-06-08,33.64,34.04,33.58,34.02,2014614.0
1465444800,2016-06-09,33.75,34.03,33.63,33.99,1576234.0
1465531200,2016-06-10,33.76,33.76,33.3,33.44,1837746.0
1465790400,2016-06-13,33.17,33.22,32.62,32.69,3243094.0
1465876800,2016-06-14,32.22,32.69,32.05,32.65,4855182.0
1465963200,2016-06-15,32.68,32.76,32.41,32.68,4879278.0
1466049600,2016-06-16,32.27,32.64,32.12,32.61,3582970.0
1466136000,2016-06-17,32.62,32.62,32.2,32.43,3837536.0
1466395200,2016-06-20,32.84,33.1,32.65,32.71,3948146.0
1466481600,2016-06-21,32.68,32.91,32.65,32.67,3521204.0
1466568000,2016-06-22,32.83,32.95,32.68,32.9,5497864.0
1466654400,2016-06-23,33.3,33.55,33.09,33.37,2601230.0
1466740800,2016-06-24,32.01,32.59,31.44,31.5,6896116.0
1467000000,2016-06-27,31.14,31.25,30.64,31.02,5778282.0
1467086400,2016-06-28,31.21,32.11,30.91,32.04,8429534.0
1467172800,2016-06-29,32.36,32.53,31.96,32.4,16439954.0
1467259200,2016-06-30,32.31,32.85,31.86,32.81,23141146.0
1467345600,2016-07-01,32.96,33.25,31.79,32.41,9515904.0
1467691200,2016-07-05,32.33,32.41,31.62,31.79,6484776.0
1467777600,2016-07-06,31.81,32.02,31.43,31.92,15200296.0
1467864000,2016-07-07,32.16,32.52,31.96,32.14,6195814.0
1467950400,2016-07-08,32.53,32.67,32.29,32.51,5152676.0
1468209600,2016-07-11,32.68,32.7,32.25,32.54,3233806.0
1468296000,2016-07-12,32.86,32.86,32.34,32.35,6833720.0
1468382400,2016-07-13,32.6,32.66,32.25,32.37,6756870.0
1468468800,2016-07-14,32.51,32.51,31.95,32.36,12154114.0
1468555200,2016-07-15,32.45,32.61,31.75,31.78,6573852.0
1468814400,2016-07-18,31.62,31.77,31.17,31.74,6077418.0
1468900800,2016-07-19,31.63,31.7,31.34,31.67,4115558.0
1468987200,2016-07-20,31.6,32.07,31.58,32.02,2786790.0
1469073600,2016-07-21,32.1,32.48,32.03,32.19,5051288.0
1469160000,2016-07-22,32.16,32.26,32.04,32.12,2208632.0
1469419200,2016-07-25,32.07,32.27,31.91,32.25,2638772.0
1469505600,2016-07-26,32.19,32.49,32.13,32.44,2937482.0
1469592000,2016-07-27,32.5,32.56,32.12,32.29,2384424.0
1469678400,2016-07-28,32.25,32.32,31.99,32.19,2334594.0
1469764800,2016-07-29,32.03,32.2,31.97,32.07,2978788.0
1470024000,2016-08-01,32.2,32.26,32.0,32.09,2834806.0
1470110400,2016-08-02,31.98,32.11,31.69,31.79,2684622.0
1470196800,2016-08-03,31.81,31.91,31.67,31.82,3478288.0
1470283200,2016-08-04,33.84,35.74,33.84,35.63,14942862.0
1470369600,2016-08-05,35.62,36.05,35.37,35.92,6840406.0
1470628800,2016-08-08,35.91,36.51,35.72,36.4,7049948.0
1470715200,2016-08-09,36.59,36.88,36.15,36.34,4510706.0
1470801600,2016-08-10,36.39,36.66,36.17,36.4,3016548.0
1470888000,2016-08-11,36.6,36.69,36.39,36.56,2279518.0
1470974400,2016-08-12,36.6,36.76,36.28,36.45,2279976.0
1471233600,2016-08-15,36.35,36.73,36.35,36.64,2889894.0
1471320000,2016-08-16,36.52,36.65,36.35,36.44,2317050.0
1471406400,2016-08-17,36.4,36.47,36.21,36.43,2350874.0
1471492800,2016-08-18,36.48,36.52,36.25,36.43,4631476.0
1471579200,2016-08-19,36.23,36.6,35.96,36.57,3322004.0
1471838400,2016-08-22,36.37,36.63,36.33,36.63,2389856.0
1471924800,2016-08-23,36.47,36.66,36.43,36.55,2149536.0
1472011200,2016-08-24,36.46,36.63,36.15,36.22,1730272.0
1472097600,2016-08-25,36.2,36.39,36.05,36.23,1717350.0
1472184000,2016-08-26,36.37,36.37,35.48,35.71,2783038.0
1472443200,2016-08-29,35.74,35.99,35.6,35.83,2565508.0
1472529600,2016-08-30,35.69,35.93,35.66,35.89,1902832.0
1472616000,2016-08-31,35.7,36.06,35.6,36.0,4113948.0
1472702400,2016-09-01,36.09,36.32,35.78,36.3,5101654.0
1472788800,2016-09-02,36.51,36.68,36.39,36.67,2041782.0
1473134400,2016-09-06,36.83,36.91,36.58,36.81,2732380.0
1473220800,2016-09-07,36.68,36.78,36.39,36.66,2337498.0
1473307200,2016-09-08,36.62,36.72,36.38,36.41,1443836.0
1473393600,2016-09-09,36.2,36.21,35.37,35.37,2278894.0
1473652800,2016-09-12,35.2,35.57,35.16,35.46,6940832.0
1473739200,2016-09-13,35.17,35.66,34.96,35.08,3164042.0
1473825600,2016-09-14,35.04,35.28,34.91,35.05,2797274.0
1473912000,2016-09-15,35.12,35.62,34.85,35.6,3660194.0
1473998400,2016-09-16,35.51,35.71,35.27,35.67,10851398.0
1474257600,2016-09-19,35.91,35.91,35.55,35.63,2552542.0
1474344000,2016-09-20,35.9,35.96,35.67,35.73,2065952.0
1474430400,2016-09-21,35.78,35.98,35.5,35.96,2503894.0
1474516800,2016-09-22,36.13,36.34,36.1,36.23,2091046.0
1474603200,2016-09-23,36.05,36.29,35.94,36.07,1658564.0
1474862400,2016-09-26,36.0,36.15,35.91,35.93,1596780.0
1474948800,2016-09-27,35.69,36.25,35.61,36.17,2484378.0
1475035200,2016-09-28,36.14,36.6,36.09,36.56,1625968.0
1475121600,2016-09-29,36.59,36.91,36.56,36.78,3501964.0
1475208000,2016-09-30,36.95,37.39,36.63,37.26,5356278.0
1475467200,2016-10-03,37.07,37.13,36.63,36.76,2211084.0
1475553600,2016-10-04,36.7,36.78,36.09,36.11,1776586.0
1475640000,2016-10-05,36.28,36.3,36.0,36.1,2184242.0
1475726400,2016-10-06,36.12,36.28,35.91,36.16,1855272.0
1475812800,2016-10-07,36.29,36.29,35.54,35.61,1499596.0
1476072000,2016-10-10,35.85,36.04,35.81,36.01,1572676.0
1476158400,2016-10-11,35.89,35.92,35.35,35.63,1697654.0
1476244800,2016-10-12,35.71,35.85,35.56,35.77,787990.0
1476331200,2016-10-13,35.37,35.81,35.17,35.73,1248966.0
1476417600,2016-10-14,35.98,36.27,35.96,36.03,1221878.0
1476676800,2016-10-17,36.14,36.32,35.97,36.15,2940002.0
1476763200,2016-10-18,36.46,36.86,36.34,36.79,2962436.0
1476849600,2016-10-19,36.84,37.34,36.73,37.29,3411808.0
1476936000,2016-10-20,37.2,37.21,36.17,36.42,2801910.0
