unix,date,open,high,low,close,volume_base
1451883600,2016-01-04,32.08,32.1,31.39,31.66,6677708.0
1451970000,2016-01-05,31.66,31.88,31.4,31.79,4563755.0
1452056400,2016-01-06,31.33,31.96,31.3,31.86,12913103.0
1452142800,2016-01-07,31.42,31.55,30.79,31.33,8166703.0
1452229200,2016-01-08,31.4,31.48,30.76,30.83,6142757.0
1452488400,2016-01-11,31.0,31.09,30.01,30.31,5427345.0
1452574800,2016-01-12,30.44,30.85,29.77,30.22,5698077.0
1452661200,2016-01-13,30.44,30.83,29.61,29.66,5886681.0
1452747600,2016-01-14,29.78,30.28,29.6,30.07,11903696.0
1452834000,2016-01-15,29.42,30.2,29.42,29.89,6908646.0
1453179600,2016-01-19,30.19,30.24,29.74,30.12,6572784.0
1453266000,2016-01-20,29.66,29.86,29.01,29.61,6027683.0
1453352400,2016-01-21,29.64,30.18,29.44,30.02,3643217.0
1453438800,2016-01-22,30.45,30.77,30.41,30.72,3170210.0
1453698000,2016-01-25,30.66,31.09,30.6,30.7,4108256.0
1453784400,2016-01-26,30.78,31.14,30.64,31.12,2426190.0
1453870800,2016-01-27,31.03,31.73,30.95,31.09,7130117.0
1453957200,2016-01-28,31.59,31.71,30.17,30.41,7141112.0
1454043600,2016-01-29,30.35,31.2,30.35,31.17,9042778.0
1454302800,2016-02-01,30.94,31.93,30.9,31.75,10595593.0
1454389200,2016-02-02,31.94,32.61,30.98,32.32,9714685.0
1454475600,2016-02-03,32.56,32.75,31.87,32.59,8416780.0
1454562000,2016-02-04,32.64,32.81,32.18,32.61,7073385.0
1454648400,2016-02-05,32.45,32.62,31.73,31.93,5243650.0
1454907600,2016-02-08,31.58,31.64,30.27,30.66,6598494.0
1454994000,2016-02-09,30.57,31.16,30.47,30.82,4747119.0
1455080400,2016-02-10,31.08,31.9,30.99,31.44,3927951.0
1455166800,2016-02-11,30.91,31.14,30.44,30.56,5532552.0
1455253200,2016-02-12,30.76,31.2,30.48,31.18,3891932.0
1455598800,2016-02-16,31.41,31.9,31.23,31.86,4911354.0
1455685200,2016-02-17,32.09,32.85,32.08,32.54,4845221.0
1455771600,2016-02-18,32.48,32.65,32.28,32.42,4125208.0
1455858000,2016-02-19,32.29,32.39,31.82,32.07,21100021.0
1456117200,2016-02-22,32.51,32.77,32.27,32.71,5083243.0
1456203600,2016-02-23,32.49,32.71,32.1,32.65,3761532.0
1456290000,2016-02-24,32.31,33.23,32.18,33.19,4208657.0
1456376400,2016-02-25,33.28,33.95,33.13,33.93,4514619.0
1456462800,2016-02-26,33.92,34.55,33.55,33.58,6467079.0
1456722000,2016-02-29,33.63,34.11,33.54,33.65,7361743.0
1456808400,2016-03-01,33.77,34.07,33.43,34.05,4601934.0
1456894800,2016-03-02,33.76,34.12,33.76,33.92,3749314.0
1456981200,2016-03-03,33.72,33.77,33.3,33.59,4993311.0
1457067600,2016-03-04,33.51,33.96,33.3,33.71,5512294.0
