unix,date,open,high,low,close,volume_base
1451883600,2016-01-04,20.97,21.84,20.91,21.54,6766006.0
1451970000,2016-01-05,21.59,21.93,21.43,21.89,5091279.0
1452056400,2016-01-06,21.46,21.6,20.9,21.05,9227248.0
1452142800,2016-01-07,20.77,21.55,20.65,21.24,6208963.0
1452229200,2016-01-08,20.9,20.93,20.13,20.35,7654879.0
1452488400,2016-01-11,20.44,20.8,20.36,20.68,6170781.0
1452574800,2016-01-12,20.81,21.32,20.65,21.17,4991387.0
1452661200,2016-01-13,21.2,21.31,20.44,20.56,6429695.0
1452747600,2016-01-14,19.03,19.14,18.0,18.57,20603225.0
1452834000,2016-01-15,17.82,19.23,17.79,19.05,15929393.0
1453179600,2016-01-19,19.01,19.05,17.85,18.18,10510843.0
1453266000,2016-01-20,17.88,18.9,17.86,18.64,8282336.0
1453352400,2016-01-21,18.61,19.46,18.6,19.17,7085923.0
1453438800,2016-01-22,19.45,19.68,19.02,19.16,4738527.0
1453698000,2016-01-25,19.12,19.28,18.92,19.02,6423817.0
1453784400,2016-01-26,19.11,19.77,18.99,19.71,4411893.0
1453870800,2016-01-27,19.69,19.98,19.12,19.16,6005909.0
1453957200,2016-01-28,19.19,19.37,18.9,18.95,5673518.0
1454043600,2016-01-29,19.12,19.78,19.09,19.63,6436233.0
1454302800,2016-02-01,19.51,20.17,19.44,20.08,5158659.0
1454389200,2016-02-02,19.98,20.13,19.62,19.9,4537415.0
1454475600,2016-02-03,19.88,19.99,19.33,19.91,4061903.0
1454562000,2016-02-04,19.55,20.05,19.33,19.93,5035895.0
1454648400,2016-02-05,19.87,20.14,19.52,19.82,4614401.0
1454907600,2016-02-08,19.66,20.26,19.64,20.11,6617951.0
1454994000,2016-02-09,20.02,20.26,19.33,19.62,5492260.0
1455080400,2016-02-10,19.64,19.82,19.12,19.19,6585233.0
1455166800,2016-02-11,18.95,19.26,18.78,18.93,7148138.0
1455253200,2016-02-12,18.54,19.81,18.34,19.76,7235558.0
1455598800,2016-02-16,19.92,20.79,19.69,20.73,6989612.0
1455685200,2016-02-17,20.94,21.32,20.87,21.12,5481386.0
1455771600,2016-02-18,20.87,21.72,20.79,21.61,6683822.0
1455858000,2016-02-19,20.98,21.27,20.63,21.05,8887964.0
1456117200,2016-02-22,21.11,21.93,21.11,21.6,6184832.0
1456203600,2016-02-23,21.77,22.1,21.55,21.73,5365215.0
1456290000,2016-02-24,21.27,22.2,20.65,22.12,8350596.0
1456376400,2016-02-25,22.63,22.81,21.42,22.66,10615707.0
1456462800,2016-02-26,22.57,22.95,22.05,22.81,7204717.0
1456722000,2016-02-29,22.84,23.07,22.54,22.76,4759050.0
1456808400,2016-03-01,23.01,23.24,22.73,23.22,5220760.0
1456894800,2016-03-02,23.26,23.36,22.8,23.26,4374901.0
1456981200,2016-03-03,23.38,23.59,22.99,23.56,4591364.0
1457067600,2016-03-04,23.44,23.87,23.32,23.59,4258262.0
1457326800,2016-03-07,23.61,24.32,23.37,24.14,4080755.0
1457413200,2016-03-08,24.2,24.56,23.72,23.92,5367710.0
1457499600,2016-03-09,24.13,24.2,23.78,23.99,3733156.0
1457586000,2016-03-10,24.14,24.21,23.72,24.15,4729156.0
1457672400,2016-03-11,24.3,24.32,23.77,23.98,5165066.0
1457928000,2016-03-14,23.77,23.92,23.44,23.51,6394866.0
1458014400,2016-03-15,23.41,23.49,22.79,22.85,7596428.0
1458100800,2016-03-16,22.84,23.13,22.74,23.03,5780948.0
1458187200,2016-03-17,22.84,23.42,22.72,23.18,7781086.0
1458273600,2016-03-18,23.26,23.41,23.12,23.38,9534203.0
1458532800,2016-03-21,23.26,23.42,23.04,23.16,3459639.0
1458619200,2016-03-22,23.19,23.22,22.65,22.85,4272387.0
1458705600,2016-03-23,23.01,23.01,22.57,22.59,2698930.0
1458792000,2016-03-24,22.6,22.76,22.29,22.49,3266993.0
1459137600,2016-03-28,22.49,22.8,22.46,22.56,3269165.0
1459224000,2016-03-29,22.8,22.83,22.42,22.79,4371213.0
1459310400,2016-03-30,22.75,23.03,22.57,22.7,3247123.0
1459396800,2016-03-31,22.95,23.71,22.95,23.32,7286348.0
1459483200,2016-04-01,23.15,23.28,22.72,23.09,4410556.0
1459742400,2016-04-04,23.12,23.41,22.93,22.93,4092073.0
1459828800,2016-04-05,22.86,22.94,22.43,22.44,3451928.0
1459915200,2016-04-06,22.39,22.45,22.2,22.39,3621253.0
1460001600,2016-04-07,22.45,22.45,21.63,21.73,4303178.0
1460088000,2016-04-08,21.79,21.96,21.6,21.65,2904883.0
1460347200,2016-04-11,21.65,22.17,21.64,21.96,3736634.0
1460433600,2016-04-12,22.01,22.16,21.43,22.16,4972369.0
1460520000,2016-04-13,22.26,23.15,22.26,23.12,5424357.0
1460606400,2016-04-14,23.17,23.36,22.95,23.24,3838230.0
1460692800,2016-04-15,23.18,23.53,23.18,23.29,4966870.0
1460952000,2016-04-18,23.21,23.63,23.21,23.57,2711742.0
1461038400,2016-04-19,23.55,23.82,23.49,23.65,2789710.0
1461124800,2016-04-20,23.7,23.99,23.58,23.81,3751630.0
1461211200,2016-04-21,23.79,24.06,23.61,23.62,3056188.0
1461297600,2016-04-22,23.63,24.0,23.62,23.88,2187699.0
1461556800,2016-04-25,23.69,23.77,23.27,23.34,3523110.0
1461643200,2016-04-26,23.41,23.87,23.39,23.83,2217073.0
1461729600,2016-04-27,23.22,24.2,23.15,24.07,5167785.0
1461816000,2016-04-28,23.86,24.03,23.42,23.47,2806883.0
1461902400,2016-04-29,23.43,23.52,22.91,23.06,3301351.0
1462161600,2016-05-02,23.21,23.36,22.71,23.2,3379789.0
1462248000,2016-05-03,23.06,23.06,22.5,22.82,3620677.0
1462334400,2016-05-04,22.71,22.86,22.42,22.65,3354103.0
1462420800,2016-05-05,22.53,22.79,22.26,22.72,3644794.0
1462507200,2016-05-06,22.88,23.19,22.62,22.99,2880409.0
1462766400,2016-05-09,23.02,23.54,22.95,23.48,3576932.0
1462852800,2016-05-10,23.53,23.77,23.18,23.7,4052266.0
1462939200,2016-05-11,23.5,23.5,22.61,22.67,4446347.0
1463025600,2016-05-12,22.78,22.8,22.18,22.47,4334058.0
1463112000,2016-05-13,22.17,22.81,22.1,22.25,4775540.0
1463371200,2016-05-16,22.24,23.0,22.23,22.8,4011138.0
1463457600,2016-05-17,22.82,23.48,22.72,22.93,4721452.0
1463544000,2016-05-18,22.21,22.47,21.82,22.11,7704511.0
1463630400,2016-05-19,22.14,22.69,22.12,22.67,5128847.0
1463716800,2016-05-20,22.65,23.3,22.65,23.25,5007317.0
1463976000,2016-05-23,23.41,23.88,23.26,23.72,10246924.0
1464062400,2016-05-24,22.48,22.82,21.6,21.96,30564454.0
1464148800,2016-05-25,21.78,23.19,21.75,23.06,13873625.0
1464235200,2016-05-26,23.26,23.44,22.85,22.97,6274283.0
1464321600,2016-05-27,22.95,23.23,22.92,23.03,4825282.0
1464667200,2016-05-31,23.17,23.26,22.98,23.13,6024573.0
1464753600,2016-06-01,23.13,23.36,23.02,23.16,3976141.0
1464840000,2016-06-02,23.11,23.49,23.04,23.34,4049608.0
1464926400,2016-06-03,23.29,23.35,22.85,23.26,2988858.0
1465185600,2016-06-06,23.01,23.04,22.11,22.52,8496317.0
1465272000,2016-06-07,22.6,22.85,22.43,22.71,5086702.0
1465358400,2016-06-08,22.85,22.86,22.55,22.59,3503972.0
1465444800,2016-06-09,22.52,22.53,21.6,21.64,6402617.0
1465531200,2016-06-10,21.51,21.53,20.96,21.37,6773006.0
1465790400,2016-06-13,21.34,21.59,21.22,21.29,6715257.0
1465876800,2016-06-14,21.26,21.51,20.9,21.17,6536626.0
1465963200,2016-06-15,20.9,21.66,20.87,21.29,7779653.0
1466049600,2016-06-16,21.18,21.66,21.0,21.53,6309715.0
1466136000,2016-06-17,21.53,22.46,21.44,21.99,9079260.0
1466395200,2016-06-20,22.27,22.46,22.02,22.05,4377517.0
1466481600,2016-06-21,22.11,22.2,21.78,21.82,4351240.0
1466568000,2016-06-22,21.87,21.94,21.71,21.81,3780322.0
1466654400,2016-06-23,22.03,22.41,21.96,22.08,3791426.0
1466740800,2016-06-24,21.52,22.02,21.41,21.88,4545944.0
1467000000,2016-06-27,21.74,21.85,21.08,21.32,4139671.0
1467086400,2016-06-28,21.5,21.97,21.42,21.79,4050658.0
1467172800,2016-06-29,22.14,22.31,21.92,22.14,5369226.0
1467259200,2016-06-30,22.13,22.36,21.9,22.21,4059855.0
1467345600,2016-07-01,22.32,22.96,22.25,22.76,4366576.0
1467691200,2016-07-05,22.69,22.83,21.88,22.03,5485916.0
1467777600,2016-07-06,21.87,22.24,21.62,22.23,5490582.0
1467864000,2016-07-07,22.24,22.35,22.08,22.21,3438889.0
1467950400,2016-07-08,22.48,22.65,22.28,22.46,4043362.0
1468209600,2016-07-11,22.48,22.88,22.48,22.68,3160333.0
1468296000,2016-07-12,22.88,23.22,22.85,22.88,4165130.0
1468382400,2016-07-13,22.89,23.06,22.45,22.79,5542829.0
1468468800,2016-07-14,22.97,23.17,22.85,23.05,5749622.0
1468555200,2016-07-15,23.09,23.09,22.51,22.77,4336283.0
1468814400,2016-07-18,22.9,23.33,22.85,23.21,3449358.0
1468900800,2016-07-19,23.2,23.25,22.91,23.0,3214016.0
1468987200,2016-07-20,23.15,23.2,23.01,23.07,2690227.0
