unix,date,open,high,low,close,volume_base
1451883600,2016-01-04,32.99,33.07,32.1,32.84,3437882.0
1451970000,2016-01-05,32.69,32.96,32.5,32.86,2479555.0
1452056400,2016-01-06,32.48,32.78,32.11,32.22,3434350.0
1452142800,2016-01-07,31.98,32.26,31.45,31.54,3056952.0
1452229200,2016-01-08,31.68,32.02,31.34,31.43,2195205.0
1452488400,2016-01-11,31.73,31.85,31.37,31.72,1439982.0
1452574800,2016-01-12,31.94,32.11,31.6,31.95,1133917.0
1452661200,2016-01-13,31.99,32.07,30.84,30.91,1402457.0
1452747600,2016-01-14,30.74,31.58,30.41,31.33,1534322.0
1452834000,2016-01-15,31.33,31.49,30.43,31.08,2242810.0
1453179600,2016-01-19,31.48,31.48,31.0,31.29,1563975.0
1453266000,2016-01-20,30.95,31.28,30.45,31.03,1670687.0
1453352400,2016-01-21,30.94,31.21,30.49,30.61,1647967.0
1453438800,2016-01-22,31.09,31.26,30.81,31.14,1005665.0
1453698000,2016-01-25,31.12,31.49,30.88,31.13,1569652.0
1453784400,2016-01-26,31.28,32.01,31.28,31.67,1626575.0
1453870800,2016-01-27,31.54,31.93,31.11,31.33,1164417.0
1453957200,2016-01-28,31.42,32.13,31.42,32.03,1955405.0
1454043600,2016-01-29,32.35,33.08,31.61,33.05,3009880.0
1454302800,2016-02-01,32.78,32.96,32.22,32.53,2040725.0
1454389200,2016-02-02,32.19,32.54,32.1,32.37,1635862.0
1454475600,2016-02-03,32.53,32.85,32.17,32.54,1742002.0
1454562000,2016-02-04,32.67,32.88,32.21,32.52,2254455.0
1454648400,2016-02-05,32.36,32.74,31.97,32.57,2163747.0
1454907600,2016-02-08,32.26,32.32,31.61,31.86,2524952.0
1454994000,2016-02-09,31.76,32.67,31.72,32.38,2539477.0
1455080400,2016-02-10,32.54,32.7,32.05,32.19,1982745.0
1455166800,2016-02-11,31.78,32.43,31.71,32.29,2446162.0
1455253200,2016-02-12,32.75,32.91,32.32,32.78,1534385.0
1455598800,2016-02-16,33.02,33.29,32.84,33.18,2082017.0
1455685200,2016-02-17,33.35,33.89,33.2,33.73,1586732.0
1455771600,2016-02-18,33.65,34.22,33.51,34.18,2920595.0
1455858000,2016-02-19,34.24,34.56,33.88,34.46,2164590.0
1456117200,2016-02-22,34.59,34.86,34.55,34.72,1785887.0
1456203600,2016-02-23,34.69,34.82,34.3,34.72,1674687.0
1456290000,2016-02-24,34.52,34.71,34.19,34.58,1173262.0
1456376400,2016-02-25,34.72,34.94,34.27,34.93,1135085.0
1456462800,2016-02-26,34.46,34.7,33.74,33.82,2040245.0
1456722000,2016-02-29,33.6,33.96,33.26,33.27,2796547.0
1456808400,2016-03-01,33.67,33.71,32.87,32.99,3471037.0
1456894800,2016-03-02,31.98,32.52,31.14,32.5,4490112.0
1456981200,2016-03-03,32.43,32.79,32.03,32.72,3068680.0
1457067600,2016-03-04,32.25,33.14,31.89,33.11,3378147.0
1457326800,2016-03-07,32.84,33.26,32.75,33.06,2295847.0
1457413200,2016-03-08,32.91,33.46,32.84,33.22,1629297.0
1457499600,2016-03-09,33.23,33.47,32.87,33.0,984757.0
1457586000,2016-03-10,33.15,33.39,32.9,33.06,1312917.0
1457672400,2016-03-11,33.28,33.33,33.06,33.19,1887627.0
1457928000,2016-03-14,33.01,33.48,32.96,33.02,1702385.0
1458014400,2016-03-15,32.84,33.12,32.45,32.47,3205805.0
1458100800,2016-03-16,32.41,32.53,31.97,32.32,1606940.0
1458187200,2016-03-17,32.38,33.26,32.18,33.16,2054565.0
1458273600,2016-03-18,33.19,33.3,33.1,33.12,3586645.0
1458532800,2016-03-21,33.07,33.27,33.01,33.13,1300992.0
1458619200,2016-03-22,33.0,33.31,32.88,33.06,1994900.0
1458705600,2016-03-23,33.06,33.16,32.71,32.75,1034597.0
1458792000,2016-03-24,32.66,32.96,32.56,32.71,945765.0
1459137600,2016-03-28,32.88,32.94,32.64,32.73,609630.0
1459224000,2016-03-29,32.77,33.4,32.63,33.39,1371097.0
1459310400,2016-03-30,33.4,33.67,33.25,33.4,1056877.0
1459396800,2016-03-31,33.28,33.55,33.27,33.38,1495050.0
1459483200,2016-04-01,33.22,33.65,33.07,33.62,1394762.0
1459742400,2016-04-04,33.57,33.83,33.09,33.33,1871290.0
1459828800,2016-04-05,33.2,33.51,33.1,33.28,2636992.0
1459915200,2016-04-06,33.31,33.35,33.03,33.29,1265135.0
1460001600,2016-04-07,33.08,33.13,32.28,32.39,2026482.0
1460088000,2016-04-08,32.5,32.66,32.42,32.63,1100242.0
1460347200,2016-04-11,32.79,32.93,32.21,32.23,1552157.0
1460433600,2016-04-12,32.34,32.62,32.22,32.55,1394405.0
1460520000,2016-04-13,32.75,32.81,31.98,32.22,1174192.0
1460606400,2016-04-14,32.21,32.56,32.07,32.28,1771925.0
1460692800,2016-04-15,32.34,32.57,32.19,32.41,1349075.0
1460952000,2016-04-18,32.47,32.5,32.14,32.18,1722400.0
1461038400,2016-04-19,32.23,32.75,32.19,32.75,2355275.0
1461124800,2016-04-20,32.8,33.18,32.73,33.07,1853212.0
1461211200,2016-04-21,33.03,33.18,31.76,31.79,2120785.0
1461297600,2016-04-22,31.76,31.82,31.42,31.61,3104677.0
1461556800,2016-04-25,31.7,31.89,31.53,31.89,2754970.0
1461643200,2016-04-26,32.0,32.03,31.57,31.65,1455130.0
1461729600,2016-04-27,31.87,32.12,31.65,32.03,1335400.0
1461816000,2016-04-28,31.89,32.58,31.8,32.34,1810172.0
1461902400,2016-04-29,32.22,32.7,32.1,32.65,2726330.0
1462161600,2016-05-02,32.79,32.88,32.28,32.79,1466497.0
1462248000,2016-05-03,32.56,32.78,32.37,32.52,1244932.0
1462334400,2016-05-04,32.44,32.6,32.17,32.48,1190077.0
1462420800,2016-05-05,32.49,32.91,32.48,32.55,1166612.0
1462507200,2016-05-06,32.54,33.06,32.52,32.98,1038852.0
1462766400,2016-05-09,33.02,33.32,32.98,33.24,964645.0
1462852800,2016-05-10,33.27,33.55,33.18,33.55,1019957.0
1462939200,2016-05-11,33.39,33.66,33.13,33.19,860952.0
1463025600,2016-05-12,33.26,33.48,33.06,33.35,737722.0
1463112000,2016-05-13,33.18,33.4,32.95,33.1,1362865.0
1463371200,2016-05-16,33.07,33.32,33.04,33.22,1024705.0
1463457600,2016-05-17,33.21,33.27,32.71,32.78,1535447.0
1463544000,2016-05-18,32.75,32.89,32.04,32.31,1734600.0
1463630400,2016-05-19,32.24,32.42,32.11,32.31,1674382.0
1463716800,2016-05-20,32.46,32.54,32.15,32.38,1291055.0
1463976000,2016-05-23,32.44,32.66,32.24,32.33,972010.0
1464062400,2016-05-24,32.38,32.84,32.38,32.58,1676262.0
1464148800,2016-05-25,32.66,32.93,32.57,32.73,1339637.0
1464235200,2016-05-26,32.69,32.99,32.12,32.84,1370935.0
1464321600,2016-05-27,32.97,33.42,32.88,33.34,2740450.0
1464667200,2016-05-31,33.25,33.41,33.09,33.25,2954592.0
1464753600,2016-06-01,33.21,33.39,32.69,33.02,2195182.0
1464840000,2016-06-02,33.05,33.34,32.87,33.02,1367945.0
1464926400,2016-06-03,33.09,33.24,33.01,33.09,2768290.0
1465185600,2016-06-06,33.26,33.5,33.08,33.39,1489940.0
1465272000,2016-06-07,33.39,33.56,33.09,33.12,2260620.0
1465358400,2016-06-08,33.34,34.48,33.0,34.29,3906020.0
1465444800,2016-06-09,34.29,34.38,33.59,33.64,2226447.0
1465531200,2016-06-10,33.49,33.68,33.28,33.41,1921060.0
1465790400,2016-06-13,33.26,33.59,33.09,33.09,1909950.0
1465876800,2016-06-14,33.14,33.37,32.85,33.33,1442277.0
1465963200,2016-06-15,33.48,33.61,33.22,33.3,1321122.0
1466049600,2016-06-16,33.01,33.26,32.91,33.22,1793910.0
