unix,date,open,high,low,close,volume_base
1451883600,2016-01-04,50.01,50.03,49.2,49.52,1085834.0
1451970000,2016-01-05,49.35,49.67,48.91,49.34,1328468.0
1452056400,2016-01-06,48.91,49.8,48.8,49.46,1223378.0
1452142800,2016-01-07,48.93,49.79,48.56,49.31,1588862.0
1452229200,2016-01-08,49.33,49.66,48.87,49.0,1048307.0
1452488400,2016-01-11,49.28,49.42,48.82,49.24,1064748.0
1452574800,2016-01-12,49.47,49.75,47.74,48.29,1428344.0
1452661200,2016-01-13,48.62,49.71,47.94,48.07,1828898.0
1452747600,2016-01-14,47.96,48.06,46.83,47.39,1878190.0
1452834000,2016-01-15,46.7,46.81,45.25,45.8,1564070.0
1453179600,2016-01-19,46.14,46.31,45.06,45.09,1906009.0
1453266000,2016-01-20,44.73,44.9,43.22,44.2,1879005.0
1453352400,2016-01-21,43.91,44.48,43.62,44.03,1015189.0
1453438800,2016-01-22,44.49,45.11,44.14,44.41,1005393.0
1453698000,2016-01-25,44.31,44.56,43.59,43.74,2098171.0
1453784400,2016-01-26,44.02,44.19,43.52,43.96,1617841.0
1453870800,2016-01-27,43.6,43.82,42.91,43.43,1865135.0
1453957200,2016-01-28,44.08,44.6,43.71,44.52,1132383.0
1454043600,2016-01-29,44.45,45.95,44.45,45.95,1705596.0
1454302800,2016-02-01,45.86,46.0,45.11,45.38,936899.0
1454389200,2016-02-02,44.81,44.81,43.1,43.3,1695502.0
1454475600,2016-02-03,43.7,44.09,43.37,43.89,1103085.0
1454562000,2016-02-04,44.07,44.91,43.91,44.09,1612789.0
1454648400,2016-02-05,43.99,44.29,43.77,44.04,1233937.0
1454907600,2016-02-08,43.93,44.01,42.88,43.27,1331767.0
1454994000,2016-02-09,42.97,43.21,41.74,42.05,2337061.0
1455080400,2016-02-10,42.34,43.5,41.94,43.3,2091684.0
1455166800,2016-02-11,41.65,42.05,34.15,35.41,5701718.0
1455253200,2016-02-12,36.15,38.81,36.1,38.42,3977329.0
1455598800,2016-02-16,38.77,39.79,38.47,38.94,1870528.0
1455685200,2016-02-17,39.19,39.24,37.59,37.62,2052893.0
1455771600,2016-02-18,37.55,38.06,36.93,37.76,2167679.0
1455858000,2016-02-19,37.43,37.44,36.38,36.44,1544327.0
1456117200,2016-02-22,37.28,38.47,36.94,38.32,2707807.0
1456203600,2016-02-23,38.3,38.42,36.65,37.1,1905143.0
1456290000,2016-02-24,36.88,37.19,36.38,37.02,2261436.0
1456376400,2016-02-25,37.2,38.25,36.89,38.06,2887551.0
1456462800,2016-02-26,38.26,38.5,37.64,37.68,1378217.0
1456722000,2016-02-29,37.74,37.97,37.06,37.12,1882494.0
1456808400,2016-03-01,37.28,37.77,36.99,37.33,1574409.0
1456894800,2016-03-02,37.39,38.52,36.98,38.45,2110397.0
1456981200,2016-03-03,38.74,40.42,38.49,40.33,2232345.0
1457067600,2016-03-04,40.52,41.89,40.51,40.98,1958582.0
1457326800,2016-03-07,40.74,42.05,40.69,41.77,1394619.0
1457413200,2016-03-08,41.59,42.07,40.24,40.92,2123958.0
1457499600,2016-03-09,41.13,42.15,41.0,41.36,1855306.0
1457586000,2016-03-10,41.54,41.82,40.62,41.59,1800466.0
1457672400,2016-03-11,41.93,42.61,41.7,41.96,1562646.0
1457928000,2016-03-14,41.72,42.08,40.7,41.06,1265402.0
1458014400,2016-03-15,41.06,41.45,40.36,40.88,871929.0
1458100800,2016-03-16,40.84,41.21,40.42,40.92,1181156.0
1458187200,2016-03-17,40.79,41.94,40.79,41.5,1125264.0
1458273600,2016-03-18,41.85,42.48,41.27,41.68,2256030.0
1458532800,2016-03-21,41.46,41.91,41.24,41.31,1460451.0
1458619200,2016-03-22,41.07,41.66,40.64,41.13,1118068.0
1458705600,2016-03-23,41.06,41.13,40.43,40.49,1364891.0
1458792000,2016-03-24,40.39,41.83,39.94,41.69,1832134.0
1459137600,2016-03-28,41.69,42.39,41.5,41.93,1244507.0
1459224000,2016-03-29,41.81,42.54,41.74,42.5,1520657.0
1459310400,2016-03-30,42.55,43.45,41.66,42.18,1574189.0
1459396800,2016-03-31,42.05,42.8,42.04,42.3,1584314.0
1459483200,2016-04-01,42.04,42.52,41.18,42.48,1147567.0
1459742400,2016-04-04,42.33,42.33,41.6,41.78,1511092.0
1459828800,2016-04-05,41.43,41.94,40.97,41.58,3713793.0
1459915200,2016-04-06,41.61,42.01,40.85,41.52,1404248.0
1460001600,2016-04-07,41.53,42.59,41.37,42.13,2602961.0
1460088000,2016-04-08,42.46,42.68,41.8,41.99,1084777.0
1460347200,2016-04-11,41.89,42.71,41.86,41.91,1080040.0
1460433600,2016-04-12,41.94,42.16,41.6,42.11,1314439.0
1460520000,2016-04-13,42.22,42.57,42.09,42.2,1298037.0
1460606400,2016-04-14,42.07,42.3,41.82,42.21,1326048.0
1460692800,2016-04-15,42.48,43.24,42.23,42.93,1898402.0
1460952000,2016-04-18,42.77,43.23,42.68,43.22,1432586.0
