start,start_unix,end,end_unix,reward
2016-03-23,1458705600,2016-06-10,1465531200,2.7387341
2016-03-24,1458792000,2016-06-13,1465790400,3.6758521
2016-04-19,1461038400,2016-06-23,1466654400,2.4948721000000003
2016-04-27,1461729600,2016-06-24,1466740800,1.1826721
2016-05-20,1463716800,2016-06-27,1467000000,-0.27532790000000024
2016-05-25,1464148800,2016-07-11,1468209600,-0.9387341000000002
2016-06-01,1464753600,2016-07-27,1469592000,-1.6758520999999997
2016-06-08,1465358400,2016-07-28,1469678400,-2.4948721000000003
2016-06-13,1465790400,2016-07-29,1469764800,-1.1826721
2016-06-14,1465876800,2016-08-03,1470196800,-0.6812658999999999
2016-06-24,1466740800,2016-08-15,1471233600,0.8324459000000004
2016-06-27,1467000000,2016-08-16,1471320000,1.5577541
2016-06-28,1467086400,2016-08-17,1471406400,3.3202459
2016-07-12,1468296000,2016-09-08,1473307200,2.0997540999999997
2016-07-28,1469678400,2016-09-09,1473393600,0.7436520999999998
2016-07-29,1469764800,2016-09-12,1473652800,0.1934658999999999
2016-08-01,1470024000,2016-09-16,1473998400,-1.3744459
2016-08-04,1470283200,2016-09-20,1474344000,-0.8943479000000001
2016-08-16,1471320000,2016-09-23,1474603200,-1.6265341000000002
2016-08-17,1471406400,2016-10-04,1475553600,-1.1744459000000003
2016-08-18,1471492800,2016-10-13,1476331200,-1.9377540999999998
2016-09-09,1473393600,2016-10-18,1476763200,-1.5202459000000004
2016-09-12,1473652800,2016-10-19,1476849600,-0.0997540999999999
2016-09-13,1473739200,2016-10-20,1476936000,-1.7002459
2016-09-19,1474257600,2016-10-31,1477886400,-0.29975409999999986
2016-09-21,1474430400,2016-11-01,1477972800,1.2563479
2016-09-26,1474862400,2016-11-02,1478059200,0.7631279000000002
2016-10-05,1475640000,2016-11-07,1478494800,2.4373279
2016-10-14,1476417600,2016-11-08,1478581200,2.0753279000000004
2016-10-19,1476849600,2016-11-10,1478754000,2.9387341
2016-10-20,1476936000,2016-11-14,1479099600,1.6758520999999997
2016-10-21,1477022400,2016-11-25,1480050000,3.4514659000000005
2016-11-01,1477972800,2016-11-28,1480309200,2.2455541
2016-11-02,1478059200,2016-11-30,1480482000,1.8622459
2016-11-03,1478145600,2016-12-01,1480568400,1.4363478999999997
2016-11-08,1478581200,2016-12-02,1480654800,0.006534100000000043
2016-11-09,1478667600,2016-12-06,1481000400,-0.6255541
2016-11-11,1478840400,2016-12-12,1481518800,0.8943479000000001
2016-11-15,1479186000,2016-12-15,1481778000,1.6265341000000002
2016-11-28,1480309200,2016-12-16,1481864400,1.1744459000000003
2016-11-29,1480395600,2016-12-30,1483074000,1.9377540999999998
2016-12-01,1480568400,2017-01-03,1483419600,1.5202459000000004
2016-12-02,1480654800,2017-01-11,1484110800,0.0997540999999999
2016-12-05,1480914000,2017-02-14,1487048400,0.7436520999999998
2016-12-07,1481086800,2017-02-15,1487134800,0.1934658999999999
2016-12-13,1481605200,2017-02-16,1487221200,-0.4178520999999998
2016-12-16,1481864400,2017-02-17,1487307600,1.1251279
2016-12-19,1482123600,2017-02-24,1487912400,0.6173279
2017-01-03,1483419600,2017-03-01,1488344400,2.2753279
2017-01-04,1483506000,2017-03-02,1488430800,0.9387341000000002
2017-01-12,1484197200,2017-03-07,1488862800,2.6324459
2017-02-15,1487134800,2017-03-09,1489035600,3.5577541000000004
2017-02-16,1487221200,2017-03-10,1489122000,3.3202459
2017-02-17,1487307600,2017-03-14,1489464000,2.0997540999999997
2017-02-21,1487653200,2017-03-17,1489723200,1.7002459
2017-02-27,1488171600,2017-03-28,1490673600,0.29975409999999986
2017-03-02,1488430800,2017-03-29,1490760000,-0.29975409999999986
2017-03-03,1488517200,2017-04-03,1491192000,0.29975409999999986
2017-03-08,1488949200,2017-04-24,1493006400,-1.2563479
2017-03-10,1489122000,2017-04-25,1493092800,0.1934658999999999
2017-03-13,1489377600,2017-04-26,1493179200,-1.3744459
2017-03-15,1489550400,2017-04-28,1493352000,0.06224590000000002
2017-03-20,1489982400,2017-05-01,1493611200,-1.5202459000000004
2017-03-29,1490760000,2017-05-02,1493697600,-1.0563479
2017-03-30,1490846400,2017-05-03,1493784000,-2.7631279
2017-04-04,1491278400,2017-05-19,1495166400,-2.4373279
2017-04-25,1493092800,2017-05-22,1495425600,-1.1187341000000002
2017-04-26,1493179200,2017-05-23,1495512000,-1.8758521
2017-04-27,1493265600,2017-05-24,1495598400,-0.49487209999999987
2017-05-01,1493611200,2017-05-26,1495771200,-1.1826721
2017-05-02,1493697600,2017-06-15,1497499200,-0.6812658999999999
2017-05-03,1493784000,2017-06-16,1497585600,-0.12414789999999981
2017-05-04,1493870400,2017-06-19,1497844800,1.4514659
2017-05-22,1495425600,2017-06-28,1498622400,2.2455541
2017-05-23,1495512000,2017-06-29,1498708800,0.9056520999999997
2017-05-24,1495598400,2017-07-03,1499054400,0.37346589999999963
2017-05-25,1495684800,2017-07-05,1499227200,-0.21785210000000005
2017-05-30,1496116800,2017-07-06,1499313600,-1.8314659
2017-06-16,1497585600,2017-07-07,1499400000,-0.4455541000000001
2017-06-19,1497844800,2017-07-12,1499832000,0.13775409999999993
2017-06-20,1497931200,2017-07-21,1500609600,-0.4797540999999996
2017-06-29,1498708800,2017-07-25,1500955200,1.0563479
2017-06-30,1498795200,2017-08-02,1501646400,1.8065341
2017-07-05,1499227200,2017-08-04,1501819200,0.4178520999999998
2017-07-06,1499313600,2017-08-07,1502078400,-0.16853409999999996
2017-07-07,1499400000,2017-08-09,1502251200,0.4455541000000001
2017-07-10,1499659200,2017-08-16,1502856000,-0.13775409999999993
2017-07-13,1499918400,2017-09-11,1505102400,0.4797540999999996
2017-07-24,1500868800,2017-09-26,1506398400,-1.0563479
2017-07-26,1501041600,2017-10-05,1507176000,-2.7631279
2017-08-03,1501732800,2017-10-12,1507780800,-2.4373279
2017-08-07,1502078400,2017-11-02,1509595200,-1.1187341000000002
2017-08-08,1502164800,2017-11-14,1510635600,-2.8324459
2017-08-10,1502337600,2017-11-28,1511845200,-2.5143479
2017-08-17,1502942400,2017-12-05,1512450000,-3.4265341
2017-09-12,1505188800,2017-12-12,1513054800,-2.2178520999999995
2017-09-27,1506484800,2017-12-29,1514523600,-1.8314659
2017-10-06,1507262400,2018-01-03,1514955600,-0.4455541000000001
2017-10-13,1507867200,2018-01-04,1515042000,1.0943479
2017-11-03,1509681600,2018-01-10,1515560400,-0.37346589999999963
2017-11-15,1510722000,2018-01-11,1515646800,1.1744459000000003
2017-11-29,1511931600,2018-01-12,1515733200,1.9377540999999998
2017-12-06,1512536400,2018-01-17,1516165200,1.5202459000000004
2017-12-13,1513141200,2018-01-18,1516251600,0.0997540999999999
2018-01-02,1514869200,2018-01-19,1516338000,1.7002459
2018-01-04,1515042000,2018-01-22,1516597200,1.2563479
2018-01-05,1515128400,2018-01-25,1516856400,0.7631279000000002
2018-01-11,1515646800,2018-01-26,1516942800,2.4373279
2018-01-12,1515733200,2018-02-05,1517806800,1.1187341000000002
2018-01-16,1516078800,2018-02-06,1517893200,2.8324459
2018-01-18,1516251600,2018-02-13,1518498000,1.5577541
2018-01-19,1516338000,2018-02-14,1518584400,2.3636521
2018-01-22,1516597200,2018-02-16,1518757200,1.9934659
2018-01-23,1516683600,2018-03-02,1519966800,0.6255541
2018-01-26,1516942800,2018-03-05,1520226000,0.06224590000000002
2018-01-29,1517202000,2018-03-06,1520312400,-1.5202459000000004
