unix,date,open,high,low,close,volume_base
1451883600,2016-01-04,260.94,261.27,257.78,260.99,1026165.0
1451970000,2016-01-05,261.85,263.34,257.87,261.67,828404.0
1452056400,2016-01-06,256.45,260.05,256.21,258.69,1186572.0
1452142800,2016-01-07,251.28,255.15,244.94,247.38,1341419.0
1452229200,2016-01-08,248.82,250.54,240.56,241.15,1574981.0
1452488400,2016-01-11,242.16,242.89,238.48,241.58,1290200.0
1452574800,2016-01-12,244.79,246.5,241.0,245.7,1150210.0
1452661200,2016-01-13,247.43,249.5,237.89,238.67,1237979.0
1452747600,2016-01-14,239.15,247.16,234.52,242.89,1449154.0
1452834000,2016-01-15,235.02,235.02,227.58,232.38,2079290.0
1453179600,2016-01-19,235.37,236.44,227.6,230.36,1129683.0
1453266000,2016-01-20,226.18,230.47,219.82,228.79,1761770.0
1453352400,2016-01-21,229.16,232.62,226.81,227.14,1130652.0
1453438800,2016-01-22,231.8,236.54,231.13,235.5,822121.0
1453698000,2016-01-25,235.1,235.79,226.59,227.0,1042745.0
1453784400,2016-01-26,229.15,235.39,228.21,234.48,1124022.0
1453870800,2016-01-27,234.27,243.68,233.01,236.72,1191192.0
1453957200,2016-01-28,237.49,241.18,233.52,234.41,1052567.0
1454043600,2016-01-29,239.88,246.29,236.55,246.23,1108414.0
1454302800,2016-02-01,244.39,246.42,240.29,244.65,782129.0
1454389200,2016-02-02,239.62,239.62,233.51,236.0,1127102.0
1454475600,2016-02-03,236.39,240.47,227.28,238.24,1585958.0
1454562000,2016-02-04,236.82,247.59,236.82,245.79,1066300.0
1454648400,2016-02-05,244.48,246.94,240.03,241.13,1100586.0
1454907600,2016-02-08,236.12,236.12,226.73,229.93,1220665.0
1454994000,2016-02-09,224.87,233.18,224.49,230.77,914088.0
1455080400,2016-02-10,234.5,239.55,232.81,233.93,743376.0
1455166800,2016-02-11,226.81,232.89,226.44,230.52,1307607.0
1455253200,2016-02-12,235.06,240.93,232.74,240.38,997301.0
1455598800,2016-02-16,244.48,247.32,242.37,246.39,825051.0
1455685200,2016-02-17,249.82,251.72,248.37,250.63,917452.0
1455771600,2016-02-18,250.73,250.77,246.14,247.57,682807.0
1455858000,2016-02-19,245.3,246.46,241.0,246.25,912478.0
1456117200,2016-02-22,250.69,252.07,244.65,247.95,861249.0
1456203600,2016-02-23,246.81,248.71,240.08,242.78,798583.0
1456290000,2016-02-24,238.57,244.36,233.41,241.31,869978.0
1456376400,2016-02-25,242.57,245.83,238.09,245.73,632716.0
1456462800,2016-02-26,248.06,249.61,244.4,245.96,711445.0
1456722000,2016-02-29,244.93,247.3,243.75,244.43,960435.0
1456808400,2016-03-01,247.02,253.1,246.13,252.74,867743.0
1456894800,2016-03-02,250.81,256.39,249.47,256.0,1088769.0
1456981200,2016-03-03,255.23,256.43,252.84,254.98,874474.0
1457067600,2016-03-04,255.09,257.14,253.06,255.47,703614.0
1457326800,2016-03-07,251.32,258.71,250.79,257.81,709103.0
1457413200,2016-03-08,255.11,256.45,249.94,252.82,697273.0
1457499600,2016-03-09,255.59,259.09,253.29,259.06,1214363.0
1457586000,2016-03-10,260.21,260.39,252.5,256.44,717315.0
1457672400,2016-03-11,260.39,268.43,257.75,268.01,955507.0
1457928000,2016-03-14,266.28,267.43,263.72,266.57,658356.0
1458014400,2016-03-15,262.77,263.81,260.7,263.65,654406.0
1458100800,2016-03-16,262.88,264.73,260.07,263.61,707642.0
1458187200,2016-03-17,264.22,272.02,262.5,269.82,907082.0
1458273600,2016-03-18,271.61,273.78,267.99,270.31,855233.0
1458532800,2016-03-21,270.47,272.88,267.53,269.85,706965.0
1458619200,2016-03-22,266.69,270.52,266.05,268.46,528799.0
1458705600,2016-03-23,269.06,269.75,266.15,267.68,495461.0
1458792000,2016-03-24,265.5,266.6,261.76,263.77,706648.0
1459137600,2016-03-28,265.13,267.21,263.72,265.85,478608.0
1459224000,2016-03-29,265.32,268.62,261.97,268.21,745134.0
1459310400,2016-03-30,271.15,272.16,268.92,269.37,485865.0
1459396800,2016-03-31,268.55,271.6,268.23,268.74,569205.0
1459483200,2016-04-01,266.13,271.88,264.4,270.28,814405.0
1459742400,2016-04-04,269.86,270.88,265.32,267.12,587164.0
1459828800,2016-04-05,265.07,265.65,261.54,264.18,546651.0
1459915200,2016-04-06,263.87,267.28,263.62,266.08,509145.0
1460001600,2016-04-07,263.84,265.03,257.97,259.11,558118.0
1460088000,2016-04-08,262.56,264.53,261.03,261.66,382100.0
1460347200,2016-04-11,264.27,266.04,262.59,262.73,452839.0
1460433600,2016-04-12,263.58,268.18,262.23,267.74,586621.0
1460520000,2016-04-13,270.65,275.09,269.41,274.83,991725.0
1460606400,2016-04-14,270.65,281.07,269.86,280.05,860402.0
1460692800,2016-04-15,279.66,282.73,279.01,282.28,1159998.0
1460952000,2016-04-18,279.29,283.63,277.0,282.49,870576.0
1461038400,2016-04-19,285.28,289.05,285.01,287.74,862253.0
1461124800,2016-04-20,288.75,291.09,287.58,289.53,638636.0
1461211200,2016-04-21,287.51,290.28,285.83,287.29,632270.0
1461297600,2016-04-22,288.14,291.33,287.09,288.38,562212.0
1461556800,2016-04-25,287.23,288.01,284.44,286.95,507373.0
1461643200,2016-04-26,287.02,288.8,285.89,288.77,448361.0
1461729600,2016-04-27,288.8,291.43,287.07,289.96,475714.0
1461816000,2016-04-28,286.59,288.71,282.24,283.14,570715.0
1461902400,2016-04-29,281.41,282.52,278.66,281.17,684907.0
1462161600,2016-05-02,283.1,286.18,280.22,285.25,773764.0
1462248000,2016-05-03,280.91,281.41,277.82,280.67,507073.0
1462334400,2016-05-04,278.22,280.54,276.75,277.89,644018.0
1462420800,2016-05-05,278.09,279.73,277.1,277.82,545458.0
1462507200,2016-05-06,276.62,281.77,276.36,280.92,535265.0
1462766400,2016-05-09,280.87,282.29,278.77,280.13,430697.0
1462852800,2016-05-10,282.49,284.3,280.73,284.21,478611.0
1462939200,2016-05-11,282.8,283.89,278.87,279.19,515747.0
1463025600,2016-05-12,281.35,282.26,278.29,280.59,416609.0
1463112000,2016-05-13,279.9,282.37,273.23,274.04,598663.0
1463371200,2016-05-16,274.29,279.45,274.29,277.62,517370.0
1463457600,2016-05-17,276.79,278.43,274.29,275.24,688553.0
1463544000,2016-05-18,273.85,281.47,273.85,278.93,659474.0
1463630400,2016-05-19,276.48,278.72,272.78,276.63,577522.0
1463716800,2016-05-20,279.02,281.96,277.89,279.34,548982.0
1463976000,2016-05-23,279.33,281.33,278.68,279.25,366507.0
1464062400,2016-05-24,282.49,285.42,281.22,285.0,651795.0
1464148800,2016-05-25,286.83,288.38,286.54,287.29,529763.0
1464235200,2016-05-26,287.3,287.89,285.2,286.51,362624.0
1464321600,2016-05-27,286.7,288.84,286.7,288.08,350533.0
1464667200,2016-05-31,289.04,289.04,285.64,287.1,715128.0
1464753600,2016-06-01,285.3,288.74,283.16,287.69,467806.0
1464840000,2016-06-02,286.57,288.38,283.26,286.75,565708.0
1464926400,2016-06-03,284.67,285.77,279.42,285.37,505356.0
1465185600,2016-06-06,284.98,289.43,284.98,287.5,483614.0
1465272000,2016-06-07,288.46,288.76,284.92,285.12,527112.0
1465358400,2016-06-08,284.72,287.19,284.6,286.15,370910.0
1465444800,2016-06-09,283.21,285.07,282.21,284.25,349634.0
1465531200,2016-06-10,279.12,279.81,274.47,275.52,838747.0
1465790400,2016-06-13,274.88,278.38,273.54,273.63,560736.0
1465876800,2016-06-14,272.43,273.63,269.58,269.82,783315.0
1465963200,2016-06-15,271.84,273.23,269.2,269.63,807123.0
1466049600,2016-06-16,267.51,269.91,263.64,269.56,685039.0
1466136000,2016-06-17,270.25,272.58,269.65,271.48,645307.0
1466395200,2016-06-20,277.4,279.49,276.21,276.68,757369.0
1466481600,2016-06-21,277.22,278.4,275.16,276.34,369051.0
1466568000,2016-06-22,276.74,279.31,275.34,276.08,473365.0
1466654400,2016-06-23,279.48,283.43,279.44,283.37,448658.0
1466740800,2016-06-24,267.68,273.07,262.85,264.04,1680896.0
1467000000,2016-06-27,259.32,259.37,252.2,253.74,1293589.0
1467086400,2016-06-28,258.08,259.64,252.52,257.25,687713.0
1467172800,2016-06-29,261.25,267.54,259.86,267.4,897804.0
1467259200,2016-06-30,268.37,272.11,265.4,272.0,880815.0
1467345600,2016-07-01,271.6,274.99,269.67,271.0,511382.0
1467691200,2016-07-05,268.92,269.33,264.05,266.87,610396.0
1467777600,2016-07-06,264.03,268.56,261.71,266.9,755210.0
