start,start_unix,end,end_unix,reward
2016-04-08,1460088000,2016-06-01,1464753600,1.2563479
2016-04-21,1461211200,2016-06-06,1465185600,0.7631279000000002
2016-04-22,1461297600,2016-06-15,1465963200,2.4373279
2016-04-29,1461902400,2016-06-16,1466049600,2.0753279000000004
2016-05-02,1462161600,2016-06-20,1466395200,2.9387341
2016-05-03,1462248000,2016-06-24,1466740800,2.6324459
2016-05-04,1462334400,2016-06-27,1467000000,4.514347900000001
2016-05-09,1462766400,2016-06-29,1467172800,4.3831279
2016-06-02,1464840000,2016-07-08,1467950400,4.2373278999999995
2016-06-07,1465272000,2016-07-20,1468987200,3.1187340999999997
2016-06-16,1466049600,2016-07-21,1469073600,1.8758521
2016-06-17,1466136000,2016-07-22,1469160000,1.4514659
2016-06-21,1466481600,2016-08-08,1470628800,2.2455541
2016-06-27,1467000000,2016-08-09,1470715200,0.9056520999999997
2016-06-28,1467086400,2016-08-15,1471233600,0.37346589999999963
2016-06-30,1467259200,2016-08-18,1471492800,-1.1744459000000003
2016-07-11,1468209600,2016-08-23,1471924800,-2.8943479
2016-07-21,1469073600,2016-08-25,1472097600,-1.6265341000000002
2016-07-22,1469160000,2016-08-29,1472443200,-1.1744459000000003
2016-07-25,1469419200,2016-09-01,1472702400,-1.9377540999999998
2016-08-09,1470715200,2016-09-02,1472788800,-0.5636521000000001
2016-08-10,1470801600,2016-09-07,1473220800,0.9631279000000001
2016-08-16,1471320000,2016-09-08,1473307200,-0.5192659
2016-08-19,1471579200,2016-09-12,1473652800,0.05585210000000013
2016-08-24,1472011200,2016-09-20,1474344000,0.6948721
2016-08-26,1472184000,2016-09-22,1474516800,0.1392659
2016-08-30,1472529600,2016-09-26,1474862400,1.7441479000000002
2016-09-02,1472788800,2016-10-03,1475467200,0.3485340999999998
2016-09-06,1473134400,2016-10-04,1475553600,-1.2021479000000002
2016-09-08,1473307200,2016-10-11,1476158400,-2.9251279
2016-09-09,1473393600,2016-10-20,1476936000,-1.6607340999999995
2016-09-13,1473739200,2016-10-25,1477368000,-0.25585209999999986
2016-09-21,1474430400,2016-11-01,1477972800,0.3485340999999998
2016-09-23,1474603200,2016-11-07,1478494800,-1.2021479000000002
2016-09-27,1474948800,2016-11-08,1478581200,-1.9685340999999998
2016-10-04,1475553600,2016-11-09,1478667600,-1.5544458999999997
2016-10-05,1475640000,2016-11-10,1478754000,-1.0943479
2016-10-12,1476244800,2016-11-14,1479099600,-0.5831279000000005
2016-10-21,1477022400,2016-11-30,1480482000,-1.2807341
2016-10-26,1477454400,2016-12-02,1480654800,-3.0124459
2016-11-02,1478059200,2016-12-09,1481259600,-1.7577541
2016-11-08,1478581200,2017-01-09,1483938000,-0.3636521
2016-11-09,1478667600,2017-01-10,1484024400,-1.9934659
2016-11-10,1478754000,2017-01-23,1485147600,-0.6255541
2016-11-11,1478840400,2017-01-24,1485234000,0.8943479000000001
2016-11-15,1479186000,2017-01-25,1485320400,1.6265341000000002
2016-12-01,1480568400,2017-01-26,1485406800,1.1744459000000003
2016-12-05,1480914000,2017-01-30,1485752400,1.9377540999999998
2016-12-12,1481518800,2017-01-31,1485838800,1.5202459000000004
2017-01-10,1484024400,2017-02-01,1485925200,0.0997540999999999
2017-01-11,1484110800,2017-02-03,1486098000,1.7002459
2017-01-24,1485234000,2017-02-07,1486443600,0.29975409999999986
2017-01-25,1485320400,2017-02-10,1486702800,-0.29975409999999986
2017-01-26,1485406800,2017-02-16,1487221200,1.2563479
2017-01-27,1485493200,2017-02-17,1487307600,-0.1934658999999999
2017-01-31,1485838800,2017-02-23,1487826000,1.3744459
2017-02-01,1485925200,2017-03-02,1488430800,0.8943479000000001
2017-02-02,1486011600,2017-03-13,1489377600,1.6265341000000002
2017-02-06,1486357200,2017-03-14,1489464000,0.21785210000000005
2017-02-08,1486530000,2017-03-21,1490068800,1.8314659
2017-02-13,1486962000,2017-03-23,1490241600,1.4021479000000003
2017-02-17,1487307600,2017-04-11,1491883200,0.9251279000000001
