unix,date,open,high,low,close,volume_base
1451883600,2016-01-04,47.25,47.31,46.44,47.3,5163730.0
1451970000,2016-01-05,47.14,47.28,46.79,46.84,5419207.0
1452056400,2016-01-06,46.19,47.21,46.13,46.7,5660996.0
1452142800,2016-01-07,45.94,46.7,45.6,45.72,5160978.0
1452229200,2016-01-08,46.82,46.84,45.3,45.42,5312114.0
1452488400,2016-01-11,46.25,47.56,46.25,47.07,7293655.0
1452574800,2016-01-12,47.51,47.91,47.08,47.72,6699249.0
1452661200,2016-01-13,47.46,47.72,45.4,45.71,8185797.0
1452747600,2016-01-14,45.13,45.53,43.8,45.32,9124468.0
1452834000,2016-01-15,43.44,44.05,43.17,43.48,9748897.0
1453179600,2016-01-19,44.35,44.73,42.4,42.82,11042585.0
1453266000,2016-01-20,42.75,42.79,40.89,42.16,10447888.0
1453352400,2016-01-21,42.31,43.51,42.13,43.26,8605775.0
1453438800,2016-01-22,43.79,43.97,43.1,43.26,5177717.0
1453698000,2016-01-25,43.24,43.46,42.48,42.58,5494117.0
1453784400,2016-01-26,42.95,43.69,42.63,43.47,5891819.0
1453870800,2016-01-27,44.04,44.13,41.67,41.93,7634856.0
1453957200,2016-01-28,42.27,42.31,39.98,40.89,13057888.0
1454043600,2016-01-29,40.96,42.0,40.94,42.0,9333230.0
1454302800,2016-02-01,41.97,42.87,41.69,42.73,7351310.0
1454389200,2016-02-02,41.23,41.28,38.84,39.34,16299591.0
1454475600,2016-02-03,39.8,40.08,39.22,39.61,8872339.0
1454562000,2016-02-04,39.71,39.89,39.11,39.71,7866432.0
1454648400,2016-02-05,39.14,39.3,37.42,37.56,9354182.0
1454907600,2016-02-08,36.91,37.08,35.62,36.58,12356904.0
1454994000,2016-02-09,35.58,38.08,35.36,37.5,10152912.0
1455080400,2016-02-10,37.91,38.89,37.79,37.88,7727873.0
1455166800,2016-02-11,37.24,38.13,37.24,37.69,7078363.0
1455253200,2016-02-12,37.77,38.52,37.38,38.45,5100734.0
1455598800,2016-02-16,38.94,39.79,38.45,39.29,5347296.0
1455685200,2016-02-17,39.73,40.54,39.64,40.33,6058186.0
1455771600,2016-02-18,40.33,40.46,39.67,39.82,4504074.0
1455858000,2016-02-19,39.84,40.89,39.38,40.75,5079552.0
1456117200,2016-02-22,40.83,41.97,40.79,41.92,6948639.0
1456203600,2016-02-23,41.94,42.67,41.84,42.25,6261296.0
1456290000,2016-02-24,41.26,42.22,40.93,42.19,5438763.0
1456376400,2016-02-25,42.2,42.7,42.13,42.61,4494710.0
1456462800,2016-02-26,42.74,42.92,41.92,42.46,4970107.0
1456722000,2016-02-29,42.45,42.88,42.11,42.13,4428576.0
1456808400,2016-03-01,42.65,43.01,42.18,43.0,4774252.0
1456894800,2016-03-02,42.76,42.92,42.11,42.3,4038643.0
1456981200,2016-03-03,41.63,42.21,41.13,42.2,7542226.0
1457067600,2016-03-04,42.19,42.32,41.66,42.13,5403122.0
1457326800,2016-03-07,41.76,41.98,41.14,41.33,4768662.0
1457413200,2016-03-08,41.18,41.4,40.68,40.72,6831062.0
1457499600,2016-03-09,40.85,41.0,40.39,40.82,4096965.0
1457586000,2016-03-10,40.75,41.63,40.18,40.67,5075283.0
1457672400,2016-03-11,41.17,42.09,40.97,42.08,3853403.0
1457928000,2016-03-14,42.23,42.73,42.15,42.27,3446804.0
1458014400,2016-03-15,41.91,42.49,41.81,42.08,2616924.0
1458100800,2016-03-16,41.93,43.07,41.76,42.89,3982426.0
1458187200,2016-03-17,42.9,43.33,42.56,43.01,4666244.0
1458273600,2016-03-18,42.99,43.84,42.96,43.59,7572609.0
1458532800,2016-03-21,43.59,43.75,43.32,43.72,3069474.0
1458619200,2016-03-22,42.11,42.9,42.11,42.82,7250109.0
1458705600,2016-03-23,42.94,43.12,42.08,42.21,5444771.0
1458792000,2016-03-24,42.3,43.06,42.07,42.97,4542757.0
1459137600,2016-03-28,43.0,43.42,42.85,43.06,4436583.0
1459224000,2016-03-29,43.14,43.71,43.07,43.6,4553527.0
1459310400,2016-03-30,44.6,46.02,44.6,46.0,9809732.0
1459396800,2016-03-31,45.94,46.6,45.81,46.35,8176630.0
1459483200,2016-04-01,45.85,46.46,45.68,46.33,5631299.0
1459742400,2016-04-04,46.38,46.73,46.13,46.58,3718724.0
1459828800,2016-04-05,45.84,45.95,45.08,45.23,6596891.0
1459915200,2016-04-06,45.6,45.74,45.16,45.67,4269101.0
1460001600,2016-04-07,45.53,45.53,44.76,44.95,3098474.0
1460088000,2016-04-08,45.42,45.42,44.81,44.92,3088564.0
1460347200,2016-04-11,45.2,45.38,44.58,44.62,4098630.0
1460433600,2016-04-12,45.04,45.14,44.64,45.0,3694718.0
1460520000,2016-04-13,45.25,45.49,44.94,45.39,4686355.0
1460606400,2016-04-14,45.38,45.65,44.83,45.3,2887452.0
1460692800,2016-04-15,45.26,45.45,44.73,44.81,5014230.0
1460952000,2016-04-18,45.55,45.65,44.09,44.65,5456284.0
1461038400,2016-04-19,44.87,45.0,44.37,44.44,3454045.0
1461124800,2016-04-20,44.45,44.58,43.84,43.95,3876446.0
1461211200,2016-04-21,43.64,43.95,43.09,43.2,5522381.0
1461297600,2016-04-22,43.13,43.91,42.27,42.61,5084684.0
1461556800,2016-04-25,42.81,43.65,42.74,43.25,3910484.0
1461643200,2016-04-26,43.19,43.64,42.89,43.15,3288800.0
1461729600,2016-04-27,43.23,43.71,43.13,43.47,3589408.0
1461816000,2016-04-28,42.85,43.46,42.7,42.78,4636591.0
1461902400,2016-04-29,43.17,43.73,42.38,43.08,6670019.0
1462161600,2016-05-02,43.33,43.76,43.32,43.5,3665884.0
1462248000,2016-05-03,43.08,43.86,42.98,43.47,3960995.0
1462334400,2016-05-04,43.14,43.38,42.99,43.18,3337662.0
1462420800,2016-05-05,43.05,43.2,42.44,42.5,3310636.0
1462507200,2016-05-06,42.53,43.29,42.3,43.23,3792958.0
1462766400,2016-05-09,43.3,43.86,43.25,43.69,3591614.0
1462852800,2016-05-10,43.15,44.35,42.49,44.26,6264455.0
1462939200,2016-05-11,44.16,44.92,44.13,44.16,4207193.0
