start,start_unix,bottom,top,end,end_unix,direction
2016-03-15,1458014400,22.560000000000002,23.383184762229796,2016-03-28,1459137600,
2016-03-29,1459224000,23.383184762229796,24.15396013819484,2016-03-29,1459224000,1.0
2016-03-30,1459310400,22.60060762740511,23.383184762229796,2016-03-30,1459310400,-1.0
2016-03-31,1459396800,23.383184762229796,24.15743495885272,2016-04-06,1459915200,1.0
2016-04-07,1460001600,22.682105341722874,23.383184762229796,2016-04-07,1460001600,-1.0
2016-04-08,1460088000,23.383184762229796,24.079315652700508,2016-04-08,1460088000,1.0
2016-04-11,1460347200,22.672491792506992,23.383184762229796,2016-04-14,1460606400,-1.0
2016-04-15,1460692800,23.383184762229796,24.076429970170576,2016-04-27,1461729600,1.0
2016-04-28,1461816000,22.64941519702847,23.383184762229796,2016-04-29,1461902400,-1.0
2016-05-02,1462161600,23.383184762229796,24.115608519979915,2016-05-02,1462161600,1.0
2016-05-03,1462248000,22.661946987176112,23.383184762229796,2016-05-06,1462507200,-1.0
2016-05-09,1462766400,23.383184762229796,24.122108140856106,2016-05-19,1463630400,1.0
2016-05-20,1463716800,24.122108140856106,24.95881164433024,2016-05-23,1463976000,1.0
2016-05-24,1464062400,24.95881164433024,25.83400527742783,2016-05-24,1464062400,1.0
2016-05-25,1464148800,24.061274699311046,24.95881164433024,2016-05-26,1464235200,-1.0
2016-05-27,1464321600,24.95881164433024,25.836171561209035,2016-05-27,1464321600,1.0
2016-05-31,1464667200,24.070834578657074,24.95881164433024,2016-06-23,1466654400,-1.0
2016-06-24,1466740800,23.326447074913002,24.070834578657074,2016-06-24,1466740800,-1.0
2016-06-27,1467000000,22.53365867857922,23.326447074913002,2016-06-27,1467000000,-1.0
2016-06-28,1467086400,23.326447074913002,24.135893442937228,2016-06-29,1467172800,1.0
2016-06-30,1467259200,24.135893442937228,24.933798729651993,2016-07-07,1467864000,1.0
2016-07-08,1467950400,24.933798729651993,25.670916880980656,2016-07-13,1468382400,1.0
2016-07-14,1468468800,25.670916880980656,26.37191358860503,2016-07-14,1468468800,1.0
2016-07-15,1468555200,24.985277081043737,25.670916880980656,2016-07-18,1468814400,-1.0
