unix,date,open,high,low,close,volume_base
1451883600,2016-01-04,54.64,55.34,53.77,54.55,854532.0
1451970000,2016-01-05,55.16,56.08,54.44,55.21,742710.0
1452056400,2016-01-06,53.86,54.56,53.56,53.76,782386.0
1452142800,2016-01-07,52.66,52.66,51.24,51.49,1180362.0
1452229200,2016-01-08,51.72,52.27,51.17,51.29,757347.0
1452488400,2016-01-11,52.05,52.14,50.9,51.39,1047140.0
1452574800,2016-01-12,51.97,52.71,50.82,52.23,1900710.0
1452661200,2016-01-13,52.41,52.97,51.56,51.79,1309094.0
1452747600,2016-01-14,51.98,52.39,50.47,51.97,1226350.0
1452834000,2016-01-15,50.31,51.34,50.19,51.1,1070020.0
1453179600,2016-01-19,51.58,51.8,49.11,50.02,1601739.0
1453266000,2016-01-20,49.18,49.53,47.88,48.83,1345838.0
1453352400,2016-01-21,48.85,49.59,48.6,48.9,1892773.0
1453438800,2016-01-22,49.7,51.34,48.3,50.38,2916552.0
1453698000,2016-01-25,50.16,50.27,49.15,49.19,1670320.0
1453784400,2016-01-26,49.47,50.78,49.1,50.72,1180579.0
1453870800,2016-01-27,50.64,51.74,50.26,50.86,1218144.0
1453957200,2016-01-28,51.52,52.01,51.01,51.24,787117.0
1454043600,2016-01-29,51.2,52.58,50.54,52.52,1751634.0
1454302800,2016-02-01,51.43,51.5,50.33,50.7,1430142.0
1454389200,2016-02-02,50.29,50.62,49.18,49.23,947913.0
1454475600,2016-02-03,49.93,50.2,48.43,49.88,1182463.0
1454562000,2016-02-04,49.86,51.59,49.86,50.2,1112288.0
1454648400,2016-02-05,49.94,50.67,48.6,48.67,1238350.0
1454907600,2016-02-08,47.86,48.24,45.42,46.53,2293813.0
1454994000,2016-02-09,45.99,48.22,45.83,47.46,1574127.0
1455080400,2016-02-10,47.72,48.66,46.72,46.97,1096440.0
1455166800,2016-02-11,46.55,47.95,45.84,46.28,1176336.0
1455253200,2016-02-12,46.72,47.61,46.16,47.52,1040707.0
1455598800,2016-02-16,47.61,48.93,47.61,48.67,956054.0
1455685200,2016-02-17,49.22,49.88,49.04,49.31,857983.0
1455771600,2016-02-18,49.47,49.72,48.69,49.05,983892.0
1455858000,2016-02-19,48.89,49.02,48.0,48.93,980513.0
1456117200,2016-02-22,49.52,50.74,49.21,50.7,1002765.0
1456203600,2016-02-23,50.39,50.67,48.32,48.65,1015637.0
1456290000,2016-02-24,48.2,49.18,47.67,49.11,812643.0
1456376400,2016-02-25,49.41,49.73,48.73,49.71,1096207.0
1456462800,2016-02-26,49.94,50.73,49.92,50.63,751036.0
1456722000,2016-02-29,50.74,51.54,50.0,50.04,1161615.0
1456808400,2016-03-01,50.58,51.03,49.82,50.87,1002746.0
1456894800,2016-03-02,50.61,51.47,50.48,51.26,810695.0
1456981200,2016-03-03,51.19,52.18,51.12,52.09,832767.0
1457067600,2016-03-04,52.36,53.25,51.68,52.7,1155280.0
1457326800,2016-03-07,52.58,53.46,52.3,53.2,842502.0
1457413200,2016-03-08,52.6,52.65,50.9,51.27,976281.0
1457499600,2016-03-09,51.94,52.38,51.32,51.84,849768.0
1457586000,2016-03-10,51.93,52.03,50.89,51.57,694135.0
1457672400,2016-03-11,52.23,54.21,52.18,53.81,752503.0
1457928000,2016-03-14,53.4,53.67,52.72,53.02,782231.0
1458014400,2016-03-15,52.66,52.95,52.22,52.62,557876.0
1458100800,2016-03-16,52.48,54.09,52.37,53.83,602094.0
1458187200,2016-03-17,53.83,55.41,53.67,55.24,836717.0
1458273600,2016-03-18,55.3,55.73,55.05,55.56,915338.0
1458532800,2016-03-21,55.58,55.83,55.02,55.54,802168.0
1458619200,2016-03-22,54.98,55.53,54.63,55.39,743509.0
1458705600,2016-03-23,55.05,55.33,54.12,54.18,617874.0
1458792000,2016-03-24,53.57,53.87,52.82,53.87,931582.0
1459137600,2016-03-28,53.92,54.33,53.6,53.83,538248.0
1459224000,2016-03-29,53.48,54.71,53.17,54.49,1259491.0
1459310400,2016-03-30,55.07,55.68,54.7,54.76,766300.0
1459396800,2016-03-31,54.67,54.76,54.18,54.32,722361.0
1459483200,2016-04-01,53.9,55.44,53.58,55.25,1034069.0
1459742400,2016-04-04,55.11,55.25,54.56,54.91,835687.0
1459828800,2016-04-05,54.78,55.26,54.2,54.63,1044512.0
1459915200,2016-04-06,54.56,55.69,54.14,55.68,904489.0
1460001600,2016-04-07,55.21,55.7,54.03,54.4,710312.0
1460088000,2016-04-08,55.33,55.8,55.13,55.54,1028054.0
1460347200,2016-04-11,55.9,56.55,55.53,55.59,807322.0
1460433600,2016-04-12,55.84,56.96,55.51,56.66,963730.0
1460520000,2016-04-13,57.16,57.4,56.66,57.38,630905.0
1460606400,2016-04-14,57.39,58.05,57.26,57.49,721874.0
