start,start_unix,bottom,top,end,end_unix,direction
2016-03-15,1458014400,185.35000000000002,194.37182579685032,2016-03-15,1458014400,
2016-03-16,1458100800,194.37182579685032,204.25094975106845,2016-04-01,1459483200,1.0
2016-04-04,1459742400,204.25094975106845,212.59405493021828,2016-04-04,1459742400,1.0
2016-04-05,1459828800,196.09235208471506,204.25094975106845,2016-04-05,1459828800,-1.0
2016-04-06,1459915200,204.25094975106845,212.19579044125373,2016-04-06,1459915200,1.0
2016-04-07,1460001600,196.42359768161066,204.25094975106845,2016-04-18,1460952000,-1.0
2016-04-19,1461038400,204.25094975106845,211.8468528816045,2016-04-19,1461038400,1.0
2016-04-20,1461124800,196.15939684414212,204.25094975106845,2016-04-22,1461297600,-1.0
2016-04-25,1461556800,204.25094975106845,213.56627764338518,2016-04-29,1461902400,1.0
2016-05-02,1462161600,213.56627764338518,223.98194651670053,2016-05-02,1462161600,1.0
2016-05-03,1462248000,203.34301368959234,213.56627764338518,2016-05-09,1462766400,-1.0
2016-05-10,1462852800,213.56627764338518,222.73288361335975,2016-05-13,1463112000,1.0
2016-05-16,1463371200,203.61114402436073,213.56627764338518,2016-05-16,1463371200,-1.0
2016-05-17,1463457600,193.37837709240944,203.61114402436073,2016-05-17,1463457600,-1.0
2016-05-18,1463544000,203.61114402436073,216.31828474688692,2016-05-18,1463544000,1.0
2016-05-19,1463630400,216.31828474688692,228.72977256066125,2016-05-19,1463630400,1.0
2016-05-20,1463716800,228.72977256066125,241.09556981630882,2016-05-20,1463716800,1.0
2016-05-23,1463976000,216.01553225184563,228.72977256066125,2016-06-30,1467259200,-1.0
2016-07-01,1467345600,228.72977256066125,238.29086547702963,2016-07-08,1467950400,1.0
2016-07-11,1468209600,238.29086547702963,246.85656330977264,2016-07-12,1468296000,1.0
2016-07-13,1468382400,230.05895254981755,238.29086547702963,2016-07-13,1468382400,-1.0
2016-07-14,1468468800,238.29086547702963,246.44907033801226,2016-07-14,1468468800,1.0
2016-07-15,1468555200,229.91824667754574,238.29086547702963,2016-07-20,1468987200,-1.0
2016-07-21,1469073600,238.29086547702963,247.1526883511461,2016-07-25,1469419200,1.0
2016-07-26,1469505600,229.11398980121552,238.29086547702963,2016-08-08,1470628800,-1.0
2016-08-09,1470715200,238.29086547702963,249.00380641888603,2016-08-09,1470715200,1.0
2016-08-10,1470801600,249.00380641888603,259.48819443632414,2016-08-12,1470974400,1.0
2016-08-15,1471233600,259.48819443632414,269.3954756733181,2016-08-15,1471233600,1.0
2016-08-16,1471320000,249.68430328768687,259.48819443632414,2016-08-31,1472616000,-1.0
2016-09-01,1472702400,259.48819443632414,269.33809331856764,2016-09-01,1472702400,1.0
2016-09-02,1472788800,269.33809331856764,279.03471370922233,2016-09-07,1473220800,1.0
2016-09-08,1473307200,258.56302444164766,269.33809331856764,2016-09-20,1474344000,-1.0
2016-09-21,1474430400,269.33809331856764,279.8489002028592,2016-09-30,1475208000,1.0
2016-10-03,1475467200,259.92627408311387,269.33809331856764,2016-10-10,1476072000,-1.0
2016-10-11,1476158400,251.07817301100778,259.92627408311387,2016-10-17,1476676800,-1.0
2016-10-18,1476763200,259.92627408311387,268.18427529824277,2016-10-19,1476849600,1.0
2016-10-20,1476936000,252.00485466802823,259.92627408311387,2016-10-25,1477368000,-1.0
2016-10-26,1477454400,243.2379661862951,252.00485466802823,2016-11-01,1477972800,-1.0
2016-11-02,1478059200,252.00485466802823,261.53542084181026,2016-11-02,1478059200,1.0
2016-11-03,1478145600,239.7414717923735,252.00485466802823,2016-11-04,1478232000,-1.0
2016-11-07,1478494800,252.00485466802823,265.05664908632235,2016-11-08,1478581200,1.0
2016-11-09,1478667600,265.05664908632235,279.69991060005555,2016-11-11,1478840400,1.0
2016-11-14,1479099600,249.2779325317772,265.05664908632235,2016-11-16,1479272400,-1.0
2016-11-17,1479358800,265.05664908632235,279.7354064734709,2016-11-17,1479358800,1.0
2016-11-18,1479445200,250.65494579825582,265.05664908632235,2016-11-21,1479704400,-1.0
2016-11-22,1479790800,265.05664908632235,279.3135667173593,2016-11-28,1480309200,1.0
2016-11-29,1480395600,279.3135667173593,292.70727948443675,2016-11-29,1480395600,1.0
2016-11-30,1480482000,265.7116905765017,279.3135667173593,2016-12-06,1481000400,-1.0
2016-12-07,1481086800,279.3135667173593,293.24661881612667,2016-12-07,1481086800,1.0
2016-12-08,1481173200,265.5027326256468,279.3135667173593,2016-12-12,1481518800,-1.0
2016-12-13,1481605200,279.3135667173593,292.7800231384571,2017-01-04,1483506000,1.0
2017-01-05,1483592400,292.7800231384571,304.52502975415933,2017-01-13,1484283600,1.0
2017-01-17,1484629200,304.52502975415933,315.89586126311383,2017-01-17,1484629200,1.0
2017-01-18,1484715600,293.29397192441587,304.52502975415933,2017-01-18,1484715600,-1.0
2017-01-19,1484802000,304.52502975415933,315.78701202463543,2017-01-25,1485320400,1.0
2017-01-26,1485406800,315.78701202463543,329.0794314756675,2017-04-03,1491192000,1.0
2017-04-04,1491278400,329.0794314756675,338.1850775051326,2017-04-17,1492401600,1.0
2017-04-18,1492488000,319.5577903897141,329.0794314756675,2017-04-18,1492488000,-1.0
2017-04-19,1492574400,329.0794314756675,338.9212410554813,2017-04-21,1492747200,1.0
2017-04-24,1493006400,338.9212410554813,348.1844835506894,2017-04-26,1493179200,1.0
2017-04-27,1493265600,348.1844835506894,357.4872312773556,2017-04-27,1493265600,1.0
2017-04-28,1493352000,338.61921780449927,348.1844835506894,2017-05-01,1493611200,-1.0
2017-05-02,1493697600,328.3227386662027,338.61921780449927,2017-05-02,1493697600,-1.0
2017-05-03,1493784000,316.6717937520702,328.3227386662027,2017-05-04,1493870400,-1.0
2017-05-05,1493956800,328.3227386662027,340.5611248421639,2017-05-05,1493956800,1.0
2017-05-08,1494216000,315.27938007423876,328.3227386662027,2017-05-16,1494907200,-1.0
2017-05-17,1494993600,303.6514204190531,315.27938007423876,2017-05-17,1494993600,-1.0
2017-05-18,1495080000,315.27938007423876,326.7594854683397,2017-05-23,1495512000,1.0
2017-05-24,1495598400,326.7594854683397,338.59849615765967,2017-05-26,1495771200,1.0
2017-05-30,1496116800,338.59849615765967,350.251062660734,2017-06-01,1496289600,1.0
2017-06-02,1496376000,350.251062660734,363.0087822697917,2017-06-02,1496376000,1.0
2017-06-05,1496635200,336.95432302375184,350.251062660734,2017-06-08,1496894400,-1.0
2017-06-09,1496980800,323.28313032352673,336.95432302375184,2017-06-09,1496980800,-1.0
2017-06-12,1497240000,336.95432302375184,350.9601991025323,2017-06-19,1497844800,1.0
2017-06-20,1497931200,322.6347713270813,336.95432302375184,2017-06-27,1498536000,-1.0
2017-06-28,1498622400,336.95432302375184,350.54039692876466,2017-06-28,1498622400,1.0
2017-06-29,1498708800,323.2882543976685,336.95432302375184,2017-07-10,1499659200,-1.0
2017-07-11,1499745600,336.95432302375184,349.5048225885605,2017-07-20,1500523200,1.0
2017-07-21,1500609600,349.5048225885605,361.1818544361307,2017-07-21,1500609600,1.0
2017-07-24,1500868800,337.99587730153104,349.5048225885605,2017-07-26,1501041600,-1.0
2017-07-27,1501128000,349.5048225885605,362.72479848345984,2017-07-27,1501128000,1.0
2017-07-28,1501214400,362.72479848345984,376.4617689572949,2017-07-28,1501214400,1.0
2017-07-31,1501473600,376.4617689572949,393.0348129687132,2017-08-08,1502164800,1.0
2017-08-09,1502251200,393.0348129687132,410.50170162306426,2017-08-17,1502942400,1.0
2017-08-18,1503028800,377.0402135478085,393.0348129687132,2017-08-18,1503028800,-1.0
2017-08-21,1503288000,393.0348129687132,408.5966552881247,2017-08-22,1503374400,1.0
2017-08-23,1503460800,378.14794892799614,393.0348129687132,2017-08-29,1503979200,-1.0
2017-08-30,1504065600,393.0348129687132,406.5515249419051,2017-08-31,1504152000,1.0
2017-09-01,1504238400,379.6769452979508,393.0348129687132,2017-09-01,1504238400,-1.0
2017-09-05,1504584000,393.0348129687132,406.424690091564,2017-09-07,1504756800,1.0
