start,start_unix,bottom,top,end,end_unix,direction
2016-03-15,1458014400,96.61500000000001,99.66879188889834,2016-03-30,1459310400,
2016-03-31,1459396800,93.95843601029033,96.61500000000001,2016-03-31,1459396800,-1.0
2016-04-01,1459483200,96.61500000000001,99.39809513330185,2016-04-12,1460433600,1.0
2016-04-13,1460520000,94.0304864840874,96.61500000000001,2016-04-13,1460520000,-1.0
2016-04-14,1460606400,96.61500000000001,99.15890540763314,2016-04-19,1461038400,1.0
2016-04-20,1461124800,94.19621568233524,96.61500000000001,2016-04-20,1461124800,-1.0
2016-04-21,1461211200,91.58377310164651,94.19621568233524,2016-04-21,1461211200,-1.0
2016-04-22,1461297600,94.19621568233524,96.94605522154619,2016-04-29,1461902400,1.0
2016-05-02,1462161600,96.94605522154619,99.54511000505732,2016-05-02,1462161600,1.0
2016-05-03,1462248000,99.54511000505732,102.50751801831765,2016-05-04,1462334400,1.0
2016-05-05,1462420800,96.60985003444,99.54511000505732,2016-05-05,1462420800,-1.0
2016-05-06,1462507200,99.54511000505732,102.46870854920199,2016-05-17,1463457600,1.0
2016-05-18,1463544000,96.69394549078295,99.54511000505732,2016-05-18,1463544000,-1.0
2016-05-19,1463630400,99.54511000505732,102.4767627683121,2016-05-19,1463630400,1.0
2016-05-20,1463716800,96.62228958203502,99.54511000505732,2016-05-23,1463976000,-1.0
2016-05-24,1464062400,99.54511000505732,102.32978679837757,2016-05-27,1464321600,1.0
2016-05-31,1464667200,96.97202717774528,99.54511000505732,2016-05-31,1464667200,-1.0
2016-06-01,1464753600,99.54511000505732,102.09254405898994,2016-06-13,1465790400,1.0
2016-06-14,1465876800,102.09254405898994,104.44994768747578,2016-06-14,1465876800,1.0
2016-06-15,1465963200,99.78138354682453,102.09254405898994,2016-06-15,1465963200,-1.0
2016-06-16,1466049600,102.09254405898994,104.3851931060007,2016-06-16,1466049600,1.0
2016-06-17,1466136000,99.76694137247996,102.09254405898994,2016-06-20,1466395200,-1.0
2016-06-21,1466481600,102.09254405898994,104.3355484162358,2016-06-24,1466740800,1.0
2016-06-27,1467000000,104.3355484162358,106.86635041142787,2016-06-28,1467086400,1.0
2016-06-29,1467172800,101.70750996119773,104.3355484162358,2016-06-29,1467172800,-1.0
2016-06-30,1467259200,104.3355484162358,107.132012695914,2016-07-01,1467345600,1.0
2016-07-05,1467691200,107.132012695914,110.05459669216714,2016-07-05,1467691200,1.0
2016-07-06,1467777600,104.1456132708218,107.132012695914,2016-07-20,1468987200,-1.0
2016-07-21,1469073600,101.72648322903342,104.1456132708218,2016-07-22,1469160000,-1.0
2016-07-25,1469419200,104.1456132708218,106.38669988848626,2016-07-25,1469419200,1.0
2016-07-26,1469505600,101.90903284013336,104.1456132708218,2016-07-26,1469505600,-1.0
2016-07-27,1469592000,99.47992244020838,101.90903284013336,2016-08-02,1470110400,-1.0
2016-08-03,1470196800,101.90903284013336,104.37804832051235,2016-08-15,1471233600,1.0
2016-08-16,1471320000,99.65591819416363,101.90903284013336,2016-09-01,1472702400,-1.0
2016-09-02,1472788800,101.90903284013336,103.74708600230522,2016-09-06,1473134400,1.0
2016-09-07,1473220800,99.84396659315864,101.90903284013336,2016-09-07,1473220800,-1.0
2016-09-08,1473307200,97.64483364953925,99.84396659315864,2016-09-08,1473307200,-1.0
2016-09-09,1473393600,95.19135305903554,97.64483364953925,2016-09-13,1473739200,-1.0
2016-09-14,1473825600,92.86827767370876,95.19135305903554,2016-09-19,1474257600,-1.0
2016-09-20,1474344000,95.19135305903554,97.4031289878235,2016-09-21,1474430400,1.0
2016-09-22,1474516800,97.4031289878235,99.71090517131923,2016-09-23,1474603200,1.0
2016-09-26,1474862400,95.20993421736033,97.4031289878235,2016-09-26,1474862400,-1.0
2016-09-27,1474948800,97.4031289878235,99.51295270325357,2016-09-28,1475035200,1.0
2016-09-29,1475121600,95.30880139645777,97.4031289878235,2016-10-03,1475467200,-1.0
2016-10-04,1475553600,93.09009595978485,95.30880139645777,2016-10-19,1476849600,-1.0
2016-10-20,1476936000,90.92094500962438,93.09009595978485,2016-10-24,1477281600,-1.0
2016-10-25,1477368000,93.09009595978485,95.35719677520123,2016-10-25,1477368000,1.0
2016-10-26,1477454400,90.90135948832679,93.09009595978485,2016-10-28,1477627200,-1.0
2016-10-31,1477886400,93.09009595978485,95.26279203405358,2016-11-01,1477972800,1.0
2016-11-02,1478059200,90.59377128350212,93.09009595978485,2016-11-02,1478059200,-1.0
2016-11-03,1478145600,88.04946979838245,90.59377128350212,2016-11-09,1478667600,-1.0
2016-11-10,1478754000,85.18644041086063,88.04946979838245,2016-11-10,1478754000,-1.0
2016-11-11,1478840400,88.04946979838245,90.926568515367,2016-11-23,1479877200,1.0
2016-11-25,1480050000,90.926568515367,93.40496600773568,2016-11-29,1480395600,1.0
2016-11-30,1480482000,88.44654909454556,90.926568515367,2016-12-12,1481518800,-1.0
2016-12-13,1481605200,90.926568515367,93.31878573073558,2016-12-13,1481605200,1.0
2016-12-14,1481691600,88.5599382439533,90.926568515367,2016-12-14,1481691600,-1.0
2016-12-15,1481778000,90.926568515367,93.48158233882256,2016-12-21,1482296400,1.0
2016-12-22,1482382800,93.48158233882256,95.9994350109835,2017-01-09,1483938000,1.0
2017-01-10,1484024400,91.05486426313982,93.48158233882256,2017-01-13,1484283600,-1.0
2017-01-17,1484629200,93.48158233882256,95.76901260120216,2017-02-02,1486011600,1.0
2017-02-03,1486098000,95.76901260120216,98.36580268517297,2017-02-06,1486357200,1.0
2017-02-07,1486443600,98.36580268517297,100.98581046165799,2017-02-15,1487134800,1.0
2017-02-16,1487221200,100.98581046165799,103.4105386411795,2017-02-16,1487221200,1.0
2017-02-17,1487307600,103.4105386411795,106.06450052216375,2017-02-17,1487307600,1.0
2017-02-21,1487653200,106.06450052216375,108.73075084022057,2017-03-14,1489464000,1.0
2017-03-15,1489550400,108.73075084022057,110.74362264420303,2017-03-15,1489550400,1.0
2017-03-16,1489636800,106.72665559366541,108.73075084022057,2017-03-29,1490760000,-1.0
2017-03-30,1490846400,104.94824133373339,106.72665559366541,2017-04-05,1491364800,-1.0
2017-04-06,1491451200,103.07613632575134,104.94824133373339,2017-04-07,1491537600,-1.0
2017-04-10,1491796800,104.94824133373339,106.7552196314322,2017-04-17,1492401600,1.0
2017-04-18,1492488000,106.7552196314322,108.60826980600136,2017-04-20,1492660800,1.0
2017-04-21,1492747200,104.9599356541988,106.7552196314322,2017-04-24,1493006400,-1.0
2017-04-25,1493092800,106.7552196314322,108.62563285669977,2017-04-25,1493092800,1.0
2017-04-26,1493179200,104.7124073508266,106.7552196314322,2017-05-01,1493611200,-1.0
2017-05-02,1493697600,102.40481510940697,104.7124073508266,2017-05-04,1493870400,-1.0
2017-05-05,1493956800,104.7124073508266,107.12409545374166,2017-05-05,1493956800,1.0
2017-05-08,1494216000,102.24541125526261,104.7124073508266,2017-05-09,1494302400,-1.0
2017-05-10,1494388800,104.7124073508266,107.05299071894044,2017-05-11,1494475200,1.0
2017-05-12,1494561600,102.5039655691366,104.7124073508266,2017-05-12,1494561600,-1.0
2017-05-15,1494820800,104.7124073508266,106.83896043382445,2017-05-15,1494820800,1.0
2017-05-16,1494907200,102.4510366309,104.7124073508266,2017-05-23,1495512000,-1.0
2017-05-24,1495598400,104.7124073508266,106.88688020058494,2017-05-30,1496116800,1.0
2017-05-31,1496203200,106.88688020058494,109.03309269178517,2017-06-13,1497326400,1.0
2017-06-14,1497412800,109.03309269178517,111.17783901153038,2017-06-16,1497585600,1.0
2017-06-19,1497844800,111.17783901153038,113.53361658604942,2017-06-19,1497844800,1.0
2017-06-20,1497931200,108.79747412090556,111.17783901153038,2017-06-26,1498449600,-1.0
2017-06-27,1498536000,106.50218564858979,108.79747412090556,2017-06-28,1498622400,-1.0
2017-06-29,1498708800,103.96701344541955,106.50218564858979,2017-07-11,1499745600,-1.0
2017-07-12,1499832000,101.64421103444462,103.96701344541955,2017-07-13,1499918400,-1.0
2017-07-14,1500004800,103.96701344541955,106.20246042222956,2017-07-18,1500350400,1.0
2017-07-19,1500436800,101.83833159117334,103.96701344541955,2017-07-19,1500436800,-1.0
2017-07-20,1500523200,103.96701344541955,106.05293231007674,2017-07-25,1500955200,1.0
2017-07-26,1501041600,106.05293231007674,108.23442764258075,2017-07-27,1501128000,1.0
2017-07-28,1501214400,103.83968378358094,106.05293231007674,2017-07-28,1501214400,-1.0
2017-07-31,1501473600,106.05293231007674,108.26752022753713,2017-07-31,1501473600,1.0
2017-08-01,1501560000,103.8872435295778,106.05293231007674,2017-08-02,1501646400,-1.0
2017-08-03,1501732800,106.05293231007674,108.6131945748947,2017-08-15,1502769600,1.0
2017-08-16,1502856000,108.6131945748947,110.81917579395633,2017-09-05,1504584000,1.0
2017-09-06,1504670400,106.46355034530063,108.6131945748947,2017-09-15,1505448000,-1.0
2017-09-18,1505707200,108.6131945748947,110.81679913480565,2017-09-19,1505793600,1.0
2017-09-20,1505880000,106.34065799007354,108.6131945748947,2017-09-20,1505880000,-1.0
2017-09-21,1505966400,103.71101687559674,106.34065799007354,2017-09-21,1505966400,-1.0
2017-09-22,1506052800,101.01720726929686,103.71101687559674,2017-09-25,1506312000,-1.0
2017-09-26,1506398400,103.71101687559674,106.31668944429408,2017-09-26,1506398400,1.0
2017-09-27,1506484800,100.8453209189492,103.71101687559674,2017-09-28,1506571200,-1.0
2017-09-29,1506657600,103.71101687559674,106.6672138994408,2017-09-29,1506657600,1.0
2017-10-02,1506916800,100.67026249631297,103.71101687559674,2017-10-03,1507003200,-1.0
2017-10-04,1507089600,103.71101687559674,106.72356529446897,2017-10-04,1507089600,1.0
2017-10-05,1507176000,100.50222191521539,103.71101687559674,2017-10-10,1507608000,-1.0
2017-10-11,1507694400,103.71101687559674,106.76657510298772,2017-10-18,1508299200,1.0
2017-10-19,1508385600,101.01367542959066,103.71101687559674,2017-10-27,1509076800,-1.0
2017-10-30,1509336000,98.16098838944146,101.01367542959066,2017-10-30,1509336000,-1.0
2017-10-31,1509422400,101.01367542959066,103.97117053830064,2017-11-07,1510030800,1.0
2017-11-08,1510117200,103.97117053830064,107.22771680332644,2017-11-10,1510290000,1.0
2017-11-13,1510549200,107.22771680332644,110.5355681678533,2017-11-14,1510635600,1.0
