start,start_unix,end,end_unix,reward
2016-03-24,1458792000,2016-04-18,1460952000,-0.29975409999999986
2016-03-30,1459310400,2016-04-27,1461729600,1.2563479
2016-03-31,1459396800,2016-04-28,1461816000,-0.1934658999999999
2016-04-04,1459742400,2016-05-04,1462334400,0.4178520999999998
2016-04-05,1459828800,2016-05-05,1462420800,-1.1251279
2016-04-06,1459915200,2016-05-10,1462852800,-0.6173279
2016-04-08,1460088000,2016-06-01,1464753600,-2.2753279
2016-04-14,1460606400,2016-06-13,1465790400,-0.9387341000000002
2016-04-19,1461038400,2016-06-14,1465876800,-2.6324459
2016-04-28,1461816000,2016-06-23,1466654400,-3.5577541000000004
2016-04-29,1461902400,2016-06-27,1467000000,-3.3202459
2016-05-05,1462420800,2016-06-29,1467172800,-2.0997540999999997
2016-05-06,1462507200,2016-07-01,1467345600,-0.7436520999999998
2016-05-11,1462939200,2016-07-11,1468209600,0.7631279000000002
2016-06-02,1464840000,2016-07-13,1468382400,2.4373279
2016-06-14,1465876800,2016-07-22,1469160000,2.0753279000000004
2016-06-15,1465963200,2016-07-25,1469419200,2.9387341
2016-06-24,1466740800,2016-07-26,1469505600,2.6324459
2016-06-28,1467086400,2016-07-29,1469764800,3.5577541000000004
2016-06-30,1467259200,2016-08-01,1470024000,3.3202459
2016-07-05,1467691200,2016-08-24,1472011200,3.0563479
2016-07-12,1468296000,2016-09-01,1472702400,1.8065341
2016-07-14,1468468800,2016-09-07,1473220800,1.3744459
2016-07-25,1469419200,2016-09-08,1473307200,-0.06224590000000002
2016-07-26,1469505600,2016-09-09,1473393600,0.5636521000000001
2016-07-27,1469592000,2016-09-12,1473652800,-0.006534100000000043
2016-08-01,1470024000,2016-09-19,1474257600,0.6255541
2016-08-02,1470110400,2016-09-20,1474344000,-0.8943479000000001
2016-08-25,1472097600,2016-09-23,1474603200,-1.6265341000000002
2016-09-02,1472788800,2016-09-26,1474862400,-1.1744459000000003
2016-09-08,1473307200,2016-09-28,1475035200,-1.9377540999999998
2016-09-09,1473393600,2016-10-04,1475553600,-1.5202459000000004
2016-09-12,1473652800,2016-10-05,1475640000,-1.0563479
2016-09-13,1473739200,2016-10-06,1475726400,-1.8065341
2016-09-20,1474344000,2016-10-11,1476158400,-1.3744459
2016-09-21,1474430400,2016-10-13,1476331200,0.06224590000000002
2016-09-26,1474862400,2016-10-17,1476676800,-1.5202459000000004
2016-09-27,1474948800,2016-10-20,1476936000,-0.0997540999999999
2016-09-29,1475121600,2016-10-24,1477281600,-1.7002459
2016-10-05,1475640000,2016-10-25,1477368000,-0.29975409999999986
2016-10-06,1475726400,2016-10-27,1477540800,0.29975409999999986
2016-10-07,1475812800,2016-10-28,1477627200,-1.2563479
2016-10-12,1476244800,2016-10-31,1477886400,-0.7631279000000002
2016-10-14,1476417600,2016-11-01,1477972800,-2.4373279
2016-10-18,1476763200,2016-11-03,1478145600,-1.1187341000000002
2016-10-21,1477022400,2016-11-04,1478232000,-2.8324459
2016-10-25,1477368000,2016-11-07,1478494800,-1.5577541
2016-10-26,1477454400,2016-11-08,1478581200,-3.3202459
2016-10-28,1477627200,2016-11-09,1478667600,-2.0997540999999997
