unix,date,open,high,low,close,volume_base
1451883600,2016-01-04,4.699,4.71,4.618,4.709,12338120.0
1451970000,2016-01-05,4.74,4.768,4.709,4.718,15290600.0
1452056400,2016-01-06,4.656,4.688,4.611,4.631,11779000.0
1452142800,2016-01-07,4.564,4.596,4.439,4.458,14264304.0
1452229200,2016-01-08,4.478,4.501,4.384,4.386,10497936.0
1452488400,2016-01-11,4.4,4.421,4.334,4.391,8457040.0
1452574800,2016-01-12,4.43,4.439,4.343,4.396,7716904.0
1452661200,2016-01-13,4.405,4.419,4.304,4.314,7615520.0
1452747600,2016-01-14,4.326,4.375,4.266,4.348,6572552.0
1452834000,2016-01-15,4.225,4.253,4.158,4.214,8273360.0
1453179600,2016-01-19,4.239,4.244,4.128,4.163,8475456.0
1453266000,2016-01-20,4.118,4.201,4.032,4.144,8441448.0
1453352400,2016-01-21,4.156,4.193,4.094,4.126,14480256.0
1453438800,2016-01-22,4.173,4.266,4.173,4.259,7644456.0
1453698000,2016-01-25,4.248,4.249,4.176,4.184,5169424.0
1453784400,2016-01-26,4.203,4.273,4.168,4.271,4625304.0
1453870800,2016-01-27,4.264,4.264,4.116,4.141,6496984.0
1453957200,2016-01-28,4.164,4.196,4.077,4.154,6707832.0
1454043600,2016-01-29,4.163,4.195,4.155,4.189,5724216.0
1454302800,2016-02-01,4.156,4.22,4.131,4.193,3567480.0
1454389200,2016-02-02,4.168,4.168,4.095,4.139,4034248.0
1454475600,2016-02-03,4.17,4.185,4.104,4.168,6857968.0
1454562000,2016-02-04,4.163,4.269,4.11,4.264,9179016.0
1454648400,2016-02-05,4.25,4.26,4.133,4.148,9934472.0
1454907600,2016-02-08,4.099,4.198,4.086,4.191,7944240.0
1454994000,2016-02-09,4.15,4.295,4.139,4.264,14998704.0
1455080400,2016-02-10,4.276,4.434,4.27,4.285,5926016.0
1455166800,2016-02-11,4.228,4.311,4.148,4.288,6232816.0
1455253200,2016-02-12,4.324,4.366,4.299,4.361,4123232.0
1455598800,2016-02-16,4.396,4.464,4.206,4.441,7810536.0
1455685200,2016-02-17,4.47,4.508,4.441,4.491,5329008.0
1455771600,2016-02-18,4.508,4.508,4.442,4.469,4741824.0
1455858000,2016-02-19,4.45,4.5,4.402,4.499,4211784.0
1456117200,2016-02-22,4.53,4.55,4.486,4.526,3016072.0
1456203600,2016-02-23,4.528,4.563,4.445,4.496,10067864.0
1456290000,2016-02-24,4.516,4.616,4.393,4.596,12217624.0
1456376400,2016-02-25,4.653,4.761,4.619,4.761,11280120.0
1456462800,2016-02-26,4.784,4.828,4.75,4.814,7771376.0
1456722000,2016-02-29,4.808,4.81,4.711,4.719,7613584.0
1456808400,2016-03-01,4.753,4.928,4.724,4.924,8061576.0
1456894800,2016-03-02,4.906,4.944,4.89,4.939,7173896.0
1456981200,2016-03-03,4.939,4.986,4.899,4.986,6778584.0
1457067600,2016-03-04,5.0,5.0,4.826,4.955,10218656.0
1457326800,2016-03-07,4.926,5.011,4.846,4.989,6735920.0
1457413200,2016-03-08,4.984,5.003,4.935,4.964,7138760.0
