unix,date,open,high,low,close,volume_base
1451883600,2016-01-04,20.35,20.35,19.9,20.0,3177072.0
1451970000,2016-01-05,20.07,20.22,19.96,20.03,3323340.0
1452056400,2016-01-06,19.78,20.13,19.71,19.94,2119688.0
1452142800,2016-01-07,19.67,19.88,19.53,19.68,3738432.0
1452229200,2016-01-08,19.75,19.76,19.13,19.17,3637380.0
1452488400,2016-01-11,19.24,19.38,19.12,19.33,3058088.0
1452574800,2016-01-12,19.31,19.74,19.29,19.68,2912040.0
1452661200,2016-01-13,19.7,19.72,19.16,19.21,2089112.0
1452747600,2016-01-14,19.34,19.52,19.19,19.38,2350372.0
1452834000,2016-01-15,18.97,19.15,18.71,19.04,3256372.0
1453179600,2016-01-19,19.19,19.3,18.79,18.92,3424248.0
1453266000,2016-01-20,18.64,18.88,18.19,18.66,3251988.0
1453352400,2016-01-21,18.72,18.89,18.13,18.2,6508856.0
1453438800,2016-01-22,18.43,18.79,18.37,18.68,3452472.0
1453698000,2016-01-25,18.64,18.73,18.51,18.54,2588312.0
1453784400,2016-01-26,18.58,18.88,18.57,18.77,2897316.0
1453870800,2016-01-27,18.79,18.96,18.68,18.75,3189996.0
1453957200,2016-01-28,18.9,18.97,18.75,18.84,3450192.0
1454043600,2016-01-29,18.93,19.48,18.76,19.47,6121792.0
1454302800,2016-02-01,19.35,19.65,19.17,19.51,3373928.0
1454389200,2016-02-02,19.39,19.57,19.23,19.31,4160840.0
1454475600,2016-02-03,19.6,19.71,19.01,19.2,3833928.0
1454562000,2016-02-04,19.22,19.35,19.14,19.3,3074436.0
1454648400,2016-02-05,19.26,19.32,18.78,18.88,3301524.0
1454907600,2016-02-08,18.76,18.77,18.4,18.72,2771984.0
1454994000,2016-02-09,18.58,19.09,18.55,18.92,2698964.0
1455080400,2016-02-10,19.0,19.26,18.84,18.87,1916588.0
1455166800,2016-02-11,18.58,18.78,18.19,18.61,1567308.0
1455253200,2016-02-12,18.83,18.93,18.55,18.81,2651008.0
1455598800,2016-02-16,19.06,19.08,18.81,19.03,2618672.0
1455685200,2016-02-17,18.19,18.95,18.17,18.94,5409128.0
1455771600,2016-02-18,19.0,19.05,18.56,18.82,2316004.0
1455858000,2016-02-19,18.72,18.97,18.56,18.89,3375228.0
1456117200,2016-02-22,19.05,19.23,19.03,19.18,2980852.0
1456203600,2016-02-23,19.16,19.18,18.95,19.02,1704644.0
1456290000,2016-02-24,18.88,19.11,18.77,19.08,2018356.0
1456376400,2016-02-25,19.16,19.21,18.96,19.21,2104116.0
1456462800,2016-02-26,19.26,19.26,19.09,19.23,1703776.0
1456722000,2016-02-29,19.22,19.29,19.03,19.03,2333108.0
1456808400,2016-03-01,19.18,19.5,19.1,19.48,1739716.0
1456894800,2016-03-02,19.41,19.51,19.28,19.5,2058140.0
1456981200,2016-03-03,19.48,19.67,19.36,19.65,1709972.0
1457067600,2016-03-04,19.65,19.84,19.59,19.71,3587756.0
1457326800,2016-03-07,19.65,20.03,19.6,19.92,3161424.0
1457413200,2016-03-08,19.81,20.01,19.66,19.86,1934352.0
1457499600,2016-03-09,19.92,19.98,19.63,19.77,2583256.0
1457586000,2016-03-10,19.88,20.05,19.72,19.88,1968476.0
1457672400,2016-03-11,20.03,20.19,19.57,20.18,2037760.0
1457928000,2016-03-14,20.14,20.33,20.02,20.28,2476644.0
1458014400,2016-03-15,20.09,20.35,20.04,20.3,3096168.0
1458100800,2016-03-16,20.28,20.43,20.13,20.35,2397280.0
1458187200,2016-03-17,20.38,20.47,20.26,20.39,3348336.0
1458273600,2016-03-18,20.43,20.55,20.3,20.5,4099096.0
1458532800,2016-03-21,20.42,20.59,20.28,20.43,3517732.0
1458619200,2016-03-22,20.49,20.5,20.29,20.47,3154044.0
1458705600,2016-03-23,20.62,20.69,19.45,19.55,8301876.0
1458792000,2016-03-24,19.54,19.93,19.47,19.83,4864448.0
1459137600,2016-03-28,19.88,20.19,19.69,20.08,2792804.0
1459224000,2016-03-29,20.02,20.36,20.02,20.31,2453464.0
1459310400,2016-03-30,20.39,20.45,20.3,20.33,2894180.0
1459396800,2016-03-31,20.24,20.39,20.18,20.35,3167196.0
1459483200,2016-04-01,20.21,20.43,20.17,20.41,2446640.0
1459742400,2016-04-04,20.46,20.61,20.12,20.14,2477256.0
1459828800,2016-04-05,19.77,20.2,19.77,20.01,2933296.0
1459915200,2016-04-06,20.04,20.15,19.99,20.15,2725908.0
1460001600,2016-04-07,20.05,20.16,19.97,20.15,4133264.0
1460088000,2016-04-08,20.28,20.31,20.12,20.24,2050088.0
1460347200,2016-04-11,20.32,20.41,20.18,20.19,2776528.0
1460433600,2016-04-12,20.24,20.38,20.15,20.35,2214304.0
1460520000,2016-04-13,20.7,20.7,20.49,20.52,4163592.0
1460606400,2016-04-14,20.48,20.57,20.4,20.45,2841940.0
1460692800,2016-04-15,20.48,20.5,20.33,20.39,1888768.0
1460952000,2016-04-18,20.35,20.5,20.33,20.46,1500396.0
1461038400,2016-04-19,20.5,20.53,20.39,20.5,2685812.0
1461124800,2016-04-20,20.48,20.51,20.4,20.43,2166564.0
1461211200,2016-04-21,20.39,20.39,20.18,20.2,2438596.0
1461297600,2016-04-22,20.22,20.35,20.22,20.32,2342392.0
1461556800,2016-04-25,20.31,20.34,20.18,20.27,2510544.0
1461643200,2016-04-26,20.3,20.4,20.26,20.35,3259452.0
1461729600,2016-04-27,20.38,20.5,20.23,20.38,2699184.0
1461816000,2016-04-28,20.33,20.49,20.19,20.23,5444024.0
1461902400,2016-04-29,20.17,20.35,20.05,20.34,3640224.0
1462161600,2016-05-02,20.35,20.43,20.28,20.38,2219416.0
1462248000,2016-05-03,20.3,20.34,20.23,20.3,2372032.0
1462334400,2016-05-04,20.29,20.42,20.25,20.35,1976764.0
1462420800,2016-05-05,20.43,20.48,20.36,20.38,2066232.0
1462507200,2016-05-06,20.35,20.64,20.3,20.62,3396168.0
1462766400,2016-05-09,20.68,20.78,20.64,20.72,2931508.0
1462852800,2016-05-10,20.79,20.84,20.73,20.82,2432972.0
1462939200,2016-05-11,20.77,20.83,20.71,20.72,2079996.0
1463025600,2016-05-12,20.78,20.83,20.67,20.77,1976944.0
1463112000,2016-05-13,20.77,20.88,20.69,20.74,2993668.0
1463371200,2016-05-16,20.76,20.86,20.71,20.78,2831984.0
1463457600,2016-05-17,20.78,20.82,20.66,20.68,2835172.0
1463544000,2016-05-18,20.66,20.81,20.52,20.65,3415668.0
1463630400,2016-05-19,20.61,20.78,20.54,20.71,2506184.0
1463716800,2016-05-20,20.82,20.97,20.77,20.86,4446440.0
1463976000,2016-05-23,20.84,20.96,20.84,20.92,2229364.0
1464062400,2016-05-24,20.97,21.33,20.95,21.32,4538400.0
1464148800,2016-05-25,21.38,21.38,21.17,21.26,3425732.0
1464235200,2016-05-26,21.27,21.42,21.25,21.29,2465908.0
1464321600,2016-05-27,21.29,21.55,21.22,21.54,3429688.0
1464667200,2016-05-31,21.51,21.63,21.36,21.48,20372896.0
1464753600,2016-06-01,21.39,21.48,21.29,21.48,2046340.0
1464840000,2016-06-02,21.47,21.63,21.4,21.63,3462828.0
1464926400,2016-06-03,21.53,21.58,21.34,21.52,1949192.0
1465185600,2016-06-06,21.52,21.65,21.39,21.57,1393412.0
1465272000,2016-06-07,21.56,21.63,21.18,21.51,3199512.0
1465358400,2016-06-08,21.53,21.56,21.43,21.56,2083452.0
1465444800,2016-06-09,21.56,21.65,21.44,21.65,2306936.0
1465531200,2016-06-10,21.48,21.55,21.37,21.41,1956072.0
1465790400,2016-06-13,21.25,21.48,21.21,21.32,1803732.0
1465876800,2016-06-14,21.32,21.36,21.2,21.33,1668644.0
1465963200,2016-06-15,21.41,21.42,21.29,21.31,1486912.0
1466049600,2016-06-16,21.29,21.45,21.08,21.43,1586184.0
1466136000,2016-06-17,21.42,21.42,21.18,21.3,2575336.0
1466395200,2016-06-20,21.49,21.51,21.33,21.35,1662604.0
1466481600,2016-06-21,21.45,21.47,21.31,21.41,1487140.0
1466568000,2016-06-22,21.46,21.55,21.42,21.43,1531652.0
1466654400,2016-06-23,21.55,21.68,21.5,21.68,1634060.0
1466740800,2016-06-24,21.1,21.36,21.07,21.15,6036876.0
1467000000,2016-06-27,21.06,21.1,20.67,20.76,3743324.0
1467086400,2016-06-28,20.95,21.15,20.86,21.14,3507440.0
1467172800,2016-06-29,21.32,21.73,21.27,21.67,3002504.0
1467259200,2016-06-30,21.73,22.24,21.65,22.23,3885704.0
1467345600,2016-07-01,22.16,22.44,21.97,22.41,2667704.0
1467691200,2016-07-05,22.45,22.58,22.28,22.54,3948700.0
1467777600,2016-07-06,22.35,22.59,22.33,22.5,3076400.0
1467864000,2016-07-07,22.51,22.59,22.29,22.38,1981776.0
1467950400,2016-07-08,22.58,22.61,22.46,22.57,3767916.0
1468209600,2016-07-11,22.55,22.55,22.09,22.22,3293356.0
1468296000,2016-07-12,22.28,22.37,22.07,22.09,2603656.0
1468382400,2016-07-13,22.23,22.26,22.08,22.09,1566756.0
1468468800,2016-07-14,22.22,22.24,22.09,22.18,2256456.0
1468555200,2016-07-15,22.23,22.3,22.07,22.11,1958988.0
1468814400,2016-07-18,22.2,22.24,22.03,22.12,1954716.0
1468900800,2016-07-19,22.05,22.23,21.99,22.07,2957920.0
1468987200,2016-07-20,22.89,24.69,22.79,24.21,14007576.0
1469073600,2016-07-21,24.24,24.47,24.2,24.31,5758756.0
1469160000,2016-07-22,24.33,24.49,24.29,24.46,3023580.0
1469419200,2016-07-25,24.38,24.63,24.31,24.52,3318156.0
1469505600,2016-07-26,24.54,24.72,24.34,24.56,2844036.0
1469592000,2016-07-27,24.58,24.58,24.34,24.46,1993788.0
1469678400,2016-07-28,24.45,24.58,24.27,24.51,2267596.0
1469764800,2016-07-29,24.5,24.5,24.22,24.3,5036120.0
1470024000,2016-08-01,24.3,24.41,24.25,24.34,2172976.0
1470110400,2016-08-02,24.21,24.33,24.09,24.09,3058600.0
1470196800,2016-08-03,24.09,24.42,23.95,24.09,3432096.0
1470283200,2016-08-04,24.1,24.42,24.08,24.14,2193372.0
1470369600,2016-08-05,24.24,24.56,24.09,24.22,2551856.0
1470628800,2016-08-08,24.24,24.24,24.06,24.14,1966076.0
1470715200,2016-08-09,24.17,24.2,24.03,24.2,2478436.0
1470801600,2016-08-10,24.18,24.36,24.17,24.33,1647160.0
1470888000,2016-08-11,24.45,24.45,24.11,24.36,2860200.0
1470974400,2016-08-12,24.27,24.38,24.22,24.32,1345936.0
1471233600,2016-08-15,24.31,24.36,24.22,24.34,1936648.0
1471320000,2016-08-16,26.18,26.66,25.58,25.6,9364736.0
1471406400,2016-08-17,25.92,26.3,25.73,26.2,7338248.0
1471492800,2016-08-18,26.28,26.28,25.63,25.8,2897296.0
1471579200,2016-08-19,25.69,25.8,25.57,25.78,5034224.0
1471838400,2016-08-22,25.78,25.91,25.75,25.84,1893904.0
1471924800,2016-08-23,25.84,25.98,25.69,25.95,1814528.0
1472011200,2016-08-24,25.96,26.0,25.8,25.93,1643168.0
1472097600,2016-08-25,25.92,26.43,25.92,26.29,3512212.0
1472184000,2016-08-26,26.27,26.48,26.0,26.22,2313516.0
1472443200,2016-08-29,26.18,26.43,26.06,26.37,1888888.0
1472529600,2016-08-30,26.3,26.52,26.25,26.52,2359796.0
1472616000,2016-08-31,26.53,26.66,26.39,26.62,3743136.0
1472702400,2016-09-01,26.73,26.73,26.53,26.67,2084492.0
1472788800,2016-09-02,26.79,27.0,26.75,26.92,2419024.0
1473134400,2016-09-06,26.99,27.17,26.7,27.0,2486572.0
1473220800,2016-09-07,26.93,26.95,26.77,26.8,3082160.0
1473307200,2016-09-08,26.69,26.71,26.54,26.55,2107896.0
1473393600,2016-09-09,26.39,26.49,25.72,25.79,5905008.0
1473652800,2016-09-12,25.85,26.04,25.77,25.99,4024668.0
1473739200,2016-09-13,25.77,25.91,25.57,25.59,4982756.0
1473825600,2016-09-14,25.61,25.84,25.51,25.63,3531748.0
1473912000,2016-09-15,25.6,25.96,25.5,25.85,2952560.0
1473998400,2016-09-16,25.69,25.82,25.58,25.67,6455464.0
1474257600,2016-09-19,25.72,25.89,25.62,25.67,1705320.0
1474344000,2016-09-20,25.85,25.89,25.68,25.8,2215296.0
1474430400,2016-09-21,25.81,26.03,25.6,25.99,2307628.0
1474516800,2016-09-22,26.05,26.34,25.99,26.08,1725124.0
1474603200,2016-09-23,26.05,26.25,25.82,25.86,1545816.0
1474862400,2016-09-26,25.79,25.82,25.62,25.64,1958132.0
1474948800,2016-09-27,25.64,25.76,25.45,25.7,3134284.0
1475035200,2016-09-28,26.94,26.94,26.2,26.32,6167200.0
1475121600,2016-09-29,26.18,26.3,25.17,25.23,6316240.0
1475208000,2016-09-30,25.35,25.56,25.22,25.51,7045168.0
1475467200,2016-10-03,25.55,25.81,25.41,25.47,3496396.0
1475553600,2016-10-04,25.47,25.55,25.02,25.26,3543176.0
1475640000,2016-10-05,25.23,25.35,25.06,25.13,4006440.0
1475726400,2016-10-06,25.01,25.38,24.99,25.32,2204796.0
1475812800,2016-10-07,25.38,25.38,25.0,25.03,3017052.0
1476072000,2016-10-10,25.11,25.23,25.04,25.1,2484000.0
1476158400,2016-10-11,24.99,25.13,24.69,24.77,2263144.0
1476244800,2016-10-12,24.83,24.95,24.75,24.87,1710744.0
1476331200,2016-10-13,24.78,24.87,24.56,24.77,1827572.0
1476417600,2016-10-14,24.8,24.96,24.75,24.75,1458836.0
1476676800,2016-10-17,24.7,24.82,24.51,24.53,2002064.0
1476763200,2016-10-18,24.76,25.16,24.54,24.56,2372728.0
1476849600,2016-10-19,24.51,24.65,24.42,24.49,2402496.0
1476936000,2016-10-20,24.45,24.46,24.05,24.14,4037936.0
1477022400,2016-10-21,24.05,24.19,23.98,24.12,2942804.0
1477281600,2016-10-24,24.26,24.38,24.14,24.24,1732228.0
1477368000,2016-10-25,24.16,24.22,24.03,24.18,2767840.0
1477454400,2016-10-26,24.09,24.2,23.96,24.15,2014904.0
1477540800,2016-10-27,24.2,24.24,23.88,23.94,1785240.0
1477627200,2016-10-28,23.91,24.18,23.85,24.0,1997204.0
1477886400,2016-10-31,24.12,24.27,23.96,24.17,3389312.0
1477972800,2016-11-01,24.12,24.14,23.55,23.64,3745404.0
1478059200,2016-11-02,23.62,23.75,23.52,23.54,3097604.0
1478145600,2016-11-03,23.57,23.67,23.43,23.64,2568252.0
1478232000,2016-11-04,23.69,23.83,23.61,23.65,2204600.0
1478494800,2016-11-07,23.9,24.07,23.82,24.05,1997552.0
1478581200,2016-11-08,24.05,24.32,23.95,24.24,1882980.0
1478667600,2016-11-09,23.76,24.75,23.6,24.67,3513428.0
1478754000,2016-11-10,24.72,24.88,24.64,24.78,3484320.0
1478840400,2016-11-11,24.62,24.98,24.55,24.95,2847100.0
1479099600,2016-11-14,25.05,25.24,24.83,25.02,3054824.0
1479186000,2016-11-15,24.91,25.14,24.87,25.05,2718180.0
1479272400,2016-11-16,24.96,25.03,24.78,25.01,2428408.0
1479358800,2016-11-17,25.02,25.41,25.01,25.34,2489232.0
1479445200,2016-11-18,25.33,25.65,25.19,25.64,9356400.0
1479704400,2016-11-21,25.7,25.89,25.47,25.89,2573788.0
1479790800,2016-11-22,26.16,26.4,25.89,26.36,3096720.0
1479877200,2016-11-23,26.41,26.56,26.3,26.47,2488936.0
1480050000,2016-11-25,26.57,26.74,26.41,26.73,1339468.0
1480309200,2016-11-28,26.66,26.76,26.58,26.65,3090356.0
1480395600,2016-11-29,26.66,26.68,26.51,26.53,2300092.0
1480482000,2016-11-30,26.56,26.56,26.25,26.3,3530236.0
1480568400,2016-12-01,26.3,26.62,26.21,26.6,2773460.0
1480654800,2016-12-02,26.56,26.81,26.48,26.77,2523696.0
1480914000,2016-12-05,26.85,27.12,26.78,27.09,2933844.0
1481000400,2016-12-06,27.06,27.2,27.0,27.17,2386232.0
1481086800,2016-12-07,27.23,27.65,27.18,27.63,2719156.0
1481173200,2016-12-08,27.56,27.75,27.39,27.67,2136124.0
1481259600,2016-12-09,27.63,27.76,27.55,27.7,2093536.0
1481518800,2016-12-12,27.71,27.83,27.55,27.63,3419848.0
1481605200,2016-12-13,27.68,27.74,27.46,27.67,2743848.0
1481691600,2016-12-14,27.73,27.87,27.41,27.43,2940140.0
1481778000,2016-12-15,27.77,28.05,27.47,27.54,2856648.0
1481864400,2016-12-16,27.57,27.68,27.36,27.47,20450804.0
1482123600,2016-12-19,27.62,27.8,27.54,27.57,3586800.0
1482210000,2016-12-20,27.65,27.65,27.41,27.49,2083056.0
1482296400,2016-12-21,27.53,27.6,27.38,27.43,2381664.0
1482382800,2016-12-22,27.56,27.59,27.33,27.56,4323432.0
1482469200,2016-12-23,26.87,26.94,25.93,26.7,9788800.0
1482814800,2016-12-27,26.71,26.85,26.63,26.75,2694504.0
1482901200,2016-12-28,26.76,26.83,26.5,26.53,2013196.0
1482987600,2016-12-29,26.51,26.74,26.5,26.7,2166776.0
1483074000,2016-12-30,26.76,26.83,26.49,26.52,3482320.0
1483419600,2017-01-03,26.71,26.87,26.6,26.7,3836228.0
1483506000,2017-01-04,26.68,27.01,26.64,26.92,2716784.0
1483592400,2017-01-05,26.83,27.01,26.63,26.69,2917144.0
1483678800,2017-01-06,26.74,26.84,26.57,26.78,1867756.0
1483938000,2017-01-09,26.73,26.73,26.4,26.5,2378724.0
1484024400,2017-01-10,26.44,26.49,26.33,26.34,4199200.0
1484110800,2017-01-11,26.35,26.52,26.31,26.47,2226252.0
1484197200,2017-01-12,26.41,26.45,25.98,26.25,2590016.0
1484283600,2017-01-13,26.23,26.37,26.11,26.29,2020896.0
1484629200,2017-01-17,26.12,26.23,26.0,26.09,1458012.0
1484715600,2017-01-18,26.16,26.19,25.99,26.16,1875640.0
1484802000,2017-01-19,26.15,26.23,25.99,26.1,1721540.0
1484888400,2017-01-20,26.15,26.25,26.0,26.14,1799908.0
1485147600,2017-01-23,26.11,26.18,25.92,26.13,1177532.0
1485234000,2017-01-24,26.11,26.52,26.11,26.51,2667264.0
1485320400,2017-01-25,26.56,26.85,26.48,26.79,4565472.0
1485406800,2017-01-26,26.82,27.07,26.77,26.94,1898904.0
1485493200,2017-01-27,26.93,26.99,26.79,26.92,2051488.0
1485752400,2017-01-30,26.88,26.88,26.46,26.67,1754144.0
1485838800,2017-01-31,26.65,26.74,26.43,26.65,3421644.0
1485925200,2017-02-01,26.58,26.93,26.28,26.36,3381160.0
1486011600,2017-02-02,26.28,26.5,26.22,26.44,2555460.0
1486098000,2017-02-03,26.55,26.78,26.24,26.65,1756844.0
1486357200,2017-02-06,26.57,26.59,26.33,26.38,2159856.0
1486443600,2017-02-07,26.47,26.47,26.25,26.34,2437324.0
1486530000,2017-02-08,26.28,26.38,26.11,26.24,1861924.0
1486616400,2017-02-09,26.29,26.5,26.25,26.48,2163128.0
1486702800,2017-02-10,26.51,26.85,26.43,26.79,2261676.0
1486962000,2017-02-13,26.91,27.0,26.77,26.85,1985100.0
1487048400,2017-02-14,26.75,26.86,26.65,26.86,1603164.0
1487134800,2017-02-15,26.79,27.22,26.73,27.18,2269576.0
1487221200,2017-02-16,27.18,27.43,27.09,27.43,2069440.0
1487307600,2017-02-17,27.3,27.4,27.1,27.22,8044492.0
1487653200,2017-02-21,27.23,27.36,27.09,27.18,2108176.0
1487739600,2017-02-22,27.11,27.27,27.0,27.26,2235052.0
1487826000,2017-02-23,27.32,27.32,26.99,27.18,1766572.0
1487912400,2017-02-24,27.1,27.33,26.91,27.33,1839280.0
1488171600,2017-02-27,27.29,27.37,27.21,27.34,1166612.0
1488258000,2017-02-28,27.31,27.31,27.05,27.08,2002560.0
1488344400,2017-03-01,27.24,27.54,27.2,27.46,2743696.0
1488430800,2017-03-02,27.38,27.38,27.16,27.21,1831276.0
1488517200,2017-03-03,27.23,27.27,27.05,27.18,1895816.0
1488776400,2017-03-06,27.1,27.24,26.95,27.22,1324416.0
1488862800,2017-03-07,27.13,27.31,27.03,27.14,1922968.0
1488949200,2017-03-08,27.11,27.26,27.07,27.16,1443512.0
1489035600,2017-03-09,27.22,27.26,26.9,27.05,1517224.0
1489122000,2017-03-10,27.23,27.37,27.14,27.32,2081692.0
1489377600,2017-03-13,27.28,27.4,27.26,27.34,1540800.0
1489464000,2017-03-14,27.31,27.37,27.05,27.18,1415788.0
1489550400,2017-03-15,27.28,27.44,27.19,27.4,1958412.0
1489636800,2017-03-16,27.46,27.54,27.29,27.37,1355000.0
1489723200,2017-03-17,28.07,28.9,27.73,28.66,10944628.0
1489982400,2017-03-20,28.64,28.79,28.39,28.53,4275388.0
1490068800,2017-03-21,28.69,28.85,28.37,28.41,4370704.0
1490155200,2017-03-22,28.48,28.73,28.39,28.54,3695632.0
1490241600,2017-03-23,28.57,29.57,28.17,28.91,5926280.0
1490328000,2017-03-24,29.01,29.01,28.65,28.72,3055628.0
1490587200,2017-03-27,28.66,28.86,28.33,28.72,2683592.0
1490673600,2017-03-28,28.67,29.02,28.5,28.96,2244208.0
1490760000,2017-03-29,28.83,29.05,28.83,29.02,3345588.0
1490846400,2017-03-30,28.96,29.25,28.96,29.14,2156772.0
1490932800,2017-03-31,29.12,29.16,28.97,29.04,3308324.0
1491192000,2017-04-03,29.11,29.14,28.62,28.63,3016604.0
1491278400,2017-04-04,28.58,28.71,28.44,28.65,1939792.0
1491364800,2017-04-05,28.68,28.85,28.38,28.41,2063596.0
1491451200,2017-04-06,28.38,28.42,28.19,28.28,2253444.0
1491537600,2017-04-07,28.24,28.34,28.09,28.13,3370600.0
1491796800,2017-04-10,28.08,28.41,27.99,28.15,2629260.0
1491883200,2017-04-11,28.01,28.22,27.92,28.22,2212656.0
1491969600,2017-04-12,28.3,28.4,27.93,28.09,1433008.0
1492056000,2017-04-13,28.12,28.19,27.88,27.93,1401928.0
1492401600,2017-04-17,28.03,28.23,27.99,28.22,1454356.0
1492488000,2017-04-18,28.16,28.24,27.93,28.08,1539512.0
1492574400,2017-04-19,28.08,28.28,28.03,28.15,1536148.0
1492660800,2017-04-20,28.31,28.36,28.15,28.25,1773620.0
1492747200,2017-04-21,28.27,28.43,28.21,28.26,2801764.0
1493006400,2017-04-24,28.51,28.8,28.47,28.79,2489544.0
