start,start_unix,bottom,top,end,end_unix,direction
2016-03-15,1458014400,48.155,49.50839028128707,2016-03-28,1459137600,
2016-03-29,1459224000,49.50839028128707,50.900359382611335,2016-04-01,1459483200,1.0
2016-04-04,1459742400,48.17005855745007,49.50839028128707,2016-04-19,1461038400,-1.0
2016-04-20,1461124800,46.90841707789398,48.17005855745007,2016-04-20,1461124800,-1.0
2016-04-21,1461211200,45.582607132591896,46.90841707789398,2016-04-26,1461643200,-1.0
2016-04-27,1461729600,46.90841707789398,48.170261826117965,2016-05-03,1462248000,1.0
2016-05-04,1462334400,48.170261826117965,49.56705871153462,2016-05-04,1462334400,1.0
2016-05-05,1462420800,46.727950432516785,48.170261826117965,2016-05-17,1463457600,-1.0
2016-05-18,1463544000,45.33091119602112,46.727950432516785,2016-05-18,1463544000,-1.0
2016-05-19,1463630400,46.727950432516785,48.212915437834184,2016-05-20,1463716800,1.0
2016-05-23,1463976000,45.30942448405433,46.727950432516785,2016-05-23,1463976000,-1.0
2016-05-24,1464062400,46.727950432516785,48.11843881323192,2016-06-02,1464840000,1.0
2016-06-03,1464926400,48.11843881323192,49.43708444618238,2016-06-15,1465963200,1.0
2016-06-16,1466049600,49.43708444618238,50.651445030979865,2016-06-21,1466481600,1.0
2016-06-22,1466568000,48.28102117404575,49.43708444618238,2016-06-22,1466568000,-1.0
2016-06-23,1466654400,49.43708444618238,50.551714627452114,2016-06-27,1467000000,1.0
2016-06-28,1467086400,50.551714627452114,51.83812297593958,2016-06-29,1467172800,1.0
2016-06-30,1467259200,51.83812297593958,53.14054650091091,2016-07-13,1468382400,1.0
2016-07-14,1468468800,50.571324569050546,51.83812297593958,2016-07-14,1468468800,-1.0
2016-07-15,1468555200,51.83812297593958,53.06586435376511,2016-07-19,1468900800,1.0
2016-07-20,1468987200,50.691143454407985,51.83812297593958,2016-07-20,1468987200,-1.0
2016-07-21,1469073600,51.83812297593958,52.98417538879034,2016-07-26,1469505600,1.0
2016-07-27,1469592000,50.63262066014848,51.83812297593958,2016-07-28,1469678400,-1.0
2016-07-29,1469764800,51.83812297593958,53.07629589108598,2016-08-01,1470024000,1.0
2016-08-02,1470110400,50.636892248083754,51.83812297593958,2016-08-04,1470283200,-1.0
2016-08-05,1470369600,49.37707012377645,50.636892248083754,2016-08-11,1470888000,-1.0
2016-08-12,1470974400,50.636892248083754,51.84578644023664,2016-08-12,1470974400,1.0
2016-08-15,1471233600,49.398633355370364,50.636892248083754,2016-08-16,1471320000,-1.0
2016-08-17,1471406400,50.636892248083754,51.951890987209076,2016-08-25,1472097600,1.0
2016-08-26,1472184000,49.29909967925895,50.636892248083754,2016-08-26,1472184000,-1.0
2016-08-29,1472443200,50.636892248083754,51.960128204849646,2016-08-29,1472443200,1.0
2016-08-30,1472529600,49.30660171680114,50.636892248083754,2016-09-02,1472788800,-1.0
2016-09-06,1473134400,50.636892248083754,51.895287236212724,2016-09-08,1473307200,1.0
2016-09-09,1473393600,49.26430631917729,50.636892248083754,2016-09-15,1473912000,-1.0
2016-09-16,1473998400,50.636892248083754,52.03435576644937,2016-09-21,1474430400,1.0
2016-09-22,1474516800,52.03435576644937,53.37678833485942,2016-09-23,1474603200,1.0
2016-09-26,1474862400,50.722472582463155,52.03435576644937,2016-09-28,1475035200,-1.0
2016-09-29,1475121600,49.34041086408935,50.722472582463155,2016-10-03,1475467200,-1.0
2016-10-04,1475553600,47.87448462674706,49.34041086408935,2016-10-12,1476244800,-1.0
2016-10-13,1476331200,49.34041086408935,50.78637977834362,2016-10-13,1476331200,1.0
2016-10-14,1476417600,47.930868300853234,49.34041086408935,2016-10-17,1476676800,-1.0
2016-10-18,1476763200,49.34041086408935,50.71043480892049,2016-10-20,1476936000,1.0
2016-10-21,1477022400,48.096344316423895,49.34041086408935,2016-10-21,1477022400,-1.0
2016-10-24,1477281600,49.34041086408935,50.566329801207274,2016-10-28,1477627200,1.0
2016-10-31,1477886400,50.566329801207274,51.876115440969215,2016-10-31,1477886400,1.0
2016-11-01,1477972800,49.26395742142833,50.566329801207274,2016-11-07,1478494800,-1.0
2016-11-08,1478581200,50.566329801207274,51.98685611465789,2016-11-08,1478581200,1.0
2016-11-09,1478667600,49.036412510145986,50.566329801207274,2016-11-09,1478667600,-1.0
2016-11-10,1478754000,47.38563216844622,49.036412510145986,2016-11-11,1478840400,-1.0
2016-11-14,1479099600,45.75874503708265,47.38563216844622,2016-11-14,1479099600,-1.0
2016-11-15,1479186000,47.38563216844622,49.02231307614097,2016-11-21,1479704400,1.0
2016-11-22,1479790800,49.02231307614097,50.53454282092868,2016-11-25,1480050000,1.0
2016-11-28,1480309200,50.53454282092868,52.04763857504624,2016-11-29,1480395600,1.0
2016-11-30,1480482000,48.91809801253139,50.53454282092868,2016-12-08,1481173200,-1.0
2016-12-09,1481259600,50.53454282092868,52.03839759357032,2016-12-16,1481864400,1.0
2016-12-19,1482123600,52.03839759357032,53.60131249739436,2017-01-03,1483419600,1.0
2017-01-04,1483506000,50.80115607461741,52.03839759357032,2017-01-04,1483506000,-1.0
2017-01-05,1483592400,52.03839759357032,53.29526471831231,2017-01-06,1483678800,1.0
2017-01-09,1483938000,50.747211144175445,52.03839759357032,2017-01-30,1485752400,-1.0
2017-01-31,1485838800,52.03839759357032,53.08628038822632,2017-01-31,1485838800,1.0
2017-02-01,1485925200,50.674506427104035,52.03839759357032,2017-02-01,1485925200,-1.0
2017-02-02,1486011600,49.294893201099626,50.674506427104035,2017-02-02,1486011600,-1.0
2017-02-03,1486098000,47.948252348381246,49.294893201099626,2017-02-06,1486357200,-1.0
2017-02-07,1486443600,49.294893201099626,50.59433352818843,2017-02-08,1486530000,1.0
2017-02-09,1486616400,47.91309006192611,49.294893201099626,2017-02-09,1486616400,-1.0
2017-02-10,1486702800,49.294893201099626,50.72071040176074,2017-02-17,1487307600,1.0
2017-02-21,1487653200,50.72071040176074,52.12121698762551,2017-02-23,1487826000,1.0
2017-02-24,1487912400,52.12121698762551,53.49670567900485,2017-03-07,1488862800,1.0
2017-03-08,1488949200,50.7550559990701,52.12121698762551,2017-03-09,1489035600,-1.0
2017-03-10,1489122000,52.12121698762551,53.44547824816563,2017-03-14,1489464000,1.0
2017-03-15,1489550400,53.44547824816563,54.80234923555872,2017-03-15,1489550400,1.0
2017-03-16,1489636800,52.04795518844347,53.44547824816563,2017-03-20,1489982400,-1.0
2017-03-21,1490068800,53.44547824816563,54.89174579999128,2017-03-29,1490760000,1.0
2017-03-30,1490846400,52.18861239382234,53.44547824816563,2017-03-30,1490846400,-1.0
2017-03-31,1490932800,53.44547824816563,54.6639965414844,2017-04-10,1491796800,1.0
2017-04-11,1491883200,52.3105470686355,53.44547824816563,2017-04-11,1491883200,-1.0
2017-04-12,1491969600,53.44547824816563,54.58548577201503,2017-04-12,1491969600,1.0
2017-04-13,1492056000,52.314899833162606,53.44547824816563,2017-04-13,1492056000,-1.0
2017-04-17,1492401600,53.44547824816563,54.541586776382715,2017-04-18,1492488000,1.0
2017-04-19,1492574400,52.366558139651914,53.44547824816563,2017-04-20,1492660800,-1.0
2017-04-21,1492747200,53.44547824816563,54.50718997438409,2017-04-25,1493092800,1.0
2017-04-26,1493179200,52.39936721955704,53.44547824816563,2017-04-26,1493179200,-1.0
2017-04-27,1493265600,53.44547824816563,54.46186706044503,2017-04-27,1493265600,1.0
2017-04-28,1493352000,52.45283149390619,53.44547824816563,2017-05-04,1493870400,-1.0
2017-05-05,1493956800,53.44547824816563,54.45301483509602,2017-05-08,1494216000,1.0
2017-05-09,1494302400,52.40435741555728,53.44547824816563,2017-05-09,1494302400,-1.0
2017-05-10,1494388800,53.44547824816563,54.46623330701624,2017-05-15,1494820800,1.0
2017-05-16,1494907200,52.445872530864705,53.44547824816563,2017-05-17,1494993600,-1.0
2017-05-18,1495080000,53.44547824816563,54.51199542277714,2017-05-19,1495166400,1.0
