start,start_unix,end,end_unix,reward
2016-04-01,1459483200,2016-05-25,1464148800,-1.7577541
2016-04-13,1460520000,2016-05-26,1464235200,-1.3202459000000002
2016-04-15,1460692800,2016-06-01,1464753600,-2.0997540999999997
2016-04-21,1461211200,2016-06-10,1465531200,-1.7002459
2016-04-28,1461816000,2016-06-15,1465963200,-1.2563479
2016-05-10,1462852800,2016-06-23,1466654400,-0.7631279000000002
2016-05-11,1462939200,2016-06-24,1466740800,-2.4373279
2016-05-16,1463371200,2016-06-27,1467000000,-2.0753279000000004
2016-05-26,1464235200,2016-07-07,1467864000,-2.9387341
2016-05-27,1464321600,2016-07-11,1468209600,-1.6758520999999997
2016-06-02,1464840000,2016-07-20,1468987200,-2.4948721000000003
2016-06-13,1465790400,2016-07-27,1469592000,-2.1392659000000003
2016-06-16,1466049600,2016-07-28,1469678400,-0.7875540999999999
2016-06-24,1466740800,2016-07-29,1469764800,-0.24224589999999985
2016-06-27,1467000000,2016-08-01,1470024000,1.3202459000000002
2016-06-28,1467086400,2016-08-02,1470110400,2.0997540999999997
2016-07-08,1467950400,2016-08-04,1470283200,0.7436520999999998
2016-07-12,1468296000,2016-08-09,1470715200,0.1934658999999999
2016-07-21,1469073600,2016-08-12,1470974400,-1.3744459
2016-07-28,1469678400,2016-08-19,1471579200,0.06224590000000002
2016-07-29,1469764800,2016-08-23,1471924800,-1.5202459000000004
2016-08-01,1470024000,2016-08-24,1472011200,-0.0997540999999999
2016-08-02,1470110400,2016-08-29,1472443200,-1.7002459
2016-08-03,1470196800,2016-08-30,1472529600,-0.29975409999999986
2016-08-05,1470369600,2016-08-31,1472616000,0.29975409999999986
2016-08-10,1470801600,2016-09-06,1473134400,-0.29975409999999986
2016-08-15,1471233600,2016-09-08,1473307200,1.2563479
2016-08-22,1471838400,2016-09-09,1473393600,-0.1934658999999999
2016-08-24,1472011200,2016-09-12,1473652800,1.3744459
2016-08-25,1472097600,2016-09-21,1474430400,-0.06224590000000002
2016-08-30,1472529600,2016-09-23,1474603200,1.5202459000000004
2016-08-31,1472616000,2016-09-26,1474862400,0.0997540999999999
2016-09-01,1472702400,2016-10-03,1475467200,1.7002459
2016-09-07,1473220800,2016-10-05,1475640000,1.2563479
2016-09-09,1473393600,2016-10-18,1476763200,-0.1934658999999999
2016-09-12,1473652800,2016-11-03,1478145600,1.3744459
2016-09-13,1473739200,2016-11-04,1478232000,0.8943479000000001
2016-09-22,1474516800,2016-11-10,1478754000,2.5831279000000005
2016-09-26,1474862400,2016-11-16,1479272400,2.2373279000000004
2016-09-27,1474948800,2016-11-30,1480482000,4.0753279
2016-10-04,1475553600,2016-12-01,1480568400,2.9387341
2016-10-06,1475726400,2016-12-02,1480654800,2.6324459
2016-10-19,1476849600,2016-12-05,1480914000,3.5577541000000004
2016-11-04,1478232000,2016-12-06,1481000400,3.3202459
2016-11-07,1478494800,2016-12-09,1481259600,3.0563479
2016-11-11,1478840400,2016-12-14,1481691600,1.8065341
2016-11-17,1479358800,2016-12-15,1481778000,1.3744459
2016-12-01,1480568400,2016-12-16,1481864400,-0.06224590000000002
2016-12-02,1480654800,2016-12-21,1482296400,1.5202459000000004
2016-12-05,1480914000,2016-12-23,1482469200,0.0997540999999999
2016-12-06,1481000400,2016-12-27,1482814800,1.7002459
2016-12-07,1481086800,2017-01-03,1483419600,0.29975409999999986
2016-12-12,1481518800,2017-01-04,1483506000,-0.29975409999999986
2016-12-15,1481778000,2017-01-09,1483938000,0.29975409999999986
2016-12-16,1481864400,2017-01-18,1484715600,-0.29975409999999986
2016-12-19,1482123600,2017-01-19,1484802000,0.29975409999999986
2016-12-22,1482382800,2017-01-20,1484888400,-0.29975409999999986
2016-12-27,1482814800,2017-01-25,1485320400,0.29975409999999986
2016-12-28,1482901200,2017-01-26,1485406800,-0.29975409999999986
2017-01-04,1483506000,2017-01-27,1485493200,0.29975409999999986
2017-01-05,1483592400,2017-02-03,1486098000,-1.2563479
2017-01-10,1484024400,2017-02-06,1486357200,0.1934658999999999
2017-01-19,1484802000,2017-02-08,1486530000,-1.3744459
2017-01-20,1484888400,2017-02-14,1487048400,0.06224590000000002
2017-01-23,1485147600,2017-02-27,1488171600,-0.5636521000000001
2017-01-26,1485406800,2017-02-28,1488258000,0.006534100000000043
2017-01-27,1485493200,2017-03-01,1488344400,-0.6255541
2017-01-30,1485752400,2017-03-02,1488430800,-0.06224590000000002
2017-02-06,1486357200,2017-03-03,1488517200,1.5202459000000004
2017-02-07,1486443600,2017-03-06,1488776400,0.0997540999999999
2017-02-09,1486616400,2017-03-20,1489982400,0.7436520999999998
2017-02-15,1487134800,2017-03-23,1490241600,-0.7631279000000002
2017-02-28,1488258000,2017-03-28,1490673600,-1.4807340999999998
2017-03-01,1488344400,2017-03-29,1490760000,-1.0124459000000003
2017-03-02,1488430800,2017-03-30,1490846400,-1.7577541
2017-03-03,1488517200,2017-03-31,1490932800,-1.3202459000000002
2017-03-06,1488776400,2017-04-03,1491192000,-2.0997540999999997
2017-03-07,1488862800,2017-04-12,1491969600,-1.7002459
2017-03-21,1490068800,2017-04-13,1492056000,-1.2563479
2017-03-24,1490328000,2017-04-21,1492747200,0.1934658999999999
2017-03-29,1490760000,2017-04-26,1493179200,-0.4178520999999998
2017-03-30,1490846400,2017-05-01,1493611200,0.16853409999999996
2017-03-31,1490932800,2017-05-02,1493697600,-0.4455541000000001
2017-04-03,1491192000,2017-05-09,1494302400,1.0943479
2017-04-04,1491278400,2017-05-10,1494388800,0.5831279000000005
