start,start_unix,bottom,top,end,end_unix,direction
2018-07-06,1530849600,34.06,36.646675109794316,2018-07-06,1530849600,
2018-07-06,1530849600,31.47332489020569,34.06,2018-07-11,1531281600,-1.0
2018-07-12,1531368000,34.06,36.60011499924082,2018-07-26,1532577600,1.0
2018-07-27,1532664000,31.958389105210113,34.06,2018-08-01,1533096000,-1.0
2018-08-02,1533182400,34.06,36.46866797079587,2018-08-03,1533268800,1.0
2018-08-06,1533528000,36.46866797079587,38.90736637418618,2018-08-08,1533700800,1.0
2018-08-09,1533787200,33.58754829432046,36.46866797079587,2018-08-23,1534996800,-1.0
2018-08-24,1535083200,36.46866797079587,39.277469644517076,2018-09-13,1536811200,1.0
2018-09-14,1536897600,39.277469644517076,42.15838506692102,2018-09-14,1536897600,1.0
2018-09-17,1537156800,42.15838506692102,45.24366367343897,2018-09-20,1537416000,1.0
2018-09-21,1537502400,38.94743393195749,42.15838506692102,2018-09-21,1537502400,-1.0
2018-09-24,1537761600,42.15838506692102,45.2904496922443,2018-09-24,1537761600,1.0
2018-09-25,1537848000,38.97232505769226,42.15838506692102,2018-09-28,1538107200,-1.0
2018-10-01,1538366400,42.15838506692102,45.19488092030458,2018-10-03,1538539200,1.0
2018-10-04,1538625600,39.08493958955817,42.15838506692102,2018-10-08,1538971200,-1.0
2018-10-09,1539057600,35.724849314862034,39.08493958955817,2018-10-09,1539057600,-1.0
2018-10-10,1539144000,32.172765488358486,35.724849314862034,2018-10-11,1539230400,-1.0
2018-10-12,1539316800,35.724849314862034,39.194452206081934,2018-10-26,1540526400,1.0
2018-10-29,1540785600,32.06782008676421,35.724849314862034,2018-10-29,1540785600,-1.0
2018-10-30,1540872000,35.724849314862034,39.43694788381002,2018-11-16,1542344400,1.0
2018-11-19,1542603600,32.11854252158858,35.724849314862034,2018-11-19,1542603600,-1.0
2018-11-20,1542690000,35.724849314862034,39.41156419433024,2018-11-27,1543294800,1.0
2018-11-28,1543381200,39.41156419433024,42.93942960335325,2018-12-03,1543813200,1.0
2018-12-04,1543899600,35.881031448934934,39.41156419433024,2018-12-13,1544677200,-1.0
2018-12-14,1544763600,32.63642250260967,35.881031448934934,2018-12-20,1545282000,-1.0
2018-12-21,1545368400,29.265613707338453,32.63642250260967,2018-12-24,1545627600,-1.0
2018-12-26,1545800400,32.63642250260967,36.068099474042505,2019-01-09,1547010000,1.0
2019-01-10,1547096400,36.068099474042505,38.76733426255466,2019-01-10,1547096400,1.0
2019-01-11,1547182800,33.47809574185264,36.068099474042505,2019-01-14,1547442000,-1.0
2019-01-15,1547528400,36.068099474042505,38.76013330434907,2019-01-23,1548219600,1.0
2019-01-24,1548306000,38.76013330434907,41.33909622815848,2019-01-31,1548910800,1.0
2019-02-01,1548997200,41.33909622815848,43.787258914277466,2019-02-05,1549342800,1.0
2019-02-06,1549429200,43.787258914277466,46.44471132732535,2019-02-06,1549429200,1.0
2019-02-07,1549515600,40.95576738787585,43.787258914277466,2019-02-07,1549515600,-1.0
2019-02-08,1549602000,43.787258914277466,46.656929617364675,2019-02-19,1550552400,1.0
2019-02-20,1550638800,46.656929617364675,49.18915195117334,2019-02-26,1551157200,1.0
2019-02-27,1551243600,49.18915195117334,51.61038013174324,2019-02-27,1551243600,1.0
2019-02-28,1551330000,46.829011497787015,49.18915195117334,2019-02-28,1551330000,-1.0
2019-03-01,1551416400,49.18915195117334,51.473282372174936,2019-03-01,1551416400,1.0
2019-03-04,1551675600,46.73645941738615,49.18915195117334,2019-03-08,1552021200,-1.0
2019-03-11,1552276800,49.18915195117334,51.57079205267021,2019-04-02,1554177600,1.0
2019-04-03,1554264000,51.57079205267021,53.82630461569214,2019-04-03,1554264000,1.0
2019-04-04,1554350400,49.19545895843556,51.57079205267021,2019-04-04,1554350400,-1.0
2019-04-05,1554436800,51.57079205267021,53.952601354459524,2019-04-05,1554436800,1.0
2019-04-08,1554696000,49.170111986722986,51.57079205267021,2019-04-10,1554868800,-1.0
2019-04-11,1554955200,51.57079205267021,53.79380739701644,2019-04-11,1554955200,1.0
2019-04-12,1555041600,49.42684923292014,51.57079205267021,2019-04-12,1555041600,-1.0
2019-04-15,1555300800,51.57079205267021,53.68373895672384,2019-04-15,1555300800,1.0
2019-04-16,1555387200,49.44548421319183,51.57079205267021,2019-04-22,1555905600,-1.0
2019-04-23,1555992000,51.57079205267021,53.86965646654312,2019-05-01,1556683200,1.0
2019-05-02,1556769600,48.81229316817625,51.57079205267021,2019-05-10,1557460800,-1.0
2019-05-13,1557720000,45.850277385368855,48.81229316817625,2019-05-13,1557720000,-1.0
2019-05-14,1557806400,48.81229316817625,51.78259353792597,2019-05-15,1557892800,1.0
2019-05-16,1557979200,51.78259353792597,54.85212804041425,2019-05-16,1557979200,1.0
2019-05-17,1558065600,48.76774007132971,51.78259353792597,2019-05-31,1559275200,-1.0
2019-06-03,1559534400,45.61386921485027,48.76774007132971,2019-06-05,1559707200,-1.0
2019-06-06,1559793600,48.76774007132971,51.84477880007802,2019-06-17,1560744000,1.0
2019-06-18,1560830400,51.84477880007802,54.975114528883246,2019-06-20,1561003200,1.0
2019-06-21,1561089600,48.90015941371319,51.84477880007802,2019-06-24,1561348800,-1.0
2019-06-25,1561435200,45.80698759587821,48.90015941371319,2019-06-26,1561521600,-1.0
2019-06-27,1561608000,48.90015941371319,51.9937208280709,2019-07-18,1563422400,1.0
2019-07-19,1563508800,46.25041242325096,48.90015941371319,2019-07-19,1563508800,-1.0
2019-07-22,1563768000,48.90015941371319,51.5457816191424,2019-07-25,1564027200,1.0
2019-07-26,1564113600,51.5457816191424,54.33790742633898,2019-08-02,1564718400,1.0
2019-08-05,1564977600,47.99485978953315,51.5457816191424,2019-08-07,1565150400,-1.0
2019-08-08,1565236800,51.5457816191424,55.02823871085214,2019-08-13,1565668800,1.0
2019-08-14,1565755200,47.91982207529812,51.5457816191424,2019-08-16,1565928000,-1.0
2019-08-19,1566187200,51.5457816191424,54.988337420099356,2019-08-20,1566273600,1.0
2019-08-21,1566360000,54.988337420099356,58.702680942353055,2019-09-05,1567656000,1.0
2019-09-06,1567742400,51.397702557598976,54.988337420099356,2019-09-23,1569211200,-1.0
2019-09-24,1569297600,48.17713895298382,51.397702557598976,2019-10-01,1569902400,-1.0
2019-10-02,1569988800,44.98594628349809,48.17713895298382,2019-10-03,1570075200,-1.0
2019-10-04,1570161600,48.17713895298382,51.25493263228529,2019-10-15,1571112000,1.0
2019-10-16,1571198400,45.21519957561535,48.17713895298382,2019-10-17,1571284800,-1.0
2019-10-18,1571371200,42.180241643088465,45.21519957561535,2019-10-18,1571371200,-1.0
2019-10-21,1571630400,45.21519957561535,48.13494622724746,2019-10-21,1571630400,1.0
2019-10-22,1571716800,42.06814911338553,45.21519957561535,2019-10-24,1571889600,-1.0
2019-10-25,1571976000,45.21519957561535,48.35730484730592,2019-10-28,1572235200,1.0
2019-10-29,1572321600,42.20204758114747,45.21519957561535,2019-10-29,1572321600,-1.0
2019-10-30,1572408000,45.21519957561535,48.13269785619267,2019-10-30,1572408000,1.0
2019-10-31,1572494400,48.13269785619267,51.2789462595859,2019-11-07,1573102800,1.0
2019-11-08,1573189200,51.2789462595859,54.74889807464251,2019-11-11,1573448400,1.0
2019-11-12,1573534800,54.74889807464251,58.106815711094384,2019-11-12,1573534800,1.0
2019-11-13,1573621200,51.34797455508006,54.74889807464251,2019-11-13,1573621200,-1.0
2019-11-14,1573707600,54.74889807464251,58.19489848566479,2019-11-18,1574053200,1.0
2019-11-19,1574139600,58.19489848566479,61.63277053486885,2019-11-20,1574226000,1.0
2019-11-21,1574312400,54.819641463647,58.19489848566479,2019-11-21,1574312400,-1.0
2019-11-22,1574398800,58.19489848566479,61.492351434681304,2019-12-02,1575262800,1.0
2019-12-03,1575349200,61.492351434681304,64.49227294583278,2019-12-18,1576645200,1.0
2019-12-19,1576731600,64.49227294583278,67.01783605687335,2019-12-24,1577163600,1.0
2019-12-26,1577336400,67.01783605687335,69.45017185483331,2019-12-31,1577768400,1.0
2020-01-02,1577941200,69.45017185483331,72.04320605478996,2020-01-03,1578027600,1.0
2020-01-06,1578286800,66.84074950895233,69.45017185483331,2020-01-06,1578286800,-1.0
2020-01-07,1578373200,69.45017185483331,72.04677831886565,2020-01-10,1578632400,1.0
2020-01-13,1578891600,72.04677831886565,74.6700300686373,2020-01-23,1579755600,1.0
2020-01-24,1579842000,69.42321010282127,72.04677831886565,2020-01-27,1580101200,-1.0
2020-01-28,1580187600,72.04677831886565,74.92878866841411,2020-01-31,1580446800,1.0
2020-02-03,1580706000,74.92878866841411,78.10996998852693,2020-02-04,1580792400,1.0
2020-02-05,1580878800,71.06468844852093,74.92878866841411,2020-02-05,1580878800,-1.0
2020-02-06,1580965200,66.21372824433439,71.06468844852093,2020-02-12,1581483600,-1.0
2020-02-13,1581570000,71.06468844852093,75.87637408005286,2020-02-27,1582779600,1.0
2020-02-28,1582866000,66.13998975813351,71.06468844852093,2020-02-28,1582866000,-1.0
2020-03-02,1583125200,71.06468844852093,76.17569437530925,2020-03-02,1583125200,1.0
2020-03-03,1583211600,65.4946115165032,71.06468844852093,2020-03-03,1583211600,-1.0
2020-03-04,1583298000,71.06468844852093,76.6251884568231,2020-03-04,1583298000,1.0
2020-03-05,1583384400,65.31893844081176,71.06468844852093,2020-03-06,1583470800,-1.0
2020-03-09,1583726400,58.79143970967478,65.31893844081176,2020-03-10,1583812800,-1.0
2020-03-11,1583899200,51.71891274252096,58.79143970967478,2020-03-11,1583899200,-1.0
2020-03-12,1583985600,43.98799484444956,51.71891274252096,2020-03-12,1583985600,-1.0
2020-03-13,1584072000,51.71891274252096,59.79569364787298,2020-03-13,1584072000,1.0
2020-03-16,1584331200,43.0310447589798,51.71891274252096,2020-03-25,1585108800,-1.0
2020-03-26,1585195200,51.71891274252096,60.79406102190545,2020-03-26,1585195200,1.0
2020-03-27,1585281600,42.73527505452108,51.71891274252096,2020-04-02,1585800000,-1.0
2020-04-03,1585886400,34.43924608948691,42.73527505452108,2020-04-03,1585886400,-1.0
2020-04-06,1586145600,42.73527505452108,51.130444807767105,2020-04-08,1586318400,1.0
2020-04-09,1586404800,51.130444807767105,59.603591290231215,2020-04-15,1586923200,1.0
2020-04-16,1587009600,43.435423035962195,51.130444807767105,2020-04-16,1587009600,-1.0
2020-04-17,1587096000,51.130444807767105,58.75410788158595,2020-04-20,1587355200,1.0
2020-04-21,1587441600,43.73247001452535,51.130444807767105,2020-04-21,1587441600,-1.0
2020-04-22,1587528000,51.130444807767105,58.29120711577731,2020-04-28,1588046400,1.0
2020-04-29,1588132800,58.29120711577731,65.13422236170913,2020-04-30,1588219200,1.0
2020-05-01,1588305600,51.680127643519775,58.29120711577731,2020-05-01,1588305600,-1.0
2020-05-04,1588564800,58.29120711577731,64.82735234001645,2020-05-07,1588824000,1.0
2020-05-08,1588910400,64.82735234001645,71.13798894324151,2020-05-12,1589256000,1.0
2020-05-13,1589342400,58.2434767506267,64.82735234001645,2020-05-15,1589515200,-1.0
2020-05-18,1589774400,64.82735234001645,71.30357124303733,2020-05-18,1589774400,1.0
2020-05-19,1589860800,58.47300621578278,64.82735234001645,2020-05-19,1589860800,-1.0
2020-05-20,1589947200,64.82735234001645,70.97981659823343,2020-05-20,1589947200,1.0
2020-05-21,1590033600,58.81992124310068,64.82735234001645,2020-05-22,1590120000,-1.0
2020-05-26,1590465600,64.82735234001645,70.51462711235708,2020-05-29,1590724800,1.0
2020-06-01,1590984000,70.51462711235708,76.67673719078327,2020-06-04,1591243200,1.0
2020-06-05,1591329600,76.67673719078327,83.27205179797639,2020-06-05,1591329600,1.0
2020-06-08,1591588800,83.27205179797639,89.69896821894142,2020-06-08,1591588800,1.0
2020-06-09,1591675200,76.22420083565171,83.27205179797639,2020-06-10,1591761600,-1.0
2020-06-11,1591848000,68.76167822017788,76.22420083565171,2020-06-15,1592193600,-1.0
2020-06-16,1592280000,76.22420083565171,84.19399171983393,2020-07-01,1593576000,1.0
2020-07-02,1593662400,84.19399171983393,90.82105710208629,2020-07-06,1594008000,1.0
2020-07-07,1594094400,77.67648554840206,84.19399171983393,2020-07-07,1594094400,-1.0
2020-07-08,1594180800,84.19399171983393,90.48253316473496,2020-07-09,1594267200,1.0
2020-07-10,1594353600,78.14861669846519,84.19399171983393,2020-07-22,1595390400,-1.0
2020-07-23,1595476800,72.0888879074279,78.14861669846519,2020-07-24,1595563200,-1.0
2020-07-27,1595822400,78.14861669846519,84.09638795196162,2020-08-04,1596513600,1.0
2020-08-05,1596600000,84.09638795196162,89.8713127610841,2020-08-05,1596600000,1.0
2020-08-06,1596686400,77.32095777206217,84.09638795196162,2020-08-06,1596686400,-1.0
2020-08-07,1596772800,70.4200583192984,77.32095777206217,2020-08-07,1596772800,-1.0
2020-08-10,1597032000,63.558223113160615,70.4200583192984,2020-08-12,1597204800,-1.0
2020-08-13,1597291200,70.4200583192984,77.05451529739051,2020-08-27,1598500800,1.0
2020-08-28,1598587200,77.05451529739051,82.44592073691847,2020-08-31,1598846400,1.0
2020-09-01,1598932800,82.44592073691847,87.85458154957267,2020-09-02,1599019200,1.0
2020-09-03,1599105600,76.19040411784418,82.44592073691847,2020-09-03,1599105600,-1.0
2020-09-04,1599192000,69.56399582870377,76.19040411784418,2020-09-04,1599192000,-1.0
2020-09-08,1599537600,76.19040411784418,83.36114038633171,2020-09-10,1599710400,1.0
2020-09-11,1599796800,69.09697934311127,76.19040411784418,2020-09-14,1600056000,-1.0
2020-09-15,1600142400,76.19040411784418,82.7867040511598,2020-09-16,1600228800,1.0
2020-09-17,1600315200,69.7555026447302,76.19040411784418,2020-09-18,1600401600,-1.0
2020-09-21,1600660800,76.19040411784418,82.87157936762102,2020-09-23,1600833600,1.0
2020-09-24,1600920000,69.65424230160521,76.19040411784418,2020-09-24,1600920000,-1.0
2020-09-25,1601006400,76.19040411784418,82.76434009006609,2020-09-30,1601438400,1.0
2020-10-01,1601524800,82.76434009006609,88.77263325704416,2020-10-08,1602129600,1.0
2020-10-09,1602216000,88.77263325704416,94.49189077344468,2020-10-19,1603080000,1.0
2020-10-20,1603166400,83.64758974732386,88.77263325704416,2020-10-20,1603166400,-1.0
2020-10-21,1603252800,88.77263325704416,94.03945937321302,2020-10-27,1603771200,1.0
2020-10-28,1603857600,83.18364480596968,88.77263325704416,2020-11-03,1604379600,-1.0
2020-11-04,1604466000,88.77263325704416,95.04823672391213,2020-11-10,1604984400,1.0
2020-11-11,1605070800,95.04823672391213,102.38419529404624,2020-11-13,1605243600,1.0
2020-11-16,1605502800,88.08197762092938,95.04823672391213,2020-11-16,1605502800,-1.0
2020-11-17,1605589200,95.04823672391213,101.85504874811039,2020-11-23,1606107600,1.0
2020-11-24,1606194000,88.84909533955471,95.04823672391213,2020-11-24,1606194000,-1.0
2020-11-25,1606280400,95.04823672391213,101.14658229510115,2020-11-30,1606712400,1.0
2020-12-01,1606798800,88.60861893240254,95.04823672391213,2020-12-03,1606971600,-1.0
2020-12-04,1607058000,95.04823672391213,101.31320669765358,2020-12-21,1608526800,1.0
2020-12-22,1608613200,101.31320669765358,107.91825473059117,2020-12-22,1608613200,1.0
2020-12-23,1608699600,107.91825473059117,114.58637076117608,2020-12-24,1608786000,1.0
2020-12-28,1609131600,101.1486750919746,107.91825473059117,2021-01-04,1609736400,-1.0
2021-01-05,1609822800,94.31912638481228,101.1486750919746,2021-01-06,1609909200,-1.0
2021-01-07,1609995600,101.1486750919746,108.1674696404972,2021-01-12,1610427600,1.0
2021-01-13,1610514000,94.31676104313155,101.1486750919746,2021-01-14,1610600400,-1.0
2021-01-15,1610686800,101.1486750919746,107.89326424633416,2021-01-25,1611550800,1.0
2021-01-26,1611637200,93.84432645137242,101.1486750919746,2021-01-28,1611810000,-1.0
2021-01-29,1611896400,86.37714497782906,93.84432645137242,2021-01-29,1611896400,-1.0
2021-02-01,1612155600,93.84432645137242,101.29756639109125,2021-02-03,1612328400,1.0
2021-02-04,1612414800,101.29756639109125,108.6174352495323,2021-02-09,1612846800,1.0
2021-02-10,1612933200,92.8455920870009,101.29756639109125,2021-02-22,1613970000,-1.0
2021-02-23,1614056400,84.54820241828722,92.8455920870009,2021-02-26,1614315600,-1.0
2021-03-01,1614574800,92.8455920870009,100.9735641384412,2021-03-01,1614574800,1.0
2021-03-02,1614661200,84.65147518209203,92.8455920870009,2021-03-03,1614747600,-1.0
2021-03-04,1614834000,76.39979274877776,84.65147518209203,2021-03-08,1615179600,-1.0
2021-03-09,1615266000,84.65147518209203,93.24076610993149,2021-03-17,1615953600,1.0
2021-03-18,1616040000,76.51156400739586,84.65147518209203,2021-04-01,1617249600,-1.0
2021-04-05,1617595200,84.65147518209203,91.51810672303576,2021-04-12,1618200000,1.0
2021-04-13,1618286400,91.51810672303576,97.5127246343534,2021-04-19,1618804800,1.0
2021-04-20,1618891200,85.82909043118775,91.51810672303576,2021-04-20,1618891200,-1.0
2021-04-21,1618977600,91.51810672303576,97.11319327975177,2021-04-27,1619496000,1.0
2021-04-28,1619582400,97.11319327975177,102.47620573940912,2021-04-29,1619668800,1.0
2021-04-30,1619755200,91.62891212831252,97.11319327975177,2021-05-03,1620014400,-1.0
2021-05-04,1620100800,85.85607276814297,91.62891212831252,2021-05-07,1620360000,-1.0
2021-05-10,1620619200,79.2772496484584,85.85607276814297,2021-05-10,1620619200,-1.0
2021-05-11,1620705600,85.85607276814297,92.83733709356436,2021-05-11,1620705600,1.0
2021-05-12,1620792000,78.98647018025167,85.85607276814297,2021-05-13,1620878400,-1.0
2021-05-14,1620964800,85.85607276814297,92.69468928525332,2021-06-02,1622606400,1.0
2021-06-03,1622692800,80.68118190680393,85.85607276814297,2021-06-03,1622692800,-1.0
2021-06-04,1622779200,85.85607276814297,90.88247142510063,2021-06-14,1623643200,1.0
2021-06-15,1623729600,81.24469312520002,85.85607276814297,2021-06-16,1623816000,-1.0
2021-06-17,1623902400,85.85607276814297,90.70300725619072,2021-06-17,1623902400,1.0
2021-06-18,1623988800,90.70300725619072,95.57916070937792,2021-06-22,1624334400,1.0
2021-06-23,1624420800,95.57916070937792,100.35958167754566,2021-07-14,1626235200,1.0
2021-07-15,1626321600,91.10925462408605,95.57916070937792,2021-07-16,1626408000,-1.0
2021-07-19,1626667200,95.57916070937792,99.96523279312447,2021-07-22,1626926400,1.0
2021-07-23,1627012800,99.96523279312447,104.16764805717813,2021-07-23,1627012800,1.0
2021-07-26,1627272000,95.72356147650322,99.96523279312447,2021-08-03,1627963200,-1.0
2021-08-04,1628049600,99.96523279312447,104.10673278446734,2021-08-04,1628049600,1.0
2021-08-05,1628136000,95.26069708687753,99.96523279312447,2021-08-05,1628136000,-1.0
2021-08-06,1628222400,99.96523279312447,104.94187309178236,2021-08-06,1628222400,1.0
2021-08-09,1628481600,104.94187309178236,110.23289622625039,2021-08-26,1629950400,1.0
2021-08-27,1630036800,110.23289622625039,114.519873378776,2021-09-02,1630555200,1.0
2021-09-03,1630641600,114.519873378776,118.50697635650234,2021-09-07,1630987200,1.0
2021-09-08,1631073600,110.3557692806344,114.519873378776,2021-09-09,1631160000,-1.0
2021-09-10,1631246400,105.90395503274702,110.3557692806344,2021-09-20,1632110400,-1.0
2021-09-21,1632196800,101.06839490820734,105.90395503274702,2021-09-21,1632196800,-1.0
2021-09-22,1632283200,105.90395503274702,110.78883229124816,2021-09-22,1632283200,1.0
2021-09-23,1632369600,110.78883229124816,115.90014688842777,2021-09-24,1632456000,1.0
2021-09-27,1632715200,115.90014688842777,121.20395386252653,2021-09-27,1632715200,1.0
2021-09-28,1632801600,110.54382612676464,115.90014688842777,2021-10-05,1633406400,-1.0
2021-10-06,1633492800,115.90014688842777,121.4298482075107,2021-10-12,1634011200,1.0
2021-10-13,1634097600,121.4298482075107,127.04555096132285,2021-10-20,1634702400,1.0
2021-10-21,1634788800,127.04555096132285,132.53472236676205,2021-10-26,1635220800,1.0
2021-10-27,1635307200,121.7327854336586,127.04555096132285,2021-11-01,1635739200,-1.0
2021-11-02,1635825600,127.04555096132285,132.1961924970272,2021-11-03,1635912000,1.0
2021-11-04,1635998400,120.91597229023083,127.04555096132285,2021-11-09,1636434000,-1.0
2021-11-10,1636520400,114.90520356300625,120.91597229023083,2021-11-18,1637211600,-1.0
2021-11-19,1637298000,109.60870464120474,114.90520356300625,2021-11-29,1638162000,-1.0
2021-11-30,1638248400,103.62809082751929,109.60870464120474,2021-12-10,1639112400,-1.0
2021-12-13,1639371600,96.61012794371273,103.62809082751929,2021-12-22,1640149200,-1.0
2021-12-23,1640235600,103.62809082751929,110.41659836827365,2022-01-03,1641186000,1.0
2022-01-04,1641272400,97.50071832858734,103.62809082751929,2022-01-04,1641272400,-1.0
2022-01-05,1641358800,90.82615815100768,97.50071832858734,2022-01-05,1641358800,-1.0
2022-01-06,1641445200,83.9662094146837,90.82615815100768,2022-01-10,1641790800,-1.0
2022-01-11,1641877200,90.82615815100768,97.70166521139535,2022-01-11,1641877200,1.0
2022-01-12,1641963600,83.73333016636198,90.82615815100768,2022-01-13,1642050000,-1.0
2022-01-14,1642136400,76.27778124082563,83.73333016636198,2022-01-24,1643000400,-1.0
2022-01-25,1643086800,68.80811822763077,76.27778124082563,2022-01-26,1643173200,-1.0
2022-01-27,1643259600,61.282755731559696,68.80811822763077,2022-01-27,1643259600,-1.0
2022-01-28,1643346000,68.80811822763077,76.35138340255392,2022-01-31,1643605200,1.0
2022-02-01,1643691600,76.35138340255392,83.6715865380744,2022-02-02,1643778000,1.0
2022-02-03,1643864400,69.2293000867225,76.35138340255392,2022-02-03,1643864400,-1.0
2022-02-04,1643950800,76.35138340255392,83.44881791011167,2022-02-10,1644469200,1.0
2022-02-11,1644555600,68.75480494823682,76.35138340255392,2022-02-17,1645074000,-1.0
2022-02-18,1645160400,61.96379352063456,68.75480494823682,2022-02-23,1645592400,-1.0
2022-02-24,1645678800,68.75480494823682,76.13161475379155,2022-03-03,1646283600,1.0
2022-03-04,1646370000,61.929242205892564,68.75480494823682,2022-03-10,1646888400,-1.0
2022-03-11,1646974800,55.18685355776004,61.929242205892564,2022-03-15,1647316800,-1.0
2022-03-16,1647403200,61.929242205892564,68.70326992453221,2022-03-17,1647489600,1.0
2022-03-18,1647576000,68.70326992453221,75.61183464111434,2022-03-18,1647576000,1.0
2022-03-21,1647835200,61.85103125913451,68.70326992453221,2022-03-21,1647835200,-1.0
2022-03-22,1647921600,68.70326992453221,75.40806297097294,2022-03-22,1647921600,1.0
2022-03-23,1648008000,62.145676381408684,68.70326992453221,2022-03-23,1648008000,-1.0
2022-03-24,1648094400,68.70326992453221,75.06953535743263,2022-03-24,1648094400,1.0
2022-03-25,1648180800,62.24530916541039,68.70326992453221,2022-03-28,1648440000,-1.0
2022-03-29,1648526400,68.70326992453221,75.030047313775,2022-03-30,1648612800,1.0
2022-03-31,1648699200,62.79555880829735,68.70326992453221,2022-03-31,1648699200,-1.0
2022-04-01,1648785600,68.70326992453221,74.49178738960742,2022-04-04,1649044800,1.0
2022-04-05,1649131200,62.77284415107449,68.70326992453221,2022-04-07,1649304000,-1.0
2022-04-08,1649390400,56.993431095576454,62.77284415107449,2022-04-21,1650513600,-1.0
2022-04-22,1650600000,51.84828493839805,56.993431095576454,2022-04-22,1650600000,-1.0
2022-04-25,1650859200,56.993431095576454,62.10535252724212,2022-04-25,1650859200,1.0
2022-04-26,1650945600,51.93293262331548,56.993431095576454,2022-04-27,1651032000,-1.0
2022-04-28,1651118400,56.993431095576454,61.95853437012801,2022-04-28,1651118400,1.0
2022-04-29,1651204800,52.00240662635001,56.993431095576454,2022-04-29,1651204800,-1.0
2022-05-02,1651464000,56.993431095576454,61.89988238842958,2022-05-04,1651636800,1.0
2022-05-05,1651723200,51.32439119382779,56.993431095576454,2022-05-10,1652155200,-1.0
2022-05-11,1652241600,45.32737606695765,51.32439119382779,2022-05-11,1652241600,-1.0
2022-05-12,1652328000,51.32439119382779,57.326333811635784,2022-05-26,1653537600,1.0
2022-05-27,1653624000,57.326333811635784,62.502700674647016,2022-05-27,1653624000,1.0
