unix,date,open,high,low,close,volume_base
1451883600,2016-01-04,55.44,55.65,54.47,55.06,9094310.0
1451970000,2016-01-05,55.34,55.34,54.13,54.64,7113341.0
1452056400,2016-01-06,54.01,54.02,53.1,53.44,9624488.0
1452142800,2016-01-07,52.48,52.9,50.98,51.43,9375697.0
1452229200,2016-01-08,51.9,52.49,50.89,51.04,7359207.0
1452488400,2016-01-11,51.12,51.29,49.4,50.07,8034284.0
1452574800,2016-01-12,50.67,50.68,49.15,49.39,7313352.0
1452661200,2016-01-13,49.87,49.91,48.0,48.11,7537936.0
1452747600,2016-01-14,48.15,49.29,47.46,48.79,12049575.0
1452834000,2016-01-15,47.26,48.1,46.54,47.38,7950426.0
1453179600,2016-01-19,47.95,48.05,45.93,46.39,8574954.0
1453266000,2016-01-20,45.85,46.03,44.4,45.57,12088414.0
1453352400,2016-01-21,45.6,46.47,44.95,46.32,7204517.0
1453438800,2016-01-22,47.5,48.68,46.77,47.66,7474172.0
1453698000,2016-01-25,47.25,47.73,46.42,46.51,6359988.0
1453784400,2016-01-26,46.7,47.15,45.67,46.82,5180585.0
1453870800,2016-01-27,46.97,47.45,45.64,45.67,5759546.0
1453957200,2016-01-28,46.32,46.47,44.88,45.82,6062578.0
1454043600,2016-01-29,46.13,46.32,44.87,46.32,10690610.0
1454302800,2016-02-01,45.85,47.17,45.46,46.96,6496230.0
1454389200,2016-02-02,48.68,49.82,47.22,49.66,11617553.0
1454475600,2016-02-03,50.43,51.89,50.4,51.54,12967229.0
1454562000,2016-02-04,51.75,52.54,51.53,52.26,10797854.0
1454648400,2016-02-05,52.36,52.38,51.18,51.49,6186085.0
1454907600,2016-02-08,51.23,51.76,49.85,50.98,10932330.0
1454994000,2016-02-09,50.44,52.05,50.41,51.39,5966972.0
1455080400,2016-02-10,51.9,52.38,51.04,51.24,7456011.0
1455166800,2016-02-11,50.13,50.87,49.28,49.73,8362662.0
1455253200,2016-02-12,50.26,51.17,49.83,51.07,5387245.0
1455598800,2016-02-16,51.27,52.04,51.05,51.98,5056551.0
1455685200,2016-02-17,52.25,53.41,52.11,53.27,7744236.0
1455771600,2016-02-18,53.2,53.31,52.63,52.8,4224218.0
1455858000,2016-02-19,52.63,52.68,52.16,52.26,4218602.0
1456117200,2016-02-22,52.8,53.65,52.74,53.16,6408527.0
1456203600,2016-02-23,52.84,52.84,51.74,52.15,5759679.0
1456290000,2016-02-24,51.5,52.43,51.26,52.38,5076256.0
1456376400,2016-02-25,52.55,53.39,52.13,53.39,4368155.0
1456462800,2016-02-26,53.79,54.46,53.64,54.1,4198710.0
1456722000,2016-02-29,53.99,55.21,53.85,53.96,7028791.0
1456808400,2016-03-01,54.6,55.62,54.45,55.58,5771610.0
1456894800,2016-03-02,55.0,55.5,54.33,55.08,5196641.0
1456981200,2016-03-03,55.12,55.42,54.63,55.06,3788732.0
1457067600,2016-03-04,55.06,56.16,54.57,55.82,6373687.0
1457326800,2016-03-07,55.46,55.99,54.93,55.23,7800217.0
1457413200,2016-03-08,54.91,55.09,53.78,54.2,7990680.0
1457499600,2016-03-09,54.52,54.89,54.28,54.46,2635779.0
1457586000,2016-03-10,54.78,55.31,54.01,54.53,3964575.0
1457672400,2016-03-11,55.03,56.41,55.03,56.19,5139084.0
1457928000,2016-03-14,55.73,56.24,55.68,55.81,3181150.0
1458014400,2016-03-15,55.41,55.73,55.18,55.71,4694148.0
1458100800,2016-03-16,55.59,56.42,55.28,56.23,3682493.0
1458187200,2016-03-17,56.27,57.14,56.17,57.05,4435831.0
1458273600,2016-03-18,57.29,57.98,57.13,57.34,9742833.0
1458532800,2016-03-21,57.18,57.39,56.23,57.21,6086527.0
1458619200,2016-03-22,56.73,57.21,56.53,56.89,4967775.0
1458705600,2016-03-23,56.8,57.3,56.67,56.81,3192518.0
1458792000,2016-03-24,56.44,56.97,56.07,56.97,4441860.0
1459137600,2016-03-28,57.39,57.56,57.12,57.23,3850728.0
1459224000,2016-03-29,56.92,57.38,56.35,57.25,5734669.0
1459310400,2016-03-30,57.61,57.85,57.37,57.66,4018637.0
1459396800,2016-03-31,57.79,57.9,56.6,56.96,4430038.0
1459483200,2016-04-01,56.44,57.47,56.04,57.28,4649576.0
1459742400,2016-04-04,56.94,57.38,56.77,57.2,4309600.0
1459828800,2016-04-05,56.77,57.43,56.71,56.83,3356996.0
1459915200,2016-04-06,56.83,57.22,56.08,57.04,4643001.0
1460001600,2016-04-07,56.53,56.71,56.11,56.49,4363894.0
1460088000,2016-04-08,57.13,57.4,56.6,56.86,3046109.0
1460347200,2016-04-11,57.05,57.39,56.72,56.85,2664778.0
1460433600,2016-04-12,57.03,57.87,56.92,57.81,3803172.0
1460520000,2016-04-13,58.22,58.63,58.07,58.47,4234166.0
1460606400,2016-04-14,58.58,59.08,58.36,58.64,3888951.0
1460692800,2016-04-15,58.87,58.9,58.21,58.65,3711330.0
1460952000,2016-04-18,58.3,58.86,57.98,58.84,6357760.0
1461038400,2016-04-19,59.2,59.73,59.12,59.42,4677097.0
1461124800,2016-04-20,59.73,59.75,58.16,58.17,6524135.0
1461211200,2016-04-21,58.46,58.86,57.9,58.22,4335912.0
1461297600,2016-04-22,58.64,59.16,58.53,58.92,4274875.0
1461556800,2016-04-25,58.7,58.84,57.84,58.84,6182862.0
1461643200,2016-04-26,59.36,60.35,59.33,60.11,5975769.0
