unix,date,open,high,low,close,volume_base
1451883600,2016-01-04,62.78,64.12,62.34,64.09,3892572.0
1451970000,2016-01-05,64.17,64.76,63.8,64.46,3574926.0
1452056400,2016-01-06,63.76,64.68,63.58,64.36,3477401.0
1452142800,2016-01-07,64.13,64.69,63.13,63.59,3772488.0
1452229200,2016-01-08,63.74,64.06,63.14,63.25,2916573.0
1452488400,2016-01-11,63.2,63.44,61.25,61.64,5359272.0
1452574800,2016-01-12,61.96,62.75,61.73,62.6,3197230.0
1452661200,2016-01-13,62.2,62.68,60.5,60.61,3659355.0
1452747600,2016-01-14,61.14,61.65,59.83,60.53,4587767.0
1452834000,2016-01-15,59.45,61.34,59.43,60.97,4870571.0
1453179600,2016-01-19,61.55,62.67,61.14,62.26,4235575.0
1453266000,2016-01-20,61.57,62.51,60.76,62.16,5426985.0
1453352400,2016-01-21,62.33,63.68,62.22,62.68,3178132.0
1453438800,2016-01-22,63.18,64.16,62.92,63.6,3014434.0
1453698000,2016-01-25,63.73,64.44,63.48,63.89,2529938.0
1453784400,2016-01-26,64.22,65.38,63.99,65.22,3134646.0
1453870800,2016-01-27,65.06,66.18,65.04,65.53,3894209.0
1453957200,2016-01-28,65.72,65.73,64.84,64.97,2990884.0
1454043600,2016-01-29,65.22,66.51,65.07,66.44,3739090.0
1454302800,2016-02-01,66.21,67.7,65.54,67.58,3430187.0
1454389200,2016-02-02,67.33,67.93,66.83,67.57,3337426.0
1454475600,2016-02-03,67.62,67.64,65.78,66.47,3170939.0
1454562000,2016-02-04,65.81,66.51,64.11,64.49,3953581.0
1454648400,2016-02-05,64.48,64.8,63.36,63.43,2878319.0
1454907600,2016-02-08,63.07,63.12,60.97,61.7,4114408.0
1454994000,2016-02-09,60.95,62.14,60.35,61.53,4128858.0
1455080400,2016-02-10,61.76,62.48,61.51,61.67,2643952.0
1455166800,2016-02-11,60.98,61.48,60.1,60.85,2506416.0
1455253200,2016-02-12,60.91,62.5,60.84,62.37,2326627.0
1455598800,2016-02-16,64.54,66.86,63.78,64.65,3295935.0
1455685200,2016-02-17,65.24,65.98,65.06,65.74,2741484.0
1455771600,2016-02-18,64.24,65.05,63.28,64.26,4430414.0
1455858000,2016-02-19,63.81,64.16,62.54,63.73,3437394.0
1456117200,2016-02-22,64.03,64.9,63.71,64.42,2859971.0
1456203600,2016-02-23,64.96,66.01,64.62,65.6,3193157.0
1456290000,2016-02-24,65.39,66.53,64.93,66.45,2601039.0
1456376400,2016-02-25,66.86,67.52,66.07,67.51,2107408.0
1456462800,2016-02-26,67.39,67.62,66.95,67.29,1999950.0
1456722000,2016-02-29,66.95,67.42,65.71,65.72,3776978.0
1456808400,2016-03-01,65.63,67.15,64.24,66.87,3533889.0
1456894800,2016-03-02,66.46,66.8,65.61,66.2,3865484.0
1456981200,2016-03-03,65.75,66.45,65.41,66.4,2206364.0
1457067600,2016-03-04,66.08,66.85,65.48,66.28,2731864.0
1457326800,2016-03-07,65.61,66.32,65.22,66.01,1978249.0
1457413200,2016-03-08,65.64,66.88,65.6,65.71,2124942.0
1457499600,2016-03-09,66.1,66.68,65.84,66.57,3138200.0
1457586000,2016-03-10,70.57,73.71,70.37,73.67,10919454.0
1457672400,2016-03-11,74.31,75.28,74.14,75.24,5815444.0
1457928000,2016-03-14,75.37,76.01,74.92,75.95,3537564.0
1458014400,2016-03-15,75.56,76.83,75.12,75.27,3622825.0
1458100800,2016-03-16,75.26,75.26,73.78,74.94,3318588.0
1458187200,2016-03-17,74.89,75.14,74.07,74.47,3371296.0
1458273600,2016-03-18,74.59,75.08,73.91,74.39,5704216.0
1458532800,2016-03-21,74.36,75.49,74.36,74.9,2147942.0
1458619200,2016-03-22,74.84,75.39,74.17,74.26,2538501.0
1458705600,2016-03-23,74.29,75.28,74.08,74.8,2506383.0
1458792000,2016-03-24,74.75,75.04,74.27,74.53,2803967.0
1459137600,2016-03-28,74.73,76.76,74.69,76.42,4320084.0
1459224000,2016-03-29,76.64,76.88,75.81,76.51,3292953.0
1459310400,2016-03-30,76.35,76.98,75.9,76.47,2756933.0
