unix,date,open,high,low,close,volume_base
1451883600,2016-01-04,65.76,66.37,65.67,66.21,6311718.0
1451970000,2016-01-05,66.25,66.53,65.79,66.33,4196149.0
1452056400,2016-01-06,65.58,66.01,65.05,65.56,5053908.0
1452142800,2016-01-07,64.48,65.0,63.67,63.88,6195511.0
1452229200,2016-01-08,64.06,64.77,63.76,63.91,4720004.0
1452488400,2016-01-11,64.17,64.35,63.27,63.88,5350778.0
1452574800,2016-01-12,64.73,64.73,63.12,63.95,3993440.0
1452661200,2016-01-13,64.4,64.43,62.39,62.48,4210834.0
1452747600,2016-01-14,62.52,63.41,61.97,63.05,4443903.0
1452834000,2016-01-15,62.06,62.41,61.44,61.52,7272943.0
1453179600,2016-01-19,62.36,62.55,61.13,61.83,4741133.0
1453266000,2016-01-20,61.0,61.85,60.3,61.39,7105280.0
1453352400,2016-01-21,61.09,61.44,60.55,60.97,5243985.0
1453438800,2016-01-22,61.78,61.9,61.18,61.64,4962908.0
1453698000,2016-01-25,61.65,61.85,60.84,60.94,4262796.0
1453784400,2016-01-26,59.86,61.35,58.68,61.15,9159972.0
1453870800,2016-01-27,61.26,61.8,60.41,60.84,6891789.0
1453957200,2016-01-28,61.23,61.44,60.66,61.0,5228653.0
1454043600,2016-01-29,61.41,62.63,61.02,62.58,6824970.0
1454302800,2016-02-01,62.45,62.5,61.61,62.08,3852076.0
1454389200,2016-02-02,61.28,61.49,60.69,60.93,3678940.0
1454475600,2016-02-03,61.47,61.72,60.23,61.41,3390259.0
1454562000,2016-02-04,61.28,62.61,61.25,62.43,4216700.0
1454648400,2016-02-05,62.13,62.36,61.14,61.41,4187227.0
1454907600,2016-02-08,61.05,61.28,59.85,60.76,6724953.0
1454994000,2016-02-09,60.14,62.06,59.98,61.52,3552078.0
1455080400,2016-02-10,61.91,62.71,61.41,61.54,3098712.0
1455166800,2016-02-11,60.38,61.13,59.84,60.37,4076362.0
1455253200,2016-02-12,60.92,61.36,60.5,61.33,3696794.0
1455598800,2016-02-16,62.24,62.68,61.97,62.46,4193933.0
1455685200,2016-02-17,62.86,63.15,62.57,62.88,3579045.0
1455771600,2016-02-18,62.55,62.97,62.46,62.59,2431877.0
1455858000,2016-02-19,62.52,62.82,62.13,62.58,3781149.0
1456117200,2016-02-22,63.14,63.61,63.08,63.37,3267702.0
1456203600,2016-02-23,63.07,63.47,62.66,63.06,2554814.0
1456290000,2016-02-24,62.71,63.2,62.34,62.97,3778597.0
1456376400,2016-02-25,62.97,63.75,62.77,63.74,2965009.0
1456462800,2016-02-26,63.95,64.47,63.77,64.32,4461165.0
1456722000,2016-02-29,64.17,64.91,64.0,64.47,6370471.0
1456808400,2016-03-01,64.9,65.56,64.74,65.43,5437812.0
1456894800,2016-03-02,65.26,66.14,65.1,65.35,4597676.0
1456981200,2016-03-03,65.62,65.82,65.19,65.6,3674116.0
1457067600,2016-03-04,65.7,66.07,65.18,65.51,4735868.0
1457326800,2016-03-07,65.16,65.39,64.92,65.17,4720747.0
1457413200,2016-03-08,64.9,65.03,64.12,64.24,4317030.0
1457499600,2016-03-09,64.58,64.59,63.77,63.89,3644358.0
1457586000,2016-03-10,64.4,64.69,63.78,64.43,3891629.0
1457672400,2016-03-11,65.12,65.64,64.87,65.44,4069957.0
1457928000,2016-03-14,65.4,66.3,65.03,66.07,3865872.0
1458014400,2016-03-15,65.89,66.56,65.79,66.23,3702129.0
1458100800,2016-03-16,66.19,66.23,65.6,65.93,3307933.0
1458187200,2016-03-17,66.01,67.76,65.89,67.56,6033532.0
1458273600,2016-03-18,67.9,68.82,67.55,68.82,12098340.0
1458532800,2016-03-21,68.34,68.8,68.12,68.51,3191266.0
1458619200,2016-03-22,67.85,68.84,67.75,68.67,3928649.0
1458705600,2016-03-23,68.69,68.72,68.29,68.61,2774260.0
1458792000,2016-03-24,68.3,68.61,68.09,68.56,4570710.0
1459137600,2016-03-28,68.55,68.9,68.38,68.71,3087242.0
1459224000,2016-03-29,68.68,69.07,68.29,68.91,2836035.0
1459310400,2016-03-30,69.18,69.37,68.68,68.74,3378726.0
1459396800,2016-03-31,68.84,68.86,68.46,68.62,3321215.0
1459483200,2016-04-01,68.25,69.29,67.83,69.18,3062306.0
1459742400,2016-04-04,68.3,68.67,67.7,67.82,4225624.0
1459828800,2016-04-05,67.51,67.6,67.17,67.47,2931435.0
1459915200,2016-04-06,67.34,67.92,67.16,67.88,3628187.0
1460001600,2016-04-07,67.28,67.64,66.88,67.48,3547302.0
1460088000,2016-04-08,67.81,68.14,67.27,67.41,2217890.0
1460347200,2016-04-11,67.44,67.73,67.03,67.04,2967623.0
1460433600,2016-04-12,67.23,67.8,67.09,67.62,2289514.0
1460520000,2016-04-13,67.88,68.27,67.7,68.18,2481798.0
