start,start_unix,end,end_unix,reward
2016-04-29,1461902400,2016-05-20,1463716800,-1.7002459
2016-05-04,1462334400,2016-05-27,1464321600,-0.29975409999999986
2016-05-10,1462852800,2016-05-31,1464667200,0.29975409999999986
2016-05-11,1462939200,2016-06-02,1464840000,-0.29975409999999986
2016-05-12,1463025600,2016-06-10,1465531200,1.2563479
2016-05-13,1463112000,2016-06-20,1466395200,-0.1934658999999999
2016-05-16,1463371200,2016-06-23,1466654400,1.3744459
2016-05-18,1463544000,2016-06-24,1466740800,-0.06224590000000002
2016-05-23,1463976000,2016-06-27,1467000000,0.5636521000000001
2016-05-31,1464667200,2016-06-28,1467086400,-0.9631279000000001
2016-06-01,1464753600,2016-07-01,1467345600,0.5192659
2016-06-03,1464926400,2016-07-07,1467864000,-1.0124459000000003
2016-06-13,1465790400,2016-07-12,1468296000,-1.7577541
2016-06-21,1466481600,2016-07-21,1469073600,-0.3636521
2016-06-24,1466740800,2016-08-11,1470888000,-1.0368720999999996
2016-06-27,1467000000,2016-08-17,1471406400,-0.5192659
2016-06-28,1467086400,2016-09-09,1473393600,1.0124459000000003
2016-06-29,1467172800,2016-09-16,1473998400,1.7577541
2016-07-05,1467691200,2016-09-19,1474257600,1.3202459000000002
2016-07-08,1467950400,2016-10-04,1475553600,2.0997540999999997
2016-07-13,1468382400,2016-10-20,1476936000,1.7002459
2016-07-22,1469160000,2016-10-25,1477368000,1.2563479
2016-08-12,1470974400,2016-10-26,1477454400,-0.1934658999999999
2016-08-18,1471492800,2016-10-27,1477540800,1.3744459
2016-09-12,1473652800,2016-11-09,1478667600,-0.06224590000000002
2016-09-19,1474257600,2016-11-10,1478754000,1.5202459000000004
2016-09-20,1474344000,2016-11-18,1479445200,0.0997540999999999
2016-10-05,1475640000,2016-11-29,1480395600,1.7002459
2016-10-21,1477022400,2016-12-01,1480568400,1.2563479
2016-10-26,1477454400,2016-12-02,1480654800,-0.1934658999999999
2016-10-27,1477540800,2016-12-07,1481086800,1.3744459
2016-10-28,1477627200,2016-12-16,1481864400,0.8943479000000001
2016-11-10,1478754000,2016-12-27,1482814800,2.5831279000000005
2016-11-11,1478840400,2017-01-10,1484024400,1.2807341
2016-11-21,1479704400,2017-01-12,1484197200,3.0124459
2016-11-30,1480482000,2017-01-23,1485147600,1.7577541
2016-12-02,1480654800,2017-01-24,1485234000,1.3202459000000002
2016-12-05,1480914000,2017-01-30,1485752400,3.0563479
2016-12-08,1481173200,2017-01-31,1485838800,1.8065341
2016-12-19,1482123600,2017-02-01,1485925200,1.3744459
2016-12-28,1482901200,2017-02-02,1486011600,-0.06224590000000002
2017-01-11,1484110800,2017-02-06,1486357200,1.5202459000000004
2017-01-13,1484283600,2017-02-08,1486530000,0.0997540999999999
2017-01-24,1485234000,2017-02-10,1486702800,1.7002459
2017-01-25,1485320400,2017-02-14,1487048400,1.2563479
2017-01-31,1485838800,2017-02-21,1487653200,-0.1934658999999999
2017-02-01,1485925200,2017-02-22,1487739600,1.3744459
2017-02-02,1486011600,2017-02-24,1487912400,0.8943479000000001
2017-02-03,1486098000,2017-02-28,1488258000,1.6265341000000002
2017-02-07,1486443600,2017-03-02,1488430800,1.1744459000000003
2017-02-09,1486616400,2017-03-03,1488517200,1.9377540999999998
2017-02-13,1486962000,2017-03-06,1488776400,1.5202459000000004
2017-02-15,1487134800,2017-03-07,1488862800,0.0997540999999999
2017-02-22,1487739600,2017-03-20,1489982400,1.7002459
2017-02-23,1487826000,2017-03-22,1490155200,0.29975409999999986
2017-02-27,1488171600,2017-03-23,1490241600,-0.29975409999999986
2017-03-01,1488344400,2017-03-24,1490328000,0.29975409999999986
2017-03-03,1488517200,2017-04-10,1491796800,-0.29975409999999986
2017-03-06,1488776400,2017-04-12,1491969600,0.29975409999999986
2017-03-07,1488862800,2017-04-13,1492056000,-1.2563479
2017-03-08,1488949200,2017-04-24,1493006400,0.1934658999999999
2017-03-21,1490068800,2017-04-27,1493265600,-0.4178520999999998
2017-03-23,1490241600,2017-05-04,1493870400,0.16853409999999996
2017-03-24,1490328000,2017-05-05,1493956800,-0.4455541000000001
2017-03-27,1490587200,2017-05-16,1494907200,0.13775409999999993
2017-04-11,1491883200,2017-05-18,1495080000,-1.4363478999999997
2017-04-13,1492056000,2017-05-19,1495166400,-0.006534100000000043
2017-04-17,1492401600,2017-05-23,1495512000,0.6255541
2017-04-25,1493092800,2017-05-24,1495598400,0.06224590000000002
2017-04-28,1493352000,2017-05-25,1495684800,-1.5202459000000004
2017-05-05,1493956800,2017-05-26,1495771200,-0.0997540999999999
2017-05-08,1494216000,2017-05-30,1496116800,-1.7002459
2017-05-17,1494993600,2017-06-01,1496289600,-0.29975409999999986
2017-05-19,1495166400,2017-06-08,1496894400,1.2563479
2017-05-22,1495425600,2017-06-09,1496980800,0.7631279000000002
2017-05-24,1495598400,2017-06-12,1497240000,1.4807340999999998
2017-05-25,1495684800,2017-06-13,1497326400,1.0124459000000003
2017-05-26,1495771200,2017-06-16,1497585600,1.7577541
2017-05-30,1496116800,2017-06-20,1497931200,1.3202459000000002
2017-05-31,1496203200,2017-07-07,1499400000,2.0997540999999997
2017-06-02,1496376000,2017-07-11,1499745600,1.7002459
2017-06-09,1496980800,2017-07-12,1499832000,1.2563479
2017-06-12,1497240000,2017-07-13,1499918400,-0.1934658999999999
2017-06-13,1497326400,2017-07-17,1500264000,1.3744459
2017-06-14,1497412800,2017-07-18,1500350400,-0.06224590000000002
2017-06-19,1497844800,2017-07-28,1501214400,1.5202459000000004
2017-06-21,1498017600,2017-08-02,1501646400,0.0997540999999999
2017-07-10,1499659200,2017-08-03,1501732800,0.7436520999999998
2017-07-12,1499832000,2017-08-07,1502078400,0.1934658999999999
