unix,date,open,high,low,close,volume_base
1451883600,2016-01-04,101.48,101.7,99.77,101.11,1897588.0
1451970000,2016-01-05,101.16,102.19,100.93,101.48,1282880.0
1452056400,2016-01-06,98.71,99.63,95.77,97.14,3992126.0
1452142800,2016-01-07,95.18,96.96,94.32,94.62,2062147.0
1452229200,2016-01-08,94.82,95.08,93.55,93.79,1420390.0
1452488400,2016-01-11,94.07,94.54,93.13,94.03,1577902.0
1452574800,2016-01-12,95.02,95.5,94.03,95.02,1412189.0
1452661200,2016-01-13,95.86,95.96,92.6,92.7,1470679.0
1452747600,2016-01-14,93.01,94.74,92.11,94.21,1653112.0
1452834000,2016-01-15,93.03,93.4,90.41,92.2,2325280.0
1453179600,2016-01-19,93.47,93.55,91.22,92.01,1553564.0
1453266000,2016-01-20,90.73,93.06,89.87,92.07,1824346.0
1453352400,2016-01-21,91.78,92.34,90.41,91.54,1697611.0
1453438800,2016-01-22,93.43,96.0,93.13,94.37,1627869.0
1453698000,2016-01-25,93.91,94.28,92.65,92.81,1285003.0
1453784400,2016-01-26,92.95,93.62,92.69,93.59,1206057.0
1453870800,2016-01-27,92.95,94.13,91.73,92.38,1190654.0
1453957200,2016-01-28,93.55,94.55,92.92,93.48,1113591.0
1454043600,2016-01-29,94.12,97.05,93.47,96.96,2425245.0
1454302800,2016-02-01,95.78,96.76,94.81,96.55,1264516.0
1454389200,2016-02-02,95.76,95.76,94.1,94.31,1458086.0
1454475600,2016-02-03,96.16,96.98,93.61,96.43,1660597.0
1454562000,2016-02-04,96.59,98.59,96.29,98.12,1462901.0
1454648400,2016-02-05,97.87,97.87,94.98,95.43,1436578.0
1454907600,2016-02-08,94.41,95.02,92.07,93.14,1758003.0
1454994000,2016-02-09,92.5,96.8,91.87,96.35,1864176.0
1455080400,2016-02-10,96.73,98.56,95.34,95.46,1313167.0
1455166800,2016-02-11,93.5,94.02,92.17,92.85,1561463.0
1455253200,2016-02-12,94.34,96.11,93.51,95.84,1323244.0
1455598800,2016-02-16,97.28,97.86,95.61,97.66,1351921.0
1455685200,2016-02-17,98.83,99.37,98.47,98.83,1417032.0
1455771600,2016-02-18,98.63,98.87,97.37,97.76,1062001.0
1455858000,2016-02-19,97.34,97.37,95.97,96.87,2811895.0
1456117200,2016-02-22,98.21,98.39,96.04,97.15,2423126.0
1456203600,2016-02-23,93.14,93.58,89.87,90.01,6438795.0
1456290000,2016-02-24,89.35,91.96,88.64,91.8,3014221.0
1456376400,2016-02-25,92.21,93.2,91.31,93.19,1338781.0
1456462800,2016-02-26,93.88,95.78,93.67,95.53,1908607.0
1456722000,2016-02-29,95.22,96.0,92.17,92.17,2249882.0
1456808400,2016-03-01,93.07,95.4,92.3,95.15,1976032.0
1456894800,2016-03-02,94.63,95.02,93.57,94.09,1467566.0
1456981200,2016-03-03,94.13,94.81,93.89,94.59,1255360.0
1457067600,2016-03-04,95.01,96.28,94.19,95.57,1382707.0
1457326800,2016-03-07,95.01,95.88,94.62,95.24,1258562.0
1457413200,2016-03-08,94.33,94.74,93.67,93.73,1504593.0
1457499600,2016-03-09,94.14,94.67,93.41,93.67,2287205.0
1457586000,2016-03-10,94.22,95.51,93.37,94.61,1698795.0
1457672400,2016-03-11,95.6,96.33,95.54,95.91,1094093.0
