start,start_unix,bottom,top,end,end_unix,direction
2016-03-15,1458014400,47.915,49.47700920175032,2016-03-15,1458014400,
2016-03-15,1458014400,46.35299079824968,47.915,2016-03-15,1458014400,-1.0
2016-03-16,1458100800,47.915,49.51843711591101,2016-04-19,1461038400,1.0
2016-04-20,1461124800,46.479769168086,47.915,2016-04-26,1461643200,-1.0
2016-04-27,1461729600,47.915,49.310463049759484,2016-05-03,1462248000,1.0
2016-05-04,1462334400,49.310463049759484,50.84028366046921,2016-05-09,1462766400,1.0
2016-05-10,1462852800,47.76715967453873,49.310463049759484,2016-05-10,1462852800,-1.0
2016-05-11,1462939200,49.310463049759484,50.81810189817875,2016-05-12,1463025600,1.0
2016-05-13,1463112000,47.877345879438785,49.310463049759484,2016-05-17,1463457600,-1.0
2016-05-18,1463544000,46.39180855320169,47.877345879438785,2016-05-19,1463630400,-1.0
2016-05-20,1463716800,47.877345879438785,49.33126326787791,2016-05-20,1463716800,1.0
2016-05-23,1463976000,46.43856544731674,47.877345879438785,2016-05-23,1463976000,-1.0
2016-05-24,1464062400,47.877345879438785,49.284070566409255,2016-06-02,1464840000,1.0
2016-06-03,1464926400,49.284070566409255,50.59579625177008,2016-06-09,1465444800,1.0
2016-06-10,1465531200,50.59579625177008,51.77467271487823,2016-06-14,1465876800,1.0
2016-06-15,1465963200,49.418026722087646,50.59579625177008,2016-06-15,1465963200,-1.0
2016-06-16,1466049600,50.59579625177008,51.75115367218949,2016-06-24,1466740800,1.0
2016-06-27,1467000000,51.75115367218949,53.0750665258241,2016-06-29,1467172800,1.0
2016-06-30,1467259200,53.0750665258241,54.49814179529758,2016-07-11,1468209600,1.0
2016-07-12,1468296000,51.48138764046197,53.0750665258241,2016-07-12,1468296000,-1.0
2016-07-13,1468382400,53.0750665258241,54.82105406223179,2016-07-19,1468900800,1.0
2016-07-20,1468987200,51.600267535159084,53.0750665258241,2016-07-21,1469073600,-1.0
2016-07-22,1469160000,53.0750665258241,54.52495953308118,2016-07-26,1469505600,1.0
2016-07-27,1469592000,51.65455889574254,53.0750665258241,2016-07-28,1469678400,-1.0
2016-07-29,1469764800,53.0750665258241,54.50744300278218,2016-08-01,1470024000,1.0
2016-08-02,1470110400,51.71134395130412,53.0750665258241,2016-08-12,1470974400,-1.0
2016-08-15,1471233600,50.47275189402053,51.71134395130412,2016-08-17,1471406400,-1.0
2016-08-18,1471492800,51.71134395130412,53.032730521949915,2016-08-18,1471492800,1.0
2016-08-19,1471579200,50.368627849990176,51.71134395130412,2016-08-25,1472097600,-1.0
2016-08-26,1472184000,49.024087477293605,50.368627849990176,2016-09-01,1472702400,-1.0
2016-09-02,1472788800,50.368627849990176,51.658533931904756,2016-09-08,1473307200,1.0
2016-09-09,1473393600,49.015984898991576,50.368627849990176,2016-09-15,1473912000,-1.0
2016-09-16,1473998400,50.368627849990176,51.73439857276403,2016-09-20,1474344000,1.0
2016-09-21,1474430400,51.73439857276403,53.09376529212779,2016-09-26,1474862400,1.0
2016-09-27,1474948800,50.35448445177933,51.73439857276403,2016-09-29,1475121600,-1.0
2016-09-30,1475208000,48.89176676817751,50.35448445177933,2016-10-03,1475467200,-1.0
2016-10-04,1475553600,47.34970917364329,48.89176676817751,2016-10-12,1476244800,-1.0
2016-10-13,1476331200,48.89176676817751,50.33833207527147,2016-10-28,1477627200,1.0
2016-10-31,1477886400,50.33833207527147,51.6975749672174,2016-11-01,1477972800,1.0
2016-11-02,1478059200,48.84407672456298,50.33833207527147,2016-11-08,1478581200,-1.0
2016-11-09,1478667600,47.15125862062823,48.84407672456298,2016-11-25,1480050000,-1.0
2016-11-28,1480309200,48.84407672456298,50.44123546403223,2016-11-29,1480395600,1.0
2016-11-30,1480482000,47.17820005634715,48.84407672456298,2016-12-09,1481259600,-1.0
