unix,date,open,high,low,close,volume_base
1451883600,2016-01-04,66.6,66.81,66.57,66.71,1322265.0
1451970000,2016-01-05,66.76,67.15,66.74,66.89,1220873.0
1452056400,2016-01-06,66.79,66.94,66.75,66.88,992913.0
1452142800,2016-01-07,66.38,66.68,66.38,66.57,1281161.0
1452229200,2016-01-08,66.64,66.8,66.48,66.51,2382427.0
1452488400,2016-01-11,66.57,66.57,66.33,66.4,801368.0
1452574800,2016-01-12,66.37,66.45,66.04,66.09,1406984.0
1452661200,2016-01-13,66.23,66.27,65.81,65.83,1544405.0
1452747600,2016-01-14,65.53,65.97,65.53,65.9,738024.0
1452834000,2016-01-15,65.4,65.81,65.1,65.25,1577131.0
1453179600,2016-01-19,65.6,65.65,65.37,65.49,1709353.0
1453266000,2016-01-20,65.1,65.25,64.96,65.09,2209575.0
1453352400,2016-01-21,65.23,65.46,65.19,65.39,827152.0
1453438800,2016-01-22,65.94,66.16,65.76,66.0,1686119.0
1453698000,2016-01-25,66.07,66.12,65.7,65.7,853406.0
1453784400,2016-01-26,65.73,66.0,65.55,65.91,1439685.0
1453870800,2016-01-27,66.1,66.48,66.1,66.22,898953.0
1453957200,2016-01-28,66.79,66.86,66.53,66.57,576395.0
1454043600,2016-01-29,66.99,66.99,66.67,66.81,1109984.0
1454302800,2016-02-01,66.68,66.74,66.36,66.48,2937684.0
1454389200,2016-02-02,66.31,66.34,66.17,66.33,1041437.0
1454475600,2016-02-03,66.36,66.64,66.2,66.62,1135040.0
1454562000,2016-02-04,66.7,66.74,66.52,66.7,1362882.0
1454648400,2016-02-05,66.63,66.72,66.62,66.64,862417.0
1454907600,2016-02-08,66.44,66.44,66.22,66.34,1467282.0
1454994000,2016-02-09,66.08,66.29,66.08,66.12,790553.0
1455080400,2016-02-10,66.25,66.41,66.17,66.19,755920.0
1455166800,2016-02-11,65.93,66.14,65.89,66.11,938760.0
1455253200,2016-02-12,66.18,66.44,66.1,66.37,1033746.0
1455598800,2016-02-16,66.7,66.7,66.39,66.58,2098635.0
1455685200,2016-02-17,66.86,67.13,66.79,67.05,1756123.0
1455771600,2016-02-18,67.19,67.38,67.14,67.26,1292590.0
1455858000,2016-02-19,67.3,67.3,67.03,67.2,585021.0
1456117200,2016-02-22,67.52,67.57,67.45,67.53,690328.0
1456203600,2016-02-23,67.52,67.62,67.34,67.52,681247.0
1456290000,2016-02-24,67.19,67.55,67.19,67.53,885309.0
1456376400,2016-02-25,67.53,67.81,67.52,67.76,1460071.0
1456462800,2016-02-26,67.99,68.11,67.83,67.88,1368817.0
1456722000,2016-02-29,68.07,68.18,67.89,67.98,1471002.0
1456808400,2016-03-01,68.38,68.83,68.31,68.77,8638853.0
1456894800,2016-03-02,68.5,68.64,68.37,68.61,2611612.0
1456981200,2016-03-03,68.61,68.71,68.5,68.69,2180591.0
1457067600,2016-03-04,68.73,68.89,68.73,68.85,1882827.0
1457326800,2016-03-07,68.92,69.0,68.8,68.99,1514600.0
1457413200,2016-03-08,68.93,69.04,68.61,68.71,1915074.0
1457499600,2016-03-09,68.73,68.89,68.64,68.88,1012266.0
1457586000,2016-03-10,69.01,69.2,68.8,68.84,1255145.0
1457672400,2016-03-11,69.02,69.3,69.02,69.27,1332700.0
1457928000,2016-03-14,69.17,69.31,69.11,69.11,1208202.0
1458014400,2016-03-15,68.94,69.1,68.72,68.73,1095473.0
1458100800,2016-03-16,68.67,69.5,68.67,69.41,1631757.0
1458187200,2016-03-17,69.74,70.08,69.69,69.95,1700273.0
1458273600,2016-03-18,70.23,70.27,69.95,70.01,1583626.0
1458532800,2016-03-21,70.16,70.37,70.16,70.27,1797254.0
1458619200,2016-03-22,70.17,70.31,70.1,70.13,1810180.0
1458705600,2016-03-23,70.01,70.06,69.68,69.69,1276721.0
1458792000,2016-03-24,69.58,69.68,69.28,69.53,1188913.0
1459137600,2016-03-28,69.39,69.72,69.25,69.66,1399274.0
1459224000,2016-03-29,69.62,70.03,69.54,70.02,1819528.0
1459310400,2016-03-30,70.03,70.2,70.03,70.09,1274824.0
1459396800,2016-03-31,70.2,70.41,70.17,70.23,2151315.0
1459483200,2016-04-01,70.22,70.58,70.09,70.41,1443678.0
1459742400,2016-04-04,70.33,70.51,70.33,70.39,1225449.0
1459828800,2016-04-05,70.29,70.29,70.1,70.21,1456592.0
1459915200,2016-04-06,70.18,70.37,70.15,70.37,1602100.0
1460001600,2016-04-07,70.36,70.36,69.98,70.09,1668772.0
1460088000,2016-04-08,70.28,70.37,70.23,70.31,1084368.0
1460347200,2016-04-11,70.64,70.73,70.43,70.62,1712013.0
1460433600,2016-04-12,70.69,70.81,70.65,70.72,1655222.0
1460520000,2016-04-13,70.94,71.06,70.94,71.01,1891792.0
1460606400,2016-04-14,71.16,71.22,71.05,71.1,818127.0
1460692800,2016-04-15,71.17,71.18,71.07,71.14,777117.0
1460952000,2016-04-18,70.92,71.18,70.92,71.18,992721.0
1461038400,2016-04-19,71.4,71.45,71.23,71.45,2191279.0
1461124800,2016-04-20,71.51,71.67,71.34,71.51,1702872.0
1461211200,2016-04-21,71.6,71.86,71.25,71.25,1549203.0
1461297600,2016-04-22,71.23,71.29,71.15,71.15,1280079.0
1461556800,2016-04-25,71.02,71.04,70.84,70.86,1505031.0
1461643200,2016-04-26,70.92,70.94,70.83,70.92,1153264.0
1461729600,2016-04-27,70.98,71.33,70.91,71.24,1336039.0
1461816000,2016-04-28,71.36,71.49,71.31,71.39,1705565.0
1461902400,2016-04-29,71.49,71.54,71.26,71.32,1233415.0
1462161600,2016-05-02,71.56,71.56,71.29,71.31,1187632.0
1462248000,2016-05-03,71.31,71.31,71.03,71.15,1488536.0
1462334400,2016-05-04,71.03,71.1,70.95,70.98,1061832.0
1462420800,2016-05-05,71.2,71.2,70.99,71.14,1002354.0
1462507200,2016-05-06,71.04,71.25,70.94,71.24,1085128.0
1462766400,2016-05-09,71.02,71.34,71.02,71.06,1279589.0
1462852800,2016-05-10,71.31,71.41,71.22,71.37,1036704.0
1462939200,2016-05-11,71.52,71.57,71.42,71.54,1168050.0
1463025600,2016-05-12,71.67,71.77,71.57,71.68,839869.0
1463112000,2016-05-13,71.75,71.75,71.56,71.72,422594.0
1463371200,2016-05-16,71.77,71.81,71.68,71.76,936762.0
1463457600,2016-05-17,71.74,71.77,71.64,71.71,530215.0
1463544000,2016-05-18,71.7,71.7,70.99,71.02,1980055.0
1463630400,2016-05-19,70.75,70.84,70.62,70.77,1731321.0
1463716800,2016-05-20,70.93,71.08,70.8,70.84,1698273.0
1463976000,2016-05-23,71.06,71.06,70.79,70.85,967093.0
1464062400,2016-05-24,70.81,71.13,70.81,71.02,2057362.0
1464148800,2016-05-25,71.22,71.25,71.13,71.22,1065119.0
1464235200,2016-05-26,71.31,71.33,71.2,71.24,1050255.0
1464321600,2016-05-27,71.33,71.36,71.2,71.2,602063.0
1464667200,2016-05-31,71.24,71.28,71.15,71.17,1141434.0
1464753600,2016-06-01,71.28,71.43,71.16,71.41,1972939.0
1464840000,2016-06-02,71.52,71.62,71.39,71.54,4717635.0
1464926400,2016-06-03,71.97,72.31,71.96,72.11,1381955.0
1465185600,2016-06-06,72.14,72.36,72.14,72.24,926675.0
1465272000,2016-06-07,72.63,72.69,72.33,72.36,1636340.0
1465358400,2016-06-08,72.87,72.87,72.63,72.74,905227.0
1465444800,2016-06-09,72.64,72.65,72.45,72.65,1007025.0
1465531200,2016-06-10,72.52,72.53,72.36,72.37,922245.0
1465790400,2016-06-13,72.24,72.33,72.11,72.11,884641.0
1465876800,2016-06-14,71.8,71.86,71.69,71.78,1230964.0
1465963200,2016-06-15,71.89,72.12,71.88,72.06,1248318.0
1466049600,2016-06-16,72.04,72.15,71.91,72.07,919622.0
1466136000,2016-06-17,72.2,72.25,72.0,72.0,855404.0
1466395200,2016-06-20,72.58,72.58,72.37,72.49,1737101.0
1466481600,2016-06-21,72.54,72.56,72.42,72.43,1024171.0
1466568000,2016-06-22,72.61,72.75,72.56,72.75,1417466.0
1466654400,2016-06-23,72.86,73.02,72.86,72.92,643468.0
1466740800,2016-06-24,71.79,72.53,71.79,72.31,1440243.0
1467000000,2016-06-27,72.47,72.72,72.08,72.52,2040060.0
1467086400,2016-06-28,72.9,73.1,72.8,73.06,1375594.0
1467172800,2016-06-29,73.64,73.84,73.41,73.79,1465998.0
1467259200,2016-06-30,73.84,74.16,73.77,74.13,5621951.0
1467345600,2016-07-01,74.47,74.7,74.13,74.42,2015807.0
1467691200,2016-07-05,74.63,74.67,74.44,74.58,2044673.0
1467777600,2016-07-06,74.5,74.71,74.46,74.69,1523807.0
1467864000,2016-07-07,74.88,74.88,74.6,74.66,1168235.0
1467950400,2016-07-08,74.81,75.26,74.81,75.26,1771621.0
1468209600,2016-07-11,75.43,75.63,75.38,75.47,1731653.0
1468296000,2016-07-12,75.42,75.45,75.21,75.21,1771342.0
1468382400,2016-07-13,75.35,75.39,75.22,75.25,1801346.0
1468468800,2016-07-14,75.35,75.58,75.16,75.28,3567986.0
1468555200,2016-07-15,75.34,75.34,75.18,75.26,6213263.0
1468814400,2016-07-18,75.23,75.26,75.07,75.16,4425993.0
1468900800,2016-07-19,75.21,75.28,75.08,75.18,2962149.0
1468987200,2016-07-20,75.24,75.28,75.07,75.15,2791616.0
1469073600,2016-07-21,75.22,75.22,75.03,75.15,2487421.0
1469160000,2016-07-22,75.24,75.5,75.11,75.15,3789930.0
1469419200,2016-07-25,75.21,75.3,74.95,74.97,1216953.0
1469505600,2016-07-26,74.88,74.94,74.73,74.75,4230533.0
1469592000,2016-07-27,75.23,75.32,74.75,75.09,3011159.0
1469678400,2016-07-28,75.03,75.33,74.84,74.91,1677009.0
1469764800,2016-07-29,74.96,75.15,74.88,75.15,1982645.0
1470024000,2016-08-01,74.75,74.81,74.42,74.54,2766516.0
1470110400,2016-08-02,74.63,74.63,74.36,74.36,2756857.0
1470196800,2016-08-03,74.38,74.55,74.34,74.47,3239090.0
1470283200,2016-08-04,74.82,75.01,74.8,74.97,1462983.0
1470369600,2016-08-05,75.09,75.09,74.77,74.77,2149767.0
1470628800,2016-08-08,75.07,75.24,75.07,75.22,3223758.0
1470715200,2016-08-09,75.45,75.59,75.41,75.57,2653919.0
1470801600,2016-08-10,75.68,75.8,75.63,75.79,1667479.0
1470888000,2016-08-11,75.67,75.76,75.52,75.67,2177279.0
1470974400,2016-08-12,75.78,76.01,75.78,75.99,3338073.0
1471233600,2016-08-15,76.01,76.1,76.01,76.09,915897.0
1471320000,2016-08-16,76.17,76.18,75.88,75.88,3245372.0
1471406400,2016-08-17,76.03,76.15,75.85,76.12,4567035.0
1471492800,2016-08-18,76.18,76.31,76.11,76.3,2294036.0
1471579200,2016-08-19,76.09,76.18,75.92,75.94,1341171.0
1471838400,2016-08-22,75.96,76.07,75.83,76.04,2202953.0
1471924800,2016-08-23,76.12,76.21,76.09,76.1,2993381.0
1472011200,2016-08-24,76.11,76.16,75.83,75.85,1940508.0
1472097600,2016-08-25,75.93,75.93,75.73,75.84,1109061.0
1472184000,2016-08-26,75.99,76.21,75.72,75.74,2659227.0
1472443200,2016-08-29,75.79,76.12,75.75,76.12,1945860.0
1472529600,2016-08-30,76.14,76.15,75.91,76.09,1934089.0
1472616000,2016-08-31,76.1,76.1,75.81,75.81,1796452.0
1472702400,2016-09-01,75.68,75.83,75.56,75.72,5842525.0
1472788800,2016-09-02,75.96,75.96,75.69,75.94,2458416.0
1473134400,2016-09-06,76.2,76.41,76.04,76.41,3277146.0
1473220800,2016-09-07,76.65,76.73,76.41,76.62,3137195.0
1473307200,2016-09-08,76.56,76.67,76.24,76.27,2189544.0
1473393600,2016-09-09,76.13,76.16,75.45,75.52,3520707.0
1473652800,2016-09-12,75.08,75.71,75.08,75.51,3213872.0
1473739200,2016-09-13,75.46,75.52,74.65,74.68,5314741.0
1473825600,2016-09-14,74.91,75.13,74.77,74.82,2659291.0
1473912000,2016-09-15,74.8,75.16,74.8,75.13,2844730.0
1473998400,2016-09-16,75.23,75.23,74.81,74.92,1716159.0
1474257600,2016-09-19,75.15,75.24,75.03,75.19,2090769.0
1474344000,2016-09-20,75.34,75.45,75.2,75.27,3426253.0
1474430400,2016-09-21,75.57,76.13,75.48,76.09,2375647.0
1474516800,2016-09-22,76.58,76.67,76.38,76.39,6322548.0
1474603200,2016-09-23,76.44,76.44,75.98,76.15,3126134.0
1474862400,2016-09-26,75.96,76.0,75.82,75.91,1880351.0
1474948800,2016-09-27,75.96,76.17,75.9,76.13,2383097.0
1475035200,2016-09-28,76.11,76.21,75.96,76.2,2229481.0
1475121600,2016-09-29,76.3,76.34,75.9,75.9,2188151.0
1475208000,2016-09-30,76.06,76.28,76.02,76.13,2441664.0
1475467200,2016-10-03,76.28,76.36,76.12,76.28,3225373.0
1475553600,2016-10-04,76.44,76.44,75.87,75.95,3262950.0
1475640000,2016-10-05,75.98,76.11,75.84,75.96,1493111.0
1475726400,2016-10-06,75.96,75.96,75.71,75.83,2074374.0
1475812800,2016-10-07,75.76,75.91,75.59,75.89,1469978.0
1476072000,2016-10-10,75.76,76.19,75.76,76.17,953500.0
1476158400,2016-10-11,75.74,75.74,75.41,75.57,2465703.0
