start,start_unix,end,end_unix,reward
2016-03-17,1458187200,2016-04-12,1460433600,1.5202459000000004
2016-03-24,1458792000,2016-04-22,1461297600,1.0563479
2016-03-28,1459137600,2016-04-26,1461643200,1.8065341
2016-04-01,1459483200,2016-05-10,1462852800,1.3744459
2016-04-05,1459828800,2016-05-17,1463457600,0.8943479000000001
2016-04-06,1459915200,2016-05-18,1463544000,1.6265341000000002
2016-04-07,1460001600,2016-05-23,1463976000,0.21785210000000005
2016-04-11,1460347200,2016-06-02,1464840000,1.8314659
2016-04-13,1460520000,2016-06-03,1464926400,1.4021479000000003
2016-04-25,1461556800,2016-06-07,1465272000,0.9251279000000001
2016-04-27,1461729600,2016-06-09,1465444800,2.6173279
2016-05-11,1462939200,2016-06-13,1465790400,1.3187341
2016-05-18,1463544000,2016-06-14,1465876800,-0.12414789999999981
2016-05-19,1463630400,2016-06-16,1466049600,1.4514659
2016-05-24,1464062400,2016-06-17,1466136000,2.2455541
2016-06-03,1464926400,2016-06-21,1466481600,1.8622459
2016-06-06,1465185600,2016-06-23,1466654400,1.4363478999999997
2016-06-08,1465358400,2016-06-27,1467000000,0.006534100000000043
2016-06-10,1465531200,2016-06-28,1467086400,-0.6255541
2016-06-14,1465876800,2016-06-30,1467259200,0.8943479000000001
2016-06-15,1465963200,2016-07-07,1467864000,2.5831279000000005
2016-06-17,1466136000,2016-07-25,1469419200,2.2373279000000004
2016-06-20,1466395200,2016-07-26,1469505600,3.1187340999999997
2016-06-22,1466568000,2016-07-27,1469592000,2.8324459
2016-06-24,1466740800,2016-07-28,1469678400,1.5577541
2016-06-28,1467086400,2016-07-29,1469764800,3.3202459
2016-06-29,1467172800,2016-08-03,1470196800,2.0997540999999997
2016-07-01,1467345600,2016-08-04,1470283200,1.7002459
2016-07-08,1467950400,2016-08-05,1470369600,0.29975409999999986
2016-07-26,1469505600,2016-08-09,1470715200,-0.29975409999999986
2016-07-27,1469592000,2016-08-17,1471406400,1.2563479
2016-07-28,1469678400,2016-08-18,1471492800,0.7631279000000002
2016-07-29,1469764800,2016-09-02,1472788800,1.4807340999999998
2016-08-01,1470024000,2016-09-08,1473307200,1.0124459000000003
2016-08-04,1470283200,2016-09-09,1473393600,1.7577541
2016-08-05,1470369600,2016-09-12,1473652800,0.3636521
