unix,date,open,high,low,close,volume_base
1451883600,2016-01-04,77.97,78.04,73.88,75.13,513834.0
1451970000,2016-01-05,75.27,76.96,74.897,75.11,334740.0
1452056400,2016-01-06,74.01,75.0,73.42,74.32,366684.0
1452142800,2016-01-07,73.08,74.58,72.05,72.28,489944.0
1452229200,2016-01-08,73.02,73.59,70.26,70.49,811715.0
1452488400,2016-01-11,69.56,70.7,68.55,70.2,619884.0
1452574800,2016-01-12,70.87,71.86,69.92,70.47,480866.0
1452661200,2016-01-13,71.04,71.72,69.5,70.2,587057.0
1452747600,2016-01-14,70.5,73.15,68.9901,72.78,598567.0
1452834000,2016-01-15,71.19,71.32,68.26,69.06,655125.0
1453179600,2016-01-19,69.64,70.43,67.61,67.84,699356.0
1453266000,2016-01-20,66.58,69.07,64.82,68.77,594473.0
1453352400,2016-01-21,68.22,70.68,67.48,70.18,486467.0
1453438800,2016-01-22,71.32,72.45,70.87,72.12,407817.0
1453698000,2016-01-25,71.72,72.96,71.38,72.49,498843.0
1453784400,2016-01-26,72.42,72.76,70.61,70.99,335064.0
1453870800,2016-01-27,70.66,72.425,69.88,70.67,420975.0
1453957200,2016-01-28,71.63,72.62,70.57,71.5,290919.0
1454043600,2016-01-29,72.11,74.94,71.55,74.9,554828.0
1454302800,2016-02-01,74.36,76.77,73.95,75.86,516634.0
1454389200,2016-02-02,75.0,76.34,74.42,75.2,403569.0
1454475600,2016-02-03,76.0,76.0,71.06,71.71,505149.0
1454562000,2016-02-04,71.37,72.02,67.75,68.86,546926.0
1454648400,2016-02-05,68.26,68.26,58.665,60.92,1996621.0
1454907600,2016-02-08,59.54,61.93,58.15,59.77,1625725.0
1454994000,2016-02-09,58.96,60.74,56.93,58.69,949898.0
1455080400,2016-02-10,58.91,60.99,57.96,58.06,752994.0
1455166800,2016-02-11,56.65,58.52,56.491,58.05,797742.0
1455253200,2016-02-12,59.0,59.0,54.88,57.0,929172.0
1455598800,2016-02-16,57.88,61.14,57.23,60.44,697314.0
1455685200,2016-02-17,60.87,61.05,59.35,60.1,638361.0
1455771600,2016-02-18,62.98,68.64,62.364,65.67,929909.0
1455858000,2016-02-19,65.5,66.82,64.67,66.43,732539.0
1456117200,2016-02-22,66.97,67.39,64.03,64.17,536077.0
1456203600,2016-02-23,63.99,65.64,62.89,64.93,627920.0
1456290000,2016-02-24,63.9,65.88,63.11,65.74,501207.0
1456376400,2016-02-25,66.0,67.29,65.15,67.21,478035.0
1456462800,2016-02-26,67.47,68.0,66.7225,67.29,474625.0
1456722000,2016-02-29,67.35,68.89,67.04,68.38,895062.0
1456808400,2016-03-01,68.93,70.87,68.15,70.13,618447.0
1456894800,2016-03-02,69.85,70.75,69.21,69.73,331750.0
1456981200,2016-03-03,69.63,71.1,68.8,70.97,413711.0
1457067600,2016-03-04,71.07,72.06,70.07,71.38,436193.0
1457326800,2016-03-07,70.38,71.52,69.58,70.74,608603.0
1457413200,2016-03-08,70.17,70.63,69.16,69.62,426291.0
1457499600,2016-03-09,70.09,70.09,68.34,69.12,420283.0
1457586000,2016-03-10,69.26,69.83,67.12,68.17,427857.0
1457672400,2016-03-11,68.77,69.71,68.47,69.56,331606.0
1457928000,2016-03-14,69.56,71.93,69.56,71.58,481683.0
1458014400,2016-03-15,71.01,71.15,70.18,70.34,482181.0
1458100800,2016-03-16,69.99,72.3,69.85,70.78,569970.0
1458187200,2016-03-17,70.61,71.67,70.11,71.18,417067.0
1458273600,2016-03-18,71.65,71.99,70.31,70.6,985827.0
1458532800,2016-03-21,70.24,71.19,70.24,70.67,266244.0
1458619200,2016-03-22,70.0,70.96,69.89,70.46,518273.0
1458705600,2016-03-23,70.46,71.27,70.08,70.74,336433.0
1458792000,2016-03-24,70.33,71.29,69.88,70.52,295642.0
1459137600,2016-03-28,70.53,72.3833,70.43,72.15,336321.0
1459224000,2016-03-29,71.73,73.83,71.56,73.76,361621.0
1459310400,2016-03-30,74.51,74.88,73.16,73.34,294857.0
1459396800,2016-03-31,73.32,75.25,73.06,74.67,412636.0
1459483200,2016-04-01,74.19,77.18,73.88,76.99,625337.0
1459742400,2016-04-04,76.8,76.8,75.31,75.59,586105.0
1459828800,2016-04-05,75.1,75.54,73.95,74.13,334787.0
1459915200,2016-04-06,74.2,74.63,73.77,74.32,299387.0
1460001600,2016-04-07,73.68,74.34,72.43,72.74,371907.0
1460088000,2016-04-08,73.2,73.78,72.66,73.7,229711.0
1460347200,2016-04-11,74.01,75.5,73.42,73.43,314484.0
1460433600,2016-04-12,73.48,74.26,72.75,74.23,400125.0
1460520000,2016-04-13,74.64,76.38,74.56,76.14,451440.0
1460606400,2016-04-14,76.05,76.32,75.18,76.17,390877.0
1460692800,2016-04-15,76.2,77.38,75.86,77.2,444835.0
1460952000,2016-04-18,76.93,77.96,76.58,77.46,307472.0
1461038400,2016-04-19,77.57,77.96,75.72,77.08,418546.0
1461124800,2016-04-20,76.95,77.71,76.01,77.23,334300.0
1461211200,2016-04-21,77.08,78.1,76.8,77.92,422344.0
1461297600,2016-04-22,77.77,78.4,77.08,78.08,413187.0
1461556800,2016-04-25,77.86,78.14,76.62,77.4,277281.0
1461643200,2016-04-26,77.8,78.2811,76.57,78.1,286830.0
