unix,date,open,high,low,close,volume_base
1451883600,2016-01-04,248.58,249.28,243.19,245.53,928404.0
1451970000,2016-01-05,247.11,252.54,243.95,251.61,1483911.0
1452056400,2016-01-06,248.49,257.31,247.86,256.36,1176624.0
1452142800,2016-01-07,252.71,254.34,250.65,251.51,1187139.0
1452229200,2016-01-08,252.6,258.98,252.37,256.9,1530511.0
1452488400,2016-01-11,258.52,264.01,256.55,259.47,1647216.0
1452574800,2016-01-12,261.02,262.05,256.94,261.16,911129.0
1452661200,2016-01-13,260.59,262.22,252.67,253.41,1260533.0
1452747600,2016-01-14,253.82,261.64,246.53,257.9,5025751.0
1452834000,2016-01-15,252.94,257.05,248.62,251.43,1326744.0
1453179600,2016-01-19,255.83,256.2,240.26,244.73,1956606.0
1453266000,2016-01-20,241.19,246.5,233.73,244.11,1412025.0
1453352400,2016-01-21,244.05,244.93,238.26,240.31,880151.0
1453438800,2016-01-22,243.56,247.58,241.62,246.34,1340485.0
1453698000,2016-01-25,245.68,254.02,245.28,248.73,1558491.0
1453784400,2016-01-26,252.25,253.75,248.68,251.8,1093505.0
1453870800,2016-01-27,252.3,255.39,246.31,248.43,1119419.0
1453957200,2016-01-28,249.82,257.04,245.06,248.97,1055786.0
1454043600,2016-01-29,249.89,257.77,248.79,257.55,1279778.0
1454302800,2016-02-01,257.12,261.9,256.15,258.27,848506.0
1454389200,2016-02-02,255.36,260.29,254.8,259.22,1042224.0
1454475600,2016-02-03,259.98,261.12,252.38,256.7,1296114.0
1454562000,2016-02-04,258.88,260.46,253.23,255.79,1079746.0
1454648400,2016-02-05,254.51,254.87,238.92,239.2,1422524.0
1454907600,2016-02-08,237.07,237.17,217.11,222.94,1896632.0
1454994000,2016-02-09,222.82,223.9,211.84,219.8,2133089.0
1455080400,2016-02-10,222.29,230.77,220.83,226.68,1529553.0
1455166800,2016-02-11,220.09,231.61,220.09,228.09,1009891.0
1455253200,2016-02-12,231.82,236.49,229.35,236.25,1124205.0
1455598800,2016-02-16,237.03,241.88,235.88,241.57,1356426.0
1455685200,2016-02-17,241.57,245.82,237.13,241.03,1609884.0
1455771600,2016-02-18,238.85,243.53,237.96,240.75,1334316.0
1455858000,2016-02-19,238.75,252.21,236.15,248.26,2247570.0
1456117200,2016-02-22,250.58,252.79,247.27,248.64,882312.0
1456203600,2016-02-23,247.83,248.7,241.01,242.2,993585.0
1456290000,2016-02-24,240.98,245.97,238.58,244.65,1221481.0
1456376400,2016-02-25,245.66,255.1,245.66,255.0,1028086.0
1456462800,2016-02-26,254.17,261.27,251.82,254.4,937764.0
1456722000,2016-02-29,253.19,256.06,251.23,251.84,1105602.0
1456808400,2016-03-01,253.96,255.89,251.29,255.75,1400073.0
1456894800,2016-03-02,255.18,255.42,248.2,252.11,1056747.0
1456981200,2016-03-03,251.09,257.75,250.19,257.57,1147824.0
1457067600,2016-03-04,257.57,258.27,251.69,256.84,1034250.0
1457326800,2016-03-07,255.16,256.94,245.28,248.35,1121517.0
1457413200,2016-03-08,246.78,253.35,246.38,249.2,905469.0
1457499600,2016-03-09,250.18,253.33,249.65,251.3,692261.0
1457586000,2016-03-10,253.13,256.58,251.33,255.84,833100.0
1457672400,2016-03-11,258.59,266.4,257.47,265.26,1020700.0
1457928000,2016-03-14,261.73,263.32,258.06,261.94,863084.0
1458014400,2016-03-15,259.64,263.27,259.64,260.65,881203.0
1458100800,2016-03-16,258.82,265.53,258.82,264.23,695260.0
1458187200,2016-03-17,264.09,268.14,262.82,264.41,1058175.0
1458273600,2016-03-18,264.84,265.5,262.09,263.39,1256655.0
1458532800,2016-03-21,262.56,266.1,260.21,264.75,669935.0
1458619200,2016-03-22,263.3,267.3,263.02,266.13,586721.0
1458705600,2016-03-23,266.35,267.34,265.03,266.4,491433.0
1458792000,2016-03-24,265.23,269.43,265.09,267.56,575927.0
1459137600,2016-03-28,268.35,271.08,267.51,270.07,410743.0
1459224000,2016-03-29,269.24,274.78,269.24,274.72,549312.0
1459310400,2016-03-30,275.51,276.66,273.43,273.69,563247.0
1459396800,2016-03-31,273.22,276.77,272.74,275.86,895886.0
1459483200,2016-04-01,273.86,277.11,273.36,275.22,542542.0
1459742400,2016-04-04,276.9,278.76,275.55,277.87,574556.0
1459828800,2016-04-05,275.27,277.95,273.8,274.14,452038.0
1459915200,2016-04-06,273.61,275.02,272.07,273.11,774927.0
1460001600,2016-04-07,271.6,272.73,269.53,271.78,629706.0
1460088000,2016-04-08,274.2,275.04,269.37,271.93,577104.0
1460347200,2016-04-11,273.57,273.6,269.82,270.26,673091.0
1460433600,2016-04-12,272.1,272.1,267.94,268.71,689434.0
1460520000,2016-04-13,268.93,268.93,265.6,268.22,544921.0
1460606400,2016-04-14,267.58,268.76,265.76,267.56,377818.0
1460692800,2016-04-15,267.35,271.37,266.63,270.35,530173.0
1460952000,2016-04-18,269.44,271.94,268.79,271.59,326380.0
1461038400,2016-04-19,272.94,273.5,268.33,270.98,336110.0
1461124800,2016-04-20,271.16,272.74,268.88,271.19,487021.0
1461211200,2016-04-21,270.46,274.7,265.32,266.84,731576.0
1461297600,2016-04-22,267.05,269.37,263.84,268.61,420961.0
