start,start_unix,end,end_unix,direction,finished,bottom,top,start_open,start_high,start_low,start_close,start_volume,end_open,end_high,end_low,end_close,end_volume,bb_bbh,bb_bbl,kch_high,kch_low,squeeze,rsi,roc,tsi,mfi,vwap,atr,adx,obv,pocket_pivot,cmf,aroon_up,aroon,aroon_down,sma,ema20,ema50,macd_diff,rel_open,rel_high,rel_low,rel_close
2016-03-15,1458014400,2016-04-11,1460347200,-0.25,0,40.87161601250579,43.9295189943016,42.19,42.79,41.96,42.66,1134341.0,42.36,42.84,42.21,42.47,1304653.0,2.701729746818728,-1.241875732220194,2.406404520838251,-1.247939722156815,1,5.235345672547474,-0.30516431924883225,13.221122267902045,-1.1130333299103512,0.6184168233231304,1.8631543856770632,-14.511965759678604,0.798480527457036,0,0.14463475784966104,26.0,68.0,-42.0,0.7299270072992812,0.005161682698016534,-1.8054357869153392,-0.19108338022772609,-0.0025900635742877043,0.008712032022604399,-0.006121968448316362,0.008788598574821727
2016-03-15,1458014400,2016-04-12,1460433600,-0.25,0,40.87161601250579,43.9295189943016,42.19,42.79,41.96,42.66,1134341.0,42.54,42.55,42.08,42.44,990826.0,2.767677380084436,-1.1489214894152155,2.4595507382972244,-1.1431825322023315,1,4.879047182981225,0.16521123436393742,11.918341391717277,-8.260827522037175,0.6157178316877605,1.8103981551705992,-14.60260214791693,-0.62453008621844,0,0.1585785892376567,22.0,68.0,-46.0,0.809377945334603,0.06862923187863146,-1.6679446118369725,-0.17014543043664682,0.0023562676720074727,0.0025918944392082643,-0.008482563619227168,-0.0007063809748057981
2016-03-15,1458014400,2016-04-13,1460520000,-0.25,0,40.87161601250579,43.9295189943016,42.19,42.79,41.96,42.66,1134341.0,42.63,42.99,42.42,42.96,1244666.0,1.5618548006970627,-2.3137169980900154,1.2263345747982584,-2.272268777157066,1,9.630327119122711,0.7032348804500803,13.02711806916663,-7.782420821044809,-0.6193159036728275,1.7555082305312628,-15.262910667860416,0.7901935463948528,0,0.1953574410629035,18.0,-16.0,34.0,-0.37593109869646923,-1.0338078972492042,-2.7460980104573736,-0.11803097589204214,-0.007681564245810013,0.0006983240223463749,-0.012569832402234637,0.01225259189443939
2016-03-15,1458014400,2016-04-14,1460606400,-0.25,0,40.87161601250579,43.9295189943016,42.19,42.79,41.96,42.66,1134341.0,42.99,43.36,42.7,43.17,1375126.0,1.1554244369035587,-2.732908801045312,0.8119064164929313,-2.6627287468149206,1,11.359991781908647,1.4571092831962504,14.75846315370038,-8.725431205786045,-1.0956274736381744,1.7313879290960974,-15.316926930300005,0.8799141292737641,0,0.16100976394123157,14.0,-16.0,30.0,-0.7887421820708767,-1.3709204562810413,-3.092945880142423,-0.0686220772936752,-0.004169562195969423,0.004401204540189996,-0.010887190178364592,0.004888268156424624
2016-03-15,1458014400,2016-04-15,1460692800,-0.25,0,40.87161601250579,43.9295189943016,42.19,42.79,41.96,42.66,1134341.0,43.61,44.18,43.54,43.65,1694276.0,0.2272020677588955,-3.8881413575641517,-0.30775105001909253,-3.5654830087819818,1,14.971032279450398,0.9949097639981483,18.007383657661084,-5.966892372191261,-2.0160613263603295,1.7553137288300127,-14.333625097118688,1.086126256314837,0,0.12096623996719816,50.0,24.0,26.0,-1.8304696449026352,-2.221644123553574,-3.9955084826456755,-0.0061118920301909685,-0.0009163802978235935,0.012142038946162614,-0.0025200458190148822,0.011118832522585054
2016-03-15,1458014400,2016-04-18,1460952000,-0.25,1,40.87161601250579,43.9295189943016,42.19,42.79,41.96,42.66,1134341.0,43.5,43.81,43.3,43.61,868712.0,0.5248005409283394,-3.8611912769980137,-0.1723610792631547,-3.4055644729801884,1,14.442752027525643,1.4657980456026118,20.32709674299898,-5.867943535423223,-1.8789072607022206,1.7149617968103499,-13.841285078360434,-0.5607667418416376,0,0.10687536553147693,46.0,24.0,22.0,-1.6681953680348443,-1.9289159911653684,-3.754217785139531,0.02816178374924322,-0.002522357257509711,0.004586104104563171,-0.007108461362072993,-0.0009163802978235935
2016-04-04,1459742400,2016-04-19,1461038400,0.75,1,40.87161601250579,45.129074090702005,42.82,43.14,42.22,42.36,1299686.0,43.91,44.23,43.71,44.16,1437671.0,-0.25273438170593465,-5.265834458873741,-1.4028532608695485,-4.258378623188392,0,18.186720193297447,2.7454630060493246,24.135777225523626,-3.6433168328321415,-2.9186410704208328,1.67291552061609,-12.898286022192904,0.9332477768624923,0,0.20456301849514047,50.0,32.0,18.0,-2.7592844202898306,-2.850328352656689,-4.758698512932838,0.08052891494796416,-0.005661231884057982,0.0015851449275361418,-0.010190217391304213,0.012611786287548554
2016-04-11,1460347200,2016-04-20,1461124800,0.25,0,42.375,45.129074090702005,42.36,42.84,42.21,42.47,1304653.0,44.23,44.31,43.76,43.76,865064.0,0.8852108594761745,-4.427258391468854,-0.38695917123703794,-3.243449116392455,0,13.100333677343635,2.028444858941472,24.82491978054254,-2.8375220404151023,-1.9646035538752074,1.6573964189006352,-11.932730948484155,-0.571796866351386,0,0.14415291258051385,46.0,32.0,14.0,-1.7710237659963326,-1.775419497054358,-3.735644598982219,0.08068117961172622,0.010740402193784249,0.012568555758683875,0.0,-0.009057971014492683
2016-04-11,1460347200,2016-04-21,1461211200,0.25,0,42.375,45.129074090702005,42.36,42.84,42.21,42.47,1304653.0,43.28,43.39,42.55,43.18,978619.0,2.2695183268198917,-3.1287123981492186,1.000077196232823,-1.9619422572178564,0,6.650377509976451,0.441963247266801,22.193382382795317,-2.0864359624800315,-0.6436468499854016,1.7598419817114297,-12.782508221726232,-0.6589273140928498,0,0.10240156402057016,42.0,32.0,10.0,-0.42959703566465635,-0.412619143155851,-2.346819322181503,0.036427127320515895,0.0023158869847150765,0.004863362667901772,-0.014590088003705426,-0.013254113345520957
2016-04-11,1460347200,2016-04-22,1461297600,0.25,0,42.375,45.129074090702005,42.36,42.84,42.21,42.47,1304653.0,43.23,43.59,43.09,43.39,846432.0,1.8293615084821653,-3.5947452374519457,0.5377583160482544,-2.377659983099022,0,8.275852441028654,0.5795085767269356,20.909292490843864,4.532938755931646,-1.007892609472293,1.7085399829024035,-13.474491423933838,0.5735450321128354,0,0.17218342886949076,38.0,31.999999999999993,6.000000000000007,-0.8826918644848973,-0.8094041829123739,-2.708877196000728,0.01699285602704864,-0.0036874855957594876,0.004609356994699221,-0.006914035492048831,0.004863362667901772
