unix,date,open,high,low,close,volume_base
1451883600,2016-01-04,20.98,21.06,20.78,20.97,4857221.0
1451970000,2016-01-05,21.06,21.06,20.6,21.0,5517444.0
1452056400,2016-01-06,20.85,21.31,20.76,21.2,4032485.0
1452142800,2016-01-07,20.98,21.15,20.56,20.64,4551170.0
1452229200,2016-01-08,20.65,21.15,20.62,21.03,5643002.0
1452488400,2016-01-11,21.1,21.47,21.04,21.35,5346705.0
1452574800,2016-01-12,21.44,21.5,21.03,21.42,5377071.0
1452661200,2016-01-13,21.44,21.57,20.91,20.97,4034975.0
1452747600,2016-01-14,21.05,21.84,20.86,21.68,4837333.0
1452834000,2016-01-15,21.39,21.62,20.9,21.19,5852290.0
1453179600,2016-01-19,21.25,21.69,21.11,21.63,4604207.0
1453266000,2016-01-20,21.48,21.53,20.42,20.72,5946887.0
1453352400,2016-01-21,20.74,21.06,20.38,20.84,5376649.0
1453438800,2016-01-22,21.02,21.56,20.87,21.49,3758434.0
1453698000,2016-01-25,21.49,21.52,21.15,21.18,3569158.0
1453784400,2016-01-26,21.21,21.65,21.15,21.36,3047160.0
1453870800,2016-01-27,21.28,21.53,21.04,21.25,2437623.0
1453957200,2016-01-28,21.27,21.57,21.16,21.4,4222250.0
1454043600,2016-01-29,21.58,22.04,21.54,22.01,5081816.0
1454302800,2016-02-01,21.96,22.15,21.9,22.0,4296748.0
1454389200,2016-02-02,21.77,22.05,21.71,21.95,4827298.0
1454475600,2016-02-03,22.08,22.69,21.95,22.55,5894101.0
1454562000,2016-02-04,22.57,22.61,22.34,22.37,4408164.0
1454648400,2016-02-05,22.26,23.02,22.14,22.68,6185144.0
1454907600,2016-02-08,22.55,22.81,21.99,22.34,6437699.0
1454994000,2016-02-09,22.23,22.54,22.02,22.42,3291376.0
1455080400,2016-02-10,22.33,22.74,22.11,22.63,2970672.0
1455166800,2016-02-11,22.41,22.59,21.91,22.08,3002497.0
1455253200,2016-02-12,22.1,22.28,21.89,22.12,3520272.0
1455598800,2016-02-16,22.26,22.52,22.06,22.51,3908621.0
1455685200,2016-02-17,22.34,22.44,21.65,21.71,6298564.0
1455771600,2016-02-18,21.87,22.96,21.78,22.83,6899593.0
1455858000,2016-02-19,22.76,22.76,22.07,22.18,5979210.0
1456117200,2016-02-22,22.31,22.49,22.16,22.43,3336750.0
1456203600,2016-02-23,22.42,22.6,22.16,22.23,3898762.0
1456290000,2016-02-24,22.2,22.32,21.8,22.0,5240043.0
1456376400,2016-02-25,22.16,22.87,22.06,22.84,4921570.0
1456462800,2016-02-26,22.84,22.92,21.97,22.08,5060772.0
1456722000,2016-02-29,22.08,22.69,21.97,22.52,4763083.0
1456808400,2016-03-01,22.59,22.74,22.39,22.51,3732244.0
1456894800,2016-03-02,22.41,22.7,21.91,22.68,2756541.0
1456981200,2016-03-03,22.65,22.96,22.43,22.86,2910040.0
1457067600,2016-03-04,22.7,23.38,22.56,23.25,2876206.0
1457326800,2016-03-07,23.17,23.64,23.11,23.62,2872402.0
1457413200,2016-03-08,23.63,24.07,23.35,23.93,4228871.0
1457499600,2016-03-09,23.9,24.53,23.88,24.09,4251382.0
1457586000,2016-03-10,24.01,24.38,23.96,24.2,3900025.0
1457672400,2016-03-11,24.28,24.47,24.01,24.02,3596183.0
1457928000,2016-03-14,24.01,24.06,23.84,23.95,2572251.0
1458014400,2016-03-15,23.9,24.02,23.72,23.95,3005248.0
1458100800,2016-03-16,23.83,24.33,23.7,24.16,3903299.0
1458187200,2016-03-17,24.25,24.46,24.12,24.34,2845172.0
1458273600,2016-03-18,24.33,24.36,24.05,24.06,6613102.0
1458532800,2016-03-21,24.04,24.27,23.83,24.12,3675450.0
1458619200,2016-03-22,24.14,24.34,23.96,24.06,3236176.0
1458705600,2016-03-23,24.04,24.27,23.9,24.21,3004743.0
1458792000,2016-03-24,24.12,24.39,24.07,24.33,3131927.0
1459137600,2016-03-28,24.33,24.46,24.0,24.05,2253448.0
1459224000,2016-03-29,24.11,24.48,23.98,24.45,5086896.0
1459310400,2016-03-30,24.55,24.59,24.06,24.08,5696890.0
1459396800,2016-03-31,24.18,24.57,23.89,24.2,7814286.0
1459483200,2016-04-01,24.21,24.42,23.99,24.24,6502010.0
1459742400,2016-04-04,24.22,24.31,23.94,24.01,5608589.0
1459828800,2016-04-05,23.93,24.01,23.45,23.6,5806196.0
1459915200,2016-04-06,23.57,23.61,23.25,23.27,5616685.0
1460001600,2016-04-07,23.25,23.58,23.23,23.39,4205500.0
1460088000,2016-04-08,23.48,24.01,23.47,23.63,5005387.0
1460347200,2016-04-11,23.77,24.09,23.75,23.79,3814599.0
1460433600,2016-04-12,23.9,24.22,23.82,24.05,4061409.0
1460520000,2016-04-13,24.07,24.09,23.88,23.99,3151288.0
1460606400,2016-04-14,23.95,24.09,23.81,23.83,2843647.0
1460692800,2016-04-15,23.81,24.07,23.7,23.99,3492736.0
1460952000,2016-04-18,23.93,24.15,23.87,24.12,2627483.0
1461038400,2016-04-19,24.19,24.24,23.78,23.89,4993220.0
1461124800,2016-04-20,23.89,24.02,23.37,23.39,4648222.0
1461211200,2016-04-21,23.37,23.44,22.59,22.82,6780139.0
1461297600,2016-04-22,22.98,23.31,22.88,23.19,4828811.0
1461556800,2016-04-25,23.09,23.23,22.93,23.18,4308299.0
1461643200,2016-04-26,23.24,23.46,23.13,23.14,4523721.0
1461729600,2016-04-27,23.46,24.43,23.33,24.26,12236179.0
1461816000,2016-04-28,21.98,22.18,21.32,21.85,19741412.0
1461902400,2016-04-29,21.83,22.27,21.67,21.93,9150186.0
1462161600,2016-05-02,21.99,22.37,21.95,22.24,6257421.0
1462248000,2016-05-03,22.3,22.89,22.3,22.58,8656533.0
1462334400,2016-05-04,22.53,22.97,22.35,22.88,5031407.0
1462420800,2016-05-05,22.91,23.08,22.66,22.79,3142056.0
1462507200,2016-05-06,22.74,22.74,22.41,22.5,4178242.0
1462766400,2016-05-09,22.57,22.88,22.49,22.82,4115415.0
1462852800,2016-05-10,22.85,23.16,22.83,23.05,4077070.0
1462939200,2016-05-11,23.14,23.24,22.95,23.09,3568137.0
1463025600,2016-05-12,23.07,23.25,22.95,23.1,4956683.0
1463112000,2016-05-13,23.01,23.1,22.71,22.77,5019147.0
1463371200,2016-05-16,22.82,22.86,22.65,22.68,3744755.0
1463457600,2016-05-17,22.63,22.71,22.35,22.43,4142025.0
1463544000,2016-05-18,22.26,22.47,21.71,21.86,5584611.0
1463630400,2016-05-19,21.73,22.01,21.65,22.0,3526105.0
1463716800,2016-05-20,22.07,22.07,21.83,21.96,2515547.0
