start,start_unix,end,end_unix,reward
2016-04-04,1459742400,2016-05-02,1462161600,0.8324459000000004
2016-04-07,1460001600,2016-05-05,1462420800,2.5143479
2016-04-08,1460088000,2016-05-06,1462507200,4.3831279
2016-04-13,1460520000,2016-05-24,1464062400,3.2807340999999997
2016-04-19,1461038400,2016-05-27,1464321600,3.0124459
2016-04-27,1461729600,2016-06-01,1464753600,1.7577541
2016-04-29,1461902400,2016-06-07,1465272000,1.3202459000000002
2016-05-02,1462161600,2016-06-09,1465444800,3.0563479
2016-05-03,1462248000,2016-06-23,1466654400,1.8065341
2016-05-06,1462507200,2016-06-24,1466740800,0.4178520999999998
2016-05-09,1462766400,2016-06-28,1467086400,-1.1251279
2016-05-25,1464148800,2016-07-01,1467345600,0.3392659000000002
2016-05-31,1464667200,2016-07-07,1467864000,-1.2124459
2016-06-02,1464840000,2016-07-11,1468209600,0.24224589999999985
2016-06-08,1465358400,2016-07-28,1469678400,-0.3636521
2016-06-10,1465531200,2016-08-02,1470110400,-1.9934659
2016-06-24,1466740800,2016-08-11,1470888000,-0.6255541
2016-06-27,1467000000,2016-08-12,1470974400,-0.06224590000000002
2016-06-29,1467172800,2016-08-15,1471233600,1.5202459000000004
2016-07-05,1467691200,2016-08-18,1471492800,0.0997540999999999
2016-07-08,1467950400,2016-08-19,1471579200,1.7002459
2016-07-12,1468296000,2016-08-22,1471838400,0.29975409999999986
2016-07-29,1469764800,2016-08-23,1471924800,-0.29975409999999986
2016-08-03,1470196800,2016-09-08,1473307200,0.29975409999999986
2016-08-12,1470974400,2016-09-09,1473393600,-1.2563479
2016-08-15,1471233600,2016-09-12,1473652800,0.1934658999999999
2016-08-16,1471320000,2016-09-13,1473739200,-1.3744459
2016-08-19,1471579200,2016-09-20,1474344000,0.06224590000000002
2016-08-22,1471838400,2016-09-23,1474603200,-0.5636521000000001
2016-08-23,1471924800,2016-09-26,1474862400,0.006534100000000043
2016-08-24,1472011200,2016-10-03,1475467200,-0.6255541
2016-09-09,1473393600,2016-10-05,1475640000,-0.06224590000000002
2016-09-12,1473652800,2016-10-06,1475726400,1.5202459000000004
