unix,date,open,high,low,close,volume_base
1467691200,2016-07-05,39.63,43.76,38.97,39.14,8169888.0
1467777600,2016-07-06,37.91,39.14,37.28,38.46,8244294.0
1467864000,2016-07-07,38.35,38.66,38.13,38.45,6754373.0
1467950400,2016-07-08,38.62,40.76,38.28,40.43,5166415.0
1468209600,2016-07-11,39.63,41.26,39.45,41.17,7782730.0
1468296000,2016-07-12,40.98,41.12,40.48,40.73,6824333.0
1468382400,2016-07-13,40.73,41.15,40.13,40.77,6000576.0
1468468800,2016-07-14,40.53,41.67,40.23,41.53,4300490.0
1468555200,2016-07-15,41.7,41.81,40.76,41.26,4903898.0
1468814400,2016-07-18,40.89,41.54,40.68,41.31,2003514.0
1468900800,2016-07-19,41.1,41.52,40.62,41.52,2473535.0
1468987200,2016-07-20,41.81,41.81,40.28,40.54,4099457.0
1469073600,2016-07-21,40.59,40.77,40.26,40.46,3719506.0
1469160000,2016-07-22,40.27,40.5,39.7,39.78,3066969.0
1469419200,2016-07-25,39.77,39.82,38.54,39.45,3790309.0
1469505600,2016-07-26,39.11,39.8,38.88,39.69,2003917.0
1469592000,2016-07-27,39.61,39.86,39.23,39.4,1994630.0
1469678400,2016-07-28,39.25,39.53,38.93,39.18,3776214.0
1469764800,2016-07-29,39.03,39.3,38.66,38.83,5881613.0
1470024000,2016-08-01,38.75,39.07,38.33,38.5,3657752.0
1470110400,2016-08-02,38.25,38.67,38.0,38.25,3972840.0
1470196800,2016-08-03,38.25,39.85,38.13,39.69,5736395.0
1470283200,2016-08-04,39.94,40.36,39.85,40.29,3777390.0
1470369600,2016-08-05,40.48,41.06,40.48,40.73,3429064.0
1470628800,2016-08-08,40.77,40.97,40.22,40.31,2672666.0
1470715200,2016-08-09,39.24,40.69,39.0,40.64,1362658.0
1470801600,2016-08-10,40.65,40.91,40.35,40.63,1490633.0
1470888000,2016-08-11,40.86,42.45,40.83,42.32,2446069.0
1470974400,2016-08-12,41.79,42.58,41.72,42.45,1606719.0
1471233600,2016-08-15,42.64,43.3,42.57,43.21,1848387.0
1471320000,2016-08-16,43.15,43.45,42.9,43.13,1334356.0
1471406400,2016-08-17,43.22,43.27,42.96,43.01,1298726.0
1471492800,2016-08-18,42.86,43.1,42.63,42.81,1125195.0
1471579200,2016-08-19,42.64,42.64,41.64,41.81,1497067.0
1471838400,2016-08-22,41.81,41.91,41.14,41.28,1359856.0
1471924800,2016-08-23,41.33,41.96,41.19,41.8,3086658.0
1472011200,2016-08-24,41.28,41.76,40.81,41.43,894984.0
1472097600,2016-08-25,41.2,41.85,41.11,41.63,1723278.0
1472184000,2016-08-26,41.64,42.21,41.56,41.83,1197848.0
1472443200,2016-08-29,41.76,42.57,41.58,42.27,1323337.0
1472529600,2016-08-30,42.09,43.12,42.09,42.43,1225200.0
1472616000,2016-08-31,42.44,42.6,41.93,42.48,2279590.0
1472702400,2016-09-01,42.71,42.83,42.05,42.44,1252662.0
1472788800,2016-09-02,42.76,43.12,42.59,43.05,1140829.0
1473134400,2016-09-06,43.14,43.18,42.17,42.52,1718579.0
1473220800,2016-09-07,42.08,42.84,41.95,42.69,2173607.0
1473307200,2016-09-08,42.25,42.71,42.15,42.2,1403766.0
1473393600,2016-09-09,41.75,41.94,40.77,40.77,2793294.0
1473652800,2016-09-12,40.34,41.48,40.21,41.3,2336240.0
1473739200,2016-09-13,41.05,41.45,40.3,40.35,2031801.0
1473825600,2016-09-14,40.36,40.73,40.03,40.34,1454079.0
1473912000,2016-09-15,40.33,40.81,39.92,40.72,1811659.0
1473998400,2016-09-16,40.41,40.64,39.85,40.53,3734427.0
1474257600,2016-09-19,40.65,41.46,40.63,40.95,1261432.0
1474344000,2016-09-20,40.95,41.19,40.49,40.52,1387841.0
1474430400,2016-09-21,40.7,41.14,40.5,41.11,1075633.0
1474516800,2016-09-22,41.41,41.93,41.36,41.64,2014174.0
1474603200,2016-09-23,41.37,41.6,40.85,41.03,1069884.0
1474862400,2016-09-26,40.85,41.52,40.56,41.31,1376095.0
1474948800,2016-09-27,41.17,41.76,41.17,41.62,1566355.0
1475035200,2016-09-28,41.68,41.75,41.41,41.71,1189937.0
1475121600,2016-09-29,41.2,41.62,40.83,40.89,1857873.0
1475208000,2016-09-30,41.23,41.35,40.55,41.05,2599589.0
1475467200,2016-10-03,40.81,41.66,40.81,41.44,1714191.0
1475553600,2016-10-04,41.37,41.49,40.77,40.98,1581804.0
1475640000,2016-10-05,41.14,41.37,40.81,41.08,1127153.0
1475726400,2016-10-06,40.99,41.1,40.73,40.89,1028602.0
1475812800,2016-10-07,40.73,40.98,40.22,40.27,1330775.0
1476072000,2016-10-10,40.58,40.58,40.24,40.28,1289725.0
1476158400,2016-10-11,40.26,40.45,39.53,39.69,1723510.0
1476244800,2016-10-12,39.82,39.84,39.23,39.51,1989390.0
1476331200,2016-10-13,39.22,40.06,38.71,39.37,1539004.0
1476417600,2016-10-14,39.57,40.27,39.36,39.89,1142752.0
1476676800,2016-10-17,39.97,39.99,39.44,39.56,1456672.0
1476763200,2016-10-18,40.04,40.58,39.52,39.59,1465004.0
1476849600,2016-10-19,39.59,40.16,39.08,39.83,999714.0
1476936000,2016-10-20,39.63,39.66,39.06,39.27,1760380.0
1477022400,2016-10-21,38.89,39.43,38.81,39.25,2280941.0
1477281600,2016-10-24,39.41,39.73,39.0,39.15,1586741.0
1477368000,2016-10-25,39.11,39.11,38.6,38.64,1576807.0
1477454400,2016-10-26,38.51,38.81,38.34,38.52,1939410.0
1477540800,2016-10-27,38.46,38.46,37.75,38.3,3906884.0
1477627200,2016-10-28,40.48,41.68,40.1,40.49,4813855.0
1477886400,2016-10-31,40.49,41.41,40.35,41.17,2128965.0
1477972800,2016-11-01,41.08,41.14,40.31,40.72,2220827.0
1478059200,2016-11-02,40.68,41.25,40.55,40.58,1138524.0
1478145600,2016-11-03,40.56,41.29,40.31,41.11,1476629.0
1478232000,2016-11-04,41.14,41.66,40.76,41.22,1993282.0
1478494800,2016-11-07,41.59,41.99,41.16,41.77,1834114.0
1478581200,2016-11-08,41.84,42.58,41.43,42.46,1466515.0
1478667600,2016-11-09,41.93,43.49,41.86,43.11,2179832.0
1478754000,2016-11-10,43.51,44.63,43.3,43.71,2315760.0
1478840400,2016-11-11,43.62,44.14,42.97,43.06,1878191.0
1479099600,2016-11-14,43.27,43.6,43.14,43.4,3284320.0
1479186000,2016-11-15,43.5,43.91,43.3,43.64,2133948.0
1479272400,2016-11-16,43.38,43.91,43.31,43.9,1924576.0
1479358800,2016-11-17,43.85,44.08,43.48,43.95,1219785.0
1479445200,2016-11-18,43.93,44.15,43.62,44.06,1521410.0
1479704400,2016-11-21,43.75,44.48,43.55,44.22,1813717.0
1479790800,2016-11-22,44.18,45.03,44.05,44.71,2082459.0
1479877200,2016-11-23,44.91,45.16,44.63,45.06,1329047.0
1480050000,2016-11-25,45.28,45.34,44.77,45.19,637612.0
1480309200,2016-11-28,45.28,45.41,44.67,44.89,1370556.0
1480395600,2016-11-29,44.7,45.2,44.58,44.64,1430477.0
1480482000,2016-11-30,44.94,45.34,44.25,44.4,6858078.0
1480568400,2016-12-01,44.52,44.58,43.6,43.76,4098266.0
1480654800,2016-12-02,43.84,44.43,43.61,43.99,3144885.0
1480914000,2016-12-05,44.22,44.32,43.26,43.53,1823708.0
1481000400,2016-12-06,43.55,43.7,43.23,43.6,3586800.0
1481086800,2016-12-07,43.6,43.93,43.13,43.8,4052676.0
1481173200,2016-12-08,43.9,43.97,43.15,43.34,2785647.0
1481259600,2016-12-09,43.24,43.73,43.05,43.6,1831190.0
1481518800,2016-12-12,43.51,43.9,43.39,43.59,1983060.0
1481605200,2016-12-13,43.83,43.97,43.0,43.48,3414270.0
1481691600,2016-12-14,43.51,44.68,43.5,43.8,2030538.0
1481778000,2016-12-15,43.82,44.64,43.55,44.26,2003116.0
1481864400,2016-12-16,44.3,44.43,43.93,44.27,3877687.0
1482123600,2016-12-19,44.26,44.43,43.92,44.38,1494449.0
1482210000,2016-12-20,44.6,44.78,44.26,44.45,1545481.0
1482296400,2016-12-21,44.39,44.39,43.54,43.7,1886554.0
1482382800,2016-12-22,43.7,44.39,43.35,43.68,1944535.0
1482469200,2016-12-23,43.87,44.22,43.42,44.01,679520.0
1482814800,2016-12-27,44.21,44.28,43.69,43.97,1153914.0
1482901200,2016-12-28,44.14,44.14,43.17,43.4,774583.0
1482987600,2016-12-29,43.59,43.72,43.27,43.61,660903.0
1483074000,2016-12-30,43.76,43.99,43.11,43.3,1081359.0
1483419600,2017-01-03,43.58,43.75,42.79,43.38,2090648.0
1483506000,2017-01-04,43.72,44.03,43.58,43.8,1874903.0
1483592400,2017-01-05,43.8,44.17,43.37,43.55,1799420.0
1483678800,2017-01-06,43.52,43.76,43.11,43.5,1627722.0
1483938000,2017-01-09,43.62,43.76,43.27,43.38,999549.0
1484024400,2017-01-10,43.38,43.67,43.18,43.44,1744882.0
1484110800,2017-01-11,43.43,43.51,43.01,43.33,4579726.0
1484197200,2017-01-12,43.17,43.51,43.09,43.34,2489102.0
1484283600,2017-01-13,43.93,44.54,43.93,44.22,1850070.0
1484629200,2017-01-17,43.96,44.03,43.34,43.71,1624526.0
1484715600,2017-01-18,43.74,43.93,43.48,43.72,1713040.0
1484802000,2017-01-19,43.79,44.15,43.6,43.82,1053658.0
1484888400,2017-01-20,43.94,44.15,43.77,44.02,2483794.0
1485147600,2017-01-23,43.84,44.26,43.27,43.69,1695033.0
1485234000,2017-01-24,43.85,44.4,43.67,44.17,2118684.0
1485320400,2017-01-25,44.33,44.68,44.17,44.55,2190021.0
1485406800,2017-01-26,44.41,45.2,44.22,44.97,2825351.0
1485493200,2017-01-27,45.0,45.22,44.85,45.16,1975734.0
1485752400,2017-01-30,45.16,45.16,44.21,44.77,1982148.0
1485838800,2017-01-31,44.6,44.85,44.34,44.66,2276636.0
1485925200,2017-02-01,44.79,44.94,44.25,44.52,1520715.0
1486011600,2017-02-02,44.25,44.81,44.01,44.58,2477677.0
1486098000,2017-02-03,44.86,45.74,44.47,45.23,1860159.0
1486357200,2017-02-06,44.98,45.17,44.82,45.06,1142584.0
1486443600,2017-02-07,45.22,45.31,44.86,44.93,2545060.0
1486530000,2017-02-08,44.39,45.53,44.32,45.36,5648862.0
1486616400,2017-02-09,45.35,46.15,45.35,46.04,1442259.0
1486702800,2017-02-10,46.18,46.36,45.77,46.15,1575992.0
1486962000,2017-02-13,46.4,46.86,46.33,46.45,1483643.0
1487048400,2017-02-14,46.43,46.45,45.96,46.26,1275884.0
1487134800,2017-02-15,46.22,46.63,46.09,46.49,1298269.0
1487221200,2017-02-16,46.56,47.03,45.86,46.34,1456250.0
1487307600,2017-02-17,46.35,46.61,46.13,46.58,1206946.0
1487653200,2017-02-21,46.58,47.03,46.45,46.94,1969971.0
1487739600,2017-02-22,46.7,47.03,46.53,46.64,1235019.0
1487826000,2017-02-23,46.9,47.01,46.18,46.29,1364893.0
1487912400,2017-02-24,46.15,46.81,45.86,46.72,2402580.0
1488171600,2017-02-27,46.6,46.79,46.46,46.61,1127621.0
1488258000,2017-02-28,46.62,46.8,46.33,46.61,2232005.0
1488344400,2017-03-01,47.08,47.89,46.95,47.63,1855269.0
1488430800,2017-03-02,47.63,47.71,47.15,47.4,2438325.0
1488517200,2017-03-03,47.38,47.6,47.19,47.48,1812950.0
1488776400,2017-03-06,47.15,47.42,46.89,47.16,1965046.0
1488862800,2017-03-07,47.19,47.33,46.9,47.05,2086945.0
1488949200,2017-03-08,47.06,47.27,46.91,47.03,1689342.0
1489035600,2017-03-09,46.95,47.27,46.75,46.91,1682062.0
1489122000,2017-03-10,47.12,47.33,46.87,47.14,1572165.0
1489377600,2017-03-13,47.25,47.67,46.96,47.51,1968302.0
1489464000,2017-03-14,47.28,47.41,47.09,47.33,1262346.0
1489550400,2017-03-15,47.52,48.41,47.52,48.26,2247100.0
1489636800,2017-03-16,48.29,48.44,48.02,48.11,1809084.0
1489723200,2017-03-17,48.29,48.36,48.05,48.17,3076393.0
1489982400,2017-03-20,48.18,48.39,47.67,47.7,1821295.0
1490068800,2017-03-21,47.92,48.08,47.16,47.3,2360154.0
1490155200,2017-03-22,47.3,47.55,47.12,47.29,2353001.0
1490241600,2017-03-23,47.14,47.57,47.12,47.32,1446047.0
1490328000,2017-03-24,48.65,48.65,47.65,47.95,2311812.0
1490587200,2017-03-27,47.47,47.94,47.01,47.76,1246612.0
1490673600,2017-03-28,47.73,48.32,47.5,48.17,1062641.0
1490760000,2017-03-29,48.39,48.84,48.11,48.22,1775142.0
1490846400,2017-03-30,48.28,48.5,48.06,48.2,1432810.0
1490932800,2017-03-31,48.16,48.83,48.01,48.68,1750355.0
1491192000,2017-04-03,48.64,49.03,48.13,48.61,2510467.0
1491278400,2017-04-04,48.6,48.75,48.35,48.52,1978257.0
1491364800,2017-04-05,48.72,49.15,48.55,48.71,1798005.0
1491451200,2017-04-06,48.72,49.14,48.63,48.97,975157.0
1491537600,2017-04-07,48.98,49.07,48.79,48.89,697174.0
1491796800,2017-04-10,48.91,49.4,48.89,49.31,1554176.0
1491883200,2017-04-11,49.04,49.29,48.84,49.13,3079319.0
1491969600,2017-04-12,49.14,49.27,48.69,48.91,1967893.0
1492056000,2017-04-13,48.91,49.25,48.74,48.77,1548694.0
1492401600,2017-04-17,48.91,48.97,48.56,48.89,1229221.0
1492488000,2017-04-18,48.6,48.9,48.5,48.72,1986679.0
1492574400,2017-04-19,48.74,49.06,48.41,48.51,2465283.0
1492660800,2017-04-20,48.72,49.19,48.41,49.0,1855556.0
1492747200,2017-04-21,48.98,49.07,48.49,48.51,1795877.0
1493006400,2017-04-24,49.15,49.75,49.06,49.66,1609915.0
1493092800,2017-04-25,49.95,50.56,49.88,50.39,1854114.0
1493179200,2017-04-26,50.37,50.71,50.21,50.33,1653375.0
1493265600,2017-04-27,50.33,50.94,50.18,50.38,2420416.0
1493352000,2017-04-28,50.9,51.96,50.53,51.14,3118794.0
1493611200,2017-05-01,51.42,51.46,50.21,50.4,2211088.0
1493697600,2017-05-02,49.99,50.38,49.4,50.27,1911598.0
1493784000,2017-05-03,50.08,50.71,49.95,50.66,1225394.0
1493870400,2017-05-04,50.63,51.02,50.58,50.79,1072796.0
1493956800,2017-05-05,50.82,51.06,50.51,51.04,771192.0
1494216000,2017-05-08,51.0,51.22,50.72,50.84,2216770.0
1494302400,2017-05-09,50.88,51.28,50.5,50.69,1045293.0
1494388800,2017-05-10,50.55,50.78,50.32,50.58,1313854.0
1494475200,2017-05-11,50.27,50.69,50.19,50.62,771250.0
1494561600,2017-05-12,50.48,50.55,50.12,50.27,1284652.0
1494820800,2017-05-15,50.37,50.64,50.28,50.3,1227009.0
1494907200,2017-05-16,50.49,50.49,50.16,50.39,1137299.0
1494993600,2017-05-17,50.04,50.33,49.42,49.48,1628541.0
1495080000,2017-05-18,49.11,49.79,48.83,49.44,1757137.0
1495166400,2017-05-19,49.7,50.14,49.31,49.99,2361081.0
