start,start_unix,bottom,top,end,end_unix,direction
2016-09-13,1473739200,40.875,42.598812889345766,2016-09-13,1473739200,
2016-09-13,1473739200,39.151187110654234,40.875,2016-09-16,1473998400,-1.0
2016-09-19,1474257600,40.875,42.55075999408071,2016-09-19,1474257600,1.0
2016-09-20,1474344000,39.22893714835363,40.875,2016-09-20,1474344000,-1.0
2016-09-21,1474430400,40.875,42.48577264795734,2016-10-06,1475726400,1.0
2016-10-07,1475812800,39.48381578144703,40.875,2016-10-12,1476244800,-1.0
2016-10-13,1476331200,38.066127930913616,39.48381578144703,2016-10-13,1476331200,-1.0
2016-10-14,1476417600,39.48381578144703,40.9172402140852,2016-10-19,1476849600,1.0
2016-10-20,1476936000,38.01604482089469,39.48381578144703,2016-10-27,1477540800,-1.0
2016-10-28,1477627200,39.48381578144703,41.18476368399144,2016-11-03,1478145600,1.0
2016-11-04,1478232000,41.18476368399144,42.85920251449998,2016-11-08,1478581200,1.0
2016-11-09,1478667600,42.85920251449998,44.638733167060934,2016-11-21,1479704400,1.0
2016-11-22,1479790800,44.638733167060934,46.26321748674723,2016-11-29,1480395600,1.0
2016-11-30,1480482000,43.11171341615863,44.638733167060934,2017-01-25,1485320400,-1.0
2017-01-26,1485406800,44.638733167060934,45.933529311751926,2017-01-31,1485838800,1.0
2017-02-01,1485925200,43.383088469837915,44.638733167060934,2017-02-02,1486011600,-1.0
2017-02-03,1486098000,44.638733167060934,45.98020231925833,2017-02-08,1486530000,1.0
2017-02-09,1486616400,45.98020231925833,47.31694873887281,2017-02-28,1488258000,1.0
2017-03-01,1488344400,47.31694873887281,48.6107422385458,2017-03-03,1488517200,1.0
2017-03-06,1488776400,46.09417748567254,47.31694873887281,2017-03-10,1489122000,-1.0
2017-03-13,1489377600,47.31694873887281,48.44311628237122,2017-03-20,1489982400,1.0
2017-03-21,1490068800,46.17265698032806,47.31694873887281,2017-03-22,1490155200,-1.0
2017-03-23,1490241600,47.31694873887281,48.41280234700579,2017-03-30,1490846400,1.0
2017-03-31,1490932800,48.41280234700579,49.646503367150814,2017-04-21,1492747200,1.0
