unix,date,open,high,low,close,volume_base
1451883600,2016-01-04,216.08,217.56,213.95,217.21,8523999.0
1451970000,2016-01-05,216.99,218.13,215.37,217.42,7192902.0
1452056400,2016-01-06,214.09,217.24,212.54,213.95,8152039.0
1452142800,2016-01-07,209.71,211.87,204.05,204.9,13002000.0
1452229200,2016-01-08,206.53,207.23,200.44,201.22,10518085.0
1452488400,2016-01-11,201.86,211.62,199.81,202.14,7657346.0
1452574800,2016-01-12,203.41,204.23,200.44,202.57,6368878.0
1452661200,2016-01-13,204.48,205.54,199.45,199.74,7240452.0
1452747600,2016-01-14,200.23,206.88,200.09,205.54,8690219.0
1452834000,2016-01-15,199.03,203.41,198.75,201.51,10068415.0
1453179600,2016-01-19,202.99,204.33,199.45,201.51,7125008.0
1453266000,2016-01-20,197.54,201.08,194.36,198.04,11560385.0
1453352400,2016-01-21,198.96,205.04,198.96,202.21,7325364.0
1453438800,2016-01-22,201.93,202.0,195.99,199.74,11658596.0
1453698000,2016-01-25,200.3,201.51,198.04,198.32,5953216.0
1453784400,2016-01-26,198.53,201.86,198.39,200.23,5638295.0
1453870800,2016-01-27,199.45,202.11,196.77,198.04,5985560.0
1453957200,2016-01-28,199.67,200.51,197.54,199.52,5259855.0
1454043600,2016-01-29,201.29,205.89,200.44,205.82,7618796.0
1454302800,2016-02-01,205.32,205.32,202.0,202.57,5750117.0
1454389200,2016-02-02,199.95,200.09,197.47,199.74,5243805.0
1454475600,2016-02-03,200.8,202.92,197.12,202.78,5870863.0
1454562000,2016-02-04,202.64,208.37,201.51,206.39,7235944.0
1454648400,2016-02-05,206.17,206.53,200.16,201.86,6838932.0
1454907600,2016-02-08,199.6,199.95,196.34,199.24,6678202.0
1454994000,2016-02-09,196.27,201.86,196.27,200.02,4930946.0
1455080400,2016-02-10,200.66,202.99,199.81,200.16,4454731.0
1455166800,2016-02-11,196.27,198.25,191.67,194.15,10424451.0
1455253200,2016-02-12,194.79,199.88,193.51,199.88,7715843.0
1455598800,2016-02-16,202.14,205.32,201.01,204.12,6918093.0
1455685200,2016-02-17,206.1,209.43,205.96,207.52,5434357.0
1455771600,2016-02-18,207.23,207.55,205.04,205.68,4161874.0
1455858000,2016-02-19,204.76,206.03,202.85,205.25,5348924.0
1456117200,2016-02-22,206.88,208.54,206.53,208.01,5042597.0
1456203600,2016-02-23,206.6,207.66,205.68,206.67,4156115.0
1456290000,2016-02-24,204.41,205.47,200.87,204.83,5862859.0
1456376400,2016-02-25,205.44,208.72,205.16,208.37,4876094.0
1456462800,2016-02-26,208.86,210.72,208.79,209.58,3985697.0
1456722000,2016-02-29,209.86,210.65,207.58,207.72,4913298.0
1456808400,2016-03-01,209.65,213.64,208.94,213.0,4379540.0
