unix,date,open,high,low,close,volume_base
1451883600,2016-01-04,8.158,8.277,8.082,8.273,5716638.0
1451970000,2016-01-05,8.273,8.333,8.186,8.289,8767931.0
1452056400,2016-01-06,8.194,8.289,8.15,8.277,7198482.0
1452142800,2016-01-07,8.13,8.299,8.074,8.138,8698653.0
1452229200,2016-01-08,8.146,8.205,8.086,8.134,8489643.0
1452488400,2016-01-11,8.154,8.186,8.007,8.082,8481362.0
1452574800,2016-01-12,8.142,8.245,8.073,8.198,6476634.0
1452661200,2016-01-13,8.253,8.305,8.009,8.039,8107909.0
1452747600,2016-01-14,8.059,8.158,8.015,8.13,9910537.0
1452834000,2016-01-15,8.352,8.352,7.793,7.832,16573003.0
1453179600,2016-01-19,7.979,7.995,7.481,7.554,14761448.0
1453266000,2016-01-20,7.384,7.507,7.269,7.471,12671672.0
1453352400,2016-01-21,7.515,7.59,7.459,7.535,6116896.0
1453438800,2016-01-22,7.646,7.729,7.606,7.729,6744053.0
1453698000,2016-01-25,7.717,7.717,7.467,7.471,7496492.0
1453784400,2016-01-26,7.503,7.646,7.503,7.634,5006925.0
1453870800,2016-01-27,7.63,7.761,7.578,7.628,6191561.0
1453957200,2016-01-28,7.717,7.805,7.638,7.741,6827326.0
1454043600,2016-01-29,7.812,7.888,7.765,7.876,17096752.0
1454302800,2016-02-01,7.812,7.876,7.725,7.84,10078142.0
1454389200,2016-02-02,7.781,7.785,7.626,7.65,4458496.0
1454475600,2016-02-03,7.717,7.737,7.527,7.654,6827980.0
1454562000,2016-02-04,7.618,7.666,7.513,7.614,10114607.0
1454648400,2016-02-05,8.233,8.364,7.801,7.844,24492630.0
1454907600,2016-02-08,7.717,7.769,7.503,7.638,11720650.0
1454994000,2016-02-09,7.566,7.618,7.368,7.431,10606052.0
1455080400,2016-02-10,7.523,7.622,7.446,7.501,7244311.0
1455166800,2016-02-11,7.388,7.503,7.336,7.451,8614562.0
1455253200,2016-02-12,7.467,7.642,7.37,7.602,7106068.0
1455598800,2016-02-16,7.701,7.801,7.59,7.761,15059126.0
1455685200,2016-02-17,7.824,7.959,7.797,7.928,9519420.0
1455771600,2016-02-18,7.94,7.988,7.896,7.924,5579600.0
1455858000,2016-02-19,7.92,7.992,7.832,7.972,5039419.0
1456117200,2016-02-22,8.04,8.14,8.016,8.052,5827445.0
1456203600,2016-02-23,8.004,8.036,7.808,7.824,6216376.0
