start,start_unix,end,end_unix,reward
2016-04-15,1460692800,2016-05-19,1463630400,-1.0124459000000003
2016-04-19,1461038400,2016-05-20,1463716800,-1.7577541
2016-04-21,1461211200,2016-05-23,1463976000,-1.3202459000000002
2016-04-22,1461297600,2016-05-26,1464235200,-2.0997540999999997
2016-04-25,1461556800,2016-06-02,1464840000,-0.7436520999999998
2016-04-27,1461729600,2016-06-16,1466049600,-0.1934658999999999
2016-05-06,1462507200,2016-06-23,1466654400,0.4178520999999998
2016-05-17,1463457600,2016-06-29,1467172800,-1.1251279
2016-05-20,1463716800,2016-07-08,1467950400,0.3392659000000002
2016-05-23,1463976000,2016-07-15,1468555200,-0.25585209999999986
2016-05-24,1464062400,2016-07-28,1469678400,1.3051279
2016-05-27,1464321600,2016-07-29,1469764800,0.8173279000000002
2016-06-03,1464926400,2016-08-29,1472443200,0.27532790000000024
2016-06-17,1466136000,2016-09-01,1472702400,0.9387341000000002
2016-06-24,1466740800,2016-09-08,1473307200,2.6324459
2016-06-30,1467259200,2016-09-14,1473825600,3.5577541000000004
2016-07-11,1468209600,2016-09-15,1473912000,3.3202459
2016-07-18,1468814400,2016-09-19,1474257600,2.0997540999999997
2016-07-29,1469764800,2016-09-21,1474430400,1.7002459
2016-08-01,1470024000,2016-09-23,1474603200,1.2563479
2016-08-30,1472529600,2016-10-07,1475812800,-0.1934658999999999
2016-09-02,1472788800,2016-10-10,1476072000,1.3744459
2016-09-09,1473393600,2016-10-11,1476158400,-0.06224590000000002
2016-09-15,1473912000,2016-10-12,1476244800,1.5202459000000004
2016-09-16,1473998400,2016-10-17,1476676800,0.0997540999999999
2016-09-20,1474344000,2016-10-21,1477022400,1.7002459
2016-09-22,1474516800,2016-10-25,1477368000,1.2563479
2016-09-26,1474862400,2016-10-28,1477627200,-0.1934658999999999
2016-10-10,1476072000,2016-11-02,1478059200,0.4178520999999998
2016-10-11,1476158400,2016-11-04,1478232000,-1.1251279
2016-10-12,1476244800,2016-11-07,1478494800,0.3392659000000002
2016-10-13,1476331200,2016-11-08,1478581200,-0.25585209999999986
2016-10-18,1476763200,2016-11-09,1478667600,0.3485340999999998
2016-10-24,1477281600,2016-11-15,1479186000,-1.2021479000000002
2016-10-26,1477454400,2016-11-17,1479358800,-1.9685340999999998
2016-10-31,1477886400,2016-11-18,1479445200,-1.5544458999999997
2016-11-03,1478145600,2016-11-22,1479790800,-0.13775409999999993
2016-11-07,1478494800,2016-11-25,1480050000,0.4797540999999996
2016-11-08,1478581200,2016-11-29,1480395600,-0.0997540999999999
2016-11-09,1478667600,2016-12-06,1481000400,-1.7002459
2016-11-10,1478754000,2016-12-12,1481518800,-0.29975409999999986
2016-11-16,1479272400,2016-12-22,1482382800,1.2563479
2016-11-18,1479445200,2016-12-23,1482469200,-0.1934658999999999
2016-11-21,1479704400,2016-12-27,1482814800,1.3744459
2016-11-23,1479877200,2017-01-04,1483506000,-0.06224590000000002
2016-11-28,1480309200,2017-01-20,1484888400,1.5202459000000004
2016-11-30,1480482000,2017-01-24,1485234000,1.0563479
2016-12-07,1481086800,2017-01-26,1485406800,2.7631279
2016-12-13,1481605200,2017-01-27,1485493200,1.4807340999999998
2016-12-23,1482469200,2017-02-08,1486530000,0.05585210000000013
2016-12-27,1482814800,2017-02-16,1487221200,1.6514659000000003
2016-12-28,1482901200,2017-02-27,1488171600,1.2021479000000002
2017-01-05,1483592400,2017-02-28,1488258000,1.9685340999999998
2017-01-23,1485147600,2017-03-09,1489035600,1.5544458999999997
2017-01-25,1485320400,2017-03-20,1489982400,1.0943479
2017-01-27,1485493200,2017-03-22,1490155200,-0.37346589999999963
2017-01-30,1485752400,2017-03-28,1490673600,0.21785210000000005
2017-02-09,1486616400,2017-04-06,1491451200,1.8314659
2017-02-17,1487307600,2017-04-13,1492056000,0.4455541000000001
2017-02-28,1488258000,2017-04-21,1492747200,-0.13775409999999993
2017-03-01,1488344400,2017-04-24,1493006400,1.4363478999999997
2017-03-10,1489122000,2017-04-27,1493265600,0.9631279000000001
2017-03-21,1490068800,2017-04-28,1493352000,0.43732790000000016
2017-03-23,1490241600,2017-05-02,1493697600,2.0753279000000004
2017-03-29,1490760000,2017-05-15,1494820800,3.8953279000000003
2017-04-07,1491537600,2017-05-16,1494907200,3.6953279
2017-04-17,1492401600,2017-05-19,1495166400,4.7387341
2017-04-24,1493006400,2017-05-24,1495598400,4.6324459000000004
2017-04-25,1493092800,2017-06-02,1496376000,4.514347900000001
2017-04-28,1493352000,2017-06-05,1496635200,4.3831279
2017-05-01,1493611200,2017-06-06,1496721600,3.2807340999999997
2017-05-03,1493784000,2017-06-08,1496894400,3.0124459
2017-05-16,1494907200,2017-06-09,1496980800,1.7577541
2017-05-17,1494993600,2017-06-16,1497585600,0.3636521
2017-05-22,1495425600,2017-06-19,1497844800,1.9934659
2017-05-25,1495684800,2017-06-20,1497931200,0.6255541
2017-06-05,1496635200,2017-06-23,1498190400,0.06224590000000002
2017-06-06,1496721600,2017-06-26,1498449600,-1.5202459000000004
2017-06-07,1496808000,2017-06-27,1498536000,-1.0563479
2017-06-09,1496980800,2017-06-28,1498622400,-1.8065341
2017-06-12,1497240000,2017-07-07,1499400000,-1.3744459
2017-06-19,1497844800,2017-07-17,1500264000,0.06224590000000002
2017-06-20,1497931200,2017-07-24,1500868800,-0.5636521000000001
2017-06-21,1498017600,2017-08-02,1501646400,0.006534100000000043
2017-06-26,1498449600,2017-08-04,1501819200,-1.5821479000000003
2017-06-27,1498536000,2017-08-07,1502078400,-0.16853409999999996
2017-06-28,1498622400,2017-08-29,1503979200,0.4455541000000001
2017-06-29,1498708800,2017-09-01,1504238400,-0.13775409999999993
2017-07-10,1499659200,2017-09-06,1504670400,0.4797540999999996
2017-07-18,1500350400,2017-09-07,1504756800,-0.0997540999999999
2017-07-25,1500955200,2017-09-11,1505102400,-1.7002459
2017-08-03,1501732800,2017-09-13,1505275200,-0.29975409999999986
2017-08-07,1502078400,2017-09-19,1505793600,0.29975409999999986
2017-08-08,1502164800,2017-09-21,1505966400,-0.29975409999999986
2017-08-30,1504065600,2017-09-26,1506398400,0.29975409999999986
2017-09-05,1504584000,2017-09-28,1506571200,-0.29975409999999986
2017-09-07,1504756800,2017-10-03,1507003200,1.2563479
2017-09-08,1504843200,2017-10-04,1507089600,-0.1934658999999999
2017-09-12,1505188800,2017-10-05,1507176000,1.3744459
2017-09-14,1505361600,2017-10-09,1507521600,0.8943479000000001
2017-09-20,1505880000,2017-10-10,1507608000,1.6265341000000002
2017-09-22,1506052800,2017-10-20,1508472000,1.1744459000000003
2017-09-27,1506484800,2017-10-26,1508990400,1.9377540999999998
2017-09-29,1506657600,2017-10-27,1509076800,1.5202459000000004
