start,start_unix,bottom,top,end,end_unix,direction
2016-03-15,1458014400,186.05,194.761518037823,2016-03-16,1458100800,
2016-03-17,1458187200,194.761518037823,204.31166369288468,2016-03-17,1458187200,1.0
2016-03-18,1458273600,185.60166850098003,194.761518037823,2016-03-18,1458273600,-1.0
2016-03-21,1458532800,194.761518037823,203.68237832203434,2016-04-26,1461643200,1.0
2016-04-27,1461729600,203.68237832203434,210.72172881007896,2016-04-27,1461729600,1.0
2016-04-28,1461816000,196.60455286885005,203.68237832203434,2016-05-12,1463025600,-1.0
2016-05-13,1463112000,189.7744758360469,196.60455286885005,2016-05-13,1463112000,-1.0
2016-05-16,1463371200,196.60455286885005,203.31191011359584,2016-05-16,1463371200,1.0
2016-05-17,1463457600,189.86586399872897,196.60455286885005,2016-05-25,1464148800,-1.0
2016-05-26,1464235200,196.60455286885005,202.78760817169345,2016-05-26,1464235200,1.0
2016-05-27,1464321600,190.5211443733526,196.60455286885005,2016-05-27,1464321600,-1.0
2016-05-31,1464667200,196.60455286885005,202.59157504324054,2016-06-08,1465358400,1.0
2016-06-09,1465444800,191.1281443672304,196.60455286885005,2016-06-10,1465531200,-1.0
2016-06-13,1465790400,184.96935336328283,191.1281443672304,2016-06-15,1465963200,-1.0
2016-06-16,1466049600,191.1281443672304,197.25108745603242,2016-06-23,1466654400,1.0
2016-06-24,1466740800,184.70966845058462,191.1281443672304,2016-06-29,1467172800,-1.0
2016-06-30,1467259200,191.1281443672304,197.9263817853718,2016-06-30,1467259200,1.0
2016-07-01,1467345600,197.9263817853718,204.75845938793168,2016-07-01,1467345600,1.0
2016-07-05,1467691200,190.8777382972805,197.9263817853718,2016-07-07,1467864000,-1.0
2016-07-08,1467950400,197.9263817853718,205.08109379096095,2016-07-18,1468814400,1.0
2016-07-19,1468900800,190.41843168472042,197.9263817853718,2016-07-19,1468900800,-1.0
2016-07-20,1468987200,182.64833516268698,190.41843168472042,2016-07-27,1469592000,-1.0
2016-07-28,1469678400,190.41843168472042,196.9777360008721,2016-07-28,1469678400,1.0
2016-07-29,1469764800,183.97536339115098,190.41843168472042,2016-08-04,1470283200,-1.0
2016-08-05,1470369600,190.41843168472042,196.50686907673764,2016-08-10,1470801600,1.0
2016-08-11,1470888000,196.50686907673764,202.88750028127234,2016-08-26,1472184000,1.0
2016-08-29,1472443200,202.88750028127234,207.89447998224372,2016-08-30,1472529600,1.0
2016-08-31,1472616000,197.8898392125776,202.88750028127234,2016-09-08,1473307200,-1.0
2016-09-09,1473393600,192.33926024418895,197.8898392125776,2016-09-14,1473825600,-1.0
2016-09-15,1473912000,197.8898392125776,204.22748852318122,2016-09-15,1473912000,1.0
