start,start_unix,end,end_unix,direction,bottom,top,start_open,start_high,start_low,start_close,start_volume,end_open,end_high,end_low,end_close,end_volume,bb_bbh,bb_bbl,kch_high,kch_low,squeeze,rsi,roc,tsi,mfi,vwap,atr,adx,obv,pocket_pivot,cmf,aroon_up,aroon,aroon_down,sma,ema20,ema50,macd_diff,rel_open,rel_high,rel_low,rel_close
2016-03-15,1458014400,2016-04-07,1460001600,-0.25,27.330593259658322,30.869855811825218,29.18,29.29,28.73,29.14,10634436.0,29.96,30.61,29.93,30.19,9758348.0,1.8444054346736323,-5.998098710592828,0.5277685767914164,-5.159545103235075,1,8.00001370963264,4.499826929733474,13.084648741459908,-7.547025313580512,-2.3097050910660784,3.3389230053218326,-6.1050958000476,-0.7985195324463199,0,0.13335481072930253,46.0,8.0,38.0,-2.0768466379595907,-3.0830307158280164,-5.940855672670949,-0.08691821284955381,-0.0076184166942696585,0.013911891354753125,-0.008612123219609247,-0.005271828665568412
2016-04-04,1459742400,2016-04-18,1460952000,0.75,27.330593259658322,32.76297638426635,29.03,29.4,28.18,28.32,14882172.0,31.02,32.74,31.02,32.47,9237964.0,0.4667504944831933,-14.03619921638031,-4.157684016014784,-9.738219895287955,0,16.277228966985618,7.4098577571948345,26.867150416122314,3.4298617347396814,-6.506337408705292,3.142961006804751,-4.317012549155237,0.7888338387898216,0,0.11377948911196512,50.0,40.0,10.0,-6.784724360948559,-6.008140146068868,-10.056394177100316,0.18568784659787752,-0.044656606097936535,0.00831536803202959,-0.044656606097936535,0.018826482585503568
2016-04-06,1459915200,2016-04-29,1461902400,0.75,29.009999999999998,34.62041601787224,28.91,30.72,28.69,30.35,22396337.0,34.23,34.92,33.66,34.41,11033499.0,3.800763770477687,-16.831859382218468,-3.4408602150537604,-9.866317930834029,0,20.17224858603508,17.72151898734176,40.867106205886785,22.13749946783578,-3.825272843917247,3.15625323585348,4.165838274978789,0.9411302973251074,0,0.1848123922103031,50.0,76.0,-26.0,-6.5155478058703835,-5.521206880282691,-11.066083431032297,0.10495715291863306,-0.005231037489102031,0.014821272885789272,-0.021795989537925053,0.006729081334113429
2016-04-08,1460088000,2016-05-02,1462161600,0.75,30.869855811825218,36.596413280722096,31.0,31.81,30.91,31.09,12754579.0,34.59,35.66,34.5,35.02,24302697.0,2.204594810691617,-16.579237871799563,-4.21378260041881,-10.51018465638684,0,22.261380886224288,23.65819209039549,42.635414269417396,31.265010058971896,-4.308476448416727,3.1347123276379554,5.552849163825691,2.022788429446665,0,0.12186343662403581,50.0,80.0,-30.0,-7.187321530553987,-6.484335272714972,-12.120476037350798,0.11783785698590621,-0.012278697886921708,0.01827527127355788,-0.014848657909765972,0.017727404824179116
2016-04-19,1461038400,2016-05-06,1462507200,0.25,32.54256141665451,36.596413280722096,32.54,33.54,32.36,33.35,11747369.0,32.87,33.46,32.62,32.85,14405362.0,7.229044490980627,-5.469531553385536,4.168442415017751,-2.5012683916793605,0,6.672787352667633,5.660984239305248,28.29658290694543,12.900970095326741,2.9494550795497503,3.42293464101887,1.600435167230053,-1.1715199973934274,0,-0.08479021679128991,34.0,80.0,-46.0,0.8797564687975381,0.165805087151071,-5.20684676789179,-0.21684009553947048,0.0006088280060880802,0.018569254185692552,-0.007001522070015365,-0.012623985572587926
2016-05-02,1462161600,2016-05-10,1462852800,-0.75,30.53457882436537,36.596413280722096,34.59,35.66,34.5,35.02,24302697.0,32.49,32.69,32.15,32.35,8677161.0,8.181400425422481,-2.62344061089388,6.068006182380216,-0.5935085007727992,0,3.529028200992336,3.124003825310808,19.657355013979945,7.339700076860787,4.290004300878778,3.321284279060721,-1.7847023848214647,0.7104184041144981,0,-0.1578218416965352,26.0,68.0,-42.0,2.7789799072643007,1.3684129197560395,-3.4691548797593015,-0.3382717764994253,0.004327666151468401,0.010510046367851578,-0.0061823802163833985,0.004034761018001376
2016-05-03,1462248000,2016-05-12,1463025600,-0.25,30.53457882436537,34.62041601787224,33.86,34.78,33.13,33.68,20494940.0,33.32,33.59,33.08,33.36,10958278.0,4.6074345908394605,-4.550480154388595,3.2518984812150364,-3.258892885691452,1,8.537992374154484,4.347826086956523,17.27472060874379,5.772673339763749,0.8207077563787948,3.1370759534617454,-3.6158124817621164,0.8990454583115821,0,-0.08984537664290565,18.0,60.0,-42.0,0.02847721822543292,-1.503164473765679,-5.948786668760391,-0.2656736973920124,-0.0011990407673860837,0.006894484412470092,-0.008393285371702697,0.01305800182204675
2016-05-09,1462766400,2016-05-13,1463112000,0.25,30.53457882436537,34.479832121230345,32.74,32.74,31.85,32.22,9521400.0,33.11,33.47,32.46,32.53,8961614.0,7.0515332976479215,-1.687254170688206,6.1015472896813066,-0.6737370632236832,1,3.410787925638509,2.0709130844053973,14.48110344711907,7.414670695621538,3.298430686621373,3.2090973156587093,-5.081159268812339,-0.7414273948231253,0,-0.1129105436312972,14.0,60.0,-46.0,2.6821395634798506,0.9137854141208379,-3.409898941081522,-0.280578718402582,0.01782969566553949,0.02889640332001231,-0.0021518598217030727,-0.024880095923261347
2016-05-11,1462939200,2016-05-20,1463716800,-0.25,30.66350657444371,34.479832121230345,32.34,33.42,32.32,32.93,11702497.0,33.77,34.42,33.6,34.07,9113441.0,2.4306538006693614,-5.82366818282371,1.364837100088053,-4.637511006750827,1,8.935817052567955,0.1764187003822472,14.324121339466373,-1.8036229505308157,-2.221196887755724,3.0809882215559163,-8.037707521990026,0.7808165014902858,0,-0.118610075611255,-6.0,-20.0,14.0,-1.696507191077174,-2.5591703133695916,-6.528596180119521,-0.07165921552977039,-0.008805400645729322,0.010272967420017709,-0.013795127678309371,0.019144481005085368
2016-05-13,1463112000,2016-06-03,1464926400,0.75,30.66350657444371,36.32731297569082,33.11,33.47,32.46,32.53,8961614.0,35.18,35.94,34.94,35.84,9585281.0,1.6486860257369358,-11.31107441859406,-2.593470982142861,-7.233537946428569,0,14.943493083300112,7.724676886083559,25.287769879931552,11.915362003273025,-3.499987629009013,2.593859157381918,-2.932434028012409,0.8436246479613984,0,0.26639511331987487,50.0,72.0,-21.999999999999996,-4.831194196428569,-3.8746627445635227,-8.259307910135476,0.07196743395770788,-0.018415178571428714,0.002790178571428381,-0.025111607142857317,0.017026106696935273
