start,start_unix,end,end_unix,reward
2016-04-21,1461211200,2016-05-23,1463976000,1.0124459000000003
2016-04-22,1461297600,2016-05-25,1464148800,1.7577541
2016-04-25,1461556800,2016-06-03,1464926400,1.3202459000000002
2016-04-26,1461643200,2016-06-07,1465272000,3.0563479
2016-05-05,1462420800,2016-06-10,1465531200,2.7631279
2016-05-06,1462507200,2016-06-22,1466568000,1.4807340999999998
2016-05-13,1463112000,2016-06-23,1466654400,1.0124459000000003
2016-05-16,1463371200,2016-06-28,1467086400,1.7577541
2016-05-24,1464062400,2016-06-29,1467172800,1.3202459000000002
2016-05-26,1464235200,2016-07-08,1467950400,3.0563479
2016-06-06,1465185600,2016-07-13,1468382400,2.7631279
2016-06-08,1465358400,2016-07-29,1469764800,1.4807340999999998
2016-06-13,1465790400,2016-08-01,1470024000,1.0124459000000003
2016-06-23,1466654400,2016-08-02,1470110400,1.7577541
2016-06-24,1466740800,2016-08-04,1470283200,1.3202459000000002
2016-06-29,1467172800,2016-08-05,1470369600,2.0997540999999997
2016-06-30,1467259200,2016-08-08,1470628800,0.7436520999999998
2016-07-11,1468209600,2016-08-09,1470715200,0.1934658999999999
2016-07-14,1468468800,2016-08-12,1470974400,-1.3744459
2016-08-01,1470024000,2016-08-15,1471233600,0.06224590000000002
2016-08-02,1470110400,2016-08-19,1471579200,-1.5202459000000004
2016-08-03,1470196800,2016-08-22,1471838400,-0.0997540999999999
2016-08-05,1470369600,2016-09-08,1473307200,-1.7002459
2016-08-08,1470628800,2016-09-09,1473393600,-1.2563479
2016-08-09,1470715200,2016-09-12,1473652800,0.1934658999999999
2016-08-10,1470801600,2016-09-15,1473912000,-1.3744459
2016-08-15,1471233600,2016-09-19,1474257600,-0.8943479000000001
2016-08-16,1471320000,2016-09-23,1474603200,-2.5831279000000005
2016-08-22,1471838400,2016-09-26,1474862400,-1.2807341
2016-08-23,1471924800,2016-09-27,1474948800,-3.0124459
2016-09-09,1473393600,2016-09-28,1475035200,-1.7577541
2016-09-12,1473652800,2016-10-04,1475553600,-1.3202459000000002
2016-09-13,1473739200,2016-10-10,1476072000,-2.0997540999999997
2016-09-16,1473998400,2016-10-11,1476158400,-1.7002459
2016-09-20,1474344000,2016-10-14,1476417600,-0.29975409999999986
2016-09-26,1474862400,2016-10-19,1476849600,1.2563479
2016-09-27,1474948800,2016-10-25,1477368000,-0.1934658999999999
2016-09-28,1475035200,2016-11-02,1478059200,1.3744459
2016-09-29,1475121600,2016-11-03,1478145600,-0.06224590000000002
2016-10-05,1475640000,2016-11-08,1478581200,0.5636521000000001
2016-10-11,1476158400,2016-11-09,1478667600,-0.006534100000000043
2016-10-12,1476244800,2016-11-10,1478754000,1.5821479000000003
2016-10-17,1476676800,2016-11-21,1479704400,1.1251279
2016-10-20,1476936000,2016-12-12,1481518800,0.6173279
2016-10-26,1477454400,2016-12-14,1481691600,1.3187341
