unix,date,open,high,low,close,volume_base
1627531200,2021-07-29,38.0,40.25,33.35,34.82,114896435.0
1627617600,2021-07-30,34.93,36.9795,33.25,35.15,41622247.0
1627876800,2021-08-02,35.97,37.98,35.3,37.68,20387059.0
1627963200,2021-08-03,37.911,48.59,37.1594,46.8,94426053.0
1628049600,2021-08-04,54.45,85.0,54.4,70.39,177171062.0
1628136000,2021-08-05,62.9,66.5,50.46,50.97,83212287.0
1628222400,2021-08-06,57.77,60.88,53.1,55.01,70473322.0
1628481600,2021-08-09,59.0835,59.96,56.0,56.83,27778661.0
1628568000,2021-08-10,56.4852,58.49,53.5,53.94,17192488.0
1628654400,2021-08-11,54.5683,54.6058,49.0,51.19,16081162.0
1628740800,2021-08-12,50.125,50.39,47.52,48.1,13564309.0
1628827200,2021-08-13,48.45,53.2,48.22,50.63,25747407.0
1629086400,2021-08-16,49.4,49.79,47.0,47.19,12272360.0
1629172800,2021-08-17,47.3,48.85,46.01,46.67,9325918.0
1629259200,2021-08-18,47.9651,52.06,47.2,49.8,24581474.0
1629345600,2021-08-19,45.06,46.88,44.135,44.69,18920474.0
1629432000,2021-08-20,45.2,45.56,42.44,42.64,11893231.0
1629691200,2021-08-23,44.16,46.85,43.32,45.29,15858844.0
1629777600,2021-08-24,46.46,50.24,46.0,49.38,17339454.0
1629864000,2021-08-25,48.425,50.99,47.5,48.98,10990342.0
1629950400,2021-08-26,48.0,49.8499,46.4,46.86,7314622.0
1630036800,2021-08-27,46.7986,48.1,46.14,46.87,6107740.0
1630296000,2021-08-30,46.3,46.6,42.56,43.64,12483769.0
1630382400,2021-08-31,42.03,44.5,41.51,44.32,9108777.0
1630468800,2021-09-01,43.76,47.12,43.7,44.57,11150555.0
1630555200,2021-09-02,45.202,45.7999,44.2,44.49,4193319.0
1630641600,2021-09-03,44.6928,44.88,43.15,43.35,4735225.0
1630987200,2021-09-07,43.33,43.39,41.75,42.13,6249161.0
1631073600,2021-09-08,42.0,42.21,39.81,40.05,7894827.0
1631160000,2021-09-09,40.5,42.54,40.3813,41.28,7057952.0
1631246400,2021-09-10,41.5,42.52,40.72,41.17,5574019.0
1631505600,2021-09-13,41.22,41.3899,39.8,40.6,4378275.0
1631592000,2021-09-14,41.0,41.0,39.23,40.02,4380553.0
1631678400,2021-09-15,40.2,41.94,39.83,41.87,5914894.0
1631764800,2021-09-16,41.62,42.43,40.91,41.95,4364874.0
1631851200,2021-09-17,41.92,42.9012,41.9,42.38,5170001.0
1632110400,2021-09-20,40.62,41.56,40.0301,40.7,4516729.0
1632196800,2021-09-21,41.04,42.69,40.7938,42.29,6048416.0
1632283200,2021-09-22,43.0004,46.94,42.76,46.88,14773138.0
1632369600,2021-09-23,46.285,47.84,44.71,45.94,12286500.0
1632456000,2021-09-24,44.7,46.55,44.35,44.91,6088271.0
1632715200,2021-09-27,44.93,45.91,43.95,44.76,4096795.0
1632801600,2021-09-28,43.92,45.96,42.51,44.62,5899486.0
1632888000,2021-09-29,44.33,45.4625,43.1,43.13,4641363.0
1632974400,2021-09-30,43.13,43.13,41.41,42.08,3589070.0
1633060800,2021-10-01,42.3617,42.78,41.12,41.9,2694422.0
1633320000,2021-10-04,41.8,41.8123,40.25,40.93,2694811.0
1633406400,2021-10-05,41.074,42.4899,41.0509,42.01,2849954.0
1633492800,2021-10-06,42.0,42.65,41.7,42.06,2776356.0
1633579200,2021-10-07,42.2374,42.84,41.68,41.84,2947456.0
1633665600,2021-10-08,41.8,42.06,41.05,41.78,3704054.0
1633924800,2021-10-11,41.1723,42.468,41.01,42.07,3779249.0
1634011200,2021-10-12,42.0,42.05,40.5,40.53,3771882.0
1634097600,2021-10-13,40.62,40.83,39.86,40.52,3955417.0
1634184000,2021-10-14,40.59,41.79,40.55,40.93,3883080.0
1634270400,2021-10-15,41.641,41.7,40.8601,41.03,2684710.0
1634529600,2021-10-18,40.95,41.25,40.31,40.65,4077928.0
1634616000,2021-10-19,40.91,41.8,40.54,41.7,4576417.0
1634702400,2021-10-20,41.8933,42.44,41.02,41.83,4123190.0
1634788800,2021-10-21,41.93,43.36,41.21,41.28,5448534.0
1634875200,2021-10-22,41.125,41.13,39.59,39.59,6020284.0
1635134400,2021-10-25,39.76,39.87,38.15,39.01,8151261.0
1635220800,2021-10-26,39.61,40.25,39.0,39.57,13386412.0
1635307200,2021-10-27,35.98,36.19,34.44,35.44,29521824.0
1635393600,2021-10-28,35.205,35.52,33.99,35.47,17697071.0
1635480000,2021-10-29,35.65,35.85,34.8,34.97,10824258.0
1635739200,2021-11-01,35.2,35.215,34.42,34.85,8035050.0
1635825600,2021-11-02,34.72,34.99,34.34,34.99,5622982.0
1635912000,2021-11-03,34.94,37.5,34.6752,37.04,15468094.0
1635998400,2021-11-04,37.03,37.95,36.5,37.07,6670206.0
1636084800,2021-11-05,37.0,37.41,36.65,37.01,4822005.0
1636347600,2021-11-08,37.06,38.17,36.52,37.98,7260914.0
1636434000,2021-11-09,36.76,37.199,36.45,36.7,7290087.0
1636520400,2021-11-10,35.9,36.11,33.7501,34.49,14922994.0
1636606800,2021-11-11,34.82,34.84,34.04,34.17,6149532.0
1636693200,2021-11-12,34.645,35.9,34.59,35.21,8897581.0
1636952400,2021-11-15,35.5,35.61,34.23,34.96,6402777.0
1637038800,2021-11-16,34.37,34.44,32.87,33.87,9069525.0
1637125200,2021-11-17,33.8,33.98,32.81,32.88,6878629.0
1637211600,2021-11-18,32.9,32.93,30.41,30.53,12754361.0
1637298000,2021-11-19,30.3,30.8,28.8,28.99,14472138.0
1637557200,2021-11-22,29.0,29.36,27.44,27.84,12884391.0
1637643600,2021-11-23,27.6,28.3001,26.57,27.65,8786389.0
1637730000,2021-11-24,27.54,28.54,27.51,27.98,6085219.0
1637902800,2021-11-26,27.075,29.22,27.05,27.92,5634670.0
1638162000,2021-11-29,28.095,28.29,25.75,27.07,15525005.0
1638248400,2021-11-30,26.6949,27.56,25.81,25.94,28211299.0
1638334800,2021-12-01,26.35,26.39,23.89,23.93,38140782.0
1638421200,2021-12-02,23.96,24.29,23.34,24.2,14796560.0
1638507600,2021-12-03,23.92,24.06,21.5,21.55,17231717.0
1638766800,2021-12-06,21.34,22.05,20.58,21.9,12247214.0
1638853200,2021-12-07,22.65,23.33,22.02,22.73,11493696.0
1638939600,2021-12-08,23.0,23.74,21.76,23.72,15707275.0
1639026000,2021-12-09,23.27,23.48,21.7,21.91,14378268.0
1639112400,2021-12-10,21.78,21.81,19.82,20.13,22322455.0
1639371600,2021-12-13,19.7,20.2,18.86,19.7,18315524.0
1639458000,2021-12-14,19.155,19.56,18.42,19.13,21300359.0
1639544400,2021-12-15,19.0,19.8,17.89,19.5,22777519.0
1639630800,2021-12-16,19.24,19.89,17.71,18.14,21282485.0
1639717200,2021-12-17,17.88,19.37,17.075,19.1,21668421.0
1639976400,2021-12-20,18.27,18.93,17.59,18.03,13960777.0
