start,start_unix,bottom,top,end,end_unix,direction
2016-03-15,1458014400,94.495,98.05456268365566,2016-03-18,1458273600,
2016-03-21,1458532800,98.05456268365566,101.4294386157644,2016-03-22,1458619200,1.0
2016-03-23,1458705600,94.77669517076599,98.05456268365566,2016-03-23,1458705600,-1.0
2016-03-24,1458792000,98.05456268365566,101.41586823133893,2016-04-18,1460952000,1.0
2016-04-19,1461038400,94.6723421285711,98.05456268365566,2016-04-20,1461124800,-1.0
2016-04-21,1461211200,98.05456268365566,101.56716101941734,2016-04-27,1461729600,1.0
2016-04-28,1461816000,94.68327176714773,98.05456268365566,2016-05-05,1462420800,-1.0
2016-05-06,1462507200,98.05456268365566,101.39257040729477,2016-05-18,1463544000,1.0
2016-05-19,1463630400,94.9207911461407,98.05456268365566,2016-05-19,1463630400,-1.0
2016-05-20,1463716800,98.05456268365566,101.18563625420526,2016-05-24,1464062400,1.0
2016-05-25,1464148800,101.18563625420526,104.27187482362855,2016-06-13,1465790400,1.0
2016-06-14,1465876800,98.8781493677534,101.18563625420526,2016-06-16,1466049600,-1.0
2016-06-17,1466136000,101.18563625420526,103.48697032473542,2016-06-22,1466568000,1.0
2016-06-23,1466654400,103.48697032473542,105.8981184502147,2016-06-23,1466654400,1.0
2016-06-24,1466740800,100.45861849393324,103.48697032473542,2016-06-24,1466740800,-1.0
2016-06-27,1467000000,97.29429179390264,100.45861849393324,2016-06-29,1467172800,-1.0
2016-06-30,1467259200,100.45861849393324,103.67639828983967,2016-07-08,1467950400,1.0
2016-07-11,1468209600,103.67639828983967,106.53385888035936,2016-07-13,1468382400,1.0
2016-07-14,1468468800,106.53385888035936,109.35045834004295,2016-08-04,1470283200,1.0
2016-08-05,1470369600,109.35045834004295,111.63486333214513,2016-08-08,1470628800,1.0
2016-08-09,1470715200,107.14692546419974,109.35045834004295,2016-08-09,1470715200,-1.0
2016-08-10,1470801600,109.35045834004295,111.47373886761164,2016-08-12,1470974400,1.0
2016-08-15,1471233600,107.17014809256904,109.35045834004295,2016-08-24,1472011200,-1.0
2016-08-25,1472097600,105.16206527439452,107.17014809256904,2016-08-26,1472184000,-1.0
2016-08-29,1472443200,107.17014809256904,109.27510725721952,2016-09-08,1473307200,1.0
2016-09-09,1473393600,104.90076093735904,107.17014809256904,2016-09-13,1473739200,-1.0
2016-09-14,1473825600,102.3673638601009,104.90076093735904,2016-09-14,1473825600,-1.0
2016-09-15,1473912000,104.90076093735904,107.52320108052731,2016-09-15,1473912000,1.0
2016-09-16,1473998400,102.2753522329885,104.90076093735904,2016-09-20,1474344000,-1.0
2016-09-21,1474430400,104.90076093735904,107.50913882493269,2016-09-22,1474516800,1.0
2016-09-23,1474603200,102.3922616363389,104.90076093735904,2016-09-26,1474862400,-1.0
2016-09-27,1474948800,104.90076093735904,107.44262002854477,2016-10-10,1476072000,1.0
2016-10-11,1476158400,101.95793384712529,104.90076093735904,2016-10-17,1476676800,-1.0
2016-10-18,1476763200,98.79675825285253,101.95793384712529,2016-10-18,1476763200,-1.0
2016-10-19,1476849600,101.95793384712529,105.04373975609286,2016-10-20,1476936000,1.0
2016-10-21,1477022400,98.9745909970461,101.95793384712529,2016-10-25,1477368000,-1.0
2016-10-26,1477454400,101.95793384712529,104.82862927045764,2016-11-04,1478232000,1.0
2016-11-07,1478494800,104.82862927045764,107.62736301843462,2016-11-09,1478667600,1.0
2016-11-10,1478754000,107.62736301843462,111.01237323866255,2016-11-23,1479877200,1.0
2016-11-25,1480050000,111.01237323866255,113.74386521194258,2016-11-29,1480395600,1.0
2016-11-30,1480482000,108.41620273381699,111.01237323866255,2016-12-06,1481000400,-1.0
2016-12-07,1481086800,111.01237323866255,113.88379003905752,2016-12-12,1481518800,1.0
2016-12-13,1481605200,113.88379003905752,116.8332382178393,2016-12-15,1481778000,1.0
2016-12-16,1481864400,110.90250372390317,113.88379003905752,2016-12-19,1482123600,-1.0
2016-12-20,1482210000,113.88379003905752,116.7139195658998,2016-12-21,1482296400,1.0
2016-12-22,1482382800,111.07975998785167,113.88379003905752,2016-12-23,1482469200,-1.0
2016-12-27,1482814800,113.88379003905752,116.49697921586255,2016-12-27,1482814800,1.0
2016-12-28,1482901200,111.30554294630998,113.88379003905752,2016-12-30,1483074000,-1.0
2017-01-03,1483419600,113.88379003905752,116.2848246100365,2017-01-09,1483938000,1.0
2017-01-10,1484024400,111.3018891737884,113.88379003905752,2017-01-10,1484024400,-1.0
2017-01-11,1484110800,113.88379003905752,116.47798369966455,2017-01-17,1484629200,1.0
2017-01-18,1484715600,111.32934483027478,113.88379003905752,2017-01-19,1484802000,-1.0
2017-01-20,1484888400,113.88379003905752,116.62754126499773,2017-01-23,1485147600,1.0
2017-01-24,1485234000,116.62754126499773,119.5293777812421,2017-01-24,1485234000,1.0
2017-01-25,1485320400,119.5293777812421,122.51708311775474,2017-01-30,1485752400,1.0
2017-01-31,1485838800,116.65360393398738,119.5293777812421,2017-02-02,1486011600,-1.0
2017-02-03,1486098000,119.5293777812421,122.3137178477212,2017-02-09,1486616400,1.0
2017-02-10,1486702800,122.3137178477212,124.99713403276169,2017-02-28,1488258000,1.0
2017-03-01,1488344400,124.99713403276169,127.39829807992062,2017-03-01,1488344400,1.0
2017-03-02,1488430800,122.63248170325697,124.99713403276169,2017-03-08,1488949200,-1.0
2017-03-09,1489035600,120.26380112489157,122.63248170325697,2017-03-20,1489982400,-1.0
2017-03-21,1490068800,117.89851571449027,120.26380112489157,2017-04-07,1491537600,-1.0
2017-04-10,1491796800,115.66296258135066,117.89851571449027,2017-04-18,1492488000,-1.0
2017-04-19,1492574400,112.67482825394768,115.66296258135066,2017-04-19,1492574400,-1.0
2017-04-20,1492660800,109.73298923564492,112.67482825394768,2017-04-28,1493352000,-1.0
2017-05-01,1493611200,107.31677590169451,109.73298923564492,2017-05-04,1493870400,-1.0
2017-05-05,1493956800,104.7918699502431,107.31677590169451,2017-05-10,1494388800,-1.0
2017-05-11,1494475200,102.46669250127903,104.7918699502431,2017-05-12,1494561600,-1.0
2017-05-15,1494820800,104.7918699502431,107.03175254654376,2017-05-16,1494907200,1.0
2017-05-17,1494993600,102.36462424220835,104.7918699502431,2017-05-18,1495080000,-1.0
2017-05-19,1495166400,104.7918699502431,107.13537262706897,2017-06-06,1496721600,1.0
2017-06-07,1496808000,102.72387478531732,104.7918699502431,2017-06-07,1496808000,-1.0
2017-06-08,1496894400,104.7918699502431,106.88186546053132,2017-06-08,1496894400,1.0
2017-06-09,1496980800,106.88186546053132,109.03471843437038,2017-06-13,1497326400,1.0
2017-06-14,1497412800,104.6247109475851,106.88186546053132,2017-06-14,1497412800,-1.0
2017-06-15,1497499200,106.88186546053132,109.10250893683852,2017-06-20,1497931200,1.0
2017-06-21,1498017600,104.64623446493547,106.88186546053132,2017-06-21,1498017600,-1.0
2017-06-22,1498104000,106.88186546053132,109.0735228135846,2017-06-29,1498708800,1.0
2017-06-30,1498795200,104.89531388409503,106.88186546053132,2017-06-30,1498795200,-1.0
2017-07-03,1499054400,106.88186546053132,108.95023478150787,2017-07-03,1499054400,1.0
2017-07-05,1499227200,104.75937966248166,106.88186546053132,2017-07-13,1499918400,-1.0
2017-07-14,1500004800,106.88186546053132,108.8013241445646,2017-07-14,1500004800,1.0
2017-07-17,1500264000,104.92079668250041,106.88186546053132,2017-07-18,1500350400,-1.0
2017-07-19,1500436800,102.38947717491253,104.92079668250041,2017-07-20,1500523200,-1.0
2017-07-21,1500609600,99.93548229336992,102.38947717491253,2017-08-04,1501819200,-1.0
2017-08-07,1502078400,97.90785009753101,99.93548229336992,2017-08-23,1503460800,-1.0
2017-08-24,1503547200,99.93548229336992,101.88080025200843,2017-08-25,1503633600,1.0
2017-08-28,1503892800,97.95765201270711,99.93548229336992,2017-08-28,1503892800,-1.0
2017-08-29,1503979200,99.93548229336992,101.90832469684253,2017-09-07,1504756800,1.0
2017-09-08,1504843200,97.98511931654845,99.93548229336992,2017-09-08,1504843200,-1.0
2017-09-11,1505102400,99.93548229336992,101.98824791470413,2017-09-11,1505102400,1.0
2017-09-12,1505188800,101.98824791470413,104.06281599165733,2017-09-14,1505361600,1.0
2017-09-15,1505448000,100.04880984434473,101.98824791470413,2017-09-19,1505793600,-1.0
2017-09-20,1505880000,101.98824791470413,103.83246855631477,2017-09-20,1505880000,1.0
2017-09-21,1505966400,100.20504303320854,101.98824791470413,2017-09-22,1506052800,-1.0
2017-09-25,1506312000,101.98824791470413,103.70966436864676,2017-09-28,1506571200,1.0
2017-09-29,1506657600,100.24308159491406,101.98824791470413,2017-09-29,1506657600,-1.0
2017-10-02,1506916800,101.98824791470413,103.77075949736634,2017-10-09,1507521600,1.0
2017-10-10,1507608000,103.77075949736634,105.40722948672534,2017-10-10,1507608000,1.0
2017-10-11,1507694400,102.14189450724727,103.77075949736634,2017-10-17,1508212800,-1.0
2017-10-18,1508299200,103.77075949736634,106.52739122219879,2017-10-18,1508299200,1.0
2017-10-19,1508385600,106.52739122219879,109.25683496668606,2017-10-19,1508385600,1.0
2017-10-20,1508472000,109.25683496668606,112.03560415799566,2017-10-24,1508817600,1.0
2017-10-25,1508904000,106.12466298661784,109.25683496668606,2017-11-03,1509681600,-1.0
2017-11-06,1509944400,103.45111273214906,106.12466298661784,2017-11-07,1510030800,-1.0
2017-11-08,1510117200,106.12466298661784,108.65096907337919,2017-11-09,1510203600,1.0
2017-11-10,1510290000,103.62218477915525,106.12466298661784,2017-11-17,1510894800,-1.0
2017-11-20,1511154000,106.12466298661784,108.68615388726354,2017-11-28,1511845200,1.0
2017-11-29,1511931600,108.68615388726354,110.88891660579691,2017-12-11,1512968400,1.0
2017-12-12,1513054800,110.88891660579691,113.15268581400804,2017-12-12,1513054800,1.0
2017-12-13,1513141200,108.527130912458,110.88891660579691,2017-12-14,1513227600,-1.0
2017-12-15,1513314000,106.1913054932015,108.527130912458,2017-12-15,1513314000,-1.0
2017-12-18,1513573200,108.527130912458,110.84911165891047,2017-12-18,1513573200,1.0
2017-12-19,1513659600,106.27200593360928,108.527130912458,2017-12-27,1514350800,-1.0
2017-12-28,1514437200,108.527130912458,110.53136902142406,2018-01-02,1514869200,1.0
2018-01-03,1514955600,110.53136902142406,112.86274552484913,2018-01-03,1514955600,1.0
2018-01-04,1515042000,112.86274552484913,115.37602370660099,2018-01-05,1515128400,1.0
2018-01-08,1515387600,115.37602370660099,117.8964727510707,2018-01-16,1516078800,1.0
2018-01-17,1516165200,117.8964727510707,120.64466218902383,2018-01-18,1516251600,1.0
2018-01-19,1516338000,114.56266655201928,117.8964727510707,2018-01-25,1516856400,-1.0
2018-01-26,1516942800,117.8964727510707,121.28289812268744,2018-01-29,1517202000,1.0
2018-01-30,1517288400,114.44306516023791,117.8964727510707,2018-02-01,1517461200,-1.0
2018-02-02,1517547600,110.99285361611996,114.44306516023791,2018-02-02,1517547600,-1.0
2018-02-05,1517806800,106.96622861086757,110.99285361611996,2018-02-07,1517979600,-1.0
2018-02-08,1518066000,102.54737324040858,106.96622861086757,2018-02-09,1518152400,-1.0
2018-02-12,1518411600,106.96622861086757,111.56781308845721,2018-02-14,1518584400,1.0
2018-02-15,1518670800,111.56781308845721,116.10865386734368,2018-02-16,1518757200,1.0
2018-02-20,1519102800,107.26007792707043,111.56781308845721,2018-02-23,1519362000,-1.0
2018-02-26,1519621200,111.56781308845721,115.69993017363964,2018-02-27,1519707600,1.0
2018-02-28,1519794000,107.51074274460093,111.56781308845721,2018-03-02,1519966800,-1.0
2018-03-05,1520226000,111.56781308845721,115.7368267712022,2018-03-05,1520226000,1.0
2018-03-06,1520312400,107.44458609733687,111.56781308845721,2018-03-06,1520312400,-1.0
2018-03-07,1520398800,111.56781308845721,115.77323815164038,2018-03-21,1521604800,1.0
2018-03-22,1521691200,107.40925860315059,111.56781308845721,2018-03-22,1521691200,-1.0
2018-03-23,1521777600,103.17617229536586,107.40925860315059,2018-03-23,1521777600,-1.0
2018-03-26,1522036800,107.40925860315059,111.77841017466498,2018-03-29,1522296000,1.0
2018-04-02,1522641600,103.03054967889969,107.40925860315059,2018-04-03,1522728000,-1.0
2018-04-04,1522814400,107.40925860315059,112.06062497150978,2018-04-11,1523419200,1.0
2018-04-12,1523505600,112.06062497150978,116.55787210534292,2018-04-17,1523937600,1.0
2018-04-18,1524024000,106.76563420231443,112.06062497150978,2018-04-18,1524024000,-1.0
2018-04-19,1524110400,101.61099991663303,106.76563420231443,2018-05-02,1525233600,-1.0
2018-05-03,1525320000,97.63768839784387,101.61099991663303,2018-05-03,1525320000,-1.0
2018-05-04,1525406400,101.61099991663303,105.67464632693726,2018-06-07,1528344000,1.0
2018-06-08,1528430400,105.67464632693726,108.114185657518,2018-06-13,1528862400,1.0
2018-06-14,1528948800,103.40605441677701,105.67464632693726,2018-06-19,1529380800,-1.0
2018-06-20,1529467200,101.08021076970061,103.40605441677701,2018-06-22,1529640000,-1.0
2018-06-25,1529899200,98.66552691670249,101.08021076970061,2018-06-27,1530072000,-1.0
2018-06-28,1530158400,101.08021076970061,103.62020217824175,2018-06-28,1530158400,1.0
2018-06-29,1530244800,98.5583616046267,101.08021076970061,2018-06-29,1530244800,-1.0
2018-07-02,1530504000,101.08021076970061,103.60964213726925,2018-07-02,1530504000,1.0
2018-07-03,1530590400,98.58616735695831,101.08021076970061,2018-07-03,1530590400,-1.0
2018-07-05,1530763200,101.08021076970061,103.56967965296133,2018-07-06,1530849600,1.0
2018-07-09,1531108800,103.56967965296133,106.07859925128307,2018-07-18,1531886400,1.0
2018-07-19,1531972800,106.07859925128307,108.90431207081899,2018-07-19,1531972800,1.0
