unix,date,open,high,low,close,volume_base
1451883600,2016-01-04,44.54,44.7,43.85,44.39,8643790.0
1451970000,2016-01-05,45.61,45.74,44.86,45.48,7388285.0
1452056400,2016-01-06,45.03,45.34,44.65,45.08,5413910.0
1452142800,2016-01-07,44.36,45.68,44.19,44.88,6418885.0
1452229200,2016-01-08,45.14,45.38,44.09,44.19,5244855.0
1452488400,2016-01-11,44.48,44.87,44.11,44.61,4652270.0
1452574800,2016-01-12,45.03,45.18,44.24,44.83,3881525.0
1452661200,2016-01-13,44.92,44.97,43.11,43.55,4467000.0
1452747600,2016-01-14,43.84,44.4,43.31,44.16,3902395.0
1452834000,2016-01-15,43.08,44.41,42.92,43.34,7418060.0
1453179600,2016-01-19,44.02,44.37,43.65,43.97,5896750.0
1453266000,2016-01-20,43.26,43.65,42.6,42.88,6539470.0
1453352400,2016-01-21,43.18,43.46,42.44,42.75,4917950.0
1453438800,2016-01-22,43.28,44.45,43.01,44.37,5271995.0
1453698000,2016-01-25,44.6,44.78,43.51,43.93,4683010.0
1453784400,2016-01-26,44.23,44.45,43.98,44.43,5089290.0
1453870800,2016-01-27,44.34,45.24,44.15,44.63,5747370.0
1453957200,2016-01-28,45.01,45.25,44.39,44.95,5423370.0
1454043600,2016-01-29,45.32,46.62,44.98,46.58,10524630.0
1454302800,2016-02-01,46.49,47.48,46.2,47.14,8064000.0
1454389200,2016-02-02,46.92,46.92,46.32,46.7,6235510.0
1454475600,2016-02-03,46.89,47.08,45.46,46.45,6268965.0
1454562000,2016-02-04,46.4,46.73,42.7,43.45,15149895.0
1454648400,2016-02-05,43.2,43.5,41.32,41.71,9186225.0
1454907600,2016-02-08,41.27,42.37,40.43,42.2,9844110.0
1454994000,2016-02-09,42.09,43.11,41.84,42.87,6232620.0
1455080400,2016-02-10,43.05,43.27,41.71,41.75,5040910.0
1455166800,2016-02-11,40.73,41.71,40.35,41.18,6756225.0
1455253200,2016-02-12,41.77,41.77,40.8,41.72,4505360.0
1455598800,2016-02-16,42.13,42.47,41.51,42.01,5219970.0
1455685200,2016-02-17,42.12,43.74,42.12,43.51,5157780.0
1455771600,2016-02-18,43.44,43.61,42.83,43.08,2808485.0
