start,start_unix,end,end_unix,reward
2016-03-18,1458273600,2016-04-26,1461643200,0.6948721
2016-03-21,1458532800,2016-04-27,1461729600,0.1392659
2016-03-29,1459224000,2016-04-29,1461902400,1.7441479000000002
2016-03-31,1459396800,2016-05-02,1462161600,0.3485340999999998
2016-04-07,1460001600,2016-05-04,1462334400,-0.24555409999999994
2016-04-08,1460088000,2016-05-05,1462420800,-0.9056520999999997
2016-04-20,1461124800,2016-05-06,1462507200,-0.37346589999999963
2016-04-26,1461643200,2016-05-11,1462939200,1.1744459000000003
2016-04-27,1461729600,2016-05-12,1463025600,1.9377540999999998
2016-04-28,1461816000,2016-05-13,1463112000,1.5202459000000004
2016-05-02,1462161600,2016-05-17,1463457600,0.0997540999999999
2016-05-03,1462248000,2016-06-02,1464840000,0.7436520999999998
2016-05-05,1462420800,2016-06-06,1465185600,0.1934658999999999
2016-05-06,1462507200,2016-06-10,1465531200,-0.4178520999999998
2016-05-09,1462766400,2016-06-17,1466136000,1.1251279
2016-05-12,1463025600,2016-06-23,1466654400,-0.3392659000000002
2016-05-13,1463112000,2016-06-24,1466740800,1.2124459
2016-05-16,1463371200,2016-07-11,1468209600,0.7143479000000004
2016-05-18,1463544000,2016-07-28,1469678400,1.4265341
2016-06-03,1464926400,2016-07-29,1469764800,3.1744459
2016-06-07,1465272000,2016-08-03,1470196800,1.9377540999999998
2016-06-13,1465790400,2016-08-04,1470283200,1.5202459000000004
2016-06-20,1466395200,2016-08-25,1472097600,0.0997540999999999
2016-06-24,1466740800,2016-09-02,1472788800,0.7436520999999998
2016-06-27,1467000000,2016-09-07,1473220800,0.1934658999999999
2016-07-12,1468296000,2016-09-21,1474430400,-1.3744459
2016-07-29,1469764800,2016-10-03,1475467200,0.06224590000000002
2016-08-01,1470024000,2016-10-05,1475640000,-1.5202459000000004
2016-08-04,1470283200,2016-10-06,1475726400,-1.0563479
2016-08-05,1470369600,2016-10-07,1475812800,-1.8065341
2016-08-26,1472184000,2016-10-12,1476244800,-1.3744459
2016-09-06,1473134400,2016-10-13,1476331200,0.06224590000000002
2016-09-08,1473307200,2016-10-14,1476417600,-1.5202459000000004
2016-09-22,1474516800,2016-10-25,1477368000,-0.0997540999999999
2016-10-04,1475553600,2016-10-31,1477886400,-1.7002459
2016-10-06,1475726400,2016-11-03,1478145600,-0.29975409999999986
2016-10-07,1475812800,2016-11-04,1478232000,1.2563479
2016-10-10,1476072000,2016-11-07,1478494800,-0.1934658999999999
2016-10-13,1476331200,2016-11-08,1478581200,0.4178520999999998
2016-10-14,1476417600,2016-11-09,1478667600,-1.1251279
2016-10-17,1476676800,2016-11-11,1478840400,-0.6173279
2016-10-26,1477454400,2016-11-16,1479272400,-2.2753279
2016-11-01,1477972800,2016-11-22,1479790800,-1.8953279000000005
2016-11-04,1478232000,2016-11-23,1479877200,-3.6953279
2016-11-07,1478494800,2016-11-29,1480395600,-4.7387341
2016-11-08,1478581200,2016-12-01,1480568400,-4.6324459000000004
2016-11-09,1478667600,2016-12-08,1481173200,-3.5577541000000004
2016-11-10,1478754000,2016-12-13,1481605200,-3.3202459
2016-11-14,1479099600,2016-12-27,1482814800,-3.0563479
2016-11-17,1479358800,2016-12-29,1482987600,-1.8065341
2016-11-23,1479877200,2016-12-30,1483074000,-0.4178520999999998
2016-11-25,1480050000,2017-01-03,1483419600,0.16853409999999996
2016-11-30,1480482000,2017-01-13,1484283600,-0.4455541000000001
2016-12-02,1480654800,2017-01-17,1484629200,1.0943479
2016-12-09,1481259600,2017-02-03,1486098000,-0.37346589999999963
2016-12-14,1481691600,2017-02-10,1486702800,1.1744459000000003
2016-12-28,1482901200,2017-02-16,1487221200,1.9377540999999998
2016-12-30,1483074000,2017-02-17,1487307600,1.5202459000000004
2017-01-03,1483419600,2017-02-21,1487653200,0.0997540999999999
2017-01-04,1483506000,2017-02-28,1488258000,1.7002459
2017-01-17,1484629200,2017-03-06,1488776400,0.29975409999999986
2017-01-18,1484715600,2017-03-14,1489464000,-1.2563479
2017-02-06,1486357200,2017-03-20,1489982400,0.1934658999999999
2017-02-13,1486962000,2017-03-31,1490932800,-0.4178520999999998
2017-02-17,1487307600,2017-04-06,1491451200,1.1251279
2017-02-21,1487653200,2017-04-07,1491537600,-0.3392659000000002
2017-02-22,1487739600,2017-04-11,1491883200,1.2124459
2017-03-01,1488344400,2017-04-17,1492401600,0.7143479000000004
2017-03-07,1488862800,2017-04-18,1492488000,2.3831279000000003
2017-03-15,1489550400,2017-04-24,1493006400,3.2807340999999997
2017-03-21,1490068800,2017-04-25,1493092800,2.0558520999999996
2017-04-03,1491192000,2017-05-02,1493697600,1.6514659000000003
2017-04-07,1491537600,2017-05-11,1494475200,0.24555409999999994
2017-04-10,1491796800,2017-05-16,1494907200,1.8622459
2017-04-12,1491969600,2017-05-19,1495166400,1.4363478999999997
2017-04-18,1492488000,2017-05-23,1495512000,0.006534100000000043
