unix,date,open,high,low,close,volume_base,rel_open,rel_high,rel_low,rel_close,bb_bbm,bb_bbh,bb_bbl,kch_high,kch_low,kch_mid,squeeze,rsi,roc,tsi,mfi,vwap,atr,adx,obv,pocket_pivot,cmf,aroon_up,aroon,aroon_down,sma,ema20,ema50,macd_diff
1458014400,2016-03-15,92.13,92.64,91.73,92.3,1081045.0,-0.0018418201516793298,0.0036836403033586596,-0.006175514626218792,1.0,-0.9247020585048631,1.4614609235489269,-3.3108650405586815,1.2717587576742488,-3.528891296496923,-1.1285662694113228,1,5.920352212931739,4.164315540006768,16.59321890013797,10.018373738885764,-1.010007629088392,2.3578188824160806,-14.504934699105275,0.6370950225283303,0,0.24282520039655187,-2.0,44.0,-46.0,-0.9247020585048631,-1.3244623217272817,-3.083088617320726,-0.017106649804653262
1458100800,2016-03-16,92.37,93.43,91.76,93.2,1317445.0,-0.008905579399141605,0.0024678111587983498,-0.015450643776824036,0.009750812567713929,-1.784871244635184,0.7160290979479953,-4.2857715872183775,0.3388769670958709,-4.26841917024322,-1.9647711015736746,1,7.778559713474529,1.9693654266958391,17.081298557228646,8.47341214054665,-1.9845181899026727,2.296249905741152,-15.186507198676365,0.6370950225283303,0,0.20740428212376424,50.0,96.0,-46.0,-1.784871244635184,-2.060448382185342,-3.8613744192452373,0.009840613916963559
1458187200,2016-03-17,93.03,94.06,92.55,93.7,1517013.0,-0.0071504802561366265,0.0038420490928494644,-0.01227321237993606,0.005364806866952732,-2.092849519743865,0.40848268943396704,-4.594181728921683,-0.07079331198860928,-4.5606545713269355,-2.3157239416577653,1,8.794378982157795,4.5175683212493,17.861627565317544,19.936175464654085,-2.166445683906929,2.235963093303842,-15.56906812369826,0.7368555185109247,0,0.33947865614620565,50.0,96.0,-46.0,-2.092849519743865,-2.3370645907271523,-4.202842760124952,0.04748893671180632
1458273600,2016-03-18,94.17,95.05,92.95,94.79,4188373.0,-0.0065407743432851495,0.0027429053697647365,-0.019411330309104358,0.011632870864461076,-2.982382107817301,-0.2423664259578544,-5.722397789676734,-0.989907514857407,-5.423919541442487,-3.20691352814994,1,10.95030539131239,4.960690953382796,19.336263913790194,32.34604402305877,-2.60552605982771,2.210620954556244,-15.356791689676626,2.0039065233491398,1,0.39530376446593307,50.0,96.0,-46.0,-2.982382107817301,-3.1305673648875683,-5.096407531315194,0.1274150734876045
1458532800,2016-03-21,94.28,94.79,93.79,94.79,1069101.0,-0.005380314379153983,0.0,-0.010549636037556653,0.0,-2.7982909589619283,0.2105634466162769,-5.807145364540119,-0.8416851285297184,-5.213454302493233,-3.02756971551149,1,10.95030539131239,3.8225629791894957,20.565505884675808,31.53010070535848,-2.4008493664952653,2.1280740009276315,-15.159677858085109,0.5194030602552557,0,0.36602595929108284,46.0,92.0,-46.0,-2.7982909589619283,-2.832418092041152,-4.896548412440083,0.1597986065606789
1458619200,2016-03-22,94.48,95.27,94.12,94.92,1281961.0,-0.004635482511588629,0.0036873156342183133,-0.008428150021070335,0.0013714526848822572,-2.6970080067425215,0.451014619895588,-5.845030633380631,-0.7767944936086479,-5.0793650793650755,-2.9280797864868617,1,11.218451965676323,4.9187575992041594,21.703487626273052,31.26457393466079,-2.3616438823576686,2.059901382459734,-14.69713386089369,0.6280831947270292,0,0.4106781863927385,50.0,68.0,-18.0,-2.6970080067425215,-2.683068101432312,-4.829670264483738,0.16861784131925317
1458705600,2016-03-23,94.48,94.83,93.91,94.51,1731956.0,-0.00031742672733048316,0.0033858850915247096,-0.006348534546608886,-0.004319426885798561,-2.133636652206107,1.1664974252421274,-5.433770729654341,-0.2833915282333521,-4.350685994427408,-2.3170387613303802,0,9.853980222656382,2.9072299651567963,22.16007138577489,31.69054394448574,-1.6411702903837124,1.9973970327403106,-14.438891423145742,-0.8506171723244378,0,0.4143851926496337,46.0,68.0,-21.999999999999996,-2.133636652206107,-2.0455681986643555,-4.243597580447968,0.12735925892169986
1458792000,2016-03-24,94.21,94.9,93.57,94.68,1553220.0,-0.0049640895648501715,0.0023236163920574704,-0.011723700887199096,0.0017987514548725159,-2.2201098436839857,1.2195961987730044,-5.65981588614099,-0.39395859738064587,-4.376848331220955,-2.3854034643007935,0,10.240758216075001,1.817399720400056,22.688707344933473,24.972048436139772,-1.5991272399371752,1.9517335961250895,-14.481404699283464,0.7619941296398477,0,0.3892178715572652,42.0,68.0,-26.0,-2.2201098436839857,-2.009881082473086,-4.242372234042989,0.09359968146609332
1459137600,2016-03-28,94.66,95.07,94.36,94.83,1074683.0,-0.0017926816408310176,0.0025308446694083386,-0.004956237477591441,0.0015842839036754874,-2.0663292207107418,1.0421117303140477,-5.174770171735531,-0.6068754613518905,-3.981335020563108,-2.2941052409574922,0,10.59337842426357,6.574511126095745,23.269213941942684,23.89170318182282,-1.5568217389053274,1.8629365175687356,-14.40294276671637,0.5321046220882395,0,0.3613747432164641,38.0,68.0,-30.0,-2.0663292207107418,-1.9587006708156878,-4.22153210240829,0.06482038197984075
1459224000,2016-03-29,94.4,95.65,94.03,95.31,1028638.0,-0.009547791417479745,0.0035673066834540634,-0.013429860455356213,0.005061689338816899,-2.270485783233653,0.6390899781793422,-5.180061544646662,-0.8491588850418026,-4.145769943692514,-2.497464414367144,0,11.736468686440801,6.1358574610245045,24.189358469668537,22.538709780995475,-1.8602189386732277,1.8425659947941018,-13.931554935656795,0.5177549669319512,0,0.41355156500697016,50.0,84.0,-34.0,-2.270485783233653,-2.2188887927892296,-4.5194250699569665,0.061583372972835004
1459310400,2016-03-30,95.71,96.09,95.26,95.88,1068857.0,-0.0017730496453900457,0.002190237797246697,-0.006466416353775428,0.005980484734025682,-2.642365456821011,0.43372375482060477,-5.718454668462641,-1.2670351828674598,-4.409504936726449,-2.8382700597969546,0,13.075337034643198,4.36486339392619,25.489567233840415,21.88675307948202,-2.242923155502183,1.7626158773837357,-13.203762029362922,0.5505593664042464,0,0.4479004833022465,50.0,88.0,-38.0,-2.642365456821011,-2.5335059329986223,-4.887558338335978,0.08012869494243757
1459396800,2016-03-31,95.48,97.12,95.22,96.65,2680951.0,-0.012105535437144321,0.004862907397827243,-0.01479565442317643,0.008030871923237592,-3.1593378168649906,0.12164609905941859,-6.4403217327894,-1.7963441972753884,-4.958268667011552,-3.3773064321434845,0,14.82547901555057,5.455537370430987,27.29716223580279,30.729574914673123,-2.516461103967913,1.7640935143050656,-11.909064435764671,1.3798014842653281,1,0.5140470779172376,50.0,92.0,-42.0,-3.1593378168649906,-2.9947717233327182,-5.423924120893659,0.12393548681134758
1459483200,2016-04-01,96.43,97.37,96.2,97.28,970796.0,-0.008737664473684181,0.0009251644736842923,-0.011101973684210509,0.006518365235385293,-3.4534333881578902,-0.0775041248030135,-6.829362651512767,-2.1468955592105203,-5.20918996710526,-3.6780427631578902,0,16.205021672119074,7.136563876651987,29.39829860176864,30.190912061388957,-2.882678521727655,1.7133864662010982,-10.566899835790126,0.5103377570918526,0,0.5139387412173565,50.0,96.0,-46.0,-3.4534333881578902,-3.2779453781631958,-5.799691016821114,0.1720623072216081
1459742400,2016-04-04,97.49,97.83,97.23,97.54,966377.0,-0.00051261021119553,0.0029731392249332522,-0.003178183309411553,0.0026726973684210176,-3.4350010252204157,0.1891464974670214,-7.059148547907853,-2.174663385961324,-5.079112842594498,-3.626888114277918,0,16.771171225470084,5.837673611111121,31.40617316800719,29.906955067145503,-2.878930200037672,1.6306988053374118,-9.065199225577569,0.5111317778379707,0,0.5569408156327232,50.0,96.0,-46.0,-3.4350010252204157,-3.1990255530656952,-5.813502989965215,0.19636924996169647
1459828800,2016-04-05,97.04,97.44,96.44,96.55,1058927.0,0.005075090626618373,0.009218021750388328,-0.001139306059036782,-0.010149682181669117,-2.2273433454168696,1.4720382506320675,-5.926724941465821,-0.9699637493526438,-3.799585706887626,-2.3847747281201492,0,12.569882056799287,4.547915538711427,31.344771903741492,29.79673862077054,-1.6465163919568653,1.611125766918655,-8.526968440907908,-0.5607793775631542,0,0.5064079563201929,46.0,84.0,-38.0,-2.2273433454168696,-1.996313825293825,-4.657630405950215,0.12425249972791752
