start,start_unix,end,end_unix,reward
2017-08-01,1501560000,2017-09-21,1505966400,0.7631279000000002
2017-08-02,1501646400,2017-09-26,1506398400,2.4373279
2017-08-10,1502337600,2017-10-03,1507003200,2.0753279000000004
2017-08-23,1503460800,2017-10-25,1508904000,2.9387341
2017-08-24,1503547200,2017-10-26,1508990400,2.6324459
2017-08-25,1503633600,2017-11-03,1509681600,4.514347900000001
2017-09-12,1505188800,2017-11-09,1510203600,3.4265341
2017-09-15,1505448000,2017-11-14,1510635600,3.1744459
2017-09-22,1506052800,2017-11-15,1510722000,1.9377540999999998
2017-09-27,1506484800,2017-11-16,1510808400,1.5202459000000004
2017-10-04,1507089600,2017-11-29,1511931600,1.0563479
2017-10-26,1508990400,2017-12-01,1512104400,2.7631279
2017-10-27,1509076800,2017-12-06,1512536400,1.4807340999999998
2017-11-06,1509944400,2017-12-15,1513314000,1.0124459000000003
2017-11-10,1510290000,2018-01-04,1515042000,2.7143479000000004
2017-11-15,1510722000,2018-01-09,1515474000,2.3831279000000003
2017-11-16,1510808400,2018-01-10,1515560400,3.2807340999999997
2017-11-17,1510894800,2018-01-18,1516251600,3.0124459
2017-11-30,1512018000,2018-01-29,1517202000,2.7143479000000004
2017-12-04,1512363600,2018-02-01,1517461200,1.4265341
2017-12-07,1512622800,2018-02-07,1517979600,2.2178520999999995
2017-12-18,1513573200,2018-02-09,1518152400,0.8748720999999997
2018-01-05,1515128400,2018-02-16,1518757200,0.3392659000000002
2018-01-10,1515560400,2018-02-22,1519275600,-1.2124459
2018-01-11,1515646800,2018-02-27,1519707600,0.24224589999999985
2018-01-19,1516338000,2018-03-07,1520398800,-1.3202459000000002
2018-01-30,1517288400,2018-03-21,1521604800,-2.0997540999999997
2018-02-02,1517547600,2018-03-22,1521691200,-1.7002459
2018-02-08,1518066000,2018-03-23,1521777600,-1.2563479
2018-02-12,1518411600,2018-03-26,1522036800,0.1934658999999999
2018-02-20,1519102800,2018-03-28,1522209600,-1.3744459
2018-02-23,1519362000,2018-03-29,1522296000,0.06224590000000002
2018-02-28,1519794000,2018-04-04,1522814400,-1.5202459000000004
2018-03-08,1520485200,2018-04-05,1522900800,-0.0997540999999999
2018-03-22,1521691200,2018-04-09,1523246400,-1.7002459
2018-03-23,1521777600,2018-04-17,1523937600,-0.29975409999999986
2018-03-26,1522036800,2018-04-18,1524024000,1.2563479
2018-03-27,1522123200,2018-05-09,1525838400,-0.1934658999999999
2018-03-29,1522296000,2018-05-31,1527739200,1.3744459
2018-04-02,1522641600,2018-06-05,1528171200,-0.06224590000000002
2018-04-05,1522900800,2018-06-07,1528344000,1.5202459000000004
2018-04-06,1522987200,2018-06-08,1528430400,0.0997540999999999
2018-04-10,1523332800,2018-06-19,1529380800,0.7436520999999998
2018-04-18,1524024000,2018-06-21,1529553600,-0.7631279000000002
2018-04-19,1524110400,2018-06-22,1529640000,-1.4807340999999998
2018-05-10,1525924800,2018-06-25,1529899200,-1.0124459000000003
2018-06-01,1527825600,2018-06-29,1530244800,-1.7577541
2018-06-06,1528257600,2018-07-03,1530590400,-1.3202459000000002
2018-06-08,1528430400,2018-07-05,1530763200,-2.0997540999999997
2018-06-11,1528689600,2018-07-06,1530849600,-1.7002459
2018-06-20,1529467200,2018-07-11,1531281600,-0.29975409999999986
2018-06-22,1529640000,2018-07-23,1532318400,0.29975409999999986
2018-06-25,1529899200,2018-07-26,1532577600,-1.2563479
2018-06-26,1529985600,2018-07-30,1532923200,0.1934658999999999
2018-07-02,1530504000,2018-07-31,1533009600,-0.4178520999999998
2018-07-05,1530763200,2018-08-02,1533182400,0.16853409999999996
2018-07-06,1530849600,2018-08-13,1534132800,-0.4455541000000001
2018-07-09,1531108800,2018-08-28,1535428800,0.13775409999999993
2018-07-12,1531368000,2018-08-29,1535515200,-0.4797540999999996
2018-07-24,1532404800,2018-09-04,1536033600,0.0997540999999999
2018-07-27,1532664000,2018-09-05,1536120000,0.7436520999999998
2018-07-31,1533009600,2018-09-10,1536552000,-0.7631279000000002
2018-08-01,1533096000,2018-09-12,1536724800,-1.4807340999999998
2018-08-03,1533268800,2018-09-17,1537156800,-0.05585210000000013
2018-08-14,1534219200,2018-09-25,1537848000,-0.6948721
2018-08-29,1535515200,2018-10-05,1538712000,-0.1392659
2018-08-30,1535601600,2018-10-10,1539144000,-1.7441479000000002
2018-09-05,1536120000,2018-10-12,1539316800,-1.3051279
2018-09-06,1536206400,2018-10-18,1539835200,0.1392659
2018-09-11,1536638400,2018-10-23,1540267200,0.7875540999999999
2018-09-13,1536811200,2018-10-24,1540353600,-0.7143479000000004
2018-09-18,1537243200,2018-10-29,1540785600,-1.4265341
2018-09-26,1537934400,2018-10-31,1540958400,-2.2178520999999995
2018-10-08,1538971200,2018-11-02,1541131200,-1.8314659
2018-10-11,1539230400,2018-11-12,1541998800,-0.4455541000000001
2018-10-15,1539576000,2018-11-21,1542776400,0.13775409999999993
2018-10-19,1539921600,2018-11-23,1542949200,-1.4363478999999997
2018-10-24,1540353600,2018-12-03,1543813200,-0.006534100000000043
2018-10-25,1540440000,2018-12-07,1544158800,0.6255541
2018-10-30,1540872000,2018-12-18,1545109200,-0.8943479000000001
2018-11-01,1541044800,2018-12-24,1545627600,-2.5831279000000005
2018-11-05,1541394000,2019-01-08,1546923600,-1.2807341
2018-11-13,1542085200,2019-01-14,1547442000,-2.0558520999999996
2018-11-23,1542949200,2019-01-16,1547614800,-1.6514659000000003
2018-11-26,1543208400,2019-01-24,1548306000,-0.24555409999999994
2018-12-04,1543899600,2019-02-05,1549342800,-0.9056520999999997
2018-12-10,1544418000,2019-02-06,1549429200,0.5831279000000005
2018-12-19,1545195600,2019-02-12,1549947600,1.2807341
2018-12-26,1545800400,2019-02-19,1550552400,3.0124459
2019-01-09,1547010000,2019-03-05,1551762000,2.7143479000000004
2019-01-15,1547528400,2019-03-08,1552021200,1.4265341
2019-01-17,1547701200,2019-03-12,1552363200,3.1744459
2019-01-25,1548392400,2019-03-13,1552449600,2.8943479
2019-02-06,1549429200,2019-03-14,1552536000,1.6265341000000002
2019-02-07,1549515600,2019-03-21,1553140800,1.1744459000000003
2019-02-13,1550034000,2019-03-28,1553745600,1.9377540999999998
2019-02-20,1550638800,2019-04-12,1555041600,1.5202459000000004
2019-03-06,1551848400,2019-04-22,1555905600,0.0997540999999999
2019-03-11,1552276800,2019-04-26,1556251200,1.7002459
2019-03-13,1552449600,2019-04-29,1556510400,1.2563479
2019-03-14,1552536000,2019-04-30,1556596800,0.7631279000000002
2019-03-15,1552622400,2019-05-01,1556683200,2.4373279
2019-03-22,1553227200,2019-05-03,1556856000,2.0753279000000004
2019-03-29,1553832000,2019-05-09,1557374400,2.9387341
2019-04-15,1555300800,2019-05-10,1557460800,2.6324459
2019-04-23,1555992000,2019-05-13,1557720000,3.5577541000000004
2019-04-29,1556510400,2019-05-30,1559188800,3.3202459
2019-04-30,1556596800,2019-06-17,1560744000,2.0997540999999997
2019-05-01,1556683200,2019-06-21,1561089600,1.7002459
2019-05-02,1556769600,2019-06-27,1561608000,0.29975409999999986
2019-05-06,1557115200,2019-07-08,1562558400,-0.29975409999999986
2019-05-10,1557460800,2019-07-10,1562731200,0.29975409999999986
2019-05-13,1557720000,2019-07-11,1562817600,-1.2563479
2019-05-14,1557806400,2019-07-12,1562904000,0.1934658999999999
2019-05-31,1559275200,2019-07-15,1563163200,-1.3744459
2019-06-18,1560830400,2019-07-26,1564113600,0.06224590000000002
2019-06-24,1561348800,2019-07-29,1564372800,-1.5202459000000004
2019-06-28,1561694400,2019-07-31,1564545600,-0.0997540999999999
2019-07-09,1562644800,2019-08-02,1564718400,-1.7002459
2019-07-11,1562817600,2019-08-05,1564977600,-1.2563479
