unix,date,open,high,low,close,volume_base
1451883600,2016-01-04,38.37,38.92,38.08,38.9,708779.0
1451970000,2016-01-05,38.7,39.09,38.08,38.35,698612.0
1452056400,2016-01-06,37.54,37.95,37.4,37.61,941226.0
1452142800,2016-01-07,37.02,37.4,36.44,36.6,1174465.0
1452229200,2016-01-08,36.75,37.07,35.81,35.96,1383768.0
1452488400,2016-01-11,36.06,36.34,35.26,35.63,1515503.0
1452574800,2016-01-12,36.1,36.35,35.53,36.25,1298944.0
1452661200,2016-01-13,36.55,36.77,35.1,35.49,1533274.0
1452747600,2016-01-14,35.77,36.01,34.88,35.61,928416.0
1452834000,2016-01-15,34.46,35.07,34.11,34.93,1436269.0
1453179600,2016-01-19,35.26,35.45,33.65,33.81,1414664.0
1453266000,2016-01-20,33.29,34.51,32.66,34.13,2078325.0
1453352400,2016-01-21,34.21,34.74,33.75,33.98,1085349.0
1453438800,2016-01-22,34.71,35.64,34.24,34.71,1022626.0
1453698000,2016-01-25,34.45,34.98,34.01,34.07,859767.0
1453784400,2016-01-26,34.23,34.77,33.91,34.76,1841644.0
1453870800,2016-01-27,34.71,35.56,34.32,34.76,1264885.0
1453957200,2016-01-28,35.16,35.35,34.69,35.0,743438.0
1454043600,2016-01-29,35.1,36.4,34.75,36.4,1573624.0
1454302800,2016-02-01,36.0,36.39,35.4,36.31,1121602.0
1454389200,2016-02-02,35.38,36.11,35.36,35.87,1782073.0
1454475600,2016-02-03,36.04,36.04,33.58,34.66,3139258.0
1454562000,2016-02-04,34.54,35.51,34.44,34.71,2043327.0
1454648400,2016-02-05,34.58,35.23,34.17,34.38,1760679.0
1454907600,2016-02-08,33.85,33.98,32.45,33.14,1293469.0
1454994000,2016-02-09,32.8,33.2,32.57,32.94,1340346.0
1455080400,2016-02-10,33.1,33.42,32.84,32.85,971533.0
1455166800,2016-02-11,32.43,33.02,32.26,32.53,1513508.0
1455253200,2016-02-12,32.82,33.56,32.43,33.48,1195836.0
1455598800,2016-02-16,34.14,34.54,33.44,34.53,1088118.0
1455685200,2016-02-17,34.97,36.04,34.97,35.66,1172295.0
1455771600,2016-02-18,35.88,36.0,34.87,35.26,721434.0
1455858000,2016-02-19,34.73,35.37,34.05,35.25,857927.0
