start,start_unix,end,end_unix,reward
2016-03-24,1458792000,2016-05-03,1462248000,-0.06224590000000002
2016-03-28,1459137600,2016-05-04,1462334400,1.5202459000000004
2016-04-21,1461211200,2016-05-06,1462507200,1.0563479
2016-04-22,1461297600,2016-05-16,1463371200,2.7631279
2016-04-27,1461729600,2016-05-23,1463976000,1.4807340999999998
2016-04-28,1461816000,2016-05-27,1464321600,1.0124459000000003
2016-05-02,1462161600,2016-05-31,1464667200,1.7577541
2016-05-03,1462248000,2016-06-29,1467172800,1.3202459000000002
2016-05-04,1462334400,2016-07-05,1467691200,3.0563479
2016-05-05,1462420800,2016-07-11,1468209600,2.7631279
2016-05-09,1462766400,2016-07-15,1468555200,1.4807340999999998
2016-05-17,1463457600,2016-07-18,1468814400,1.0124459000000003
2016-05-24,1464062400,2016-07-26,1469505600,1.7577541
2016-05-31,1464667200,2016-08-04,1470283200,0.3636521
2016-06-01,1464753600,2016-08-08,1470628800,1.9934659
2016-06-30,1467259200,2016-08-09,1470715200,1.5821479000000003
2016-07-06,1467777600,2016-08-10,1470801600,0.16853409999999996
2016-07-12,1468296000,2016-08-12,1470974400,-0.4455541000000001
2016-07-18,1468814400,2016-08-16,1471320000,0.13775409999999993
2016-07-19,1468900800,2016-08-25,1472097600,-0.4797540999999996
2016-07-27,1469592000,2016-08-30,1472529600,0.0997540999999999
2016-08-05,1470369600,2016-09-08,1473307200,1.7002459
2016-08-09,1470715200,2016-09-14,1473825600,0.29975409999999986
2016-08-10,1470801600,2016-09-16,1473998400,-0.29975409999999986
2016-08-11,1470888000,2016-09-21,1474430400,0.29975409999999986
2016-08-15,1471233600,2016-09-23,1474603200,-0.29975409999999986
2016-08-17,1471406400,2016-09-26,1474862400,0.29975409999999986
2016-08-26,1472184000,2016-09-28,1475035200,-0.29975409999999986
2016-08-31,1472616000,2016-09-29,1475121600,0.29975409999999986
2016-09-09,1473393600,2016-10-03,1475467200,-0.29975409999999986
2016-09-15,1473912000,2016-10-14,1476417600,0.29975409999999986
2016-09-19,1474257600,2016-10-18,1476763200,-0.29975409999999986
2016-09-22,1474516800,2016-10-21,1477022400,0.29975409999999986
2016-09-26,1474862400,2016-10-24,1477281600,-0.29975409999999986
2016-09-27,1474948800,2016-10-28,1477627200,0.29975409999999986
2016-09-29,1475121600,2016-10-31,1477886400,-0.29975409999999986
2016-09-30,1475208000,2016-11-02,1478059200,0.29975409999999986
2016-10-04,1475553600,2016-11-03,1478145600,-1.2563479
2016-10-17,1476676800,2016-11-04,1478232000,-0.7631279000000002
2016-10-19,1476849600,2016-11-07,1478494800,-1.4807340999999998
2016-10-24,1477281600,2016-11-08,1478581200,-0.05585210000000013
2016-10-25,1477368000,2016-11-09,1478667600,-1.6514659000000003
2016-10-31,1477886400,2016-11-21,1479704400,-1.2021479000000002
2016-11-01,1477972800,2016-11-22,1479790800,-1.9685340999999998
2016-11-03,1478145600,2016-11-28,1480309200,-1.5544458999999997
2016-11-04,1478232000,2016-11-29,1480395600,-0.13775409999999993
2016-11-07,1478494800,2016-12-05,1480914000,0.4797540999999996
2016-11-08,1478581200,2016-12-06,1481000400,-1.0563479
2016-11-09,1478667600,2016-12-08,1481173200,-1.8065341
2016-11-10,1478754000,2016-12-15,1481778000,-0.4178520999999998
2016-11-22,1479790800,2016-12-19,1482123600,1.1251279
2016-11-23,1479877200,2016-12-20,1482210000,-0.3392659000000002
2016-11-29,1480395600,2017-01-06,1483678800,1.2124459
2016-11-30,1480482000,2017-01-10,1484024400,-0.24224589999999985
2016-12-06,1481000400,2017-01-19,1484802000,1.3202459000000002
2016-12-07,1481086800,2017-01-31,1485838800,3.0563479
2016-12-09,1481259600,2017-02-01,1485925200,1.8065341
2016-12-16,1481864400,2017-02-10,1486702800,1.3744459
2016-12-20,1482210000,2017-02-15,1487134800,0.8943479000000001
2016-12-21,1482296400,2017-02-16,1487221200,1.6265341000000002
2017-01-09,1483938000,2017-02-17,1487307600,1.1744459000000003
2017-01-11,1484110800,2017-02-21,1487653200,2.8943479
2017-01-20,1484888400,2017-05-01,1493611200,1.6265341000000002
2017-02-01,1485925200,2017-05-03,1493784000,0.21785210000000005
2017-02-02,1486011600,2017-05-08,1494216000,1.8314659
2017-02-13,1486962000,2017-05-09,1494302400,0.4455541000000001
2017-02-16,1487221200,2017-05-11,1494475200,-0.13775409999999993
2017-02-17,1487307600,2017-05-12,1494561600,0.4797540999999996
2017-02-21,1487653200,2017-05-15,1494820800,-0.0997540999999999
2017-02-22,1487739600,2017-05-16,1494907200,-1.7002459
2017-05-02,1493697600,2017-05-19,1495166400,-0.29975409999999986
2017-05-04,1493870400,2017-05-24,1495598400,1.2563479
2017-05-09,1494302400,2017-05-26,1495771200,0.7631279000000002
2017-05-10,1494388800,2017-06-01,1496289600,1.4807340999999998
2017-05-12,1494561600,2017-06-07,1496808000,1.0124459000000003
2017-05-15,1494820800,2017-06-08,1496894400,1.7577541
2017-05-16,1494907200,2017-06-09,1496980800,0.3636521
2017-05-17,1494993600,2017-06-15,1497499200,1.9934659
2017-05-22,1495425600,2017-06-26,1498449600,0.6255541
2017-05-25,1495684800,2017-06-28,1498622400,-0.8943479000000001
2017-05-30,1496116800,2017-07-03,1499054400,-2.5831279000000005
2017-06-02,1496376000,2017-07-11,1499745600,-2.2373279000000004
2017-06-08,1496894400,2017-07-24,1500868800,-3.1187340999999997
2017-06-09,1496980800,2017-07-31,1501473600,-1.8758521
2017-06-12,1497240000,2017-08-01,1501560000,-1.4514659
2017-06-16,1497585600,2017-08-02,1501646400,-2.2455541
2017-06-27,1498536000,2017-08-04,1501819200,-1.8622459
2017-06-29,1498708800,2017-08-07,1502078400,-0.4797540999999996
2017-07-05,1499227200,2017-08-11,1502424000,0.0997540999999999
2017-07-12,1499832000,2017-08-16,1502856000,1.7002459
2017-07-25,1500955200,2017-08-23,1503460800,0.29975409999999986
2017-08-01,1501560000,2017-08-28,1503892800,-1.2563479
2017-08-02,1501646400,2017-09-08,1504843200,-0.7631279000000002
2017-08-03,1501732800,2017-09-12,1505188800,-1.4807340999999998
2017-08-07,1502078400,2017-09-19,1505793600,-1.0124459000000003
2017-08-08,1502164800,2017-09-21,1505966400,-2.7143479000000004
2017-08-14,1502683200,2017-09-22,1506052800,-2.3831279000000003
2017-08-17,1502942400,2017-09-26,1506398400,-3.2807340999999997
2017-08-24,1503547200,2017-10-27,1509076800,-3.0124459
2017-08-29,1503979200,2017-10-30,1509336000,-2.7143479000000004
2017-09-11,1505102400,2017-11-07,1510030800,-1.4265341
2017-09-13,1505275200,2017-11-28,1511845200,-2.2178520999999995
2017-09-20,1505880000,2017-12-06,1512536400,-0.8748720999999997
2017-09-22,1506052800,2017-12-19,1513659600,-0.3392659000000002
2017-09-25,1506312000,2017-12-20,1513746000,0.25585209999999986
2017-09-27,1506484800,2017-12-28,1514437200,-0.3485340999999998
2017-10-30,1509336000,2018-01-03,1514955600,0.24555409999999994
2017-10-31,1509422400,2018-01-04,1515042000,1.8622459
2017-11-08,1510117200,2018-01-05,1515128400,0.4797540999999996
2017-11-29,1511931600,2018-01-10,1515560400,-0.0997540999999999
2017-12-07,1512622800,2018-01-12,1515733200,-1.7002459
2017-12-20,1513746000,2018-01-16,1516078800,-0.29975409999999986
2017-12-21,1513832400,2018-01-17,1516165200,1.2563479
2017-12-29,1514523600,2018-01-19,1516338000,-0.1934658999999999
2018-01-04,1515042000,2018-01-24,1516770000,1.3744459
2018-01-05,1515128400,2018-02-01,1517461200,-0.06224590000000002
2018-01-08,1515387600,2018-02-02,1517547600,0.5636521000000001
2018-01-11,1515646800,2018-02-07,1517979600,-0.9631279000000001
2018-01-16,1516078800,2018-02-16,1518757200,-0.43732790000000016
2018-01-17,1516165200,2018-02-28,1519794000,-2.0753279000000004
2018-01-18,1516251600,2018-03-01,1519880400,-3.8953279000000003
2018-01-22,1516597200,2018-03-14,1521000000,-2.7387341
2018-01-25,1516856400,2018-03-19,1521432000,-4.6324459000000004
2018-02-02,1517547600,2018-03-21,1521604800,-4.514347900000001
2018-02-05,1517806800,2018-03-23,1521777600,-4.3831279
2018-02-08,1518066000,2018-03-26,1522036800,-3.2807340999999997
2018-02-20,1519102800,2018-03-27,1522123200,-3.0124459
2018-03-01,1519880400,2018-03-29,1522296000,-1.7577541
2018-03-02,1519966800,2018-04-03,1522728000,-1.3202459000000002
2018-03-15,1521086400,2018-04-05,1522900800,-2.0997540999999997
2018-03-20,1521518400,2018-04-09,1523246400,-1.7002459
2018-03-22,1521691200,2018-04-11,1523419200,-0.29975409999999986
2018-03-26,1522036800,2018-04-13,1523592000,0.29975409999999986
2018-03-27,1522123200,2018-04-17,1523937600,-0.29975409999999986
2018-03-28,1522209600,2018-04-19,1524110400,0.29975409999999986
2018-04-02,1522641600,2018-04-30,1525060800,-1.2563479
2018-04-04,1522814400,2018-05-03,1525320000,-0.7631279000000002
2018-04-06,1522987200,2018-05-10,1525924800,-1.4807340999999998
2018-04-10,1523332800,2018-05-14,1526270400,-0.05585210000000013
2018-04-12,1523505600,2018-05-15,1526356800,-1.6514659000000003
2018-04-16,1523851200,2018-05-16,1526443200,-0.24555409999999994
2018-04-18,1524024000,2018-05-29,1527566400,-1.8622459
2018-04-20,1524196800,2018-05-30,1527652800,-0.4797540999999996
2018-05-01,1525147200,2018-06-08,1528430400,0.0997540999999999
2018-05-04,1525406400,2018-06-14,1528948800,1.7002459
2018-05-11,1526011200,2018-06-19,1529380800,1.2563479
2018-05-15,1526356800,2018-06-20,1529467200,0.7631279000000002
2018-05-16,1526443200,2018-06-21,1529553600,1.4807340999999998
2018-05-17,1526529600,2018-06-26,1529985600,1.0124459000000003
2018-05-30,1527652800,2018-07-03,1530590400,1.7577541
2018-05-31,1527739200,2018-07-13,1531454400,1.3202459000000002
2018-06-11,1528689600,2018-07-16,1531713600,2.0997540999999997
2018-06-15,1529035200,2018-07-17,1531800000,1.7002459
2018-06-20,1529467200,2018-07-19,1531972800,0.29975409999999986
2018-06-21,1529553600,2018-08-02,1533182400,-1.2563479
2018-06-22,1529640000,2018-08-07,1533614400,0.1934658999999999
2018-06-27,1530072000,2018-08-16,1534392000,-1.3744459
2018-07-05,1530763200,2018-08-20,1534737600,0.06224590000000002
2018-07-16,1531713600,2018-08-31,1535688000,-1.5202459000000004
2018-07-17,1531800000,2018-09-11,1536638400,-1.0563479
2018-07-18,1531886400,2018-09-17,1537156800,-1.8065341
2018-07-20,1532059200,2018-09-25,1537848000,-1.3744459
2018-08-03,1533268800,2018-10-01,1538366400,-0.8943479000000001
2018-08-08,1533700800,2018-10-03,1538539200,-1.6265341000000002
2018-08-17,1534478400,2018-10-04,1538625600,-1.1744459000000003
2018-08-21,1534824000,2018-10-10,1539144000,-1.9377540999999998
2018-09-04,1536033600,2018-10-16,1539662400,-1.5202459000000004
2018-09-12,1536724800,2018-10-17,1539748800,-0.0997540999999999
2018-09-18,1537243200,2018-10-18,1539835200,-1.7002459
2018-09-26,1537934400,2018-10-25,1540440000,-0.29975409999999986
2018-10-02,1538452800,2018-10-29,1540785600,0.29975409999999986
2018-10-04,1538625600,2018-10-30,1540872000,-0.29975409999999986
2018-10-05,1538712000,2018-10-31,1540958400,0.29975409999999986
2018-10-11,1539230400,2018-11-01,1541044800,-0.29975409999999986
2018-10-17,1539748800,2018-11-19,1542603600,0.29975409999999986
2018-10-18,1539835200,2018-11-26,1543208400,-1.2563479
2018-10-19,1539921600,2018-11-27,1543294800,0.1934658999999999
2018-10-26,1540526400,2018-12-06,1544072400,-1.3744459
2018-10-30,1540872000,2018-12-14,1544763600,-0.8943479000000001
2018-10-31,1540958400,2018-12-20,1545282000,-2.5831279000000005
2018-11-01,1541044800,2019-01-04,1546578000,-2.2373279000000004
2018-11-02,1541131200,2019-01-17,1547701200,-3.1187340999999997
2018-11-20,1542690000,2019-01-18,1547787600,-1.8758521
2018-11-27,1543294800,2019-01-30,1548824400,-1.4514659
2018-11-28,1543381200,2019-02-06,1549429200,-2.2455541
2018-12-07,1544158800,2019-02-07,1549515600,-1.8622459
2018-12-17,1545022800,2019-02-21,1550725200,-0.4797540999999996
