start,start_unix,end,end_unix,reward
2016-03-17,1458187200,2016-04-21,1461211200,-0.06224590000000002
2016-03-18,1458273600,2016-04-29,1461902400,1.5202459000000004
2016-03-23,1458705600,2016-05-23,1463976000,0.0997540999999999
2016-03-29,1459224000,2016-05-31,1464667200,1.7002459
2016-04-06,1459915200,2016-06-06,1465185600,0.29975409999999986
2016-04-07,1460001600,2016-06-07,1465272000,-0.29975409999999986
2016-04-13,1460520000,2016-06-09,1465444800,0.29975409999999986
2016-04-21,1461211200,2016-06-17,1466136000,-1.2563479
2016-04-22,1461297600,2016-06-20,1466395200,0.1934658999999999
2016-05-02,1462161600,2016-06-21,1466481600,-1.3744459
2016-05-24,1464062400,2016-06-28,1467086400,-0.8943479000000001
2016-06-01,1464753600,2016-07-05,1467691200,-1.6265341000000002
2016-06-07,1465272000,2016-07-11,1468209600,-0.21785210000000005
2016-06-08,1465358400,2016-07-20,1468987200,-0.8748720999999997
2016-06-10,1465531200,2016-08-01,1470024000,0.6173279
2016-06-20,1466395200,2016-08-03,1470196800,1.3187341
2016-06-21,1466481600,2016-08-10,1470801600,0.8324459000000004
2016-06-22,1466568000,2016-08-16,1471320000,2.5143479
2016-06-29,1467172800,2016-08-17,1471406400,3.4265341
2016-07-06,1467777600,2016-08-19,1471579200,3.1744459
2016-07-12,1468296000,2016-08-22,1471838400,1.9377540999999998
2016-07-21,1469073600,2016-08-23,1471924800,1.5202459000000004
2016-08-02,1470110400,2016-08-26,1472184000,0.0997540999999999
2016-08-04,1470283200,2016-08-30,1472529600,1.7002459
2016-08-11,1470888000,2016-09-01,1472702400,0.29975409999999986
2016-08-17,1471406400,2016-09-08,1473307200,-0.29975409999999986
2016-08-18,1471492800,2016-09-12,1473652800,0.29975409999999986
2016-08-22,1471838400,2016-09-13,1473739200,-1.2563479
2016-08-23,1471924800,2016-09-15,1473912000,0.1934658999999999
2016-08-24,1472011200,2016-09-16,1473998400,-1.3744459
2016-08-29,1472443200,2016-09-19,1474257600,0.06224590000000002
2016-08-31,1472616000,2016-09-22,1474516800,-1.5202459000000004
2016-09-02,1472788800,2016-10-10,1476072000,-1.0563479
2016-09-09,1473393600,2016-10-18,1476763200,-2.7631279
2016-09-13,1473739200,2016-10-19,1476849600,-1.4807340999999998
2016-09-14,1473825600,2016-10-31,1477886400,-1.0124459000000003
2016-09-16,1473998400,2016-11-02,1478059200,-2.7143479000000004
2016-09-19,1474257600,2016-11-07,1478494800,-1.4265341
2016-09-20,1474344000,2016-11-08,1478581200,-3.1744459
2016-09-23,1474603200,2016-11-09,1478667600,-1.9377540999999998
2016-10-11,1476158400,2016-11-11,1478840400,-0.5636521000000001
2016-10-19,1476849600,2016-11-17,1479358800,0.9631279000000001
2016-10-20,1476936000,2016-11-18,1479445200,-0.5192659
2016-11-01,1477972800,2016-11-30,1480482000,1.0124459000000003
2016-11-03,1478145600,2016-12-01,1480568400,2.7143479000000004
2016-11-08,1478581200,2016-12-05,1480914000,1.4265341
2016-11-09,1478667600,2016-12-06,1481000400,3.1744459
2016-11-10,1478754000,2016-12-07,1481086800,2.8943479
2016-11-14,1479099600,2016-12-08,1481173200,2.5831279000000005
2016-11-18,1479445200,2016-12-19,1482123600,1.2807341
2016-11-21,1479704400,2016-12-27,1482814800,3.0124459
2016-12-01,1480568400,2016-12-29,1482987600,1.7577541
