start,start_unix,end,end_unix,reward
2016-03-29,1459224000,2016-04-22,1461297600,-1.3744459
2016-03-30,1459310400,2016-04-25,1461556800,0.06224590000000002
2016-04-04,1459742400,2016-05-03,1462248000,-1.5202459000000004
2016-04-05,1459828800,2016-05-06,1462507200,-1.0563479
2016-04-08,1460088000,2016-05-10,1462852800,-1.8065341
2016-04-19,1461038400,2016-05-23,1463976000,-1.3744459
2016-04-20,1461124800,2016-05-24,1464062400,0.06224590000000002
2016-04-21,1461211200,2016-05-25,1464148800,-1.5202459000000004
2016-04-25,1461556800,2016-05-31,1464667200,-0.0997540999999999
2016-04-26,1461643200,2016-06-02,1464840000,-0.7436520999999998
2016-05-04,1462334400,2016-06-07,1465272000,-0.1934658999999999
2016-05-09,1462766400,2016-06-10,1465531200,1.3744459
2016-05-11,1462939200,2016-06-17,1466136000,-0.06224590000000002
2016-05-24,1464062400,2016-06-24,1466740800,0.5636521000000001
2016-05-25,1464148800,2016-06-29,1467172800,-0.006534100000000043
2016-05-26,1464235200,2016-06-30,1467259200,1.5821479000000003
2016-06-01,1464753600,2016-07-01,1467345600,0.16853409999999996
2016-06-03,1464926400,2016-07-15,1468555200,-0.4455541000000001
2016-06-08,1465358400,2016-07-27,1469592000,0.13775409999999993
2016-06-13,1465790400,2016-07-29,1469764800,-1.4363478999999997
2016-06-20,1466395200,2016-08-01,1470024000,-0.9631279000000001
2016-06-27,1467000000,2016-08-02,1470110400,-0.43732790000000016
2016-06-30,1467259200,2016-08-03,1470196800,-1.1187341000000002
2016-07-01,1467345600,2016-08-23,1471924800,-2.8324459
2016-07-05,1467691200,2016-08-24,1472011200,-1.5577541
2016-07-18,1468814400,2016-09-06,1473134400,-3.3202459
2016-07-28,1469678400,2016-09-22,1474516800,-3.0563479
2016-08-01,1470024000,2016-09-30,1475208000,-2.7631279
2016-08-02,1470110400,2016-10-05,1475640000,-2.4373279
2016-08-03,1470196800,2016-10-06,1475726400,-1.1187341000000002
2016-08-04,1470283200,2016-10-10,1476072000,-2.8324459
2016-08-24,1472011200,2016-10-11,1476158400,-1.5577541
2016-08-25,1472097600,2016-11-01,1477972800,-2.3636521
2016-09-07,1473220800,2016-11-02,1478059200,-1.0368720999999996
2016-09-23,1474603200,2016-11-08,1478581200,-0.5192659
2016-10-03,1475467200,2016-11-10,1478754000,1.0124459000000003
2016-10-06,1475726400,2016-11-11,1478840400,2.7143479000000004
2016-10-07,1475812800,2016-11-15,1479186000,2.3831279000000003
2016-10-11,1476158400,2016-11-29,1480395600,3.2807340999999997
2016-10-12,1476244800,2016-11-30,1480482000,2.0558520999999996
2016-11-02,1478059200,2016-12-08,1481173200,1.6514659000000003
2016-11-03,1478145600,2016-12-09,1481259600,1.2021479000000002
2016-11-09,1478667600,2016-12-12,1481518800,1.9685340999999998
2016-11-11,1478840400,2016-12-14,1481691600,1.5544458999999997
2016-11-14,1479099600,2016-12-16,1481864400,1.0943479
2016-11-16,1479272400,2016-12-30,1483074000,-0.37346589999999963
2016-11-30,1480482000,2017-01-06,1483678800,0.21785210000000005
2016-12-01,1480568400,2017-01-09,1483938000,0.8748720999999997
2016-12-09,1481259600,2017-01-10,1484024400,0.3392659000000002
2016-12-12,1481518800,2017-01-11,1484110800,-1.2124459
2016-12-13,1481605200,2017-01-13,1484283600,0.24224589999999985
2016-12-15,1481778000,2017-01-19,1484802000,-0.3636521
2016-12-19,1482123600,2017-02-07,1486443600,-1.9934659
2017-01-03,1483419600,2017-02-08,1486530000,-1.5821479000000003
2017-01-09,1483938000,2017-02-17,1487307600,-0.16853409999999996
2017-01-10,1484024400,2017-02-21,1487653200,1.4021479000000003
2017-01-11,1484110800,2017-02-24,1487912400,-0.03146589999999999
2017-01-12,1484197200,2017-03-01,1488344400,0.5978520999999994
2017-01-17,1484629200,2017-03-02,1488430800,-0.9251279000000001
2017-01-20,1484888400,2017-04-07,1491537600,-2.6173279
2017-02-08,1486530000,2017-04-10,1491796800,-1.3187341
2017-02-09,1486616400,2017-04-21,1492747200,-0.8324459000000004
