start,start_unix,end,end_unix,reward
2016-03-28,1459137600,2016-05-05,1462420800,0.7436520999999998
2016-04-01,1459483200,2016-05-10,1462852800,0.1934658999999999
2016-04-07,1460001600,2016-05-11,1462939200,-1.3744459
2016-04-13,1460520000,2016-05-16,1463371200,0.06224590000000002
2016-04-21,1461211200,2016-05-19,1463630400,-1.5202459000000004
2016-04-22,1461297600,2016-05-20,1463716800,-0.0997540999999999
2016-04-27,1461729600,2016-05-23,1463976000,-1.7002459
2016-05-04,1462334400,2016-06-09,1465444800,-0.29975409999999986
2016-05-06,1462507200,2016-06-16,1466049600,0.29975409999999986
2016-05-11,1462939200,2016-06-17,1466136000,-1.2563479
2016-05-12,1463025600,2016-06-23,1466654400,0.1934658999999999
2016-05-17,1463457600,2016-06-29,1467172800,-1.3744459
2016-05-20,1463716800,2016-06-30,1467259200,0.06224590000000002
2016-05-23,1463976000,2016-07-01,1467345600,-0.5636521000000001
2016-05-24,1464062400,2016-07-05,1467691200,0.006534100000000043
2016-06-10,1465531200,2016-07-07,1467864000,-0.6255541
2016-06-17,1466136000,2016-07-08,1467950400,0.8943479000000001
2016-06-20,1466395200,2016-07-21,1469073600,1.6265341000000002
2016-06-24,1466740800,2016-07-28,1469678400,1.1744459000000003
2016-06-30,1467259200,2016-07-29,1469764800,1.9377540999999998
2016-07-01,1467345600,2016-08-01,1470024000,1.5202459000000004
2016-07-05,1467691200,2016-08-03,1470196800,0.0997540999999999
2016-07-06,1467777600,2016-08-04,1470283200,0.7436520999999998
2016-07-08,1467950400,2016-08-08,1470628800,0.1934658999999999
2016-07-11,1468209600,2016-08-10,1470801600,-1.3744459
2016-07-22,1469160000,2016-08-12,1470974400,0.06224590000000002
2016-07-29,1469764800,2016-08-17,1471406400,-0.5636521000000001
2016-08-01,1470024000,2016-08-31,1472616000,0.9631279000000001
2016-08-02,1470110400,2016-09-09,1473393600,0.43732790000000016
2016-08-04,1470283200,2016-09-12,1473652800,2.0753279000000004
2016-08-05,1470369600,2016-09-16,1473998400,2.9387341
2016-08-09,1470715200,2016-09-26,1474862400,2.6324459
2016-08-11,1470888000,2016-09-28,1475035200,4.514347900000001
2016-08-15,1471233600,2016-10-06,1475726400,3.4265341
2016-08-18,1471492800,2016-10-21,1477022400,2.2178520999999995
2016-09-01,1472702400,2016-10-24,1477281600,1.8314659
2016-09-12,1473652800,2016-11-02,1478059200,0.4455541000000001
2016-09-13,1473739200,2016-11-04,1478232000,-0.13775409999999993
2016-09-19,1474257600,2016-11-07,1478494800,1.4363478999999997
2016-09-27,1474948800,2016-11-08,1478581200,0.006534100000000043
2016-09-29,1475121600,2016-11-09,1478667600,-0.6255541
2016-10-07,1475812800,2016-11-11,1478840400,0.8943479000000001
2016-10-24,1477281600,2016-11-18,1479445200,2.5831279000000005
2016-10-25,1477368000,2016-11-28,1480309200,2.2373279000000004
2016-11-03,1478145600,2016-12-09,1481259600,4.0753279
2016-11-07,1478494800,2016-12-12,1481518800,2.9387341
2016-11-08,1478581200,2017-01-06,1483678800,2.6324459
2016-11-09,1478667600,2017-01-27,1485493200,3.5577541000000004
2016-11-10,1478754000,2017-02-02,1486011600,2.3636521
2016-11-14,1479099600,2017-02-08,1486530000,1.9934659
2016-11-21,1479704400,2017-02-17,1487307600,1.5821479000000003
2016-11-29,1480395600,2017-02-23,1487826000,1.1251279
2016-12-12,1481518800,2017-02-27,1488171600,0.6173279
2016-12-13,1481605200,2017-02-28,1488258000,1.3187341
2017-01-09,1483938000,2017-03-03,1488517200,0.8324459000000004
2017-01-30,1485752400,2017-03-10,1489122000,1.5577541
2017-02-03,1486098000,2017-03-20,1489982400,3.3202459
2017-02-09,1486616400,2017-03-29,1490760000,2.0997540999999997
2017-02-21,1487653200,2017-04-18,1492488000,0.7436520999999998
2017-02-24,1487912400,2017-04-21,1492747200,0.1934658999999999
2017-02-28,1488258000,2017-04-27,1493265600,-0.4178520999999998
2017-03-01,1488344400,2017-04-28,1493352000,0.16853409999999996
2017-03-06,1488776400,2017-05-03,1493784000,-0.4455541000000001
2017-03-13,1489377600,2017-05-05,1493956800,1.0943479
2017-03-21,1490068800,2017-05-08,1494216000,-0.37346589999999963
2017-03-30,1490846400,2017-05-10,1494388800,0.21785210000000005
2017-04-19,1492574400,2017-05-16,1494907200,1.8314659
2017-04-24,1493006400,2017-05-19,1495166400,0.4455541000000001
2017-04-28,1493352000,2017-05-22,1495425600,-0.13775409999999993
2017-05-01,1493611200,2017-05-31,1496203200,1.4363478999999997
2017-05-04,1493870400,2017-06-01,1496289600,0.9631279000000001
2017-05-08,1494216000,2017-06-15,1497499200,-0.5192659
2017-05-09,1494302400,2017-06-26,1498449600,0.05585210000000013
2017-05-11,1494475200,2017-07-11,1499745600,0.6948721
2017-05-17,1494993600,2017-08-01,1501560000,0.1392659
2017-05-22,1495425600,2017-08-02,1501646400,0.7875540999999999
2017-05-23,1495512000,2017-08-03,1501732800,0.24224589999999985
2017-06-01,1496289600,2017-08-07,1502078400,-0.3636521
2017-06-02,1496376000,2017-08-08,1502164800,-1.0368720999999996
2017-06-16,1497585600,2017-08-10,1502337600,-0.5192659
2017-06-27,1498536000,2017-08-16,1502856000,1.0124459000000003
2017-07-12,1499832000,2017-08-28,1503892800,1.7577541
2017-08-02,1501646400,2017-08-30,1504065600,1.3202459000000002
2017-08-03,1501732800,2017-09-01,1504238400,3.0563479
2017-08-04,1501819200,2017-09-13,1505275200,1.8065341
2017-08-08,1502164800,2017-09-14,1505361600,0.4178520999999998
2017-08-09,1502251200,2017-09-18,1505707200,-0.16853409999999996
2017-08-11,1502424000,2017-09-26,1506398400,1.4021479000000003
2017-08-17,1502942400,2017-09-27,1506484800,0.9251279000000001
