start,start_unix,end,end_unix,reward
2016-03-17,1458187200,2016-04-25,1461556800,1.0563479
2016-03-18,1458273600,2016-04-27,1461729600,2.7631279
2016-04-06,1459915200,2016-05-09,1462766400,1.4807340999999998
2016-04-07,1460001600,2016-05-11,1462939200,1.0124459000000003
2016-04-08,1460088000,2016-05-12,1463025600,1.7577541
2016-04-11,1460347200,2016-05-16,1463371200,1.3202459000000002
2016-04-14,1460606400,2016-05-19,1463630400,2.0997540999999997
2016-04-25,1461556800,2016-06-07,1465272000,1.7002459
2016-04-26,1461643200,2016-06-10,1465531200,1.2563479
2016-04-28,1461816000,2016-06-14,1465876800,-0.1934658999999999
2016-05-10,1462852800,2016-06-15,1465963200,0.4178520999999998
2016-05-12,1463025600,2016-06-16,1466049600,-0.16853409999999996
2016-05-13,1463112000,2016-06-17,1466136000,0.4455541000000001
2016-05-17,1463457600,2016-06-22,1466568000,-0.13775409999999993
2016-05-20,1463716800,2016-06-23,1466654400,1.4363478999999997
2016-06-08,1465358400,2016-06-24,1466740800,0.006534100000000043
2016-06-13,1465790400,2016-06-27,1467000000,-1.5821479000000003
2016-06-15,1465963200,2016-06-30,1467259200,-0.16853409999999996
2016-06-16,1466049600,2016-07-07,1467864000,1.4021479000000003
2016-06-17,1466136000,2016-07-28,1469678400,0.9251279000000001
2016-06-20,1466395200,2016-08-01,1470024000,2.6173279
2016-06-23,1466654400,2016-08-02,1470110400,1.3187341
2016-06-24,1466740800,2016-08-05,1470369600,0.8324459000000004
2016-06-27,1467000000,2016-08-08,1470628800,1.5577541
2016-06-28,1467086400,2016-08-15,1471233600,3.3202459
2016-07-01,1467345600,2016-08-23,1471924800,2.0997540999999997
2016-07-08,1467950400,2016-08-26,1472184000,0.7436520999999998
2016-07-29,1469764800,2016-08-31,1472616000,0.1934658999999999
2016-08-02,1470110400,2016-09-01,1472702400,-1.3744459
2016-08-03,1470196800,2016-09-06,1473134400,0.06224590000000002
2016-08-08,1470628800,2016-09-07,1473220800,-0.5636521000000001
2016-08-09,1470715200,2016-09-08,1473307200,0.006534100000000043
2016-08-16,1471320000,2016-09-09,1473393600,-1.5821479000000003
2016-08-24,1472011200,2016-09-12,1473652800,-0.16853409999999996
2016-08-29,1472443200,2016-09-20,1474344000,0.4455541000000001
2016-09-01,1472702400,2016-09-28,1475035200,-0.13775409999999993
2016-09-02,1472788800,2016-09-29,1475121600,0.4797540999999996
2016-09-07,1473220800,2016-09-30,1475208000,-0.0997540999999999
2016-09-08,1473307200,2016-10-04,1475553600,-1.7002459
2016-09-09,1473393600,2016-10-12,1476244800,-0.29975409999999986
2016-09-12,1473652800,2016-10-17,1476676800,0.29975409999999986
2016-09-13,1473739200,2016-10-25,1477368000,-0.29975409999999986
2016-09-21,1474430400,2016-10-26,1477454400,0.29975409999999986
2016-09-29,1475121600,2016-10-27,1477540800,-1.2563479
2016-09-30,1475208000,2016-11-09,1478667600,-0.7631279000000002
2016-10-03,1475467200,2016-11-10,1478754000,-1.4807340999999998
2016-10-05,1475640000,2016-11-11,1478840400,-1.0124459000000003
2016-10-13,1476331200,2016-11-17,1479358800,-1.7577541
2016-10-18,1476763200,2016-11-23,1479877200,-1.3202459000000002
2016-10-26,1477454400,2016-11-25,1480050000,-2.0997540999999997
2016-10-27,1477540800,2016-11-28,1480309200,-1.7002459
2016-10-28,1477627200,2016-11-29,1480395600,-0.29975409999999986
2016-11-10,1478754000,2016-12-06,1481000400,0.29975409999999986
2016-11-11,1478840400,2017-01-06,1483678800,-0.29975409999999986
2016-11-14,1479099600,2017-01-10,1484024400,1.2563479
2016-11-18,1479445200,2017-01-13,1484283600,0.7631279000000002
2016-11-25,1480050000,2017-01-17,1484629200,1.4807340999999998
2016-11-28,1480309200,2017-01-18,1484715600,1.0124459000000003
2016-11-29,1480395600,2017-01-24,1485234000,1.7577541
2016-11-30,1480482000,2017-01-25,1485320400,1.3202459000000002
2016-12-07,1481086800,2017-01-30,1485752400,2.0997540999999997
2017-01-09,1483938000,2017-02-03,1486098000,1.7002459
2017-01-11,1484110800,2017-02-09,1486616400,0.29975409999999986
2017-01-17,1484629200,2017-02-15,1487134800,-0.29975409999999986
2017-01-18,1484715600,2017-03-09,1489035600,1.2563479
2017-01-19,1484802000,2017-03-13,1489377600,0.7631279000000002
2017-01-25,1485320400,2017-03-14,1489464000,1.4807340999999998
2017-01-26,1485406800,2017-03-20,1489982400,1.0124459000000003
2017-01-31,1485838800,2017-03-29,1490760000,1.7577541
2017-02-06,1486357200,2017-04-11,1491883200,1.3202459000000002
2017-02-10,1486702800,2017-04-19,1492574400,2.0997540999999997
2017-02-16,1487221200,2017-04-24,1493006400,1.7002459
2017-03-10,1489122000,2017-04-25,1493092800,0.29975409999999986
2017-03-14,1489464000,2017-04-26,1493179200,-1.2563479
2017-03-15,1489550400,2017-05-15,1494820800,0.1934658999999999
2017-03-21,1490068800,2017-05-18,1495080000,-1.3744459
2017-03-30,1490846400,2017-05-26,1495771200,0.06224590000000002
2017-04-12,1491969600,2017-05-30,1496116800,-1.5202459000000004
2017-04-20,1492660800,2017-06-19,1497844800,-0.0997540999999999
2017-04-25,1493092800,2017-06-20,1497931200,-0.7436520999999998
2017-04-26,1493179200,2017-06-21,1498017600,0.7631279000000002
2017-04-27,1493265600,2017-06-29,1498708800,2.4373279
2017-05-16,1494907200,2017-06-30,1498795200,2.0753279000000004
2017-05-19,1495166400,2017-07-14,1500004800,2.9387341
2017-05-30,1496116800,2017-07-17,1500264000,2.6324459
2017-05-31,1496203200,2017-07-18,1500350400,3.5577541000000004
2017-06-20,1497931200,2017-07-21,1500609600,3.3202459
2017-06-21,1498017600,2017-07-24,1500868800,3.0563479
2017-06-22,1498104000,2017-07-25,1500955200,1.8065341
2017-06-30,1498795200,2017-08-09,1502251200,1.3744459
2017-07-03,1499054400,2017-08-25,1503633600,-0.06224590000000002
2017-07-17,1500264000,2017-08-29,1503979200,0.5636521000000001
2017-07-18,1500350400,2017-08-31,1504152000,-0.006534100000000043
2017-07-19,1500436800,2017-09-01,1504238400,1.5821479000000003
2017-07-24,1500868800,2017-09-05,1504584000,0.16853409999999996
2017-07-25,1500955200,2017-09-12,1505188800,-0.4455541000000001
2017-07-26,1501041600,2017-09-18,1505707200,0.13775409999999993
2017-08-10,1502337600,2017-09-19,1505793600,-1.4363478999999997
2017-08-28,1503892800,2017-09-22,1506052800,-0.006534100000000043
2017-08-30,1504065600,2017-10-17,1508212800,0.6255541
2017-09-01,1504238400,2017-10-18,1508299200,-0.8943479000000001
2017-09-05,1504584000,2017-10-25,1508904000,-1.6265341000000002
2017-09-06,1504670400,2017-10-31,1509422400,-0.21785210000000005
2017-09-13,1505275200,2017-11-02,1509595200,-1.8314659
2017-09-19,1505793600,2017-11-03,1509681600,-0.4455541000000001
2017-09-20,1505880000,2017-11-20,1511154000,0.13775409999999993
2017-09-25,1506312000,2017-11-21,1511240400,-0.4797540999999996
2017-10-18,1508299200,2017-11-28,1511845200,0.0997540999999999
2017-10-19,1508385600,2017-11-29,1511931600,1.7002459
2017-10-26,1508990400,2017-11-30,1512018000,1.2563479
2017-11-01,1509508800,2017-12-01,1512104400,-0.1934658999999999
2017-11-03,1509681600,2017-12-04,1512363600,1.3744459
2017-11-06,1509944400,2017-12-14,1513227600,-0.06224590000000002
2017-11-21,1511240400,2017-12-18,1513573200,1.5202459000000004
2017-11-22,1511326800,2017-12-20,1513746000,1.0563479
2017-11-29,1511931600,2018-01-02,1514869200,1.8065341
2017-11-30,1512018000,2018-01-08,1515387600,1.3744459
2017-12-01,1512104400,2018-01-11,1515646800,0.8943479000000001
2017-12-04,1512363600,2018-01-12,1515733200,2.5831279000000005
2017-12-05,1512450000,2018-01-16,1516078800,1.2807341
2017-12-15,1513314000,2018-01-19,1516338000,3.0124459
2017-12-19,1513659600,2018-01-23,1516683600,2.7143479000000004
2017-12-21,1513832400,2018-01-25,1516856400,1.4265341
2018-01-03,1514955600,2018-01-30,1517288400,3.1744459
2018-01-09,1515474000,2018-02-01,1517461200,1.9377540999999998
2018-01-12,1515733200,2018-02-02,1517547600,0.5636521000000001
2018-01-16,1516078800,2018-02-05,1517806800,-0.9631279000000001
2018-01-17,1516165200,2018-02-07,1517979600,0.5192659
2018-01-22,1516597200,2018-02-08,1518066000,-1.0124459000000003
2018-01-24,1516770000,2018-02-14,1518584400,-1.7577541
2018-01-26,1516942800,2018-02-21,1519189200,-0.3636521
2018-01-31,1517374800,2018-02-23,1519362000,-1.9934659
2018-02-02,1517547600,2018-02-27,1519707600,-0.6255541
2018-02-05,1517806800,2018-03-02,1519966800,-0.06224590000000002
2018-02-06,1517893200,2018-03-05,1520226000,1.5202459000000004
2018-02-08,1518066000,2018-03-08,1520485200,0.0997540999999999
2018-02-09,1518152400,2018-03-16,1521172800,1.7002459
2018-02-15,1518670800,2018-03-21,1521604800,0.29975409999999986
2018-02-22,1519275600,2018-03-27,1522123200,-1.2563479
2018-02-26,1519621200,2018-04-02,1522641600,-0.7631279000000002
2018-02-28,1519794000,2018-04-05,1522900800,-1.4807340999999998
2018-03-05,1520226000,2018-04-06,1522987200,-1.0124459000000003
2018-03-06,1520312400,2018-04-24,1524542400,-1.7577541
2018-03-09,1520571600,2018-05-10,1525924800,-0.3636521
2018-03-19,1521432000,2018-05-24,1527134400,-1.0368720999999996
2018-03-22,1521691200,2018-05-25,1527220800,0.43732790000000016
2018-03-28,1522209600,2018-05-29,1527566400,1.1187341000000002
2018-04-03,1522728000,2018-05-30,1527652800,2.8324459
2018-04-06,1522987200,2018-05-31,1527739200,1.5577541
2018-04-09,1523246400,2018-06-07,1528344000,3.3202459
2018-04-25,1524628800,2018-06-15,1529035200,3.0563479
2018-05-11,1526011200,2018-06-18,1529294400,1.8065341
2018-05-25,1527220800,2018-06-25,1529899200,1.3744459
2018-05-29,1527566400,2018-06-26,1529985600,-0.06224590000000002
2018-05-30,1527652800,2018-07-05,1530763200,0.5636521000000001
2018-05-31,1527739200,2018-07-12,1531368000,-0.006534100000000043
2018-06-01,1527825600,2018-07-13,1531454400,1.5821479000000003
2018-06-08,1528430400,2018-07-18,1531886400,0.16853409999999996
2018-06-18,1529294400,2018-07-23,1532318400,-0.4455541000000001
2018-06-19,1529380800,2018-07-24,1532404800,0.13775409999999993
2018-06-26,1529985600,2018-07-25,1532491200,-1.4363478999999997
2018-06-27,1530072000,2018-07-30,1532923200,-0.9631279000000001
2018-07-06,1530849600,2018-07-31,1533009600,0.5192659
2018-07-13,1531454400,2018-08-01,1533096000,-1.0124459000000003
2018-07-16,1531713600,2018-08-16,1534392000,-1.7577541
2018-07-19,1531972800,2018-08-17,1534478400,-0.3636521
2018-07-24,1532404800,2018-08-22,1534910400,-1.9934659
2018-07-25,1532491200,2018-08-31,1535688000,-1.5821479000000003
2018-07-26,1532577600,2018-09-11,1536638400,-1.1251279
2018-07-31,1533009600,2018-09-18,1537243200,0.3392659000000002
2018-08-01,1533096000,2018-09-19,1537329600,-1.2124459
2018-08-02,1533182400,2018-09-21,1537502400,0.24224589999999985
2018-08-17,1534478400,2018-09-27,1538020800,-1.3202459000000002
2018-08-20,1534737600,2018-10-03,1538539200,-2.0997540999999997
2018-08-23,1534996800,2018-10-08,1538971200,-1.7002459
2018-09-04,1536033600,2018-10-09,1539057600,-0.29975409999999986
2018-09-12,1536724800,2018-10-15,1539576000,0.29975409999999986
2018-09-19,1537329600,2018-10-19,1539921600,-0.29975409999999986
2018-09-20,1537416000,2018-10-23,1540267200,0.29975409999999986
2018-09-24,1537761600,2018-10-24,1540353600,-1.2563479
2018-09-28,1538107200,2018-10-30,1540872000,-0.7631279000000002
2018-10-04,1538625600,2018-11-06,1541480400,-1.4807340999999998
2018-10-09,1539057600,2018-11-12,1541998800,-0.05585210000000013
2018-10-10,1539144000,2018-11-29,1543467600,-1.6514659000000003
2018-10-16,1539662400,2018-11-30,1543554000,-1.2021479000000002
2018-10-22,1540180800,2018-12-07,1544158800,-2.9251279
2018-10-24,1540353600,2018-12-10,1544418000,-2.6173279
2018-10-25,1540440000,2018-12-12,1544590800,-1.3187341
2018-10-31,1540958400,2018-12-17,1545022800,-0.8324459000000004
2018-11-07,1541566800,2018-12-21,1545368400,-2.5143479
2018-11-13,1542085200,2018-12-24,1545627600,-4.3831279
2018-11-30,1543554000,2019-01-10,1547096400,-3.2807340999999997
2018-12-03,1543813200,2019-01-11,1547182800,-2.0558520999999996
2018-12-10,1544418000,2019-01-14,1547442000,-1.6514659000000003
2018-12-11,1544504400,2019-01-29,1548738000,-0.24555409999999994
2018-12-13,1544677200,2019-02-06,1549429200,-0.9056520999999997
2018-12-18,1545109200,2019-02-14,1550120400,0.5831279000000005
2018-12-24,1545627600,2019-02-20,1550638800,2.2373279000000004
2018-12-26,1545800400,2019-03-11,1552276800,3.1187340999999997
2019-01-11,1547182800,2019-03-12,1552363200,2.8324459
2019-01-14,1547442000,2019-03-13,1552449600,2.5143479
2019-01-15,1547528400,2019-03-14,1552536000,3.4265341
2019-01-30,1548824400,2019-03-22,1553227200,3.1744459
2019-02-07,1549515600,2019-03-29,1553832000,1.9377540999999998
2019-02-15,1550206800,2019-04-04,1554350400,1.5202459000000004
2019-02-21,1550725200,2019-04-05,1554436800,1.0563479
2019-03-12,1552363200,2019-04-09,1554782400,1.8065341
2019-03-13,1552449600,2019-04-10,1554868800,1.3744459
2019-03-14,1552536000,2019-04-12,1555041600,-0.06224590000000002
2019-03-15,1552622400,2019-04-15,1555300800,1.5202459000000004
2019-03-25,1553486400,2019-04-16,1555387200,0.0997540999999999
2019-04-01,1554091200,2019-04-17,1555473600,0.7436520999999998
2019-04-05,1554436800,2019-04-22,1555905600,-0.7631279000000002
2019-04-08,1554696000,2019-04-24,1556078400,-1.4807340999999998
2019-04-10,1554868800,2019-05-01,1556683200,-0.05585210000000013
2019-04-11,1554955200,2019-06-18,1560830400,-0.6948721
2019-04-15,1555300800,2019-06-19,1560916800,0.8173279000000002
2019-04-16,1555387200,2019-06-20,1561003200,-0.6812658999999999
2019-04-17,1555473600,2019-06-25,1561435200,0.8324459000000004
2019-04-18,1555560000,2019-06-26,1561521600,1.5577541
2019-04-23,1555992000,2019-06-28,1561694400,3.3202459
2019-04-25,1556164800,2019-07-09,1562644800,3.0563479
2019-05-02,1556769600,2019-07-10,1562731200,1.8065341
2019-06-19,1560916800,2019-07-12,1562904000,1.3744459
2019-06-20,1561003200,2019-07-15,1563163200,-0.06224590000000002
2019-06-21,1561089600,2019-07-16,1563249600,1.5202459000000004
2019-06-26,1561521600,2019-07-17,1563336000,0.0997540999999999
2019-06-27,1561608000,2019-07-18,1563422400,1.7002459
2019-07-01,1561953600,2019-07-22,1563768000,0.29975409999999986
2019-07-10,1562731200,2019-07-24,1563940800,-0.29975409999999986
2019-07-11,1562817600,2019-07-25,1564027200,0.29975409999999986
2019-07-15,1563163200,2019-07-29,1564372800,-1.2563479
2019-07-16,1563249600,2019-07-30,1564459200,0.1934658999999999
2019-07-17,1563336000,2019-08-02,1564718400,-1.3744459
2019-07-18,1563422400,2019-08-05,1564977600,-0.8943479000000001
2019-07-19,1563508800,2019-09-04,1567569600,-1.6265341000000002
2019-07-23,1563854400,2019-09-24,1569297600,-0.21785210000000005
2019-07-25,1564027200,2019-10-15,1571112000,-1.8314659
2019-07-26,1564113600,2019-10-17,1571284800,-0.4455541000000001
2019-07-30,1564459200,2019-10-22,1571716800,0.13775409999999993
2019-07-31,1564545600,2019-10-23,1571803200,-0.4797540999999996
2019-08-05,1564977600,2019-11-13,1573621200,0.0997540999999999
2019-08-06,1565064000,2019-11-15,1573794000,1.7002459
2019-09-05,1567656000,2019-11-18,1574053200,0.29975409999999986
2019-09-25,1569384000,2019-12-09,1575867600,-0.29975409999999986
2019-10-16,1571198400,2019-12-11,1576040400,0.29975409999999986
2019-10-18,1571371200,2019-12-12,1576126800,-0.29975409999999986
2019-10-23,1571803200,2019-12-18,1576645200,0.29975409999999986
2019-10-24,1571889600,2019-12-19,1576731600,-0.29975409999999986
2019-11-14,1573707600,2019-12-20,1576818000,0.29975409999999986
2019-11-18,1574053200,2019-12-24,1577163600,-0.29975409999999986
2019-11-19,1574139600,2019-12-26,1577336400,0.29975409999999986
2019-12-10,1575954000,2019-12-27,1577422800,-0.29975409999999986
2019-12-12,1576126800,2019-12-30,1577682000,0.29975409999999986
2019-12-13,1576213200,2019-12-31,1577768400,-0.29975409999999986
2019-12-19,1576731600,2020-01-03,1578027600,0.29975409999999986
2019-12-20,1576818000,2020-01-07,1578373200,-0.29975409999999986
2019-12-23,1577077200,2020-01-10,1578632400,1.2563479
2019-12-26,1577336400,2020-01-14,1578978000,0.7631279000000002
2019-12-27,1577422800,2020-01-17,1579237200,1.4807340999999998
2019-12-30,1577682000,2020-01-23,1579755600,1.0124459000000003
2019-12-31,1577768400,2020-01-27,1580101200,1.7577541
2020-01-02,1577941200,2020-01-30,1580360400,1.3202459000000002
2020-01-06,1578286800,2020-01-31,1580446800,2.0997540999999997
2020-01-08,1578459600,2020-02-04,1580792400,1.7002459
2020-01-13,1578891600,2020-02-05,1580878800,1.2563479
2020-01-15,1579064400,2020-02-10,1581310800,-0.1934658999999999
2020-01-21,1579582800,2020-02-12,1581483600,1.3744459
2020-01-24,1579842000,2020-02-19,1582088400,0.8943479000000001
2020-01-28,1580187600,2020-02-20,1582174800,1.6265341000000002
2020-01-31,1580446800,2020-02-21,1582261200,1.1744459000000003
2020-02-03,1580706000,2020-02-26,1582693200,1.9377540999999998
2020-02-05,1580878800,2020-02-27,1582779600,0.5636521000000001
2020-02-06,1580965200,2020-02-28,1582866000,-0.9631279000000001
2020-02-11,1581397200,2020-03-03,1583211600,0.5192659
2020-02-13,1581570000,2020-03-05,1583384400,-0.05585210000000013
2020-02-20,1582174800,2020-03-09,1583726400,-1.6514659000000003
2020-02-21,1582261200,2020-03-10,1583812800,-1.2021479000000002
2020-02-24,1582520400,2020-03-11,1583899200,-2.9251279
2020-02-27,1582779600,2020-03-12,1583985600,-2.6173279
2020-02-28,1582866000,2020-03-13,1584072000,-1.3187341
2020-03-02,1583125200,2020-03-16,1584331200,-0.8324459000000004
2020-03-04,1583298000,2020-03-25,1585108800,-2.5143479
2020-03-06,1583470800,2020-03-31,1585627200,-3.4265341
2020-03-10,1583812800,2020-04-03,1585886400,-3.1744459
2020-03-11,1583899200,2020-04-16,1587009600,-1.9377540999999998
2020-03-12,1583985600,2020-04-17,1587096000,-0.5636521000000001
2020-03-13,1584072000,2020-04-20,1587355200,0.006534100000000043
2020-03-16,1584331200,2020-04-24,1587700800,-0.6255541
2020-03-17,1584417600,2020-04-29,1588132800,0.8943479000000001
2020-03-26,1585195200,2020-05-07,1588824000,1.6265341000000002
2020-04-01,1585713600,2020-05-11,1589169600,1.1744459000000003
2020-04-06,1586145600,2020-05-14,1589428800,1.9377540999999998
2020-04-17,1587096000,2020-06-05,1591329600,1.5202459000000004
2020-04-20,1587355200,2020-06-08,1591588800,1.0563479
2020-04-21,1587441600,2020-06-10,1591761600,1.8065341
2020-04-27,1587960000,2020-06-12,1591934400,0.4178520999999998
2020-04-30,1588219200,2020-06-17,1592366400,-0.16853409999999996
2020-05-08,1588910400,2020-06-23,1592884800,0.4455541000000001
2020-05-12,1589256000,2020-06-24,1592971200,-1.0943479
2020-05-15,1589515200,2020-07-01,1593576000,0.37346589999999963
2020-06-08,1591588800,2020-07-13,1594612800,-0.21785210000000005
2020-06-09,1591675200,2020-07-15,1594785600,-0.8748720999999997
2020-06-11,1591848000,2020-07-24,1595563200,0.6173279
2020-06-15,1592193600,2020-07-27,1595822400,2.2753279
2020-06-18,1592452800,2020-08-05,1596600000,0.9387341000000002
2020-06-24,1592971200,2020-08-06,1596686400,1.6758520999999997
2020-06-25,1593057600,2020-08-07,1596772800,3.4514659000000005
2020-07-02,1593662400,2020-08-12,1597204800,2.2455541
2020-07-14,1594699200,2020-08-13,1597291200,1.8622459
2020-07-16,1594872000,2020-08-20,1597896000,0.4797540999999996
2020-07-27,1595822400,2020-09-09,1599624000,-1.0563479
2020-07-28,1595908800,2020-09-22,1600747200,-1.8065341
2020-08-06,1596686400,2020-09-25,1601006400,-1.3744459
2020-08-07,1596772800,2020-10-02,1601611200,0.06224590000000002
2020-08-10,1597032000,2020-10-15,1602734400,-0.5636521000000001
2020-08-13,1597291200,2020-11-02,1604293200,0.9631279000000001
2020-08-14,1597377600,2020-11-06,1604638800,0.43732790000000016
2020-08-21,1597982400,2021-01-04,1609736400,1.1187341000000002
2020-09-10,1599710400,2021-01-05,1609822800,2.8324459
2020-09-23,1600833600,2021-01-07,1609995600,2.5143479
2020-09-28,1601265600,2021-01-08,1610082000,3.4265341
2020-10-05,1601870400,2021-01-15,1610686800,3.1744459
2020-10-16,1602820800,2021-01-25,1611550800,2.8943479
2020-11-03,1604379600,2021-01-26,1611637200,1.6265341000000002
2020-11-09,1604898000,2021-01-27,1611723600,0.21785210000000005
2021-01-05,1609822800,2021-01-28,1611810000,1.8314659
2021-01-06,1609909200,2021-02-03,1612328400,1.4021479000000003
2021-01-08,1610082000,2021-02-04,1612414800,-0.03146589999999999
2021-01-11,1610341200,2021-02-10,1612933200,1.5544458999999997
2021-01-19,1611032400,2021-02-22,1613970000,1.0943479
2021-01-26,1611637200,2021-02-23,1614056400,0.5831279000000005
2021-01-27,1611723600,2021-03-09,1615266000,1.2807341
2021-01-28,1611810000,2021-03-10,1615352400,2.0558520999999996
2021-01-29,1611896400,2021-03-23,1616472000,1.6514659000000003
2021-02-04,1612414800,2021-04-14,1618372800,1.2021479000000002
2021-02-05,1612501200,2021-05-03,1620014400,2.9251279
2021-02-11,1613019600,2021-05-05,1620187200,2.6173279
2021-02-23,1614056400,2021-05-10,1620619200,2.2753279
2021-02-24,1614142800,2021-05-14,1620964800,0.9387341000000002
2021-03-10,1615352400,2021-05-19,1621396800,1.6758520999999997
2021-03-11,1615438800,2021-05-28,1622174400,3.4514659000000005
2021-03-24,1616558400,2021-06-10,1623297600,2.2455541
2021-04-15,1618459200,2021-06-11,1623384000,0.9056520999999997
2021-05-04,1620100800,2021-06-25,1624593600,0.37346589999999963
2021-05-06,1620273600,2021-06-28,1624852800,-0.21785210000000005
2021-05-11,1620705600,2021-07-16,1626408000,-0.8748720999999997
2021-05-17,1621224000,2021-07-19,1626667200,-0.3392659000000002
2021-05-20,1621483200,2021-07-22,1626926400,1.2124459
2021-06-01,1622520000,2021-07-23,1627012800,0.7143479000000004
2021-06-11,1623384000,2021-07-27,1627358400,1.4265341
2021-06-14,1623643200,2021-07-28,1627444800,3.1744459
