start,start_unix,end,end_unix,reward
2017-02-03,1486098000,2017-04-28,1493352000,2.0997540999999997
2017-03-07,1488862800,2017-05-01,1493611200,1.7002459
2017-03-14,1489464000,2017-05-09,1494302400,0.29975409999999986
2017-04-05,1491364800,2017-05-15,1494820800,-0.29975409999999986
2017-04-06,1491451200,2017-05-19,1495166400,1.2563479
2017-04-13,1492056000,2017-05-22,1495425600,0.7631279000000002
2017-04-17,1492401600,2017-05-23,1495512000,1.4807340999999998
2017-04-28,1493352000,2017-05-26,1495771200,1.0124459000000003
2017-05-01,1493611200,2017-05-31,1496203200,2.7143479000000004
2017-05-02,1493697600,2017-06-02,1496376000,2.3831279000000003
2017-05-10,1494388800,2017-06-09,1496980800,3.2807340999999997
2017-05-16,1494907200,2017-06-12,1497240000,2.0558520999999996
2017-05-22,1495425600,2017-06-13,1497326400,1.6514659000000003
2017-05-23,1495512000,2017-06-19,1497844800,0.24555409999999994
2017-05-24,1495598400,2017-06-21,1498017600,1.8622459
2017-05-30,1496116800,2017-06-28,1498622400,0.4797540999999996
2017-06-01,1496289600,2017-07-07,1499400000,-1.0563479
2017-06-05,1496635200,2017-07-10,1499659200,-2.7631279
2017-06-12,1497240000,2017-07-18,1500350400,-1.4807340999999998
2017-06-13,1497326400,2017-07-24,1500868800,-0.05585210000000013
2017-06-14,1497412800,2017-07-25,1500955200,-0.6948721
2017-06-20,1497931200,2017-08-02,1501646400,-0.1392659
2017-06-22,1498104000,2017-08-03,1501732800,-1.7441479000000002
2017-06-29,1498708800,2017-08-15,1502769600,-0.3485340999999998
2017-07-10,1499659200,2017-08-23,1503460800,1.2021479000000002
2017-07-11,1499745600,2017-08-24,1503547200,1.9685340999999998
2017-07-19,1500436800,2017-08-25,1503633600,1.5544458999999997
2017-07-25,1500955200,2017-08-28,1503892800,0.13775409999999993
2017-07-26,1501041600,2017-09-12,1505188800,-0.4797540999999996
2017-08-03,1501732800,2017-09-13,1505275200,1.0563479
2017-08-04,1501819200,2017-09-14,1505361600,1.8065341
2017-08-16,1502856000,2017-09-20,1505880000,1.3744459
2017-08-24,1503547200,2017-09-27,1506484800,-0.06224590000000002
2017-08-25,1503633600,2017-09-29,1506657600,1.5202459000000004
2017-08-28,1503892800,2017-10-02,1506916800,1.0563479
2017-08-29,1503979200,2017-10-03,1507003200,1.8065341
2017-09-13,1505275200,2017-10-05,1507176000,1.3744459
2017-09-14,1505361600,2017-10-06,1507262400,0.8943479000000001
