unix,date,open,high,low,close,volume_base
1451883600,2016-01-04,60.09,60.32,59.52,60.04,6864242.0
1451970000,2016-01-05,60.04,60.42,59.94,60.22,4692449.0
1452056400,2016-01-06,59.27,60.45,59.26,60.38,6805583.0
1452142800,2016-01-07,59.06,59.94,58.92,58.96,6776467.0
1452229200,2016-01-08,59.18,59.66,58.3,58.46,7729709.0
1452488400,2016-01-11,58.65,59.05,57.3,57.85,7177939.0
1452574800,2016-01-12,58.54,60.81,58.38,60.57,8048570.0
1452661200,2016-01-13,60.99,61.71,59.03,59.15,8802261.0
1452747600,2016-01-14,59.3,60.04,58.87,59.26,9025305.0
1452834000,2016-01-15,57.89,59.18,57.78,58.57,10070853.0
1453179600,2016-01-19,58.96,59.53,58.5,59.1,6665584.0
1453266000,2016-01-20,58.43,59.42,57.28,59.09,9989619.0
1453352400,2016-01-21,59.25,59.93,58.32,59.11,7963236.0
1453438800,2016-01-22,59.73,60.18,59.68,60.16,6575817.0
1453698000,2016-01-25,60.14,60.65,59.91,59.99,6275170.0
1453784400,2016-01-26,59.96,60.41,59.53,59.9,5551524.0
1453870800,2016-01-27,59.9,60.5,59.32,59.82,7012395.0
1453957200,2016-01-28,60.19,60.36,58.34,58.57,6972145.0
1454043600,2016-01-29,58.92,60.35,58.88,60.16,10896295.0
1454302800,2016-02-01,59.04,61.21,58.85,60.9,6977335.0
1454389200,2016-02-02,60.26,61.01,60.16,60.63,5537767.0
1454475600,2016-02-03,61.3,61.49,59.42,60.34,7293528.0
1454562000,2016-02-04,60.3,60.43,59.44,60.38,5600115.0
1454648400,2016-02-05,60.25,60.33,58.71,59.0,5077616.0
1454907600,2016-02-08,58.27,58.6,56.55,57.55,7071094.0
1454994000,2016-02-09,56.48,58.39,56.28,57.91,6827840.0
1455080400,2016-02-10,58.5,59.72,58.33,58.77,4955879.0
1455166800,2016-02-11,58.01,58.41,57.15,57.54,5919695.0
1455253200,2016-02-12,57.83,58.23,57.28,58.16,7210906.0
1455598800,2016-02-16,58.63,59.47,58.38,59.22,6792468.0
1455685200,2016-02-17,59.68,60.06,59.01,59.91,6620808.0
1455771600,2016-02-18,59.85,60.16,59.26,59.41,4624414.0
1455858000,2016-02-19,59.43,59.97,59.15,59.73,6417540.0
1456117200,2016-02-22,60.12,60.78,59.94,60.76,4627243.0
1456203600,2016-02-23,60.77,60.77,60.01,60.06,4082255.0
1456290000,2016-02-24,59.47,60.61,59.34,60.56,4989628.0
