start,start_unix,end,end_unix,direction,bottom,top,start_open,start_high,start_low,start_close,start_volume,end_open,end_high,end_low,end_close,end_volume,bb_bbh,bb_bbl,kch_high,kch_low,squeeze,rsi,roc,tsi,mfi,vwap,atr,adx,obv,pocket_pivot,cmf,aroon_up,aroon,aroon_down,sma,ema20,ema50,macd_diff,rel_open,rel_high,rel_low,rel_close
2016-03-15,1458014400,2016-04-04,1459742400,-0.25,26.64415726539452,29.490104405221665,28.14,28.26,27.72,28.25,5223554.0,28.79,28.79,28.09,28.18,7022151.0,3.8159982599704705,-4.628631333071937,1.9038325053229386,-3.046486870120674,0,3.573613555066217,3.1856462834126726,11.896512937725594,0.2125674073972874,0.3923797712201491,2.8990030324975944,-6.0629510057204286,-0.7350695526131489,0,0.19117936579991104,10.0,56.0,-46.0,-0.4063165365507331,-1.0258378729808868,-2.1731144942899903,-0.024822016535317126,0.021646557842441405,0.021646557842441405,-0.0031937544357700798,-0.01982608695652177
2016-03-24,1458792000,2016-04-12,1460433600,0.25,26.54483043738193,29.490104405221665,27.61,27.61,26.9,27.29,11596525.0,27.51,27.96,27.37,27.84,5173415.0,4.743529166999934,-3.5330406612528122,2.839439655172413,-1.7977729885057556,0,1.8965402056363985,-1.6949152542372896,1.8217305946772413,-11.08166630322878,0.4530126380112023,2.7123315232688827,-11.236447450196454,0.5590912620477204,0,0.014806518188153477,-14.0,32.0,-46.0,0.6052442528735611,-0.537936143188972,-1.0725894716465518,-0.14384291185304732,-0.011853448275861989,0.004310344827586299,-0.016882183908045967,0.01717208622579469
2016-03-30,1459310400,2016-04-18,1460952000,-0.25,26.54483043738193,29.490104405221665,27.61,29.6,27.6,28.86,26006761.0,28.71,29.16,28.59,29.08,5495884.0,1.0748000078605742,-7.880164519552437,-1.33253094910593,-5.606946354883064,0,8.255466940142107,0.7623007623007584,9.715427121858244,7.625980588188767,-2.927080281618217,2.425985205424832,-9.153622821538292,0.6343825819466337,0,0.1377974941996501,50.0,24.0,26.0,-3.4026822558459173,-3.437214414414342,-4.618524650103495,0.0808127042739954,-0.012723521320495146,0.0027510316368639653,-0.016850068775790872,0.009722222222222188
2016-04-05,1459828800,2016-04-28,1461816000,0.75,26.54483043738193,30.603556892520363,27.91,27.91,27.56,27.67,6507436.0,29.88,30.07,29.4,29.5,7153657.0,4.7598864457395536,-9.492089835570042,-0.605649717514126,-4.3107344632768445,0,6.653600664700974,4.056437389770718,21.23752041227434,34.508037684780305,-0.6976321603952442,2.1885414340518534,-1.0575490859947436,-0.9159008948534971,0,0.24528217483137432,34.0,40.0,-6.0,-2.366101694915244,-1.4398558985290038,-3.985627937239883,0.0770610568817256,0.012881355932203409,0.019322033898305113,-0.003389830508474634,-0.021883289124668415
2016-04-13,1460520000,2016-04-29,1461902400,0.25,27.990000000000002,30.603556892520363,28.11,28.64,28.11,28.62,7457375.0,29.27,29.7,28.77,29.09,10163570.0,6.30699753337656,-8.170180757852336,0.9384668270883338,-2.8772774149192344,0,3.755783842827512,1.1826086956521735,18.837487352482626,24.526286073357966,1.0550440879524956,2.2892148503631238,-2.4726754087977056,-1.3005630404265442,0,0.21657476767741937,30.0,40.0,-10.0,-0.9315916122378809,-0.045898985292765815,-2.529152382585636,0.0008204975087955368,0.00618769336541769,0.020969405293915333,-0.011000343760742548,-0.013898305084745766
2016-04-19,1461038400,2016-05-02,1462161600,-0.25,28.15629606635476,30.603556892520363,29.19,29.62,29.18,29.43,5483387.0,29.26,29.58,29.0,29.57,6430668.0,4.825868072292522,-9.435269492651003,-0.546161650321281,-4.259384511329046,0,6.497909278748779,4.932576295244857,17.97861153485147,24.940605738849257,-0.2800343795529301,2.2312971157104746,-3.7867212799718857,0.8220522977581174,0,0.24678156991794054,26.0,40.0,-14.0,-2.304700710179233,-1.5095235327973455,-3.950134342345791,-0.021354222515835297,-0.010483598241460945,0.000338180588434156,-0.019276293540750777,0.016500515641113767
2016-04-29,1461902400,2016-05-04,1462334400,0.25,28.119746700837275,30.542604949109958,29.27,29.7,28.77,29.09,10163570.0,28.47,28.69,28.11,28.35,8350958.0,9.19400620497062,-4.74603442366552,4.140505584950034,0.1369782480893349,0,-1.39296721944131,2.235845654525788,11.275017211487736,9.626339973682391,3.9399784721915836,2.4442155302259345,-5.156115058370066,-1.0768963991438896,0,0.12141592233285681,18.0,40.0,-21.999999999999996,2.223985890652557,2.3979638610181837,0.24090667230689178,-0.15563851402142614,0.004232804232804144,0.011992945326278592,-0.00846560846560851,-0.01869158878504673
2016-05-02,1462161600,2016-05-09,1462766400,-0.75,26.844555171839716,30.542604949109958,29.26,29.58,29.0,29.57,6430668.0,27.97,28.1,27.77,27.95,7816116.0,9.716999194423394,-1.4808632373571555,5.990459153249844,1.9511031604054807,0,-3.571826896557326,2.1191085129703993,1.0645692106735696,-2.1660679113162047,4.3931207107438865,2.390864075391629,-3.8918871151360257,-1.008879781247957,0,0.11269248616420313,6.000000000000007,40.00000000000001,-34.0,4.118067978533119,2.8603394710973333,1.4850168900461398,-0.26827228329337754,0.0007155635062612298,0.005366726296959001,-0.006440071556350624,-0.002142092109960858
2016-05-03,1462248000,2016-05-12,1463025600,-0.25,26.844555171839716,29.3549747463019,29.1,29.16,28.54,28.89,7539219.0,28.48,28.6,28.1,28.33,5328739.0,8.140433387202492,-2.768036634643366,4.5911283680433,0.644781739028133,0,-0.9704126662776602,-2.07397165572071,-1.4242723524931096,-13.643498068449183,1.9871430675845687,2.28555989492731,-6.164351870606875,0.7052936113022112,0,0.07021520270894617,-6.0,40.0,-46.0,2.686198376279563,1.1499093366214908,0.13500988265946035,-0.18236731879450674,0.00529474055771284,0.009530533003882846,-0.008118602188492696,0.002122391227449505
2016-05-05,1462420800,2016-05-13,1463112000,0.25,26.844555171839716,29.331815866000408,27.65,28.39,27.48,27.88,9966260.0,28.24,28.64,27.95,27.99,6399025.0,9.556905802766053,-1.9791994790790142,5.814576634512321,1.69167559842802,0,-3.146800639793078,-2.8125000000000075,-3.0146700705440246,-13.49205681097299,2.8532172401337874,2.3241689728545376,-6.433312163809223,-0.845399421962022,0,0.022702774866958743,-10.0,36.0,-46.0,3.7888531618435195,2.1520640001076146,1.2983745376930074,-0.180889964602507,0.008931761343336841,0.023222579492676143,-0.0014290818149338413,-0.012001411930815387
2016-05-10,1462852800,2016-05-17,1463457600,-0.25,26.948783888933704,29.331815866000408,28.16,28.69,28.07,28.59,7480574.0,28.23,28.54,28.08,28.19,5511837.0,8.63166721736674,-3.2574210307757596,4.719758779709139,0.6651294785384749,0,-1.7167499847252472,-4.213387699626227,-4.137707444978455,-16.240031976093135,1.1883418600072844,2.2192773045123015,-7.081144112768065,-0.7308579344710687,0,-0.06724279679947966,-18.0,-36.0,18.0,2.687123093295483,1.189795995753414,0.5444729548773211,-0.13423512271854987,0.0014189428875488463,0.012415750266051795,-0.003902092940759272,-0.002476999292285953
2016-05-13,1463112000,2016-05-18,1463544000,0.75,26.948783888933704,30.468738881042253,28.24,28.64,27.95,27.99,6399025.0,28.22,29.39,28.22,29.28,11722661.0,4.289277051606774,-6.7858617510603665,0.7690118397085683,-3.3088570127504795,0,5.358626338788227,-2.204408817635271,-1.4029424056945472,-6.209704609103127,-2.675924227261035,2.2767821862427375,-7.587423437770756,1.545002033786517,0,0.07584111370440073,-21.999999999999996,-36.0,14.0,-1.248292349726782,-2.3317287384766416,-3.073043275673953,-0.045383960587727395,-0.036202185792349795,0.0037568306010928865,-0.036202185792349795,0.03866619368570423
2016-05-16,1463371200,2016-05-23,1463976000,0.25,28.04139654869875,30.468738881042253,28.06,28.47,28.03,28.26,6337802.0,28.93,29.11,28.75,28.94,6267155.0,4.124173434973827,-5.337027616038057,1.454158028104132,-2.671619442524758,0,2.8196041712854054,-2.9835735836406205,1.590909651743349,-3.5418654262776883,-1.7165951327563533,2.2419362766457156,-9.220299227453639,-0.8310964832553305,0,-0.010167138855129704,-34.0,-36.0,2.0,-0.6064270905321223,-0.8686083564942777,-1.712481379069402,0.030118727469235246,-0.00034554250172780243,0.005874222529371087,-0.006565307532826581,-0.0037865748709121627
2016-05-18,1463544000,2016-06-02,1464840000,-0.25,28.04139654869875,30.468738881042253,28.22,29.39,28.22,29.28,11722661.0,29.71,29.76,29.49,29.76,4672018.0,1.680726852795786,-7.708952659247416,-1.1323924731183013,-5.013440860215056,0,6.628753523513822,4.973544973544974,11.520009131212493,15.877111611965745,-2.0087749984420356,2.0963021652590714,-10.321238656080611,-0.6210132584490642,0,0.10769551851878682,30.0,56.0,-26.0,-3.014112903225822,-1.9163005637560389,-3.4117730029885394,0.10114277938367347,-0.0016801075268817467,0.0,-0.009072580645161366,-0.0016772895001676558
2016-05-19,1463630400,2016-06-09,1465444800,0.25,28.04139654869875,30.441948082461575,29.03,29.41,28.53,28.85,6605824.0,28.85,28.85,28.41,28.51,7127121.0,5.863266461695986,-2.0260163740074404,3.8618028761837877,-0.04910557699052731,0,-2.7831688054233297,0.8489564909798443,3.2185104778319547,2.7898710303350853,2.762784824745907,2.1693921996982146,-7.459212165004747,-1.0112396807629978,0,-0.006048145378933686,10.0,56.0,-46.0,1.918625043844287,1.982289215738291,0.9278515827552525,-0.09056926361235165,0.011925640126271508,0.011925640126271508,-0.0035075412136093,-0.018588640275387203
2016-05-24,1464062400,2016-06-22,1466568000,-0.75,26.93256460988685,30.441948082461575,29.13,29.63,29.11,29.48,5670093.0,27.82,28.06,27.65,27.71,5345236.0,9.724190530870104,-3.3907369040205566,5.146758089738967,1.2456393600384956,0,-6.369223979322058,-6.004070556309361,-16.370773757166162,-22.298797598804384,1.3998568523431345,2.2299954457085427,3.0550985752529414,-0.7440572951105348,0,-0.18778918568087624,-26.0,-56.0,30.0,3.1667268134247877,1.8860472821840943,2.6253981903977603,-0.11122004800173446,0.00396968603392267,0.012630819198845122,-0.0021652832912306685,-0.003953989935298274
2016-06-03,1464926400,2016-06-23,1466654400,-0.25,26.93256460988685,29.26878359760488,29.27,29.27,28.49,28.85,7924595.0,28.2,28.77,28.13,28.76,6817251.0,5.2378644998862995,-6.8025376570490295,1.135836810384788,-2.716736207695874,0,2.4341262952021054,-3.5223079503522214,-12.463719502407237,-14.95058802735673,-2.4000726086606505,2.258372887461723,1.5843895911390256,0.9506560755198259,0,-0.12232538902984286,-30.0,-56.0,26.0,-0.7823365785813508,-1.659075048683519,-1.0773818423326418,-0.017513867069053668,-0.01947148817802513,0.0003477051460361036,-0.0219054242002783,0.03789245759653559
2016-06-10,1465531200,2016-06-24,1466740800,0.25,26.576012093071085,29.231875726091943,28.11,28.18,27.76,28.06,11797634.0,26.83,27.0,25.64,25.68,22472584.0,18.534537748844016,2.271537017511122,12.739485981308405,8.140576323987531,0,-14.62456015796542,-12.504258943781949,-18.15734403069054,-24.53477332811343,7.746981024079801,3.2164009100027506,2.699707448881771,-2.997623039543852,-1,-0.29037134608706966,-34.0,-84.0,50.0,10.403037383177562,9.170403186465975,10.364142700897318,-0.15208049503751908,0.04478193146417442,0.051401869158878455,-0.0015576323987538387,-0.10709318497913778
2016-06-23,1466654400,2016-06-27,1467000000,-0.75,24.921602161905675,29.231875726091943,28.2,28.77,28.13,28.76,6817251.0,25.39,25.45,23.55,23.79,21278030.0,29.60604843226119,6.215725422299528,20.86591004623793,15.300546448087431,0,-20.767602033529684,-20.167785234899334,-26.162371562016368,-28.06523138031764,13.752486171858735,3.863457874843326,4.78130611982845,-2.719195103435554,-1,-0.330906909563857,-38.0,-88.0,50.0,17.910886927280373,16.144084394684597,18.381762021769816,-0.34638025009317264,0.06725514922236231,0.06977721731820097,-0.010088272383354302,-0.07359813084112155
2016-06-24,1466740800,2016-06-28,1467086400,-0.75,23.26836436868065,28.062761249710757,26.83,27.0,25.64,25.68,22472584.0,24.42,24.7,23.83,24.55,21860272.0,25.717538227719345,0.7223803058855793,16.110658520027158,10.558723693143264,0,-15.92207855069114,-17.228590694538095,-28.863346339243424,-16.805619386127503,8.300279593132302,3.7412034243607666,6.714219171421792,2.681449537274782,0,-0.1867108734211253,-42.0,-88.0,46.0,13.219959266802462,11.353481887773029,14.139853685074314,-0.3980277779866724,-0.005295315682281032,0.006109979633401208,-0.029327902240325998,0.0319461958806222
