start,start_unix,bottom,top,end,end_unix,direction
2016-03-15,1458014400,21.924999999999997,23.008180371864253,2016-03-23,1458705600,
2016-03-24,1458792000,20.945776496434547,21.924999999999997,2016-03-24,1458792000,-1.0
2016-03-28,1459137600,21.924999999999997,22.90370753902506,2016-04-08,1460088000,1.0
2016-04-11,1460347200,21.074785075315557,21.924999999999997,2016-04-20,1461124800,-1.0
2016-04-21,1461211200,20.197839849922993,21.074785075315557,2016-04-27,1461729600,-1.0
2016-04-28,1461816000,21.074785075315557,21.99850680504811,2016-04-28,1461816000,1.0
2016-04-29,1461902400,21.99850680504811,23.241962696942622,2016-04-29,1461902400,1.0
2016-05-02,1462161600,23.241962696942622,24.535457453701813,2016-05-05,1462420800,1.0
2016-05-06,1462507200,24.535457453701813,25.72186524597064,2016-06-03,1464926400,1.0
2016-06-06,1465185600,25.72186524597064,26.484661889832594,2016-06-06,1465185600,1.0
2016-06-07,1465272000,24.965982648098827,25.72186524597064,2016-06-07,1465272000,-1.0
2016-06-08,1465358400,25.72186524597064,26.508613372565897,2016-06-09,1465444800,1.0
2016-06-10,1465531200,24.88627119803902,25.72186524597064,2016-06-15,1465963200,-1.0
2016-06-16,1466049600,25.72186524597064,26.613006582991023,2016-06-23,1466654400,1.0
2016-06-24,1466740800,24.862006711022136,25.72186524597064,2016-06-24,1466740800,-1.0
2016-06-27,1467000000,25.72186524597064,26.603876742708536,2016-06-29,1467172800,1.0
2016-06-30,1467259200,26.603876742708536,27.512282449098173,2016-07-15,1468555200,1.0
2016-07-18,1468814400,25.708145460817835,26.603876742708536,2016-07-21,1469073600,-1.0
2016-07-22,1469160000,26.603876742708536,27.448269004840988,2016-07-25,1469419200,1.0
2016-07-26,1469505600,25.801967088114736,26.603876742708536,2016-07-28,1469678400,-1.0
2016-07-29,1469764800,26.603876742708536,27.40807481528236,2016-08-01,1470024000,1.0
2016-08-02,1470110400,25.796491669928045,26.603876742708536,2016-08-04,1470283200,-1.0
2016-08-05,1470369600,26.603876742708536,27.522958012715367,2016-08-05,1470369600,1.0
2016-08-08,1470628800,25.659158420559336,26.603876742708536,2016-08-09,1470715200,-1.0
2016-08-10,1470801600,26.603876742708536,27.522414479663713,2016-08-15,1471233600,1.0
