unix,date,open,high,low,close,volume_base
1451883600,2016-01-04,12.47,12.53,12.11,12.41,1778784.0
1451970000,2016-01-05,12.48,12.98,12.41,12.69,1317591.0
1452056400,2016-01-06,12.63,13.23,12.61,12.93,1703040.0
1452142800,2016-01-07,12.65,12.92,12.22,12.55,1223626.0
1452229200,2016-01-08,12.58,12.86,12.58,12.62,520248.0
1452488400,2016-01-11,12.63,13.12,12.53,12.75,608472.0
1452574800,2016-01-12,12.85,13.13,12.3,12.59,853088.0
1452661200,2016-01-13,12.8,12.84,12.07,12.35,1000291.0
1452747600,2016-01-14,12.53,12.63,11.84,12.13,1813782.0
1452834000,2016-01-15,11.84,12.16,11.26,12.04,1597065.0
1453179600,2016-01-19,12.07,12.38,11.25,11.62,1466502.0
1453266000,2016-01-20,11.34,11.38,10.63,11.1,1535482.0
1453352400,2016-01-21,11.2,11.38,10.81,11.09,607968.0
1453438800,2016-01-22,11.57,11.57,11.03,11.35,1144198.0
1453698000,2016-01-25,11.67,11.86,10.99,11.12,565621.0
1453784400,2016-01-26,11.13,11.58,10.97,11.27,502482.0
1453870800,2016-01-27,11.39,11.61,10.99,11.11,476090.0
1453957200,2016-01-28,11.02,11.71,10.68,11.58,1073079.0
1454043600,2016-01-29,11.4,11.78,11.25,11.65,980388.0
1454302800,2016-02-01,11.25,12.03,11.17,11.88,1112867.0
1454389200,2016-02-02,11.81,11.91,11.14,11.32,2025121.0
1454475600,2016-02-03,9.268,10.05,8.516,9.899,6657422.0
1454562000,2016-02-04,9.491,9.797,8.126,9.063,5544149.0
1454648400,2016-02-05,9.082,9.277,8.627,8.636,1451659.0
1454907600,2016-02-08,8.386,9.054,8.358,8.534,914585.0
1454994000,2016-02-09,8.358,8.599,7.81,8.469,1889089.0
1455080400,2016-02-10,8.451,8.794,8.209,8.729,667620.0
1455166800,2016-02-11,8.553,9.24,8.404,9.008,1266248.0
1455253200,2016-02-12,8.915,9.286,8.766,9.119,1082239.0
1455598800,2016-02-16,9.388,9.751,9.147,9.463,1063180.0
1455685200,2016-02-17,9.453,9.946,9.342,9.388,1281017.0
1455771600,2016-02-18,9.453,10.0,9.221,9.695,979873.0
1455858000,2016-02-19,9.676,9.862,9.444,9.751,696737.0
1456117200,2016-02-22,9.741,9.964,9.639,9.723,782756.0
1456203600,2016-02-23,9.528,9.927,9.528,9.611,774842.0
1456290000,2016-02-24,9.741,9.89,9.393,9.825,570980.0
1456376400,2016-02-25,9.871,9.983,9.76,9.881,381245.0
1456462800,2016-02-26,9.89,9.936,9.751,9.853,415108.0
1456722000,2016-02-29,9.974,10.28,9.806,10.11,1053830.0
1456808400,2016-03-01,10.27,10.83,10.04,10.58,1105831.0
1456894800,2016-03-02,10.8,11.12,10.58,10.9,947210.0
1456981200,2016-03-03,10.97,11.42,10.88,11.12,1118092.0
1457067600,2016-03-04,11.28,11.31,10.67,10.7,633172.0
1457326800,2016-03-07,10.73,11.14,10.68,11.14,975972.0
1457413200,2016-03-08,11.08,11.19,10.57,10.71,874928.0
1457499600,2016-03-09,10.75,10.88,10.04,10.63,835043.0
1457586000,2016-03-10,10.72,10.87,10.39,10.48,418542.0
1457672400,2016-03-11,10.61,10.79,10.41,10.61,564037.0
1457928000,2016-03-14,10.63,10.85,10.38,10.44,1065080.0
1458014400,2016-03-15,10.34,10.5,9.974,10.36,650094.0
1458100800,2016-03-16,10.33,10.57,10.14,10.53,659613.0
1458187200,2016-03-17,10.52,10.66,10.22,10.4,1151770.0
1458273600,2016-03-18,10.48,10.59,9.732,9.899,5603780.0
1458532800,2016-03-21,9.927,10.14,9.785,10.12,783591.0
1458619200,2016-03-22,10.05,10.28,9.816,10.16,569750.0
1458705600,2016-03-23,10.12,10.21,9.806,9.955,458678.0
1458792000,2016-03-24,9.992,10.35,9.881,10.24,926247.0
1459137600,2016-03-28,10.34,10.38,9.983,10.09,556633.0
1459224000,2016-03-29,10.05,10.15,9.825,10.08,425788.0
1459310400,2016-03-30,10.21,10.42,10.04,10.15,762467.0
1459396800,2016-03-31,10.16,10.57,10.04,10.27,726794.0
1459483200,2016-04-01,10.23,10.81,10.07,10.75,1660413.0
1459742400,2016-04-04,10.7,10.87,10.27,10.54,1015915.0
