unix,date,open,high,low,close,volume_base
1451883600,2016-01-04,57.56,58.19,57.33,57.99,2191734.0
1451970000,2016-01-05,58.06,58.18,57.38,57.71,1370881.0
1452056400,2016-01-06,56.77,57.8,56.25,56.97,1806906.0
1452142800,2016-01-07,55.79,56.7,55.06,55.72,1884325.0
1452229200,2016-01-08,56.26,56.76,55.01,55.07,1202790.0
1452488400,2016-01-11,55.32,56.57,55.003,56.0,1967945.0
1452574800,2016-01-12,56.33,56.8,54.7303,55.85,2106238.0
1452661200,2016-01-13,55.89,55.96,52.13,52.31,2622657.0
1452747600,2016-01-14,52.14,52.59,49.67,50.795,4661134.0
1452834000,2016-01-15,49.18,49.36,46.99,47.82,3558712.0
1453179600,2016-01-19,48.33,49.09,46.555,47.2,2837989.0
1453266000,2016-01-20,46.4,47.77,43.14,47.28,4007357.0
1453352400,2016-01-21,47.93,48.83,47.12,47.9,2044387.0
1453438800,2016-01-22,48.68,49.77,47.53,47.98,1992717.0
1453698000,2016-01-25,47.85,48.79,47.24,47.32,1468596.0
1453784400,2016-01-26,47.95,48.84,47.27,48.61,1975275.0
1453870800,2016-01-27,48.57,49.01,45.03,45.23,2256472.0
1453957200,2016-01-28,45.51,45.69,42.21,42.46,5243010.0
1454043600,2016-01-29,42.57,45.4,42.21,45.37,5935629.0
1454302800,2016-02-01,44.96,47.61,44.95,47.06,3972284.0
1454389200,2016-02-02,45.25,45.25,42.41,43.02,4561682.0
1454475600,2016-02-03,43.51,43.79,41.25,41.96,5524784.0
1454562000,2016-02-04,42.24,42.58,40.57,42.5,3885988.0
1454648400,2016-02-05,42.17,42.78,38.72,39.46,3312334.0
1454907600,2016-02-08,38.51,39.29,37.53,38.2,3330265.0
1454994000,2016-02-09,37.68,39.88,37.01,39.18,3345312.0
1455080400,2016-02-10,39.78,40.38,38.71,38.74,2024150.0
1455166800,2016-02-11,38.01,39.29,37.86,39.0,2652112.0
1455253200,2016-02-12,39.61,39.61,38.29,39.33,1517351.0
1455598800,2016-02-16,40.14,40.8,39.61,40.56,2018011.0
1455685200,2016-02-17,41.07,43.71,40.665,42.83,3593674.0
1455771600,2016-02-18,42.57,43.01,41.8,41.85,2189870.0
1455858000,2016-02-19,41.5,43.3145,40.95,42.49,3044780.0
1456117200,2016-02-22,42.98,44.396,42.64,44.08,2885033.0
1456203600,2016-02-23,45.6,48.3,45.42,46.85,6963118.0
1456290000,2016-02-24,46.69,47.91,45.28,47.9,3559714.0
1456376400,2016-02-25,48.22,49.25,47.67,48.655,1933697.0
1456462800,2016-02-26,49.29,50.16,48.49,49.635,2534109.0
1456722000,2016-02-29,49.33,50.12,48.99,49.13,1833578.0
1456808400,2016-03-01,49.84,50.49,48.75,50.31,1738054.0
1456894800,2016-03-02,50.37,50.67,49.79,50.53,1610272.0
1456981200,2016-03-03,50.05,50.48,49.25,50.0,2258677.0
1457067600,2016-03-04,50.35,50.49,49.08,49.56,2128154.0
1457326800,2016-03-07,49.13,49.77,48.73,49.68,1780254.0
1457413200,2016-03-08,49.11,49.58,47.23,47.31,2744088.0
1457499600,2016-03-09,47.65,48.43,46.69,47.59,2006592.0
1457586000,2016-03-10,47.89,48.335,46.445,47.26,1461499.0
1457672400,2016-03-11,47.79,48.87,47.15,48.87,1278584.0
1457928000,2016-03-14,48.83,49.89,48.83,49.69,1804216.0
1458014400,2016-03-15,49.13,49.5,48.12,48.41,1792698.0
1458100800,2016-03-16,48.39,49.96,48.01,49.71,1572252.0
1458187200,2016-03-17,50.54,51.72,50.04,51.42,2067119.0
1458273600,2016-03-18,51.54,53.32,51.51,52.45,4455057.0
1458532800,2016-03-21,52.13,53.05,52.13,52.71,1867486.0
1458619200,2016-03-22,51.55,52.18,51.01,51.64,2398729.0
1458705600,2016-03-23,51.67,51.67,49.7,49.77,2682136.0
1458792000,2016-03-24,49.71,51.27,49.45,51.08,2191457.0
1459137600,2016-03-28,51.11,51.46,50.55,51.35,1501545.0
1459224000,2016-03-29,51.13,51.415,50.65,51.26,1255661.0
1459310400,2016-03-30,52.66,54.34,52.47,54.18,2417014.0
1459396800,2016-03-31,54.29,55.59,53.908,55.29,2793858.0
1459483200,2016-04-01,54.71,55.25,53.8,54.52,2137550.0
1459742400,2016-04-04,54.58,54.89,54.24,54.64,919538.0
1459828800,2016-04-05,54.03,54.28,53.43,53.96,1884756.0
1459915200,2016-04-06,54.09,55.13,53.96,54.99,1613573.0
1460001600,2016-04-07,54.93,55.03,53.48,53.79,1789359.0
1460088000,2016-04-08,54.26,54.67,53.17,53.64,881244.0
1460347200,2016-04-11,54.64,54.88,53.51,53.53,889141.0
1460433600,2016-04-12,53.57,54.03,53.0305,53.93,960196.0
1460520000,2016-04-13,54.33,55.22,53.8,55.16,784089.0
1460606400,2016-04-14,55.0,55.24,54.21,54.52,760559.0
1460692800,2016-04-15,54.66,54.66,52.33,53.08,2854846.0
1460952000,2016-04-18,53.06,53.17,51.29,52.14,2643778.0
1461038400,2016-04-19,52.47,52.52,51.19,51.5,2065927.0
1461124800,2016-04-20,51.43,51.69,50.46,50.9,1639632.0
1461211200,2016-04-21,50.69,50.79,49.61,49.97,1398541.0
1461297600,2016-04-22,50.02,50.305,48.41,48.66,2522410.0
1461556800,2016-04-25,48.73,49.34,48.66,49.31,2073733.0
1461643200,2016-04-26,49.14,49.47,48.24,48.85,1327990.0
1461729600,2016-04-27,48.69,49.92,48.5,49.8,1603017.0
1461816000,2016-04-28,49.42,49.66,48.47,48.73,2135705.0
1461902400,2016-04-29,49.5,50.2,47.78,48.89,2652408.0
1462161600,2016-05-02,48.83,49.95,48.65,49.83,1744117.0
1462248000,2016-05-03,49.38,50.31,49.2,50.14,2156475.0
1462334400,2016-05-04,49.54,50.25,48.89,49.16,2205822.0
1462420800,2016-05-05,49.18,49.785,48.75,48.88,1377417.0
1462507200,2016-05-06,48.55,49.0,47.93,48.89,1086909.0
1462766400,2016-05-09,48.88,49.68,48.64,49.25,2080070.0
1462852800,2016-05-10,45.27,47.98,44.09,46.89,7869342.0
1462939200,2016-05-11,46.81,47.94,46.57,46.68,1819780.0
1463025600,2016-05-12,47.02,47.48,46.36,47.19,1561182.0
1463112000,2016-05-13,47.05,47.45,46.19,46.38,1546975.0
1463371200,2016-05-16,46.33,47.61,46.205,47.35,1378149.0
1463457600,2016-05-17,47.11,48.02,46.9,47.23,1415720.0
1463544000,2016-05-18,47.18,47.92,46.76,47.58,1826862.0
1463630400,2016-05-19,47.2,47.5697,46.19,46.39,1360469.0
1463716800,2016-05-20,46.48,47.27,46.48,47.21,967890.0
1463976000,2016-05-23,46.77,47.47,46.71,46.74,875015.0
1464062400,2016-05-24,46.97,47.86,46.71,47.81,1256863.0
1464148800,2016-05-25,47.88,47.92,46.52,46.57,1749090.0
1464235200,2016-05-26,46.34,46.34,45.11,45.78,1898418.0
1464321600,2016-05-27,45.8,47.11,45.57,47.09,1457548.0
1464667200,2016-05-31,47.04,47.12,46.21,46.41,1883280.0
1464753600,2016-06-01,46.18,46.63,46.06,46.59,1051278.0
1464840000,2016-06-02,46.26,46.66,46.09,46.55,1160157.0
1464926400,2016-06-03,46.27,46.27,44.84,45.73,884541.0
1465185600,2016-06-06,45.5,45.56,44.77,45.4,1935722.0
1465272000,2016-06-07,45.76,46.3,45.5701,45.91,1250872.0
1465358400,2016-06-08,46.18,46.19,45.44,45.46,1466728.0
1465444800,2016-06-09,45.45,45.71,45.1,45.61,1548759.0
1465531200,2016-06-10,44.91,45.79,43.89,44.53,1236926.0
1465790400,2016-06-13,44.35,44.869,43.81,43.83,1008071.0
1465876800,2016-06-14,43.59,43.93,43.01,43.22,1524001.0
1465963200,2016-06-15,43.33,44.4699,43.27,43.36,2211054.0
1466049600,2016-06-16,43.04,43.435,41.96,43.3,1129233.0
1466136000,2016-06-17,43.51,43.67,43.15,43.38,1404685.0
1466395200,2016-06-20,44.01,44.92,44.01,44.22,1077840.0
1466481600,2016-06-21,44.23,44.6611,43.96,44.46,1236855.0
1466568000,2016-06-22,44.29,44.79,43.95,44.24,1507749.0
1466654400,2016-06-23,44.88,44.88,44.11,44.23,1656786.0
1466740800,2016-06-24,41.7,42.01,40.37,40.38,8713189.0
1467000000,2016-06-27,39.54,40.04,38.17,38.21,4227671.0
1467086400,2016-06-28,39.41,39.74,38.22,38.44,3276245.0
1467172800,2016-06-29,38.76,39.61,38.49,39.28,3455157.0
1467259200,2016-06-30,39.5,39.87,38.62,39.84,2247835.0
1467345600,2016-07-01,40.0,41.191,39.97,41.06,2235579.0
1467691200,2016-07-05,40.75,41.31,40.16,40.51,2089049.0
1467777600,2016-07-06,40.3,40.74,39.8,40.3,2422478.0
1467864000,2016-07-07,40.26,41.06,40.12,40.59,1659148.0
