unix,date,open,high,low,close,volume_base
1451883600,2016-01-04,14.21,14.4,14.14,14.29,2941515.0
1451970000,2016-01-05,14.28,14.6,14.12,14.52,3472849.0
1452056400,2016-01-06,14.43,14.65,14.35,14.6,3990411.0
1452142800,2016-01-07,14.44,14.52,14.21,14.28,3227888.0
1452229200,2016-01-08,14.29,14.49,14.22,14.26,3590509.0
1452488400,2016-01-11,14.28,14.54,14.28,14.49,2340296.0
1452574800,2016-01-12,14.51,14.57,14.25,14.31,2713661.0
1452661200,2016-01-13,14.29,14.4,14.16,14.26,2245109.0
1452747600,2016-01-14,14.26,14.76,14.26,14.65,2556643.0
1452834000,2016-01-15,14.41,14.58,14.3,14.46,2149392.0
1453179600,2016-01-19,14.54,14.73,14.48,14.68,2513398.0
1453266000,2016-01-20,14.57,14.66,13.95,14.25,3306822.0
1453352400,2016-01-21,14.28,14.5,14.16,14.3,2922038.0
1453438800,2016-01-22,14.45,14.89,14.31,14.85,2890289.0
1453698000,2016-01-25,14.82,14.96,14.74,14.92,3623833.0
1453784400,2016-01-26,14.94,15.14,14.86,14.87,2565679.0
1453870800,2016-01-27,14.87,14.92,14.63,14.75,3890697.0
1453957200,2016-01-28,14.84,15.27,14.79,15.19,4263471.0
1454043600,2016-01-29,15.39,15.47,15.27,15.39,5845609.0
1454302800,2016-02-01,15.39,15.61,15.27,15.6,4459337.0
1454389200,2016-02-02,15.55,15.77,15.43,15.57,5658267.0
1454475600,2016-02-03,15.66,15.86,15.61,15.73,4278253.0
1454562000,2016-02-04,15.82,15.88,15.53,15.61,3780817.0
1454648400,2016-02-05,15.54,15.59,15.25,15.48,4041850.0
1454907600,2016-02-08,15.52,15.67,15.28,15.42,2101195.0
1454994000,2016-02-09,15.34,15.77,15.31,15.67,3067423.0
1455080400,2016-02-10,15.64,15.97,15.53,15.84,5140582.0
1455166800,2016-02-11,15.75,15.8,15.45,15.56,4414085.0
1455253200,2016-02-12,15.77,15.78,15.51,15.7,3454563.0
1455598800,2016-02-16,15.79,15.9,15.46,15.57,2813924.0
1455685200,2016-02-17,15.62,15.85,15.4,15.75,4560992.0
1455771600,2016-02-18,15.68,16.3,15.6,16.13,4316562.0
1455858000,2016-02-19,16.03,16.33,15.87,16.13,3386013.0
1456117200,2016-02-22,16.26,16.28,15.99,16.16,2701608.0
1456203600,2016-02-23,16.14,16.24,16.04,16.08,3223767.0
1456290000,2016-02-24,15.97,16.16,15.95,16.04,2728651.0
1456376400,2016-02-25,16.13,16.27,16.04,16.25,2106309.0
1456462800,2016-02-26,16.17,16.23,15.82,15.87,2825546.0
1456722000,2016-02-29,15.87,16.03,15.84,15.84,2570093.0
1456808400,2016-03-01,15.91,16.02,15.82,15.86,2652813.0
1456894800,2016-03-02,15.79,16.3,15.45,16.28,3187997.0
1456981200,2016-03-03,16.29,16.49,16.13,16.48,2782677.0
1457067600,2016-03-04,16.4,16.6,16.29,16.52,2146063.0
1457326800,2016-03-07,16.41,16.63,16.35,16.49,3521184.0
1457413200,2016-03-08,16.53,16.71,16.45,16.58,2239821.0
1457499600,2016-03-09,16.6,16.81,16.58,16.69,1306965.0
1457586000,2016-03-10,16.6,16.83,16.53,16.8,2235975.0
1457672400,2016-03-11,16.85,16.96,16.72,16.77,1961330.0
1457928000,2016-03-14,16.72,16.89,16.72,16.8,1681497.0
1458014400,2016-03-15,16.77,16.94,16.65,16.72,2994145.0
1458100800,2016-03-16,16.71,17.08,16.59,17.04,2074604.0
1458187200,2016-03-17,17.11,17.28,17.05,17.21,2302083.0
1458273600,2016-03-18,17.22,17.22,16.81,16.82,5427981.0
1458532800,2016-03-21,16.84,16.92,16.67,16.88,2353162.0
