start,start_unix,end,end_unix,reward
2016-04-04,1459742400,2016-06-03,1464926400,-2.8943479
2016-04-11,1460347200,2016-06-06,1465185600,-1.6265341000000002
2016-04-12,1460433600,2016-06-07,1465272000,-1.1744459000000003
2016-05-11,1462939200,2016-06-15,1465963200,-1.9377540999999998
2016-05-26,1464235200,2016-06-17,1466136000,-1.5202459000000004
2016-05-27,1464321600,2016-06-23,1466654400,-0.0997540999999999
2016-05-31,1464667200,2016-06-28,1467086400,-1.7002459
2016-06-03,1464926400,2016-07-07,1467864000,-0.29975409999999986
2016-06-06,1465185600,2016-07-11,1468209600,1.2563479
2016-06-07,1465272000,2016-07-14,1468468800,0.7631279000000002
2016-06-08,1465358400,2016-07-26,1469505600,1.4807340999999998
2016-06-16,1466049600,2016-08-10,1470801600,0.05585210000000013
2016-06-20,1466395200,2016-08-18,1471492800,1.6514659000000003
2016-06-24,1466740800,2016-08-22,1471838400,1.2021479000000002
2016-06-29,1467172800,2016-08-24,1472011200,2.9251279
2016-07-08,1467950400,2016-08-30,1472529600,1.6607340999999995
2016-07-12,1468296000,2016-08-31,1472616000,0.25585209999999986
2016-07-15,1468555200,2016-09-02,1472788800,-0.3485340999999998
2016-07-27,1469592000,2016-09-06,1473134400,0.24555409999999994
2016-08-11,1470888000,2016-09-07,1473220800,1.8622459
2016-08-19,1471579200,2016-09-08,1473307200,0.4797540999999996
2016-08-23,1471924800,2016-09-09,1473393600,-1.0563479
2016-08-25,1472097600,2016-09-12,1473652800,-1.8065341
2016-08-31,1472616000,2016-09-27,1474948800,-1.3744459
2016-09-01,1472702400,2016-09-28,1475035200,-0.8943479000000001
2016-09-06,1473134400,2016-09-29,1475121600,-2.5831279000000005
2016-09-07,1473220800,2016-10-03,1475467200,-1.2807341
2016-09-08,1473307200,2016-10-11,1476158400,-3.0124459
2016-09-09,1473393600,2016-10-12,1476244800,-1.7577541
2016-09-12,1473652800,2016-10-28,1477627200,-1.3202459000000002
2016-09-13,1473739200,2016-11-04,1478232000,-3.0563479
2016-09-28,1475035200,2016-11-09,1478667600,-1.8065341
2016-09-29,1475121600,2016-11-10,1478754000,-1.3744459
2016-09-30,1475208000,2016-11-11,1478840400,0.06224590000000002
2016-10-04,1475553600,2016-11-15,1479186000,-1.5202459000000004
2016-10-12,1476244800,2016-11-29,1480395600,-0.0997540999999999
2016-10-13,1476331200,2016-11-30,1480482000,-1.7002459
2016-10-31,1477886400,2016-12-06,1481000400,-0.29975409999999986
2016-11-07,1478494800,2016-12-07,1481086800,1.2563479
2016-11-10,1478754000,2016-12-12,1481518800,-0.1934658999999999
2016-11-11,1478840400,2016-12-13,1481605200,1.3744459
2016-11-14,1479099600,2016-12-20,1482210000,-0.06224590000000002
2016-11-16,1479272400,2016-12-22,1482382800,1.5202459000000004
2016-11-30,1480482000,2016-12-30,1483074000,0.0997540999999999
2016-12-01,1480568400,2017-01-05,1483592400,1.7002459
2016-12-07,1481086800,2017-01-06,1483678800,1.2563479
2016-12-08,1481173200,2017-01-24,1485234000,-0.1934658999999999
2016-12-13,1481605200,2017-01-25,1485320400,1.3744459
2016-12-14,1481691600,2017-02-07,1486443600,-0.06224590000000002
2016-12-21,1482296400,2017-02-08,1486530000,1.5202459000000004
2016-12-23,1482469200,2017-02-17,1487307600,1.0563479
2017-01-03,1483419600,2017-03-06,1488776400,2.7631279
2017-01-06,1483678800,2017-03-10,1489122000,1.4807340999999998
2017-01-09,1483938000,2017-03-17,1489723200,1.0124459000000003
2017-01-25,1485320400,2017-03-20,1489982400,2.7143479000000004
2017-01-26,1485406800,2017-03-21,1490068800,1.4265341
2017-02-08,1486530000,2017-03-27,1490587200,2.2178520999999995
2017-02-09,1486616400,2017-03-29,1490760000,1.8314659
2017-02-21,1487653200,2017-05-03,1493784000,0.4455541000000001
2017-03-07,1488862800,2017-05-08,1494216000,-1.0943479
2017-03-13,1489377600,2017-05-10,1494388800,0.37346589999999963
